,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,西部建设,002302,27.13,27.09,27.55,27.05,92401,56179045.84,1.85,0.0,0.0,0.73
239,2025-01-24,西部建设,002302,26.74,27.09,27.09,26.66,95009,56870771.0,1.6,1.01,0.27,0.75
238,2025-01-23,西部建设,002302,26.86,26.82,27.44,26.82,130412,78788008.5,2.33,0.6,0.16,1.03
237,2025-01-22,西部建设,002302,26.78,26.66,26.86,26.55,96720,57275462.0,1.15,-1.0,-0.27,0.77
236,2025-01-21,西部建设,002302,27.48,26.93,27.71,26.74,194734,117042029.8,3.49,-3.2,-0.89,1.54
235,2025-01-20,西部建设,002302,27.79,27.82,27.94,27.51,100365,62315141.2,1.55,0.4,0.11,0.8
234,2025-01-17,西部建设,002302,27.67,27.71,27.9,27.44,99607,61618055.0,1.66,-0.29,-0.08,0.79
233,2025-01-16,西部建设,002302,27.67,27.79,28.02,27.59,118521,73720083.0,1.56,0.87,0.24,0.94
232,2025-01-15,西部建设,002302,27.4,27.55,27.67,27.28,96641,59223343.0,1.42,0.0,0.0,0.77
231,2025-01-14,西部建设,002302,26.82,27.55,27.59,26.82,132291,80289319.0,2.88,2.88,0.77,1.05
230,2025-01-13,西部建设,002302,26.59,26.78,26.89,26.16,98843,58370403.56,2.72,-0.15,-0.04,0.78
229,2025-01-10,西部建设,002302,27.67,26.82,27.75,26.82,119947,72726051.0,3.37,-2.79,-0.77,0.95
228,2025-01-09,西部建设,002302,27.59,27.59,27.94,27.48,86184,53284377.0,1.66,-0.58,-0.16,0.68
227,2025-01-08,西部建设,002302,27.75,27.75,27.94,27.17,142686,87803500.8,2.76,-0.39,-0.11,1.13
226,2025-01-07,西部建设,002302,27.79,27.86,27.94,27.59,102663,63698678.92,1.26,0.69,0.19,0.81
225,2025-01-06,西部建设,002302,27.59,27.67,27.9,27.28,98650,60814211.0,2.25,0.29,0.08,0.78
224,2025-01-03,西部建设,002302,28.37,27.59,28.52,27.4,173439,108011343.2,3.95,-2.61,-0.74,1.37
223,2025-01-02,西部建设,002302,29.22,28.33,29.41,28.02,198929,128402693.26,4.76,-3.05,-0.89,1.58
222,2024-12-31,西部建设,002302,30.8,29.22,30.84,29.1,265575,179008495.9,5.65,-5.13,-1.58,2.1
221,2024-12-30,西部建设,002302,31.23,30.8,31.23,30.77,199377,139783554.16,1.45,-2.59,-0.82,1.58
220,2024-12-27,西部建设,002302,30.92,31.62,32.24,30.69,304167,217773183.4,4.99,1.87,0.58,2.41
219,2024-12-26,西部建设,002302,30.84,31.04,31.23,30.65,148557,104270082.92,1.87,0.0,0.0,1.18
218,2024-12-25,西部建设,002302,32.27,31.04,32.27,30.73,309893,219038219.04,4.78,-3.6,-1.16,2.45
217,2024-12-24,西部建设,002302,31.62,32.2,32.58,31.31,338117,247872124.89,3.99,1.23,0.39,2.68
216,2024-12-23,西部建设,002302,31.5,31.81,32.93,31.04,451570,327440302.06,6.13,3.15,0.97,3.58
215,2024-12-20,西部建设,002302,30.73,30.84,31.11,30.57,136704,95726732.0,1.76,0.49,0.15,1.08
214,2024-12-19,西部建设,002302,30.61,30.69,30.96,30.34,162540,112625712.0,2.01,-0.62,-0.19,1.29
213,2024-12-18,西部建设,002302,31.07,30.88,31.27,30.8,128153,90304172.0,1.53,0.49,0.15,1.02
212,2024-12-17,西部建设,002302,31.46,30.73,31.62,30.69,235884,166260459.56,2.94,-2.69,-0.85,1.87
211,2024-12-16,西部建设,002302,32.2,31.58,32.7,31.46,268903,195458129.32,3.87,-1.56,-0.5,2.13
210,2024-12-13,西部建设,002302,33.28,32.08,33.4,32.08,391856,291687488.02,3.93,-4.38,-1.47,3.1
209,2024-12-12,西部建设,002302,33.28,33.55,33.9,33.09,415943,319472383.03,2.42,0.33,0.11,3.29
208,2024-12-11,西部建设,002302,32.12,33.44,33.63,32.12,733528,550864011.72,4.57,1.3,0.43,5.81
207,2024-12-10,西部建设,002302,32.39,33.01,34.36,31.77,1004501,771481012.59,8.2,4.53,1.43,7.96
206,2024-12-09,西部建设,002302,32.24,31.58,32.43,31.31,240024,173609603.62,3.47,-2.26,-0.73,1.9
205,2024-12-06,西部建设,002302,32.04,32.31,32.43,31.85,232205,170732774.3,1.81,0.84,0.27,1.84
204,2024-12-05,西部建设,002302,31.66,32.04,32.04,31.42,198617,143462305.7,1.94,0.47,0.15,1.57
203,2024-12-04,西部建设,002302,32.7,31.89,32.82,31.81,216234,158939508.7,3.07,-2.95,-0.97,1.71
202,2024-12-03,西部建设,002302,33.13,32.86,33.44,32.55,304403,229454438.25,2.72,0.24,0.08,2.41
201,2024-12-02,西部建设,002302,32.24,32.78,33.13,32.04,369480,277236558.0,3.36,1.08,0.35,2.93
200,2024-11-29,西部建设,002302,31.5,32.43,33.01,31.11,385109,281209339.19,6.03,2.95,0.93,3.05
199,2024-11-28,西部建设,002302,31.5,31.5,31.81,31.42,170962,123018206.0,1.24,0.0,0.0,1.35
198,2024-11-27,西部建设,002302,31.27,31.5,31.5,30.53,174813,123178985.87,3.09,0.48,0.15,1.38
197,2024-11-26,西部建设,002302,31.42,31.35,31.73,31.27,133002,95331915.54,1.46,-0.6,-0.19,1.05
196,2024-11-25,西部建设,002302,31.42,31.54,31.93,31.04,210778,150709854.2,2.85,0.99,0.31,1.67
195,2024-11-22,西部建设,002302,31.85,31.23,32.31,31.19,268724,194554661.65,3.53,-1.7,-0.54,2.13
194,2024-11-21,西部建设,002302,32.04,31.77,32.27,31.5,182212,132118055.13,2.39,-1.55,-0.5,1.44
