,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,焦点科技,002315,135.59,145.63,145.63,135.23,203142,957311314.71,7.75,8.5,11.41,10.05
240,2025-01-23,焦点科技,002315,132.11,134.22,140.07,131.38,137695,613104385.17,6.63,2.34,3.07,6.81
239,2025-01-22,焦点科技,002315,133.57,131.15,134.76,130.26,81558,352480065.16,3.36,-2.21,-2.96,4.04
238,2025-01-21,焦点科技,002315,131.77,134.11,134.87,131.38,92508,401590348.29,2.65,1.98,2.6,4.58
237,2025-01-20,焦点科技,002315,130.81,131.51,132.71,128.81,109637,468044484.7,3.0,1.0,1.3,5.42
236,2025-01-17,焦点科技,002315,129.54,130.21,132.24,127.98,96020,405726151.32,3.26,-0.36,-0.47,4.75
235,2025-01-16,焦点科技,002315,131.64,130.68,135.91,128.21,157660,677350057.8,5.86,-0.63,-0.83,7.8
234,2025-01-15,焦点科技,002315,128.21,131.51,134.45,127.17,189021,807858333.92,5.7,2.95,3.77,9.35
233,2025-01-14,焦点科技,002315,120.51,127.74,128.31,119.24,142372,576928910.4,7.58,6.69,8.01,7.04
232,2025-01-13,焦点科技,002315,120.31,119.73,122.91,118.67,76437,294206580.75,3.48,-1.76,-2.14,3.78
231,2025-01-10,焦点科技,002315,124.15,121.87,126.57,121.87,93000,371220005.94,3.75,-2.84,-3.56,4.6
230,2025-01-09,焦点科技,002315,123.61,125.43,126.96,123.35,110756,448576016.21,2.9,0.93,1.15,5.48
229,2025-01-08,焦点科技,002315,121.27,124.28,126.26,120.36,138245,550727492.31,4.83,1.72,2.1,6.84
228,2025-01-07,焦点科技,002315,119.71,122.18,122.93,119.71,94949,370348812.8,2.69,2.11,2.52,4.7
227,2025-01-06,焦点科技,002315,121.55,119.66,123.01,118.75,118315,457224684.12,3.48,-2.13,-2.6,5.85
226,2025-01-03,焦点科技,002315,127.9,122.26,128.47,121.71,117993,471839186.09,5.25,-5.0,-6.44,5.84
225,2025-01-02,焦点科技,002315,127.77,128.7,131.15,126.52,109031,456225872.71,3.61,0.22,0.28,5.39
224,2024-12-31,焦点科技,002315,131.56,128.42,132.21,128.42,79264,335051594.01,2.88,-2.35,-3.09,3.92
223,2024-12-30,焦点科技,002315,130.47,131.51,133.64,127.69,102516,438513658.14,4.54,0.27,0.36,5.07
222,2024-12-27,焦点科技,002315,127.64,131.15,133.36,126.78,183155,783767330.68,5.14,2.5,3.2,9.06
221,2024-12-26,焦点科技,002315,128.13,127.95,130.55,127.43,125949,527386991.16,2.43,-0.4,-0.52,6.23
220,2024-12-25,焦点科技,002315,131.59,128.47,131.59,124.57,178414,737100824.67,5.33,-2.54,-3.35,8.83
219,2024-12-24,焦点科技,002315,131.95,131.82,134.5,128.83,142148,606406537.66,4.29,-0.18,-0.24,7.03
218,2024-12-23,焦点科技,002315,141.96,132.06,141.96,132.06,189763,847658296.37,6.85,-8.62,-12.45,9.39
217,2024-12-20,焦点科技,002315,138.25,144.51,146.41,138.25,233681,1105924811.19,5.91,4.59,6.34,11.56
216,2024-12-19,焦点科技,002315,134.74,138.17,138.22,131.3,167416,736062275.47,5.05,0.84,1.15,8.28
215,2024-12-18,焦点科技,002315,134.35,137.02,139.65,131.59,168300,753615942.3,6.03,2.44,3.27,8.33
214,2024-12-17,焦点科技,002315,137.28,133.75,138.74,133.1,175676,777105152.51,4.03,-4.53,-6.34,8.69
213,2024-12-16,焦点科技,002315,137.08,140.09,143.55,134.58,198501,910664873.12,6.48,1.16,1.61,9.82
212,2024-12-13,焦点科技,002315,140.82,138.48,146.07,138.22,272569,1284028975.2,5.51,-2.76,-3.93,13.49
211,2024-12-12,焦点科技,002315,147.45,142.41,149.22,138.66,318161,1500346755.75,6.95,-6.21,-9.43,15.74
210,2024-12-11,焦点科技,002315,160.71,151.84,164.32,147.14,370908,1934275891.27,10.87,-3.97,-6.27,18.35
209,2024-12-10,焦点科技,002315,149.79,158.11,162.84,142.9,331609,1727365405.82,13.3,5.5,8.24,16.41
208,2024-12-09,焦点科技,002315,139.29,149.87,150.52,135.75,296446,1407860419.6,10.64,8.0,11.1,14.67
207,2024-12-06,焦点科技,002315,136.66,138.77,145.89,134.45,324766,1484343240.71,8.5,3.08,4.14,16.07
206,2024-12-05,焦点科技,002315,126.42,134.63,134.63,126.42,202018,872870462.37,6.61,8.39,10.42,10.0
205,2024-12-04,焦点科技,002315,122.31,124.21,130.34,121.79,224053,909235633.66,7.11,3.24,3.9,11.09
204,2024-12-03,焦点科技,002315,123.3,120.31,123.53,118.38,183453,706734657.99,4.16,-2.85,-3.53,9.08
203,2024-12-02,焦点科技,002315,125.64,123.84,128.94,122.18,202421,815661868.53,5.35,-2.06,-2.6,10.02
202,2024-11-29,焦点科技,002315,125.35,126.44,130.29,123.01,209940,862429438.64,5.78,0.41,0.52,10.39
201,2024-11-28,焦点科技,002315,124.05,125.92,129.8,123.56,237414,969552850.11,5.07,2.37,2.91,11.75
200,2024-11-27,焦点科技,002315,111.05,123.01,123.01,111.0,236211,899258363.98,10.57,8.24,9.36,11.69
199,2024-11-26,焦点科技,002315,118.46,113.65,120.15,112.95,172013,633981739.82,5.9,-6.92,-8.45,8.51
198,2024-11-25,焦点科技,002315,121.45,122.1,123.5,114.38,261139,986174750.63,7.67,2.69,3.2,12.92
197,2024-11-22,焦点科技,002315,115.21,118.9,123.79,114.53,262304,1021391262.94,8.1,3.98,4.55,12.98
196,2024-11-21,焦点科技,002315,116.87,114.35,117.0,112.87,163153,594754280.99,3.53,-2.4,-2.81,8.07
195,2024-11-20,焦点科技,002315,110.53,117.16,117.55,110.53,199704,730567828.93,6.37,6.28,6.92,9.88
194,2024-11-19,焦点科技,002315,106.71,110.24,111.31,106.58,190015,647650480.3,4.25,-0.85,-0.94,9.4
193,2024-11-18,焦点科技,002315,120.36,111.18,120.36,111.18,170107,605647300.64,7.57,-8.34,-10.11,8.42
192,2024-11-15,焦点科技,002315,116.87,121.29,127.09,116.87,321419,1276880207.08,8.71,3.34,3.92,15.9
191,2024-11-14,焦点科技,002315,115.08,117.37,123.3,113.13,320239,1217734409.34,8.8,1.5,1.74,15.85
190,2024-11-13,焦点科技,002315,107.83,115.63,115.63,107.67,313042,1127581569.62,7.44,8.13,8.69,15.49
189,2024-11-12,焦点科技,002315,107.98,106.94,110.87,106.19,188983,642266151.82,4.3,-1.79,-1.95,9.35
188,2024-11-11,焦点科技,002315,100.75,108.89,108.89,100.31,259620,857630964.41,8.51,8.02,8.08,12.85
187,2024-11-08,焦点科技,002315,103.8,100.81,104.26,100.26,125042,393860618.29,3.87,-2.51,-2.6,6.19
186,2024-11-07,焦点科技,002315,103.2,103.41,103.56,100.86,109555,346412216.59,2.61,-0.17,-0.18,5.42
185,2024-11-06,焦点科技,002315,102.11,103.59,105.41,101.17,187641,603832933.28,4.14,1.22,1.25,9.28
184,2024-11-05,焦点科技,002315,100.91,102.34,102.89,99.35,212355,661908508.74,3.45,-0.28,-0.29,10.51
183,2024-11-04,焦点科技,002315,98.96,102.63,102.73,97.82,191395,594831969.5,5.02,4.92,4.81,9.47
182,2024-11-01,焦点科技,002315,97.24,97.82,101.61,94.96,175779,528817580.04,6.8,0.08,0.08,8.7
181,2024-10-31,焦点科技,002315,95.53,97.74,98.39,94.15,106588,313642448.62,4.45,2.49,2.37,5.27
180,2024-10-30,焦点科技,002315,95.94,95.37,96.65,94.46,69045,200191305.2,2.27,-1.16,-1.12,3.42
179,2024-10-29,焦点科技,002315,99.35,96.49,99.53,96.49,89438,267259058.54,3.06,-2.98,-2.96,4.43
178,2024-10-28,焦点科技,002315,96.83,99.45,100.96,96.72,115707,352665977.55,4.38,2.71,2.62,5.73
177,2024-10-25,焦点科技,002315,95.5,96.83,97.01,95.19,63152,184970656.44,1.9,1.17,1.12,3.12
176,2024-10-24,焦点科技,002315,96.23,95.71,96.44,94.77,53322,154772050.76,1.73,-0.78,-0.75,2.64
175,2024-10-23,焦点科技,002315,97.32,96.46,98.13,96.15,90785,269304237.05,2.02,-1.39,-1.36,4.49
174,2024-10-22,焦点科技,002315,99.79,97.82,99.87,97.06,119016,357219253.95,2.82,-1.8,-1.79,5.89
173,2024-10-21,焦点科技,002315,98.31,99.61,100.7,97.56,156702,476718340.5,3.24,2.68,2.6,7.75
172,2024-10-18,焦点科技,002315,94.28,97.01,98.75,93.68,134925,395826247.54,5.37,2.72,2.57,6.68
171,2024-10-17,焦点科技,002315,94.28,94.44,96.57,94.05,100408,290434290.49,2.68,0.48,0.45,4.97
170,2024-10-16,焦点科技,002315,93.37,93.99,95.5,92.59,96371,274073321.14,3.05,-1.53,-1.46,4.77
169,2024-10-15,焦点科技,002315,93.5,95.45,98.41,92.2,187892,552484694.3,6.58,1.07,1.01,9.3
168,2024-10-14,焦点科技,002315,92.49,94.44,94.49,89.6,119758,333293311.67,5.36,3.51,3.2,5.93
167,2024-10-11,焦点科技,002315,92.85,91.24,93.92,90.12,103086,284209387.85,4.06,-2.47,-2.31,5.1
166,2024-10-10,焦点科技,002315,95.45,93.55,97.17,92.46,116387,334115238.89,4.94,-1.94,-1.85,5.76
165,2024-10-09,焦点科技,002315,100.65,95.4,100.65,95.4,159668,477741846.01,5.06,-8.07,-8.37,7.9
164,2024-10-08,焦点科技,002315,105.59,103.77,105.82,96.75,201148,634666598.78,9.25,5.83,5.72,9.95
163,2024-09-30,焦点科技,002315,95.61,98.05,98.1,93.63,157495,461966820.11,4.91,7.71,7.02,7.79
162,2024-09-27,焦点科技,002315,89.08,91.03,91.94,87.55,130370,348708361.15,5.02,4.07,3.56,6.45
161,2024-09-26,焦点科技,002315,85.67,87.47,87.49,84.97,111744,290075828.17,2.93,1.72,1.48,5.53
160,2024-09-25,焦点科技,002315,85.0,85.99,88.09,85.0,169383,444034142.13,3.64,1.16,0.99,8.38
159,2024-09-24,焦点科技,002315,82.89,85.0,85.91,81.67,176775,441852267.61,5.26,5.49,4.42,8.75
158,2024-09-23,焦点科技,002315,79.38,80.58,81.62,79.07,66289,157742108.7,3.21,1.35,1.07,3.28
157,2024-09-20,焦点科技,002315,79.2,79.51,80.08,78.65,46770,109428177.0,1.81,0.43,0.34,2.32
156,2024-09-19,焦点科技,002315,78.94,79.17,80.4,78.19,53095,123817511.81,2.8,0.39,0.31,2.63
155,2024-09-18,焦点科技,002315,78.89,78.86,79.43,77.54,33047,75918627.2,2.38,-0.49,-0.39,1.64
154,2024-09-13,焦点科技,002315,79.95,79.25,80.53,79.25,31617,74277241.47,1.6,-0.95,-0.76,1.57
153,2024-09-12,焦点科技,002315,80.99,80.01,82.19,80.01,40773,97714129.8,2.7,-0.93,-0.75,2.02
152,2024-09-11,焦点科技,002315,82.27,80.76,82.27,80.32,44795,107331355.9,2.37,-1.84,-1.51,2.22
151,2024-09-10,焦点科技,002315,80.76,82.27,82.81,79.59,58107,139972254.8,4.01,2.4,1.93,2.88
150,2024-09-09,焦点科技,002315,81.05,80.34,81.85,79.93,42662,101830089.24,2.35,-1.82,-1.49,2.11
149,2024-09-06,焦点科技,002315,83.36,81.83,83.78,81.77,39947,98175797.0,2.41,-1.68,-1.4,1.98
148,2024-09-05,焦点科技,002315,81.98,83.23,83.96,81.98,56349,139932120.11,2.42,1.75,1.43,2.79
147,2024-09-04,焦点科技,002315,81.83,81.8,82.4,81.41,33530,81589346.65,1.2,-0.88,-0.73,1.66
146,2024-09-03,焦点科技,002315,81.28,82.53,82.89,81.02,61839,151284842.0,2.31,1.83,1.48,3.07
145,2024-09-02,焦点科技,002315,84.37,81.05,85.0,81.02,86834,213645735.88,4.7,-4.26,-3.61,4.3
144,2024-08-30,焦点科技,002315,81.12,84.66,85.65,81.12,94084,236447109.52,5.56,3.93,3.2,4.66
143,2024-08-29,焦点科技,002315,79.72,81.46,81.98,79.46,46122,111104422.9,3.15,1.69,1.35,2.29
142,2024-08-28,焦点科技,002315,79.85,80.11,80.53,78.42,29200,68677435.3,2.63,-0.2,-0.16,1.45
141,2024-08-27,焦点科技,002315,80.97,80.27,81.18,79.77,28515,67771546.63,1.73,-1.52,-1.24,1.41
140,2024-08-26,焦点科技,002315,80.76,81.51,81.93,80.24,29115,70141738.9,2.09,0.6,0.49,1.44
139,2024-08-23,焦点科技,002315,80.53,81.02,81.51,80.03,33393,79956928.0,1.83,0.42,0.34,1.66
138,2024-08-22,焦点科技,002315,81.38,80.68,82.66,80.4,43422,104810696.8,2.77,-1.12,-0.91,2.15
137,2024-08-21,焦点科技,002315,82.35,81.59,83.46,81.57,43141,105658810.8,2.29,-1.08,-0.89,2.14
136,2024-08-20,焦点科技,002315,84.92,82.48,85.18,82.27,80862,200544918.01,3.4,-3.72,-3.19,4.01
135,2024-08-19,焦点科技,002315,82.87,85.67,86.66,82.87,92276,237341553.91,4.58,3.48,2.88,4.57
134,2024-08-16,焦点科技,002315,82.58,82.79,83.41,82.4,26471,65439571.28,1.22,0.29,0.24,1.31
133,2024-08-15,焦点科技,002315,82.53,82.55,84.17,81.67,42443,105026843.0,3.01,-0.45,-0.37,2.1
132,2024-08-14,焦点科技,002315,81.67,82.92,83.91,81.25,45025,111336557.25,3.26,1.66,1.35,2.23
131,2024-08-13,焦点科技,002315,81.15,81.57,81.67,80.68,26379,63553108.65,1.22,0.52,0.42,1.31
130,2024-08-12,焦点科技,002315,81.67,81.15,82.24,80.76,27737,66808535.01,1.8,-1.07,-0.88,1.37
129,2024-08-09,焦点科技,002315,83.15,82.03,83.62,82.03,21560,53153566.0,1.92,-1.04,-0.86,1.07
128,2024-08-08,焦点科技,002315,82.66,82.89,83.46,81.57,28914,70992850.0,2.28,-0.19,-0.16,1.43
127,2024-08-07,焦点科技,002315,84.19,83.05,84.27,83.02,30005,74868398.2,1.49,-1.11,-0.93,1.49
126,2024-08-06,焦点科技,002315,83.49,83.98,84.92,83.02,38524,96765949.0,2.29,1.41,1.17,1.91
125,2024-08-05,焦点科技,002315,83.1,82.81,85.31,82.76,56098,141536954.4,3.05,-0.91,-0.76,2.78
124,2024-08-02,焦点科技,002315,84.43,83.57,85.31,83.44,38993,98520714.1,2.19,-1.92,-1.64,1.93
123,2024-08-01,焦点科技,002315,86.32,85.21,86.77,84.27,58375,149937769.35,2.9,-1.17,-1.01,2.89
122,2024-07-31,焦点科技,002315,82.76,86.22,86.25,82.61,67092,171527353.47,4.4,4.24,3.51,3.33
121,2024-07-30,焦点科技,002315,81.72,82.71,83.1,81.18,32225,78980112.56,2.33,0.35,0.29,1.6
120,2024-07-29,焦点科技,002315,82.87,82.42,83.1,82.19,25484,62717416.39,1.1,-0.57,-0.47,1.26
119,2024-07-26,焦点科技,002315,82.24,82.89,83.7,82.24,29294,72400898.51,1.77,0.63,0.52,1.45
118,2024-07-25,焦点科技,002315,81.54,82.37,83.28,81.28,34798,85329362.33,2.44,0.64,0.52,1.72
117,2024-07-24,焦点科技,002315,82.48,81.85,83.46,81.7,42311,103916390.7,2.13,-1.1,-0.91,2.1
116,2024-07-23,焦点科技,002315,84.79,82.76,84.79,82.74,46433,116358353.5,2.43,-2.09,-1.77,2.3
