,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,巨力索具,002342,8.24,8.22,8.43,8.22,149743,46935154.0,2.55,-0.24,-0.02,1.57
239,2025-01-24,巨力索具,002342,8.22,8.24,8.26,8.12,197696,61066273.62,1.69,-0.6,-0.05,2.07
238,2025-01-23,巨力索具,002342,8.5,8.29,8.6,8.29,270297,86532563.28,3.66,-2.01,-0.17,2.83
237,2025-01-22,巨力索具,002342,8.43,8.46,8.67,8.34,314789,100874807.0,3.7,-5.05,-0.45,3.3
236,2025-01-21,巨力索具,002342,8.94,8.91,8.98,8.79,127349,42997655.0,2.13,0.0,0.0,1.33
235,2025-01-20,巨力索具,002342,8.86,8.91,8.98,8.74,185522,62749088.4,2.72,1.02,0.09,1.94
234,2025-01-17,巨力索具,002342,8.79,8.82,8.89,8.74,145183,48619872.0,1.69,-0.45,-0.04,1.52
233,2025-01-16,巨力索具,002342,8.96,8.86,9.03,8.77,240471,81368658.0,2.92,-0.56,-0.05,2.52
232,2025-01-15,巨力索具,002342,8.82,8.91,9.13,8.77,336441,114150081.65,4.1,1.6,0.14,3.52
231,2025-01-14,巨力索具,002342,8.53,8.77,8.79,8.53,310230,102625615.0,3.06,3.18,0.27,3.25
230,2025-01-13,巨力索具,002342,8.38,8.5,8.79,8.26,314484,101640849.52,6.18,-0.93,-0.08,3.29
229,2025-01-10,巨力索具,002342,8.46,8.58,9.1,8.46,523440,173412263.39,7.67,2.88,0.24,5.48
228,2025-01-09,巨力索具,002342,8.38,8.34,8.46,8.34,98891,31385080.8,1.42,-1.07,-0.09,1.04
227,2025-01-08,巨力索具,002342,8.48,8.43,8.53,8.22,136967,43371774.9,3.66,-0.59,-0.05,1.43
226,2025-01-07,巨力索具,002342,8.36,8.48,8.48,8.29,141115,44784536.88,2.28,1.68,0.14,1.48
225,2025-01-06,巨力索具,002342,8.26,8.34,8.36,7.98,163880,50844429.6,4.62,1.46,0.12,1.72
224,2025-01-03,巨力索具,002342,8.55,8.22,8.55,8.17,183824,57993357.0,4.49,-2.84,-0.24,1.93
223,2025-01-02,巨力索具,002342,8.55,8.46,8.67,8.41,181104,58596448.14,3.05,-0.82,-0.07,1.9
222,2024-12-31,巨力索具,002342,8.7,8.53,8.74,8.5,135336,44138277.23,2.77,-1.61,-0.14,1.42
221,2024-12-30,巨力索具,002342,8.79,8.67,8.84,8.58,142482,46790104.0,2.96,-1.37,-0.12,1.49
220,2024-12-27,巨力索具,002342,8.58,8.79,8.86,8.55,170474,56649053.0,3.61,2.45,0.21,1.79
219,2024-12-26,巨力索具,002342,8.6,8.58,8.72,8.53,212211,69303715.0,2.21,-0.23,-0.02,2.22
218,2024-12-25,巨力索具,002342,8.89,8.6,8.89,8.48,215101,70201938.0,4.61,-3.26,-0.29,2.25
217,2024-12-24,巨力索具,002342,8.86,8.89,9.03,8.77,179634,60631861.0,2.94,0.57,0.05,1.88
216,2024-12-23,巨力索具,002342,9.56,8.84,9.58,8.84,295077,102177391.76,7.76,-7.34,-0.7,3.09
215,2024-12-20,巨力索具,002342,9.51,9.54,9.63,9.44,139523,50990800.0,2.0,0.32,0.03,1.46
214,2024-12-19,巨力索具,002342,9.51,9.51,9.61,9.37,169413,61517355.0,2.51,-0.52,-0.05,1.77
213,2024-12-18,巨力索具,002342,9.56,9.56,9.7,9.39,151857,55717036.0,3.24,0.0,0.0,1.59
212,2024-12-17,巨力索具,002342,10.02,9.56,10.02,9.51,219652,81685762.66,5.09,-4.59,-0.46,2.3
211,2024-12-16,巨力索具,002342,9.99,10.02,10.18,9.94,165952,64123181.85,2.4,0.3,0.03,1.74
210,2024-12-13,巨力索具,002342,10.16,9.99,10.18,9.97,203811,78859589.84,2.06,-1.87,-0.19,2.13
209,2024-12-12,巨力索具,002342,10.14,10.18,10.23,10.06,190914,74657137.0,1.67,0.0,0.0,2.0
208,2024-12-11,巨力索具,002342,9.97,10.18,10.23,9.94,234972,91567614.28,2.91,2.11,0.21,2.46
207,2024-12-10,巨力索具,002342,10.21,9.97,10.23,9.92,201804,78173188.0,3.09,-0.5,-0.05,2.11
206,2024-12-09,巨力索具,002342,10.21,10.02,10.23,9.9,202372,78190246.36,3.25,-1.18,-0.12,2.12
205,2024-12-06,巨力索具,002342,9.87,10.14,10.23,9.85,301756,116792622.0,3.85,2.74,0.27,3.16
204,2024-12-05,巨力索具,002342,9.8,9.87,9.92,9.78,131222,49657148.0,1.42,0.2,0.02,1.37
203,2024-12-04,巨力索具,002342,9.94,9.85,10.04,9.8,209319,79755665.0,2.41,-1.2,-0.12,2.19
202,2024-12-03,巨力索具,002342,9.94,9.97,10.06,9.85,233211,89060054.6,2.12,0.71,0.07,2.44
201,2024-12-02,巨力索具,002342,9.66,9.9,9.92,9.66,242249,91471889.13,2.7,2.8,0.27,2.54
200,2024-11-29,巨力索具,002342,9.51,9.63,9.7,9.44,180896,66466975.0,2.72,0.73,0.07,1.89
199,2024-11-28,巨力索具,002342,9.39,9.56,9.63,9.37,220678,80513372.96,2.77,1.81,0.17,2.31
198,2024-11-27,巨力索具,002342,9.39,9.39,9.42,9.13,146541,51705594.8,3.08,-0.32,-0.03,1.53
197,2024-11-26,巨力索具,002342,9.44,9.42,9.58,9.37,163430,59211083.03,2.22,-0.21,-0.02,1.71
196,2024-11-25,巨力索具,002342,9.25,9.44,9.49,9.18,177329,63299445.0,3.36,2.39,0.22,1.86
195,2024-11-22,巨力索具,002342,9.49,9.22,9.54,9.18,164134,58920496.0,3.79,-3.05,-0.29,1.72
194,2024-11-21,巨力索具,002342,9.44,9.51,9.56,9.32,160061,57884542.69,2.54,0.74,0.07,1.68
193,2024-11-20,巨力索具,002342,9.2,9.44,9.44,9.15,174931,62415903.99,3.15,2.61,0.24,1.83
192,2024-11-19,巨力索具,002342,9.06,9.2,9.2,8.98,142587,49340070.0,2.43,1.55,0.14,1.49
191,2024-11-18,巨力索具,002342,9.22,9.06,9.34,9.01,207771,72587221.24,3.59,-1.52,-0.14,2.18
190,2024-11-15,巨力索具,002342,9.34,9.2,9.56,9.18,290069,104051443.54,4.02,-2.75,-0.26,3.04
189,2024-11-14,巨力索具,002342,9.54,9.46,9.94,9.44,503253,186640374.61,5.23,-1.05,-0.1,5.27
188,2024-11-13,巨力索具,002342,9.44,9.56,9.56,9.34,196269,70951056.0,2.33,1.06,0.1,2.06
187,2024-11-12,巨力索具,002342,9.58,9.46,9.61,9.37,222630,80935019.0,2.51,-1.25,-0.12,2.33
186,2024-11-11,巨力索具,002342,9.54,9.58,9.61,9.39,203864,74100381.0,2.31,0.74,0.07,2.14
185,2024-11-08,巨力索具,002342,9.66,9.51,9.68,9.42,316244,115192291.0,2.7,-1.25,-0.12,3.31
184,2024-11-07,巨力索具,002342,9.27,9.63,9.68,9.25,303474,111127903.8,4.59,2.77,0.26,3.18
183,2024-11-06,巨力索具,002342,9.18,9.37,9.51,9.08,352677,125418836.12,4.67,1.85,0.17,3.69
182,2024-11-05,巨力索具,002342,8.94,9.2,9.3,8.94,252311,88124895.49,4.01,2.45,0.22,2.64
181,2024-11-04,巨力索具,002342,8.86,8.98,9.01,8.86,122557,41703423.02,1.69,1.01,0.09,1.28
180,2024-11-01,巨力索具,002342,9.13,8.89,9.2,8.86,189252,64742240.16,3.72,-2.63,-0.24,1.98
179,2024-10-31,巨力索具,002342,8.98,9.13,9.2,8.96,190010,65928480.45,2.66,1.33,0.12,1.99
178,2024-10-30,巨力索具,002342,8.94,9.01,9.13,8.91,164783,56534433.0,2.43,-0.55,-0.05,1.73
177,2024-10-29,巨力索具,002342,9.3,9.06,9.34,9.03,194099,67689055.88,3.34,-2.27,-0.21,2.03
176,2024-10-28,巨力索具,002342,9.06,9.27,9.27,9.03,203556,71309728.99,2.66,2.66,0.24,2.13
175,2024-10-25,巨力索具,002342,8.94,9.03,9.06,8.91,166507,57079997.0,1.68,1.35,0.12,1.74
174,2024-10-24,巨力索具,002342,8.91,8.91,8.94,8.82,146239,49389060.0,1.34,-0.34,-0.03,1.53
173,2024-10-23,巨力索具,002342,8.86,8.94,9.06,8.79,234265,79583966.06,3.05,1.13,0.1,2.45
172,2024-10-22,巨力索具,002342,8.74,8.84,8.86,8.65,174259,58197601.2,2.41,1.61,0.14,1.83
171,2024-10-21,巨力索具,002342,8.62,8.7,8.74,8.62,158909,52384876.11,1.39,0.93,0.08,1.66
170,2024-10-18,巨力索具,002342,8.53,8.62,8.72,8.46,176001,57399458.0,3.06,1.41,0.12,1.84
169,2024-10-17,巨力索具,002342,8.65,8.5,8.72,8.5,139441,45498245.44,2.55,-1.39,-0.12,1.46
168,2024-10-16,巨力索具,002342,8.53,8.62,8.74,8.46,142816,46600114.84,3.26,0.47,0.04,1.5
167,2024-10-15,巨力索具,002342,8.7,8.58,8.77,8.55,154703,50786645.14,2.52,-1.61,-0.14,1.62
166,2024-10-14,巨力索具,002342,8.6,8.72,8.72,8.53,142128,46688295.74,2.21,1.63,0.14,1.49
165,2024-10-11,巨力索具,002342,8.91,8.58,8.94,8.48,216739,71581648.94,5.15,-4.03,-0.36,2.27
164,2024-10-10,巨力索具,002342,8.89,8.94,9.13,8.77,253166,86111587.54,4.1,1.94,0.17,2.65
163,2024-10-09,巨力索具,002342,9.34,8.77,9.34,8.77,316467,108941124.93,6.03,-7.29,-0.69,3.31
162,2024-10-08,巨力索具,002342,9.94,9.46,9.97,9.13,548681,200011555.45,9.2,3.61,0.33,5.75
161,2024-09-30,巨力索具,002342,8.72,9.13,9.22,8.62,490954,167215452.48,7.03,7.03,0.6,5.14
160,2024-09-27,巨力索具,002342,8.38,8.53,8.6,8.26,294536,93729225.72,4.12,3.27,0.27,3.09
159,2024-09-26,巨力索具,002342,8.05,8.26,8.26,8.05,176131,54348306.12,2.6,2.35,0.19,1.84
158,2024-09-25,巨力索具,002342,8.1,8.07,8.26,8.05,175042,53779898.04,2.6,0.0,0.0,1.83
157,2024-09-24,巨力索具,002342,7.9,8.07,8.07,7.88,109896,33114966.04,2.41,2.41,0.19,1.15
156,2024-09-23,巨力索具,002342,7.86,7.88,7.9,7.81,50708,14985775.0,1.15,0.25,0.02,0.53
155,2024-09-20,巨力索具,002342,7.93,7.86,7.93,7.83,60007,17719440.0,1.26,-1.13,-0.09,0.63
154,2024-09-19,巨力索具,002342,7.76,7.95,7.95,7.71,103346,30528115.25,3.11,3.11,0.24,1.08
153,2024-09-18,巨力索具,002342,7.76,7.71,7.78,7.62,60003,17323535.0,2.05,-1.28,-0.1,0.63
152,2024-09-13,巨力索具,002342,7.83,7.81,7.83,7.76,42732,12508260.89,0.9,0.0,0.0,0.45
151,2024-09-12,巨力索具,002342,7.81,7.81,7.86,7.76,50555,14817948.92,1.29,0.39,0.03,0.53
150,2024-09-11,巨力索具,002342,7.81,7.78,7.83,7.71,47515,13856266.0,1.53,-0.64,-0.05,0.5
149,2024-09-10,巨力索具,002342,7.81,7.83,7.88,7.74,56623,16589805.0,1.8,0.64,0.05,0.59
148,2024-09-09,巨力索具,002342,7.78,7.78,7.86,7.66,83967,24494967.0,2.54,-1.27,-0.1,0.88
147,2024-09-06,巨力索具,002342,7.81,7.88,8.07,7.74,163822,48626736.18,4.23,0.9,0.07,1.72
146,2024-09-05,巨力索具,002342,7.81,7.81,7.83,7.76,47954,14020392.72,0.9,0.39,0.03,0.5
145,2024-09-04,巨力索具,002342,7.78,7.78,7.86,7.76,53457,15636186.0,1.28,-0.64,-0.05,0.56
144,2024-09-03,巨力索具,002342,7.76,7.83,7.88,7.76,86132,25262247.0,1.53,0.0,0.0,0.9
143,2024-09-02,巨力索具,002342,7.88,7.83,8.12,7.81,124923,37314654.63,3.93,-0.63,-0.05,1.31
142,2024-08-30,巨力索具,002342,7.81,7.88,7.98,7.76,88633,26270104.66,2.82,0.9,0.07,0.93
141,2024-08-29,巨力索具,002342,7.74,7.81,7.83,7.69,61296,17876028.0,1.8,0.39,0.03,0.64
140,2024-08-28,巨力索具,002342,7.74,7.78,7.83,7.66,66199,19260988.06,2.19,0.26,0.02,0.69
139,2024-08-27,巨力索具,002342,7.83,7.76,7.9,7.74,74467,21791803.38,2.04,-1.27,-0.1,0.78
138,2024-08-26,巨力索具,002342,7.83,7.86,7.95,7.76,106630,31466090.88,2.41,-0.51,-0.04,1.12
137,2024-08-23,巨力索具,002342,7.98,7.9,8.07,7.86,211257,63066440.16,2.56,-3.54,-0.29,2.21
136,2024-08-22,巨力索具,002342,7.9,8.19,8.58,7.76,280043,86539474.7,10.41,3.93,0.31,2.93
135,2024-08-21,巨力索具,002342,7.95,7.88,8.0,7.83,68808,20493885.4,2.13,-1.25,-0.1,0.72
134,2024-08-20,巨力索具,002342,8.07,7.98,8.1,7.95,46159,13900110.0,1.87,-0.5,-0.04,0.48
133,2024-08-19,巨力索具,002342,8.1,8.02,8.14,8.02,57780,17565270.0,1.48,-0.99,-0.08,0.61
132,2024-08-16,巨力索具,002342,8.19,8.1,8.19,8.07,56200,17234845.0,1.47,-0.86,-0.07,0.59
131,2024-08-15,巨力索具,002342,8.1,8.17,8.31,8.07,126443,39031056.0,2.95,0.37,0.03,1.32
130,2024-08-14,巨力索具,002342,8.24,8.14,8.26,8.12,66736,20540801.99,1.71,-0.61,-0.05,0.7
129,2024-08-13,巨力索具,002342,8.02,8.19,8.19,7.9,100625,30665581.0,3.62,2.12,0.17,1.05
128,2024-08-12,巨力索具,002342,8.0,8.02,8.07,7.98,68870,20808341.0,1.12,-0.37,-0.03,0.72
127,2024-08-09,巨力索具,002342,8.26,8.05,8.29,8.05,136441,41779777.0,2.92,-2.07,-0.17,1.43
126,2024-08-08,巨力索具,002342,8.24,8.22,8.36,8.14,115658,35904012.0,2.68,0.0,0.0,1.21
125,2024-08-07,巨力索具,002342,8.17,8.22,8.29,8.14,131186,40709250.62,1.86,1.86,0.15,1.37
124,2024-08-06,巨力索具,002342,8.0,8.07,8.12,7.95,96032,29125949.01,2.14,1.51,0.12,1.01
123,2024-08-05,巨力索具,002342,8.05,7.95,8.19,7.95,127641,38883019.6,2.96,-2.09,-0.17,1.34
122,2024-08-02,巨力索具,002342,8.24,8.12,8.31,8.12,145478,44931270.15,2.3,-1.69,-0.14,1.52
121,2024-08-01,巨力索具,002342,8.24,8.26,8.36,8.19,184571,57654600.45,2.06,0.24,0.02,1.93
120,2024-07-31,巨力索具,002342,8.14,8.24,8.31,8.1,319011,98473381.41,2.53,-0.84,-0.07,3.34
119,2024-07-30,巨力索具,002342,7.86,8.31,8.58,7.78,421982,130946945.35,10.18,5.73,0.45,4.42
118,2024-07-29,巨力索具,002342,7.86,7.86,8.12,7.78,181905,54162116.5,4.41,1.95,0.15,1.91
117,2024-07-26,巨力索具,002342,7.52,7.71,7.78,7.5,100216,28701134.74,3.75,3.21,0.24,1.05
116,2024-07-25,巨力索具,002342,7.42,7.47,7.54,7.38,50797,14155209.53,2.15,0.27,0.02,0.53
115,2024-07-24,巨力索具,002342,7.57,7.45,7.59,7.42,59363,16592995.0,2.25,-1.59,-0.12,0.62
114,2024-07-23,巨力索具,002342,7.66,7.57,7.74,7.57,63815,18268777.0,2.22,-1.17,-0.09,0.67
113,2024-07-22,巨力索具,002342,7.64,7.66,7.71,7.59,61891,17717524.0,1.57,0.26,0.02,0.65
112,2024-07-19,巨力索具,002342,7.57,7.64,7.64,7.52,43186,12259635.0,1.58,0.66,0.05,0.45
111,2024-07-18,巨力索具,002342,7.62,7.59,7.62,7.47,62218,17507486.5,1.97,-0.39,-0.03,0.65
110,2024-07-17,巨力索具,002342,7.69,7.62,7.71,7.59,42186,12054684.5,1.56,-0.91,-0.07,0.44
109,2024-07-16,巨力索具,002342,7.74,7.69,7.74,7.64,34937,10060626.0,1.3,-0.26,-0.02,0.37
108,2024-07-15,巨力索具,002342,7.81,7.71,7.86,7.69,46636,13516568.0,2.18,-1.28,-0.1,0.49
107,2024-07-12,巨力索具,002342,7.9,7.81,7.93,7.81,57503,16985410.0,1.52,-0.89,-0.07,0.6
106,2024-07-11,巨力索具,002342,7.76,7.88,7.9,7.74,77712,22855013.26,2.09,2.87,0.22,0.81
105,2024-07-10,巨力索具,002342,7.69,7.66,7.76,7.62,48101,13812758.0,1.81,-1.03,-0.08,0.5
104,2024-07-09,巨力索具,002342,7.62,7.74,7.76,7.5,78439,22475948.89,3.4,1.31,0.1,0.82
103,2024-07-08,巨力索具,002342,7.81,7.64,7.93,7.64,58610,16962953.0,3.71,-2.18,-0.17,0.61
102,2024-07-05,巨力索具,002342,7.66,7.81,7.86,7.62,55893,16306408.01,3.1,0.9,0.07,0.59
101,2024-07-04,巨力索具,002342,7.9,7.74,7.95,7.71,58925,17228243.4,3.03,-2.4,-0.19,0.62
100,2024-07-03,巨力索具,002342,7.98,7.93,8.0,7.9,53392,15970617.0,1.26,-0.25,-0.02,0.56
99,2024-07-02,巨力索具,002342,7.81,7.95,7.98,7.76,86144,25591981.72,2.82,1.79,0.14,0.9
98,2024-07-01,巨力索具,002342,7.71,7.81,7.81,7.64,54098,15697249.27,2.21,1.56,0.12,0.57
97,2024-06-28,巨力索具,002342,7.69,7.69,7.81,7.66,51652,14996353.0,1.95,-0.26,-0.02,0.54
96,2024-06-27,巨力索具,002342,7.74,7.71,7.86,7.66,66846,19430248.6,2.58,-0.64,-0.05,0.7
95,2024-06-26,巨力索具,002342,7.59,7.76,7.76,7.5,66778,19072531.62,3.43,2.51,0.19,0.7
94,2024-06-25,巨力索具,002342,7.38,7.57,7.64,7.38,68607,19378343.72,3.48,1.34,0.1,0.72
93,2024-06-24,巨力索具,002342,7.64,7.47,7.66,7.4,93746,26265942.84,3.37,-3.11,-0.24,0.98
92,2024-06-21,巨力索具,002342,7.71,7.71,7.81,7.62,57758,16748462.87,2.47,0.13,0.01,0.6
91,2024-06-20,巨力索具,002342,7.85,7.7,7.9,7.68,85958,25029947.24,2.8,-2.16,-0.17,0.9
90,2024-06-19,巨力索具,002342,7.85,7.87,7.97,7.82,102602,30502066.0,1.92,0.64,0.05,1.07
89,2024-06-18,巨力索具,002342,7.75,7.82,7.85,7.75,56844,16685295.0,1.29,0.51,0.04,0.6
88,2024-06-17,巨力索具,002342,7.78,7.78,7.87,7.75,61503,17992986.0,1.54,-0.26,-0.02,0.64
87,2024-06-14,巨力索具,002342,7.8,7.8,7.87,7.73,57385,16837019.0,1.79,0.0,0.0,0.6
86,2024-06-13,巨力索具,002342,7.9,7.8,7.97,7.75,72636,21409352.0,2.78,-1.52,-0.12,0.76
