,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,泰尔股份,002347,27.16,27.91,28.09,26.72,496819,356598235.78,4.98,1.42,0.39,10.07
240,2025-01-23,泰尔股份,002347,28.45,27.52,28.7,27.52,702190,518223527.32,4.17,-2.65,-0.75,14.23
239,2025-01-22,泰尔股份,002347,27.55,28.27,29.6,27.19,954840,708902576.83,8.84,3.71,1.01,19.35
238,2025-01-21,泰尔股份,002347,27.37,27.26,27.73,26.65,362749,258382366.8,3.95,-0.29,-0.08,7.35
237,2025-01-20,泰尔股份,002347,28.16,27.34,28.34,27.19,452491,325729246.92,4.14,-1.65,-0.46,9.17
236,2025-01-17,泰尔股份,002347,27.44,27.8,28.52,27.19,658178,482215329.66,4.83,0.91,0.25,13.34
235,2025-01-16,泰尔股份,002347,27.95,27.55,28.7,26.98,706547,514349246.0,6.16,-1.29,-0.36,14.32
234,2025-01-15,泰尔股份,002347,27.55,27.91,28.13,27.48,954228,696437518.42,2.37,1.56,0.43,19.34
233,2025-01-14,泰尔股份,002347,25.36,27.48,27.48,25.28,644239,449717155.48,8.76,9.48,2.38,13.06
232,2025-01-13,泰尔股份,002347,25.32,25.1,25.9,24.24,486690,317915574.58,6.47,-2.11,-0.54,9.86
231,2025-01-10,泰尔股份,002347,26.4,25.64,27.7,25.61,871896,611402404.34,7.92,-2.88,-0.76,17.67
230,2025-01-09,泰尔股份,002347,25.54,26.4,26.9,25.28,818341,563971153.0,6.3,2.64,0.68,16.59
229,2025-01-08,泰尔股份,002347,24.74,25.72,26.51,24.31,753463,499619599.0,8.88,3.79,0.94,15.27
228,2025-01-07,泰尔股份,002347,23.99,24.78,24.85,23.92,303633,193227634.0,3.87,2.99,0.72,6.15
227,2025-01-06,泰尔股份,002347,24.1,24.06,24.35,23.38,246996,153536836.0,3.98,-1.31,-0.32,5.01
226,2025-01-03,泰尔股份,002347,25.97,24.38,26.18,24.17,354314,229642232.15,7.78,-5.58,-1.44,7.18
225,2025-01-02,泰尔股份,002347,25.82,25.82,26.58,25.43,363427,247709618.0,4.46,0.12,0.03,7.37
224,2024-12-31,泰尔股份,002347,26.62,25.79,26.76,25.72,299954,205873791.0,3.93,-2.46,-0.65,6.08
223,2024-12-30,泰尔股份,002347,27.01,26.44,27.08,26.11,325669,225676324.0,3.58,-2.51,-0.68,6.6
222,2024-12-27,泰尔股份,002347,27.37,27.12,27.66,26.98,338153,242777257.88,2.5,-0.4,-0.11,6.85
221,2024-12-26,泰尔股份,002347,27.12,27.23,27.77,27.08,364683,261953681.72,2.53,0.0,0.0,7.39
220,2024-12-25,泰尔股份,002347,28.56,27.23,28.81,26.54,577703,414733812.47,7.94,-4.79,-1.37,11.71
219,2024-12-24,泰尔股份,002347,28.7,28.6,29.35,27.95,569627,426358482.38,4.87,-0.49,-0.14,11.55
218,2024-12-23,泰尔股份,002347,31.76,28.74,31.76,28.74,616129,474979116.18,9.51,-9.51,-3.02,12.49
217,2024-12-20,泰尔股份,002347,32.02,31.76,32.38,31.55,596190,503178061.64,2.56,-1.91,-0.62,12.08
216,2024-12-19,泰尔股份,002347,31.58,32.38,33.1,31.4,820155,702234612.73,5.29,0.81,0.26,16.62
