,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,杰瑞股份,002353,329.18,344.46,347.19,328.47,131226,540064623.74,5.69,4.67,15.36,1.89
239,2025-01-24,杰瑞股份,002353,323.01,329.1,330.81,321.45,104078,409359605.83,2.91,2.26,7.26,1.5
238,2025-01-23,杰瑞股份,002353,335.88,321.84,337.83,318.57,148787,582888273.39,5.73,-4.18,-14.04,2.15
237,2025-01-22,杰瑞股份,002353,333.62,335.88,346.8,333.23,106458,435513881.38,4.07,0.84,2.8,1.54
236,2025-01-21,杰瑞股份,002353,326.84,333.08,339.63,323.87,123933,497119865.26,4.88,3.04,9.83,1.79
235,2025-01-20,杰瑞股份,002353,321.3,323.25,327.69,318.49,89589,349360463.44,2.91,2.25,7.1,1.29
234,2025-01-17,杰瑞股份,002353,309.52,316.15,318.33,306.87,55993,211130171.13,3.7,1.99,6.16,0.81
233,2025-01-16,杰瑞股份,002353,310.92,309.99,318.33,307.57,68385,256711237.3,3.45,-0.48,-1.48,0.99
232,2025-01-15,杰瑞股份,002353,316.07,311.47,318.33,308.97,48212,181056760.64,2.96,-1.48,-4.68,0.7
231,2025-01-14,杰瑞股份,002353,307.88,316.15,318.96,305.93,66496,250928482.52,4.23,2.58,7.96,0.96
230,2025-01-13,杰瑞股份,002353,304.14,308.19,315.84,304.14,78961,294451315.73,3.81,0.38,1.17,1.14
229,2025-01-10,杰瑞股份,002353,309.68,307.02,313.5,306.95,47721,177087621.54,2.11,-1.08,-3.36,0.69
228,2025-01-09,杰瑞股份,002353,308.9,310.38,317.55,306.79,84067,316013283.27,3.48,0.51,1.56,1.21
227,2025-01-08,杰瑞股份,002353,311.7,308.82,312.72,303.51,86153,318860306.65,2.96,-0.88,-2.73,1.24
226,2025-01-07,杰瑞股份,002353,296.81,311.55,313.26,296.81,133801,497263780.32,5.51,4.39,13.11,1.93
225,2025-01-06,杰瑞股份,002353,302.11,298.44,305.07,294.54,73106,261527524.0,3.47,-1.72,-5.23,1.05
224,2025-01-03,杰瑞股份,002353,299.15,303.67,309.05,299.15,90644,331524538.02,3.31,1.49,4.45,1.31
223,2025-01-02,杰瑞股份,002353,305.46,299.22,308.12,296.49,104027,375848240.31,3.77,-2.89,-8.9,1.5
222,2024-12-31,杰瑞股份,002353,310.07,308.12,312.02,306.17,122405,455902367.5,1.9,-0.02,-0.07,1.77
221,2024-12-30,杰瑞股份,002353,300.47,308.19,312.87,300.47,168089,623095879.0,4.14,2.86,8.58,2.42
220,2024-12-27,杰瑞股份,002353,292.59,299.61,300.32,291.19,96223,342536096.75,3.12,2.4,7.02,1.39
219,2024-12-26,杰瑞股份,002353,290.18,292.59,294.15,286.35,53528,186444731.08,2.69,0.89,2.57,0.77
218,2024-12-25,杰瑞股份,002353,290.33,290.02,292.44,285.73,55333,191679420.41,2.32,0.16,0.47,0.8
217,2024-12-24,杰瑞股份,002353,278.71,289.55,292.59,278.16,131958,454641712.94,5.18,3.92,10.92,1.9
216,2024-12-23,杰瑞股份,002353,277.54,278.63,283.86,276.21,97393,325657313.85,2.76,0.36,1.01,1.4
215,2024-12-20,杰瑞股份,002353,279.72,277.62,282.14,275.51,75387,249527578.0,2.36,-1.05,-2.96,1.09
214,2024-12-19,杰瑞股份,002353,283.94,280.58,283.94,279.02,69937,234436851.58,1.73,-1.43,-4.06,1.01
213,2024-12-18,杰瑞股份,002353,282.92,284.64,290.96,282.84,66364,227145033.7,2.87,0.61,1.72,0.96
212,2024-12-17,杰瑞股份,002353,285.96,282.92,285.96,280.19,56540,190330948.76,2.03,-0.6,-1.72,0.82
211,2024-12-16,杰瑞股份,002353,290.1,284.64,292.36,282.45,59003,201105245.88,3.41,-2.17,-6.32,0.85
210,2024-12-13,杰瑞股份,002353,291.03,290.96,294.47,287.29,60825,211734058.5,2.45,-0.9,-2.65,0.88
209,2024-12-12,杰瑞股份,002353,294.0,293.61,295.25,286.2,60991,211719645.27,3.08,-0.08,-0.23,0.88
208,2024-12-11,杰瑞股份,002353,294.39,293.84,297.98,291.89,46530,163847768.23,2.06,-0.5,-1.48,0.67
207,2024-12-10,杰瑞股份,002353,301.64,295.32,301.88,291.58,100721,356053922.48,3.49,0.16,0.46,1.45
206,2024-12-09,杰瑞股份,002353,297.35,294.86,297.51,291.19,67728,238057630.77,2.12,-0.89,-2.65,0.98
205,2024-12-06,杰瑞股份,002353,287.68,297.51,298.91,287.13,131369,464770496.92,4.1,3.5,10.06,1.89
204,2024-12-05,杰瑞股份,002353,292.98,287.45,294.31,286.67,75529,261570360.3,2.58,-2.87,-8.5,1.09
203,2024-12-04,杰瑞股份,002353,291.58,295.95,301.25,289.55,92683,328295924.56,4.01,1.5,4.37,1.34
202,2024-12-03,杰瑞股份,002353,297.12,291.58,297.27,289.24,76851,267546840.32,2.72,-1.24,-3.67,1.11
201,2024-12-02,杰瑞股份,002353,292.98,295.25,298.68,292.44,62530,221391586.45,2.12,0.32,0.94,0.9
