,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,森源电气,002358,46.5,47.62,50.02,45.7,1560723,807206804.98,8.79,-3.09,-1.52,16.79
240,2025-01-23,森源电气,002358,57.38,49.14,57.38,48.98,2311469,1377811382.57,15.93,-6.83,-3.6,24.86
239,2025-01-22,森源电气,002358,52.74,52.74,52.74,52.74,371650,216671920.85,0.0,8.74,4.24,4.0
238,2025-01-21,森源电气,002358,44.98,48.5,48.5,44.82,552914,288688513.5,8.24,8.6,3.84,5.95
237,2025-01-20,森源电气,002358,44.18,44.66,45.3,43.86,230206,111164476.0,3.27,1.45,0.64,2.48
236,2025-01-17,森源电气,002358,43.94,44.02,44.42,43.46,171908,81485169.0,2.18,0.18,0.08,1.85
235,2025-01-16,森源电气,002358,44.02,43.94,44.58,43.54,164644,78135381.0,2.38,0.55,0.24,1.77
234,2025-01-15,森源电气,002358,44.5,43.7,44.5,43.38,187321,88236398.0,2.53,-1.27,-0.56,2.01
233,2025-01-14,森源电气,002358,42.18,44.26,44.34,42.02,278400,130272336.0,5.55,5.94,2.48,2.99
232,2025-01-13,森源电气,002358,41.06,41.78,42.18,40.5,163312,72256703.0,4.04,0.38,0.16,1.76
231,2025-01-10,森源电气,002358,43.14,41.62,43.78,41.62,221846,101539215.0,4.95,-4.59,-2.0,2.39
230,2025-01-09,森源电气,002358,42.82,43.62,44.9,42.34,315601,148619967.0,5.99,2.06,0.88,3.39
229,2025-01-08,森源电气,002358,43.22,42.74,43.3,41.3,257033,116487681.0,4.61,-1.48,-0.64,2.76
228,2025-01-07,森源电气,002358,41.14,43.38,43.86,40.98,300289,135779579.0,6.96,4.83,2.0,3.23
227,2025-01-06,森源电气,002358,40.1,41.38,42.18,38.98,267787,115794201.0,7.96,2.99,1.2,2.88
226,2025-01-03,森源电气,002358,42.1,40.18,42.66,40.02,229442,100603574.0,6.27,-4.56,-1.92,2.47
225,2025-01-02,森源电气,002358,42.82,42.1,43.54,41.7,211679,96593641.16,4.29,-1.86,-0.8,2.28
224,2024-12-31,森源电气,002358,44.66,42.9,45.14,42.74,230129,108017653.0,5.38,-3.77,-1.68,2.48
223,2024-12-30,森源电气,002358,44.98,44.58,45.54,44.42,211003,102141469.0,2.47,-1.76,-0.8,2.27
222,2024-12-27,森源电气,002358,44.26,45.38,45.86,44.26,254287,124795104.8,3.6,1.98,0.88,2.74
221,2024-12-26,森源电气,002358,43.54,44.5,46.26,43.3,348256,169046578.72,6.82,2.58,1.12,3.75
220,2024-12-25,森源电气,002358,44.1,43.38,44.34,42.1,269183,123840747.96,5.05,-2.17,-0.96,2.9
219,2024-12-24,森源电气,002358,43.86,44.34,44.82,43.46,187655,89431847.52,3.11,1.46,0.64,2.02
218,2024-12-23,森源电气,002358,46.58,43.7,46.82,43.7,344209,166447535.7,6.71,-6.02,-2.8,3.7
217,2024-12-20,森源电气,002358,46.26,46.5,46.74,45.54,339966,170108703.0,2.59,0.52,0.24,3.66
