,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,汉王科技,002362,52.98,49.8,52.98,49.7,359514,916145372.31,6.61,0.36,0.18,17.32
239,2025-01-24,汉王科技,002362,45.76,49.62,49.62,45.46,298270,716993826.18,9.22,10.02,4.52,14.37
238,2025-01-23,汉王科技,002362,45.68,45.1,46.76,45.04,110388,253505777.0,3.82,0.22,0.1,5.32
237,2025-01-22,汉王科技,002362,45.44,45.0,45.8,44.76,70119,158896956.62,2.26,-2.22,-1.02,3.38
236,2025-01-21,汉王科技,002362,46.18,46.02,46.42,45.18,89030,203855052.0,2.71,0.52,0.24,4.29
235,2025-01-20,汉王科技,002362,46.9,45.78,46.9,45.66,95107,219365856.4,2.68,-0.95,-0.44,4.58
234,2025-01-17,汉王科技,002362,46.0,46.22,47.02,45.76,99288,229725204.7,2.71,-0.64,-0.3,4.78
233,2025-01-16,汉王科技,002362,46.98,46.52,48.0,45.86,149892,351623478.06,4.55,-1.02,-0.48,7.22
232,2025-01-15,汉王科技,002362,46.7,47.0,47.68,46.5,155092,364998683.97,2.53,0.6,0.28,7.47
231,2025-01-14,汉王科技,002362,44.28,46.72,46.8,43.98,173605,397490757.41,6.41,6.28,2.76,8.36
230,2025-01-13,汉王科技,002362,43.46,43.96,45.02,42.68,100360,220900705.27,5.31,-0.23,-0.1,4.83
229,2025-01-10,汉王科技,002362,45.56,44.06,46.48,44.02,133016,301130331.0,5.39,-3.38,-1.54,6.41
228,2025-01-09,汉王科技,002362,44.64,45.6,46.16,44.64,135886,309635664.44,3.36,0.88,0.4,6.55
227,2025-01-08,汉王科技,002362,44.4,45.2,45.7,43.16,214419,477529744.74,5.72,1.8,0.8,10.33
226,2025-01-07,汉王科技,002362,41.08,44.4,44.8,41.08,221725,477524421.3,9.13,8.93,3.64,10.68
225,2025-01-06,汉王科技,002362,41.6,40.76,42.12,40.42,112561,232472996.95,4.1,-1.59,-0.66,5.42
224,2025-01-03,汉王科技,002362,44.44,41.42,44.9,41.38,156445,332881899.16,7.92,-6.8,-3.02,7.54
223,2025-01-02,汉王科技,002362,45.3,44.44,45.98,43.9,146815,329740568.41,4.59,-1.94,-0.88,7.07
