,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,蓝帆医疗,002382,39.04,39.16,39.28,38.86,54218,25746769.07,1.07,0.0,0.0,0.54
240,2025-01-23,蓝帆医疗,002382,39.52,39.16,39.7,39.1,53250,25613882.33,1.54,0.31,0.12,0.53
239,2025-01-22,蓝帆医疗,002382,39.34,39.04,39.46,39.04,44283,21089602.96,1.06,-1.36,-0.54,0.44
238,2025-01-21,蓝帆医疗,002382,39.88,39.58,40.06,39.46,51241,24767899.0,1.5,-0.75,-0.3,0.51
237,2025-01-20,蓝帆医疗,002382,39.7,39.88,40.06,39.52,54635,26618909.87,1.36,0.45,0.18,0.55
236,2025-01-17,蓝帆医疗,002382,39.76,39.7,40.06,39.4,79096,38325901.03,1.66,-0.15,-0.06,0.79
235,2025-01-16,蓝帆医疗,002382,39.7,39.76,40.12,39.52,60875,29679525.0,1.52,0.61,0.24,0.61
234,2025-01-15,蓝帆医疗,002382,39.82,39.52,39.88,39.4,67429,32545953.79,1.21,-0.75,-0.3,0.67
233,2025-01-14,蓝帆医疗,002382,39.28,39.82,39.82,39.22,64875,31353358.3,1.53,1.53,0.6,0.65
232,2025-01-13,蓝帆医疗,002382,38.8,39.22,39.22,38.62,49270,23333512.72,1.54,0.46,0.18,0.49
231,2025-01-10,蓝帆医疗,002382,39.76,39.04,40.06,38.98,71884,34554979.71,2.71,-1.96,-0.78,0.72
230,2025-01-09,蓝帆医疗,002382,40.18,39.82,40.24,39.76,57090,27947089.1,1.19,-1.19,-0.48,0.57
229,2025-01-08,蓝帆医疗,002382,40.42,40.3,40.54,39.52,64126,31499803.69,2.53,-0.15,-0.06,0.64
228,2025-01-07,蓝帆医疗,002382,40.42,40.36,40.48,39.88,70644,34860177.67,1.48,-0.15,-0.06,0.71
227,2025-01-06,蓝帆医疗,002382,39.82,40.42,40.66,39.4,83944,41354799.75,3.16,1.35,0.54,0.84
226,2025-01-03,蓝帆医疗,002382,40.72,39.88,40.84,39.76,80955,40123441.93,2.66,-1.77,-0.72,0.81
225,2025-01-02,蓝帆医疗,002382,41.38,40.6,41.68,40.36,74850,37897261.46,3.19,-1.88,-0.78,0.75
224,2024-12-31,蓝帆医疗,002382,41.86,41.38,42.1,41.32,56999,29541774.97,1.86,-1.15,-0.48,0.57
223,2024-12-30,蓝帆医疗,002382,42.4,41.86,42.4,41.74,62115,32355096.88,1.56,-0.99,-0.42,0.62
222,2024-12-27,蓝帆医疗,002382,41.8,42.28,42.58,41.68,81092,42770505.69,2.15,1.15,0.48,0.81
221,2024-12-26,蓝帆医疗,002382,41.8,41.8,42.1,41.68,52357,27292605.32,1.0,-0.29,-0.12,0.52
220,2024-12-25,蓝帆医疗,002382,42.4,41.92,42.52,41.62,77832,40637451.99,2.13,-0.85,-0.36,0.78
219,2024-12-24,蓝帆医疗,002382,42.58,42.28,42.82,41.98,82479,43621001.99,1.98,-0.56,-0.24,0.83
218,2024-12-23,蓝帆医疗,002382,43.72,42.52,43.78,42.46,112178,60424758.95,3.02,-2.61,-1.14,1.12
217,2024-12-20,蓝帆医疗,002382,43.72,43.66,43.96,43.54,61310,33824384.98,0.96,-0.14,-0.06,0.61
216,2024-12-19,蓝帆医疗,002382,43.9,43.72,44.02,43.36,82389,45392482.77,1.5,-0.82,-0.36,0.82
215,2024-12-18,蓝帆医疗,002382,43.9,44.08,44.5,43.9,66176,36989159.51,1.36,-0.27,-0.12,0.66
214,2024-12-17,蓝帆医疗,002382,45.52,44.2,45.64,44.08,137529,77871867.87,3.43,-2.77,-1.26,1.38
213,2024-12-16,蓝帆医疗,002382,45.4,45.46,46.12,45.28,111114,65037166.46,1.86,0.66,0.3,1.11
212,2024-12-13,蓝帆医疗,002382,45.88,45.16,45.94,45.1,109104,63301882.9,1.83,-1.83,-0.84,1.09
211,2024-12-12,蓝帆医疗,002382,45.64,46.0,46.0,45.46,100953,59294565.48,1.18,0.92,0.42,1.01
210,2024-12-11,蓝帆医疗,002382,45.22,45.58,45.88,45.22,96316,56151185.09,1.46,0.8,0.36,0.96
209,2024-12-10,蓝帆医疗,002382,46.48,45.22,46.6,45.04,138918,81226722.7,3.42,-0.79,-0.36,1.39
208,2024-12-09,蓝帆医疗,002382,45.4,45.58,45.94,45.16,127722,74454994.51,1.72,0.53,0.24,1.28
207,2024-12-06,蓝帆医疗,002382,44.74,45.34,45.34,44.44,112615,64557958.72,2.01,1.48,0.66,1.13
206,2024-12-05,蓝帆医疗,002382,44.44,44.68,44.74,44.26,71123,40224486.42,1.09,1.09,0.48,0.71
205,2024-12-04,蓝帆医疗,002382,45.04,44.2,45.1,44.08,103916,58804715.8,2.26,-2.13,-0.96,1.04
204,2024-12-03,蓝帆医疗,002382,44.92,45.16,45.16,44.56,116887,66918103.12,1.34,0.67,0.3,1.17
203,2024-12-02,蓝帆医疗,002382,44.2,44.86,45.04,44.08,162143,92200004.34,2.18,1.77,0.78,1.62
202,2024-11-29,蓝帆医疗,002382,43.84,44.08,44.14,43.36,109935,60962307.38,1.77,0.27,0.12,1.1
201,2024-11-28,蓝帆医疗,002382,43.54,43.96,44.08,43.48,92738,51481890.0,1.38,0.83,0.36,0.93
200,2024-11-27,蓝帆医疗,002382,43.18,43.6,43.6,42.52,88582,47782058.0,2.49,0.55,0.24,0.89
199,2024-11-26,蓝帆医疗,002382,43.24,43.36,43.9,43.12,76898,42184597.0,1.8,0.14,0.06,0.77
198,2024-11-25,蓝帆医疗,002382,43.0,43.3,43.42,42.82,75266,40804338.18,1.4,1.12,0.48,0.75
197,2024-11-22,蓝帆医疗,002382,44.08,42.82,44.44,42.82,122247,67120537.2,3.66,-3.38,-1.5,1.22
196,2024-11-21,蓝帆医疗,002382,44.38,44.32,44.68,43.9,84858,47489376.0,1.76,-0.27,-0.12,0.85
195,2024-11-20,蓝帆医疗,002382,43.48,44.44,44.44,43.18,146454,81975364.26,2.91,2.49,1.08,1.46
194,2024-11-19,蓝帆医疗,002382,42.76,43.36,43.54,42.58,88561,47931648.29,2.24,1.12,0.48,0.89
193,2024-11-18,蓝帆医疗,002382,42.82,42.88,43.78,42.58,155924,84835101.0,2.82,0.7,0.3,1.56
192,2024-11-15,蓝帆医疗,002382,43.0,42.58,43.36,42.58,88910,48025020.41,1.81,-1.25,-0.54,0.89
191,2024-11-14,蓝帆医疗,002382,44.14,43.12,44.14,43.06,97897,53663513.82,2.45,-2.18,-0.96,0.98
190,2024-11-13,蓝帆医疗,002382,44.74,44.08,45.1,43.66,125614,70358448.96,3.21,-1.61,-0.72,1.26
189,2024-11-12,蓝帆医疗,002382,44.32,44.8,45.4,44.32,182823,104678434.42,2.44,1.08,0.48,1.83
188,2024-11-11,蓝帆医疗,002382,44.26,44.32,44.5,43.54,131788,73557862.95,2.17,0.27,0.12,1.32
187,2024-11-08,蓝帆医疗,002382,44.56,44.2,44.86,44.02,144885,81447181.84,1.9,-0.27,-0.12,1.45
186,2024-11-07,蓝帆医疗,002382,43.06,44.32,44.44,42.94,197530,109901035.22,3.48,2.93,1.26,1.98
185,2024-11-06,蓝帆医疗,002382,43.12,43.06,43.36,42.76,138437,75015007.4,1.4,0.28,0.12,1.38
184,2024-11-05,蓝帆医疗,002382,42.76,42.94,43.12,42.52,119348,64179455.23,1.41,0.7,0.3,1.19
183,2024-11-04,蓝帆医疗,002382,42.58,42.64,42.94,42.46,87403,46690566.97,1.12,-0.28,-0.12,0.87
182,2024-11-01,蓝帆医疗,002382,43.24,42.76,43.66,42.46,112778,60875618.0,2.77,-1.38,-0.6,1.13
181,2024-10-31,蓝帆医疗,002382,43.12,43.36,43.78,43.0,91816,50265027.39,1.81,0.42,0.18,0.92
180,2024-10-30,蓝帆医疗,002382,42.64,43.18,43.42,42.4,94273,50976286.05,2.37,0.28,0.12,0.94
179,2024-10-29,蓝帆医疗,002382,44.32,43.06,44.5,42.94,132647,72572398.0,3.52,-2.84,-1.26,1.33
178,2024-10-28,蓝帆医疗,002382,43.48,44.32,44.32,43.24,131671,73330874.73,2.49,2.07,0.9,1.32
177,2024-10-25,蓝帆医疗,002382,42.46,43.42,43.48,42.28,102723,55549775.88,2.83,2.55,1.08,1.03
176,2024-10-24,蓝帆医疗,002382,42.04,42.34,42.76,41.92,79239,42035559.72,1.99,0.43,0.18,0.79
175,2024-10-23,蓝帆医疗,002382,42.1,42.16,42.4,41.86,101811,53588801.61,1.29,0.43,0.18,1.02
174,2024-10-22,蓝帆医疗,002382,41.08,41.98,42.1,41.02,129178,66976526.5,2.63,2.34,0.96,1.29
173,2024-10-21,蓝帆医疗,002382,41.26,41.02,41.32,40.9,116033,58918103.88,1.02,0.0,0.0,1.16
172,2024-10-18,蓝帆医疗,002382,40.54,41.02,41.44,40.3,109125,54951152.93,2.81,1.18,0.48,1.09
171,2024-10-17,蓝帆医疗,002382,41.08,40.54,41.44,40.54,87902,44404807.73,2.2,-0.88,-0.36,0.88
170,2024-10-16,蓝帆医疗,002382,40.66,40.9,41.26,40.54,76379,38639467.3,1.75,-0.44,-0.18,0.76
169,2024-10-15,蓝帆医疗,002382,41.32,41.08,41.74,41.02,92054,47221985.24,1.73,-1.01,-0.42,0.92
168,2024-10-14,蓝帆医疗,002382,41.5,41.5,41.74,40.9,118620,60707798.71,2.03,0.44,0.18,1.19
167,2024-10-11,蓝帆医疗,002382,42.7,41.32,42.7,41.02,128937,66590059.04,3.93,-3.23,-1.38,1.29
166,2024-10-10,蓝帆医疗,002382,42.7,42.7,43.78,42.4,160363,86625959.72,3.26,0.85,0.36,1.6
165,2024-10-09,蓝帆医疗,002382,44.5,42.34,44.5,42.22,250099,136060266.34,5.1,-5.24,-2.34,2.5
164,2024-10-08,蓝帆医疗,002382,45.7,44.68,45.7,43.18,378451,214547219.37,5.93,5.08,2.16,3.79
163,2024-09-30,蓝帆医疗,002382,40.78,42.52,42.88,40.42,347992,181346123.56,6.16,6.46,2.58,3.48
162,2024-09-27,蓝帆医疗,002382,39.4,39.94,40.72,39.16,167971,81845028.47,3.99,2.15,0.84,1.68
161,2024-09-26,蓝帆医疗,002382,38.56,39.1,39.1,38.38,115440,54178383.78,1.87,1.72,0.66,1.15
160,2024-09-25,蓝帆医疗,002382,38.08,38.44,38.92,38.08,129354,60387108.5,2.22,1.75,0.66,1.29
159,2024-09-24,蓝帆医疗,002382,37.0,37.78,37.84,36.88,65667,29445253.02,2.59,2.11,0.78,0.66
158,2024-09-23,蓝帆医疗,002382,36.58,37.0,37.18,36.4,64273,28160570.72,2.13,1.15,0.42,0.64
157,2024-09-20,蓝帆医疗,002382,36.82,36.58,37.0,36.52,63762,27755665.4,1.3,-0.97,-0.36,0.64
156,2024-09-19,蓝帆医疗,002382,36.1,36.94,36.94,35.98,84732,36686538.0,2.66,2.33,0.84,0.85
155,2024-09-18,蓝帆医疗,002382,36.7,36.1,37.06,35.62,114326,48525274.65,3.87,-3.06,-1.14,1.14
154,2024-09-13,蓝帆医疗,002382,37.54,37.24,37.66,37.18,37125,16567812.0,1.28,-0.96,-0.36,0.37
153,2024-09-12,蓝帆医疗,002382,37.6,37.6,37.96,37.48,40438,18304949.28,1.28,0.0,0.0,0.4
152,2024-09-11,蓝帆医疗,002382,37.6,37.6,38.08,37.42,53851,24319798.32,1.75,-0.32,-0.12,0.54
151,2024-09-10,蓝帆医疗,002382,37.84,37.72,38.08,37.24,54761,24647968.57,2.22,-0.32,-0.12,0.55
150,2024-09-09,蓝帆医疗,002382,37.6,37.84,38.26,37.54,58311,26614674.0,1.91,0.48,0.18,0.58
149,2024-09-06,蓝帆医疗,002382,38.08,37.66,38.14,37.6,39568,17978604.48,1.42,-0.79,-0.3,0.4
148,2024-09-05,蓝帆医疗,002382,37.84,37.96,38.14,37.84,41833,19092957.12,0.79,0.16,0.06,0.42
147,2024-09-04,蓝帆医疗,002382,37.6,37.9,38.14,37.6,46648,21244641.08,1.43,0.48,0.18,0.47
