,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,双塔食品,002481,99.83,98.39,101.63,98.39,176028,92993048.85,3.28,-0.55,-0.54,1.57
239,2025-01-24,双塔食品,002481,99.11,98.93,99.47,97.49,171044,88746403.0,2.0,-0.18,-0.18,1.53
238,2025-01-23,双塔食品,002481,100.73,99.11,101.99,98.93,172139,91196210.29,3.07,-0.54,-0.54,1.54
237,2025-01-22,双塔食品,002481,101.09,99.65,101.63,99.47,161850,85460760.0,2.13,-1.95,-1.98,1.45
236,2025-01-21,双塔食品,002481,103.07,101.63,103.25,100.55,179446,96025186.0,2.64,-0.7,-0.72,1.6
235,2025-01-20,双塔食品,002481,104.15,102.35,104.87,102.17,219716,119601977.9,2.62,-0.87,-0.9,1.96
234,2025-01-17,双塔食品,002481,100.91,103.25,103.97,99.83,269640,145446390.0,4.09,1.96,1.98,2.41
233,2025-01-16,双塔食品,002481,100.73,101.27,102.35,99.83,207736,110750607.0,2.52,1.26,1.26,1.86
232,2025-01-15,双塔食品,002481,99.65,100.01,101.81,99.29,256761,135870547.0,2.53,0.36,0.36,2.3
231,2025-01-14,双塔食品,002481,95.33,99.65,99.65,95.33,234091,120902370.0,4.54,4.73,4.5,2.09
230,2025-01-13,双塔食品,002481,92.99,95.15,95.33,91.55,185658,91428198.0,4.0,0.57,0.54,1.66
229,2025-01-10,双塔食品,002481,98.57,94.61,98.93,94.43,190537,96842258.0,4.57,-3.84,-3.78,1.7
228,2025-01-09,双塔食品,002481,97.67,98.39,100.01,96.95,178837,92861471.0,3.12,0.37,0.36,1.6
227,2025-01-08,双塔食品,002481,96.59,98.03,98.57,94.61,239167,121775332.0,4.08,0.93,0.9,2.14
226,2025-01-07,双塔食品,002481,95.51,97.13,97.13,94.43,181417,91137589.0,2.84,2.08,1.98,1.62
225,2025-01-06,双塔食品,002481,96.05,95.15,96.95,92.27,281667,140845741.22,4.82,-2.04,-1.98,2.52
224,2025-01-03,双塔食品,002481,105.05,97.13,107.03,96.41,546038,289524306.0,10.14,-7.22,-7.56,4.88
223,2025-01-02,双塔食品,002481,103.07,104.69,107.93,102.71,500656,279890064.53,5.09,2.11,2.16,4.48
222,2024-12-31,双塔食品,002481,104.33,102.53,105.95,102.35,266354,146692056.79,3.44,-2.06,-2.16,2.38
221,2024-12-30,双塔食品,002481,107.57,104.69,107.57,104.15,299019,166383559.0,3.17,-2.84,-3.06,2.67
220,2024-12-27,双塔食品,002481,108.11,107.75,108.65,106.85,336972,192342238.57,1.67,0.17,0.18,3.01
219,2024-12-26,双塔食品,002481,105.23,107.57,107.75,104.51,288093,162629393.2,3.07,2.05,2.16,2.58
218,2024-12-25,双塔食品,002481,106.31,105.41,106.67,101.45,365273,200903880.03,4.9,-1.01,-1.08,3.27
217,2024-12-24,双塔食品,002481,104.87,106.49,106.85,104.51,285593,159445406.34,2.22,1.2,1.26,2.55
216,2024-12-23,双塔食品,002481,110.45,105.23,110.81,104.15,454256,257696638.28,6.03,-4.73,-5.22,4.06
215,2024-12-20,双塔食品,002481,109.55,110.45,111.71,109.19,421620,247362735.8,2.31,1.32,1.44,3.77
214,2024-12-19,双塔食品,002481,109.55,109.01,110.63,107.03,416904,239446194.08,3.28,-0.82,-0.9,3.73
213,2024-12-18,双塔食品,002481,111.35,109.91,111.89,109.55,456696,266554828.45,2.11,-0.81,-0.9,4.08
212,2024-12-17,双塔食品,002481,116.57,110.81,117.65,110.27,832701,496459696.84,6.32,-5.09,-5.94,7.45
211,2024-12-16,双塔食品,002481,119.27,116.75,125.57,116.21,1059250,679967019.98,7.77,-3.14,-3.78,9.47
210,2024-12-13,双塔食品,002481,125.75,120.53,129.35,120.53,1649736,1097516798.41,6.62,-9.59,-12.78,14.75
209,2024-12-12,双塔食品,002481,124.67,133.31,139.25,117.29,2534355,1713170097.2,17.29,4.96,6.3,22.67
208,2024-12-11,双塔食品,002481,130.97,127.01,133.85,123.59,2684418,1845031841.71,8.4,3.98,4.86,24.01
207,2024-12-10,双塔食品,002481,122.15,122.15,122.15,122.15,100672,65436995.0,0.0,9.52,10.62,0.9
206,2024-12-09,双塔食品,002481,101.99,111.53,111.53,100.73,384095,218504365.4,10.61,9.55,9.72,3.44
205,2024-12-06,双塔食品,002481,99.29,101.81,102.35,98.93,241621,128360028.56,3.43,1.98,1.98,2.16
204,2024-12-05,双塔食品,002481,99.47,99.83,100.01,98.39,174973,91431976.25,1.62,0.0,0.0,1.56
203,2024-12-04,双塔食品,002481,100.19,99.83,102.89,98.93,273538,145305168.7,3.94,-0.72,-0.72,2.45
202,2024-12-03,双塔食品,002481,101.09,100.55,101.99,99.65,224778,118995011.0,2.29,-1.41,-1.44,2.01
201,2024-12-02,双塔食品,002481,98.93,101.99,102.17,98.93,302159,161186512.4,3.26,2.72,2.7,2.7
200,2024-11-29,双塔食品,002481,95.51,99.29,99.83,95.15,356477,185045384.85,4.9,3.96,3.78,3.19
199,2024-11-28,双塔食品,002481,93.89,95.51,96.05,93.53,191627,95876619.0,2.68,1.73,1.62,1.71
198,2024-11-27,双塔食品,002481,93.53,93.89,94.07,90.65,173326,83947700.0,3.66,0.38,0.36,1.55
197,2024-11-26,双塔食品,002481,91.91,93.53,94.97,91.73,180129,88642504.0,3.51,1.37,1.26,1.61
196,2024-11-25,双塔食品,002481,90.65,92.27,92.27,89.93,159203,76169188.28,2.58,1.79,1.62,1.42
195,2024-11-22,双塔食品,002481,94.79,90.65,95.15,90.29,189598,92184135.0,5.13,-4.37,-4.14,1.7
194,2024-11-21,双塔食品,002481,94.79,94.79,96.05,93.53,176467,87860327.0,2.64,-0.57,-0.54,1.58
193,2024-11-20,双塔食品,002481,93.35,95.33,95.51,93.17,175816,87324634.5,2.5,1.73,1.62,1.57
192,2024-11-19,双塔食品,002481,92.81,93.71,93.71,91.73,187705,91364780.5,2.14,1.36,1.26,1.68
191,2024-11-18,双塔食品,002481,96.05,92.45,97.13,91.55,267319,132174425.35,5.86,-2.84,-2.7,2.39
190,2024-11-15,双塔食品,002481,96.59,95.15,98.39,95.15,223420,113951579.5,3.33,-2.22,-2.16,2.0
189,2024-11-14,双塔食品,002481,99.47,97.31,100.01,97.13,212145,109844366.0,2.87,-2.87,-2.88,1.9
188,2024-11-13,双塔食品,002481,101.27,100.19,102.53,98.75,237829,125760485.25,3.71,-1.76,-1.8,2.13
187,2024-11-12,双塔食品,002481,103.97,101.99,105.23,101.09,315793,172510090.0,3.98,-1.9,-1.98,2.82
186,2024-11-11,双塔食品,002481,103.43,103.97,104.33,101.45,353141,192067501.74,2.78,0.52,0.54,3.16
185,2024-11-08,双塔食品,002481,105.23,103.43,105.95,102.35,494913,271743578.9,3.41,-2.05,-2.16,4.43
184,2024-11-07,双塔食品,002481,98.75,105.59,107.21,98.03,759825,418067649.53,9.26,6.54,6.48,6.8
183,2024-11-06,双塔食品,002481,97.67,99.11,99.65,97.31,278595,144612844.12,2.39,1.29,1.26,2.49
182,2024-11-05,双塔食品,002481,96.59,97.85,98.21,96.59,268866,137875882.62,1.67,0.74,0.72,2.4
181,2024-11-04,双塔食品,002481,96.41,97.13,97.31,95.51,264329,133923626.13,1.85,0.0,0.0,2.36
180,2024-11-01,双塔食品,002481,98.75,97.13,101.45,96.77,298273,155061975.66,4.73,-1.82,-1.8,2.67
179,2024-10-31,双塔食品,002481,98.57,98.93,99.11,96.95,292974,152011513.0,2.18,-0.36,-0.36,2.62
178,2024-10-30,双塔食品,002481,95.87,99.29,100.19,95.87,372078,194311176.0,4.47,2.8,2.7,3.33
177,2024-10-29,双塔食品,002481,98.75,96.59,98.75,96.41,308835,158856693.91,2.37,-2.01,-1.98,2.76
176,2024-10-28,双塔食品,002481,95.69,98.57,99.29,94.97,449340,232016374.43,4.58,4.58,4.32,4.02
175,2024-10-25,双塔食品,002481,94.25,94.25,94.43,92.81,320310,157964658.82,1.72,0.0,0.0,2.86
174,2024-10-24,双塔食品,002481,91.01,94.25,96.41,91.01,512811,255110172.66,5.89,2.75,2.52,4.59
173,2024-10-23,双塔食品,002481,93.53,91.73,93.53,91.19,373785,180838798.52,2.5,-2.11,-1.98,3.34
172,2024-10-22,双塔食品,002481,89.39,93.71,93.71,89.03,565193,273642040.89,5.32,6.55,5.76,5.05
171,2024-10-21,双塔食品,002481,89.03,87.95,89.39,86.87,222604,103126962.6,2.84,-0.81,-0.72,1.99
170,2024-10-18,双塔食品,002481,87.41,88.67,89.75,86.69,212992,98508143.02,3.49,1.23,1.08,1.9
169,2024-10-17,双塔食品,002481,88.31,87.59,89.21,87.41,107706,49958399.0,2.05,-0.41,-0.36,0.96
168,2024-10-16,双塔食品,002481,87.23,87.95,88.85,86.69,113353,52297342.0,2.46,0.0,0.0,1.01
167,2024-10-15,双塔食品,002481,88.85,87.95,89.93,87.59,133668,62338887.95,2.62,-1.41,-1.26,1.2
166,2024-10-14,双塔食品,002481,87.23,89.21,89.39,87.05,173309,80522681.46,2.66,1.23,1.08,1.55
165,2024-10-11,双塔食品,002481,90.65,88.13,91.73,87.05,184956,86711154.56,5.16,-2.78,-2.52,1.65
164,2024-10-10,双塔食品,002481,89.03,90.65,92.99,89.03,314629,151529798.03,4.45,1.82,1.62,2.81
163,2024-10-09,双塔食品,002481,95.15,89.03,96.59,88.49,416390,201619934.8,8.34,-8.34,-8.1,3.72
162,2024-10-08,双塔食品,002481,102.53,97.13,102.53,93.17,566925,292915232.6,9.99,3.65,3.42,5.07
161,2024-09-30,双塔食品,002481,88.13,93.71,93.71,87.41,500298,240986842.21,7.36,9.46,8.1,4.47
160,2024-09-27,双塔食品,002481,83.27,85.61,86.87,82.73,335080,148383124.11,5.02,3.71,3.06,3.0
159,2024-09-26,双塔食品,002481,79.67,82.55,82.73,79.49,198368,84283410.02,4.05,3.15,2.52,1.77
158,2024-09-25,双塔食品,002481,80.21,80.03,82.55,79.85,144983,61522897.75,3.37,-0.22,-0.18,1.3
157,2024-09-24,双塔食品,002481,78.23,80.21,80.21,78.23,95233,39452208.0,2.54,3.01,2.34,0.85
156,2024-09-23,双塔食品,002481,78.23,77.87,78.77,77.69,50179,20423072.0,1.38,-0.46,-0.36,0.45
155,2024-09-20,双塔食品,002481,78.23,78.23,78.95,77.69,61538,25097059.0,1.61,-0.23,-0.18,0.55
154,2024-09-19,双塔食品,002481,75.35,78.41,78.77,75.35,114453,46330176.0,4.55,4.31,3.24,1.02
153,2024-09-18,双塔食品,002481,74.99,75.17,75.53,73.91,60493,23468793.0,2.16,0.0,0.0,0.54
152,2024-09-13,双塔食品,002481,76.07,75.17,76.25,75.17,50581,19869676.0,1.42,-0.95,-0.72,0.45
151,2024-09-12,双塔食品,002481,76.07,75.89,76.97,75.71,40907,16240633.0,1.66,-0.24,-0.18,0.37
150,2024-09-11,双塔食品,002481,76.43,76.07,76.97,75.71,41388,16463120.0,1.64,-0.7,-0.54,0.37
149,2024-09-10,双塔食品,002481,77.15,76.61,77.51,75.53,59596,23684542.0,2.57,-0.47,-0.36,0.53
148,2024-09-09,双塔食品,002481,76.97,76.97,77.51,76.25,59228,23710246.0,1.63,-0.47,-0.36,0.53
147,2024-09-06,双塔食品,002481,78.41,77.33,78.41,77.33,48954,19856883.16,1.38,-0.92,-0.72,0.44
146,2024-09-05,双塔食品,002481,76.97,78.05,78.23,76.97,62388,25287483.39,1.64,1.4,1.08,0.56
145,2024-09-04,双塔食品,002481,77.33,76.97,78.23,76.79,59996,24214557.0,1.86,-0.7,-0.54,0.54
144,2024-09-03,双塔食品,002481,77.87,77.51,78.05,77.15,46730,18889541.0,1.16,0.23,0.18,0.42
143,2024-09-02,双塔食品,002481,78.77,77.33,79.31,77.33,76638,31276867.0,2.51,-1.83,-1.44,0.69
142,2024-08-30,双塔食品,002481,77.87,78.77,80.03,76.43,125886,51427489.0,4.63,1.39,1.08,1.13
141,2024-08-29,双塔食品,002481,78.59,77.69,78.95,76.97,88311,35774689.0,2.52,-1.15,-0.9,0.79
140,2024-08-28,双塔食品,002481,77.87,78.59,79.13,77.15,77816,31790077.0,2.55,1.16,0.9,0.7
139,2024-08-27,双塔食品,002481,77.51,77.69,78.41,76.97,77248,31273765.1,1.86,0.23,0.18,0.69
138,2024-08-26,双塔食品,002481,76.43,77.51,78.59,76.43,88585,35782773.44,2.83,1.65,1.26,0.79
137,2024-08-23,双塔食品,002481,77.51,76.25,77.69,75.89,73448,29251596.61,2.34,-0.7,-0.54,0.66
136,2024-08-22,双塔食品,002481,78.23,76.79,78.95,76.79,71060,28670342.0,2.76,-1.84,-1.44,0.64
135,2024-08-21,双塔食品,002481,78.59,78.23,78.95,77.69,47460,19371027.0,1.6,-0.46,-0.36,0.42
134,2024-08-20,双塔食品,002481,80.39,78.59,80.39,78.23,72087,29675041.2,2.69,-2.24,-1.8,0.64
133,2024-08-19,双塔食品,002481,80.21,80.39,81.47,79.85,70001,29474730.0,2.02,0.45,0.36,0.63
132,2024-08-16,双塔食品,002481,82.01,80.03,82.01,80.03,101245,42768625.0,2.41,-2.41,-1.98,0.91
131,2024-08-15,双塔食品,002481,81.29,82.01,82.55,80.93,90993,38929461.12,1.98,0.44,0.36,0.81
130,2024-08-14,双塔食品,002481,83.09,81.65,83.45,81.47,99904,42910820.0,2.39,-1.52,-1.26,0.89
129,2024-08-13,双塔食品,002481,83.99,82.91,84.35,82.01,140334,60810633.0,2.79,-1.29,-1.08,1.26
128,2024-08-12,双塔食品,002481,85.07,83.99,85.97,83.45,142969,63396486.5,2.93,-2.3,-1.98,1.28
127,2024-08-09,双塔食品,002481,86.87,85.97,88.13,85.79,125538,57197291.0,2.7,-0.62,-0.54,1.12
126,2024-08-08,双塔食品,002481,85.61,86.51,86.69,84.89,151810,68531832.0,2.11,1.48,1.26,1.36
125,2024-08-07,双塔食品,002481,85.43,85.25,85.97,84.71,75978,33948741.0,1.47,-0.42,-0.36,0.68
124,2024-08-06,双塔食品,002481,84.17,85.61,85.79,83.99,132441,58908411.3,2.14,1.71,1.44,1.18
123,2024-08-05,双塔食品,002481,85.07,84.17,87.05,83.81,162953,73043412.39,3.78,-1.68,-1.44,1.46
122,2024-08-02,双塔食品,002481,83.09,85.61,86.15,82.91,204442,91279320.16,3.87,2.37,1.98,1.83
121,2024-08-01,双塔食品,002481,83.63,83.63,84.53,82.73,165263,72367673.1,2.14,-0.43,-0.36,1.48
120,2024-07-31,双塔食品,002481,84.53,83.99,84.71,80.39,335212,144670224.6,5.05,-1.89,-1.62,3.0
119,2024-07-30,双塔食品,002481,83.09,85.61,85.79,82.55,177212,78861084.12,3.89,2.81,2.34,1.58
118,2024-07-29,双塔食品,002481,83.63,83.27,83.99,82.73,74633,32510238.0,1.51,0.0,0.0,0.67
117,2024-07-26,双塔食品,002481,82.73,83.27,83.63,82.19,118809,51602890.0,1.74,0.65,0.54,1.06
116,2024-07-25,双塔食品,002481,80.93,82.73,82.73,80.93,120487,51684337.95,2.21,1.77,1.44,1.08
115,2024-07-24,双塔食品,002481,80.93,81.29,82.91,80.75,134447,57337785.56,2.65,-0.22,-0.18,1.2
114,2024-07-23,双塔食品,002481,82.37,81.47,83.63,81.47,146232,63068197.56,2.62,-1.09,-0.9,1.31
113,2024-07-22,双塔食品,002481,82.01,82.37,82.91,81.29,115696,49745791.0,1.97,0.22,0.18,1.03
112,2024-07-19,双塔食品,002481,80.03,82.19,84.17,79.67,237341,101654852.16,5.6,2.24,1.8,2.12
111,2024-07-18,双塔食品,002481,78.23,80.39,81.29,76.79,187172,77646525.62,5.77,3.0,2.34,1.67
110,2024-07-17,双塔食品,002481,77.51,78.05,78.41,77.15,102174,41465478.0,1.62,0.46,0.36,0.91
