,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-24,广田集团,002482,18.74,18.82,18.98,18.5,341500,66715885.45,2.56,0.43,0.08,0.91
239,2025-01-23,广田集团,002482,19.22,18.74,19.3,18.74,432208,85871669.31,2.95,-1.26,-0.24,1.15
238,2025-01-22,广田集团,002482,19.06,18.98,19.14,18.82,318557,63028483.02,1.67,-0.84,-0.16,0.85
237,2025-01-21,广田集团,002482,19.54,19.14,19.7,19.06,429401,86581397.14,3.3,-1.24,-0.24,1.15
236,2025-01-20,广田集团,002482,19.62,19.38,19.86,19.22,684922,140530816.73,3.26,-1.22,-0.24,1.83
235,2025-01-17,广田集团,002482,20.02,19.62,20.18,19.54,945454,197289550.91,3.13,-3.92,-0.8,2.53
234,2025-01-16,广田集团,002482,19.62,20.42,21.3,19.62,1781472,392623502.84,8.56,4.08,0.8,4.76
233,2025-01-15,广田集团,002482,19.62,19.62,19.94,19.22,414863,85346075.3,3.67,0.0,0.0,1.11
232,2025-01-14,广田集团,002482,19.14,19.62,19.7,18.98,434393,88223374.34,3.79,3.37,0.64,1.16
231,2025-01-13,广田集团,002482,18.9,18.98,19.22,18.5,356841,70154974.05,3.78,-0.42,-0.08,0.95
230,2025-01-10,广田集团,002482,19.78,19.06,19.78,19.06,334790,67839391.5,3.65,-3.25,-0.64,0.89
229,2025-01-09,广田集团,002482,19.62,19.7,19.94,19.46,315325,65237796.06,2.44,0.0,0.0,0.84
228,2025-01-08,广田集团,002482,19.94,19.7,19.94,19.22,336804,69367324.74,3.63,-0.81,-0.16,0.9
227,2025-01-07,广田集团,002482,19.3,19.86,19.86,19.06,418898,85738269.53,4.16,3.33,0.64,1.12
226,2025-01-06,广田集团,002482,19.54,19.22,19.62,18.82,439265,88376126.45,4.09,-1.64,-0.32,1.17
225,2025-01-03,广田集团,002482,20.42,19.54,20.58,19.38,533571,111324982.5,5.9,-3.93,-0.8,1.43
224,2025-01-02,广田集团,002482,20.34,20.34,20.9,20.18,534053,116169290.36,3.53,-0.39,-0.08,1.43
223,2024-12-31,广田集团,002482,20.66,20.42,20.98,20.26,371988,80506248.85,3.48,-1.16,-0.24,0.99
222,2024-12-30,广田集团,002482,21.06,20.66,21.22,20.34,391969,85344093.0,4.19,-1.53,-0.32,1.05
221,2024-12-27,广田集团,002482,20.74,20.98,21.54,20.5,495084,111535215.29,5.03,1.55,0.32,1.32
220,2024-12-26,广田集团,002482,20.34,20.66,20.82,20.26,359969,78675040.5,2.73,0.78,0.16,0.96
219,2024-12-25,广田集团,002482,21.14,20.5,21.14,20.18,613740,133646861.91,4.51,-3.76,-0.8,1.64
218,2024-12-24,广田集团,002482,21.54,21.3,21.78,21.06,506921,115133069.75,3.34,-1.11,-0.24,1.35
217,2024-12-23,广田集团,002482,22.98,21.54,23.06,21.46,735124,173087172.14,6.99,-5.94,-1.36,1.96
216,2024-12-20,广田集团,002482,22.58,22.9,23.22,22.58,506539,124977139.11,2.82,1.06,0.24,1.35
215,2024-12-19,广田集团,002482,22.66,22.66,22.82,22.26,506055,122240177.16,2.45,-0.7,-0.16,1.35
214,2024-12-18,广田集团,002482,22.34,22.82,23.06,22.18,642940,156737924.7,3.93,1.78,0.4,1.72
213,2024-12-17,广田集团,002482,23.46,22.42,23.46,22.26,901770,219853859.0,5.12,-4.43,-1.04,2.41
212,2024-12-16,广田集团,002482,23.46,23.46,24.26,23.22,978285,249715728.36,4.42,-0.34,-0.08,2.61
211,2024-12-13,广田集团,002482,23.94,23.54,24.26,23.38,929563,238689406.89,3.65,-2.32,-0.56,2.48
