,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,春兴精工,002547,25.92,26.22,26.46,25.62,400177,169520392.5,3.21,0.23,0.06,3.62
240,2025-01-23,春兴精工,002547,26.94,26.16,27.6,26.1,514533,224442185.75,5.64,-1.58,-0.42,4.66
239,2025-01-22,春兴精工,002547,27.0,26.58,27.0,26.34,363413,156955491.07,2.44,-1.56,-0.42,3.29
238,2025-01-21,春兴精工,002547,27.9,27.0,28.02,26.46,647654,283989037.16,5.6,-3.02,-0.84,5.86
237,2025-01-20,春兴精工,002547,27.78,27.84,28.62,27.18,651503,295022625.03,5.17,0.0,0.0,5.9
236,2025-01-17,春兴精工,002547,28.2,27.84,29.04,27.72,625467,285677677.99,4.61,-2.73,-0.78,5.66
235,2025-01-16,春兴精工,002547,29.22,28.62,29.94,27.84,1112676,521895166.32,7.19,-2.05,-0.6,10.07
234,2025-01-15,春兴精工,002547,27.54,29.22,30.12,27.36,1397479,651018362.35,9.91,4.96,1.38,12.65
233,2025-01-14,春兴精工,002547,26.16,27.84,28.5,25.98,1076869,480423472.68,9.7,7.16,1.86,9.75
232,2025-01-13,春兴精工,002547,26.16,25.98,27.12,25.62,788316,334509960.24,5.54,-3.99,-1.08,7.14
231,2025-01-10,春兴精工,002547,28.5,27.06,29.1,27.0,1631388,745451165.05,7.59,-2.17,-0.6,14.77
230,2025-01-09,春兴精工,002547,25.14,27.66,27.66,24.72,915417,388349037.24,11.67,9.76,2.46,8.29
229,2025-01-08,春兴精工,002547,24.72,25.2,25.5,23.88,746404,298785639.88,6.52,1.45,0.36,6.76
228,2025-01-07,春兴精工,002547,23.82,24.84,24.9,23.76,702233,277022583.0,4.79,4.28,1.02,6.36
227,2025-01-06,春兴精工,002547,23.64,23.82,24.48,22.56,546132,209371110.58,8.14,1.02,0.24,4.94
226,2025-01-03,春兴精工,002547,25.32,23.58,25.62,23.46,568162,221946363.18,8.57,-6.43,-1.62,5.14
225,2025-01-02,春兴精工,002547,25.26,25.2,26.1,24.9,592901,244475351.0,4.75,-0.24,-0.06,5.37
224,2024-12-31,春兴精工,002547,26.28,25.26,26.46,25.2,580323,240921505.59,4.79,-3.88,-1.02,5.25
223,2024-12-30,春兴精工,002547,27.96,26.28,28.2,26.1,798294,342937300.09,7.54,-5.6,-1.56,7.23
222,2024-12-27,春兴精工,002547,27.42,27.84,28.44,27.06,682651,310299494.58,5.03,1.53,0.42,6.18
221,2024-12-26,春兴精工,002547,27.36,27.42,28.14,26.94,655323,293569426.93,4.35,-0.65,-0.18,5.93
220,2024-12-25,春兴精工,002547,29.52,27.6,30.06,27.12,953601,432849466.93,10.04,-5.74,-1.68,8.63
219,2024-12-24,春兴精工,002547,29.1,29.28,30.42,28.38,992975,469945194.46,6.79,-2.59,-0.78,8.99
218,2024-12-23,春兴精工,002547,33.36,30.06,33.54,30.06,1158556,586625224.61,10.45,-9.73,-3.24,10.49
217,2024-12-20,春兴精工,002547,32.94,33.3,34.32,32.94,740651,405851470.8,4.14,0.0,0.0,6.7
216,2024-12-19,春兴精工,002547,34.62,33.3,35.34,33.24,1090527,605449825.29,5.87,-6.88,-2.46,9.87
215,2024-12-18,春兴精工,002547,35.22,35.76,37.32,34.08,1205000,699933698.46,8.82,-2.61,-0.96,10.91
214,2024-12-17,春兴精工,002547,36.66,36.72,39.48,35.04,1383884,840284484.12,12.19,0.82,0.3,12.53
213,2024-12-16,春兴精工,002547,38.34,36.42,38.82,36.0,1784623,1093690457.08,7.15,-7.61,-3.0,16.15
212,2024-12-13,春兴精工,002547,37.92,39.42,41.94,37.86,2311460,1508670969.74,10.51,1.55,0.6,20.92
211,2024-12-12,春兴精工,002547,39.9,38.82,41.82,38.52,3321404,2195700412.77,8.32,-2.12,-0.84,30.06
210,2024-12-11,春兴精工,002547,35.04,39.66,39.66,34.02,1961758,1176444579.69,15.61,9.8,3.54,17.76
209,2024-12-10,春兴精工,002547,37.2,36.12,37.44,35.46,1957949,1162698347.12,5.52,0.67,0.24,17.72
208,2024-12-09,春兴精工,002547,35.58,35.88,38.22,35.1,2090252,1247455159.42,8.41,-3.24,-1.2,18.92
207,2024-12-06,春兴精工,002547,39.06,37.08,40.2,35.52,3422530,2137124001.36,12.44,-1.44,-0.54,30.98
206,2024-12-05,春兴精工,002547,32.7,37.62,37.62,32.4,2344662,1339339564.11,15.24,9.81,3.36,21.22
205,2024-12-04,春兴精工,002547,31.92,34.26,35.82,31.8,3085332,1748320311.02,12.32,4.96,1.62,27.93
204,2024-12-03,春兴精工,002547,32.52,32.64,34.8,31.62,2878198,1546518994.86,9.85,1.12,0.36,26.05
203,2024-12-02,春兴精工,002547,29.28,32.28,32.28,28.92,1567672,813284840.5,11.43,9.8,2.88,14.19
202,2024-11-29,春兴精工,002547,28.98,29.4,30.72,28.14,1203665,571113308.07,8.81,0.41,0.12,10.89
201,2024-11-28,春兴精工,002547,28.8,29.28,30.0,28.02,1295154,607550532.69,6.86,1.46,0.42,11.72
200,2024-11-27,春兴精工,002547,28.8,28.86,29.7,27.72,1185130,548263562.44,6.79,-1.03,-0.3,10.73
199,2024-11-26,春兴精工,002547,33.84,29.16,33.84,28.92,1923387,963095713.02,15.89,-5.81,-1.8,17.41
198,2024-11-25,春兴精工,002547,28.14,30.96,30.96,27.24,1200501,575872331.0,13.19,9.79,2.76,10.87
197,2024-11-22,春兴精工,002547,30.18,28.2,30.42,28.02,1408732,669360977.13,7.83,-8.02,-2.46,12.75
196,2024-11-21,春兴精工,002547,29.64,30.66,31.56,29.22,1783370,891024957.48,7.69,0.79,0.24,16.16
195,2024-11-20,春兴精工,002547,28.92,30.42,31.26,28.38,1881716,923009907.21,9.6,1.4,0.42,17.05
194,2024-11-19,春兴精工,002547,29.28,30.0,30.84,28.26,2249743,1089729421.01,8.96,4.17,1.2,20.38
193,2024-11-18,春兴精工,002547,26.4,28.8,28.8,25.08,1664237,736294596.47,14.19,9.84,2.58,15.08
192,2024-11-15,春兴精工,002547,26.7,26.22,28.86,25.86,1377334,608764805.73,10.75,-6.02,-1.68,12.48
191,2024-11-14,春兴精工,002547,30.18,27.9,30.18,27.9,1851151,857171727.89,7.38,-9.71,-3.0,16.77
190,2024-11-13,春兴精工,002547,30.42,30.9,33.6,30.42,2547687,1279341640.16,9.43,-8.36,-2.82,23.08
189,2024-11-12,春兴精工,002547,33.3,33.72,35.52,32.34,3950069,2189608050.96,9.83,4.27,1.38,35.79
188,2024-11-11,春兴精工,002547,32.34,32.34,32.34,31.32,2598595,1365596651.09,3.46,9.78,2.88,23.54
187,2024-11-08,春兴精工,002547,29.46,29.46,29.46,29.46,95490,45739710.0,0.0,9.84,2.64,0.87
186,2024-11-07,春兴精工,002547,26.82,26.82,26.82,26.82,139544,60701666.1,0.0,9.83,2.4,1.26
185,2024-11-06,春兴精工,002547,22.44,24.42,24.42,22.2,574030,218785826.04,9.97,9.7,2.16,5.2
184,2024-11-05,春兴精工,002547,21.66,22.26,22.32,21.66,441034,157280967.38,3.05,2.77,0.6,4.0
183,2024-11-04,春兴精工,002547,20.82,21.66,21.84,20.82,297175,103261777.0,4.83,2.56,0.54,2.69
182,2024-11-01,春兴精工,002547,22.44,21.12,22.56,21.06,498087,173306341.73,6.65,-6.38,-1.44,4.51
181,2024-10-31,春兴精工,002547,21.96,22.56,22.8,21.9,530003,191495487.13,4.09,2.45,0.54,4.8
180,2024-10-30,春兴精工,002547,21.42,22.02,22.2,21.3,447622,157865500.85,4.12,0.82,0.18,4.06
179,2024-10-29,春兴精工,002547,22.68,21.84,22.92,21.78,633883,227882617.49,5.04,-3.45,-0.78,5.74
178,2024-10-28,春兴精工,002547,21.84,22.62,22.62,21.84,674969,242157237.68,3.57,3.57,0.78,6.12
