,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,史丹利,002588,70.77,70.95,71.3,70.33,98790,70920411.0,1.37,0.0,0.0,0.97
240,2025-01-23,史丹利,002588,71.3,70.95,72.09,70.86,134011,97116998.84,1.74,0.25,0.18,1.31
239,2025-01-22,史丹利,002588,71.21,70.77,71.74,70.51,95029,68380168.0,1.72,-1.12,-0.8,0.93
238,2025-01-21,史丹利,002588,72.0,71.57,72.36,70.6,143594,103720416.04,2.45,-0.36,-0.26,1.41
237,2025-01-20,史丹利,002588,73.76,71.83,73.76,71.65,152170,112141161.0,2.88,-2.03,-1.49,1.49
236,2025-01-17,史丹利,002588,71.04,73.32,73.67,70.69,230904,170755506.93,4.2,3.34,2.37,2.26
235,2025-01-16,史丹利,002588,70.51,70.95,72.18,70.42,150125,108608849.5,2.51,1.0,0.7,1.47
234,2025-01-15,史丹利,002588,70.42,70.25,70.6,70.07,69994,49778862.97,0.75,-0.5,-0.35,0.69
233,2025-01-14,史丹利,002588,68.75,70.6,70.69,68.67,131234,92739326.0,2.94,2.69,1.85,1.29
232,2025-01-13,史丹利,002588,68.4,68.75,69.02,68.05,84370,58414038.72,1.41,-0.13,-0.09,0.83
231,2025-01-10,史丹利,002588,70.51,68.84,70.51,68.84,121092,85084741.0,2.38,-1.88,-1.32,1.19
230,2025-01-09,史丹利,002588,70.6,70.16,71.3,69.98,119128,85262416.9,1.87,-0.75,-0.53,1.17
229,2025-01-08,史丹利,002588,72.0,70.69,72.0,69.63,162129,115986483.0,3.29,-1.82,-1.31,1.59
228,2025-01-07,史丹利,002588,72.44,72.0,72.62,70.69,134135,97464479.73,2.66,-0.61,-0.44,1.32
227,2025-01-06,史丹利,002588,71.48,72.44,73.94,70.77,223646,165477620.5,4.43,1.34,0.96,2.19
226,2025-01-03,史丹利,002588,71.92,71.48,72.53,71.13,175763,128349692.0,1.95,-0.36,-0.26,1.72
225,2025-01-02,史丹利,002588,72.62,71.74,73.23,71.21,153546,112548735.26,2.78,-1.21,-0.88,1.51
224,2024-12-31,史丹利,002588,74.29,72.62,74.47,72.62,172777,129010849.5,2.49,-2.25,-1.67,1.69
223,2024-12-30,史丹利,002588,75.26,74.29,75.34,74.03,144935,110042486.0,1.74,-1.51,-1.14,1.42
222,2024-12-27,史丹利,002588,74.2,75.43,75.61,73.94,228613,174969653.0,2.26,1.89,1.4,2.24
221,2024-12-26,史丹利,002588,74.03,74.03,74.64,73.94,83109,62889612.28,0.95,0.0,0.0,0.82
220,2024-12-25,史丹利,002588,74.03,74.03,74.2,73.59,105726,79442842.0,0.82,-0.23,-0.17,1.04
219,2024-12-24,史丹利,002588,73.67,74.2,74.64,73.5,133588,100876799.35,1.55,0.72,0.53,1.31
218,2024-12-23,史丹利,002588,73.67,73.67,74.2,73.5,149149,112029845.56,0.95,-0.24,-0.18,1.46
217,2024-12-20,史丹利,002588,74.64,73.85,74.73,73.67,158134,119415684.51,1.42,-1.06,-0.79,1.55
216,2024-12-19,史丹利,002588,74.03,74.64,75.26,73.5,205754,155636925.43,2.36,0.12,0.09,2.02
215,2024-12-18,史丹利,002588,75.87,74.55,76.93,74.29,285844,220388020.0,3.48,-1.74,-1.32,2.8
214,2024-12-17,史丹利,002588,77.72,75.87,77.98,75.43,284254,222302159.66,3.29,-2.15,-1.67,2.79
213,2024-12-16,史丹利,002588,76.05,77.54,77.54,75.87,273612,214920997.28,2.19,1.85,1.41,2.68
212,2024-12-13,史丹利,002588,76.93,76.13,77.45,75.52,337247,263004231.0,2.51,-1.04,-0.8,3.31
211,2024-12-12,史丹利,002588,76.22,76.93,76.93,75.87,252531,197362581.91,1.4,1.28,0.97,2.48
210,2024-12-11,史丹利,002588,75.08,75.96,75.96,74.9,164746,127137619.29,1.41,1.05,0.79,1.62
209,2024-12-10,史丹利,002588,76.57,75.17,77.1,75.17,233929,181627600.0,2.56,-0.23,-0.17,2.29
208,2024-12-09,史丹利,002588,75.87,75.34,76.75,74.9,177246,137136346.0,2.44,-0.58,-0.44,1.74
207,2024-12-06,史丹利,002588,74.82,75.78,76.05,74.64,185502,142794085.64,1.88,1.05,0.79,1.82
206,2024-12-05,史丹利,002588,74.55,74.99,74.99,74.2,136869,104190551.94,1.06,0.23,0.17,1.34
205,2024-12-04,史丹利,002588,76.4,74.82,76.4,74.47,251842,193661352.37,2.52,-2.29,-1.75,2.47
204,2024-12-03,史丹利,002588,76.75,76.57,77.37,75.87,213794,167147678.77,1.95,-0.35,-0.27,2.1
203,2024-12-02,史丹利,002588,75.43,76.84,76.93,75.26,281827,219895304.92,2.21,1.87,1.41,2.76
202,2024-11-29,史丹利,002588,74.82,75.43,75.87,74.64,241172,185335337.0,1.64,0.71,0.53,2.37
201,2024-11-28,史丹利,002588,74.55,74.9,76.22,74.38,263664,202204828.0,2.47,0.35,0.26,2.59
200,2024-11-27,史丹利,002588,74.38,74.64,74.64,72.62,248635,186238981.7,2.7,-0.24,-0.18,2.44
199,2024-11-26,史丹利,002588,75.08,74.82,76.05,74.47,240175,183885100.18,2.09,-1.04,-0.79,2.36
198,2024-11-25,史丹利,002588,75.26,75.61,75.7,73.76,297587,226246172.23,2.59,0.83,0.62,2.92
197,2024-11-22,史丹利,002588,78.24,74.99,79.03,74.73,461163,362746215.24,5.5,-4.15,-3.25,4.52
196,2024-11-21,史丹利,002588,78.33,78.24,79.39,77.19,524573,419656944.29,2.79,-0.67,-0.53,5.15
195,2024-11-20,史丹利,002588,74.73,78.77,78.95,74.55,681640,543135476.27,5.85,4.79,3.6,6.69
194,2024-11-19,史丹利,002588,73.15,75.17,76.13,73.15,358942,272038948.14,4.04,1.79,1.32,3.52
193,2024-11-18,史丹利,002588,75.52,73.85,77.1,72.97,555214,425799483.09,5.48,-2.09,-1.58,5.45
192,2024-11-15,史丹利,002588,72.97,75.43,77.19,72.53,716818,554381267.65,6.39,3.5,2.55,7.03
191,2024-11-14,史丹利,002588,74.99,72.88,75.43,72.8,278301,209961999.65,3.51,-2.81,-2.11,2.73
190,2024-11-13,史丹利,002588,74.38,74.99,75.52,73.15,303803,230340100.44,3.18,0.7,0.52,2.98
189,2024-11-12,史丹利,002588,73.67,74.47,76.13,73.5,498311,379797690.56,3.57,1.09,0.8,4.89
188,2024-11-11,史丹利,002588,73.85,73.67,73.85,72.71,241281,179513123.5,1.55,0.0,0.0,2.37
187,2024-11-08,史丹利,002588,75.87,73.67,76.84,73.5,361959,274796189.14,4.45,-1.88,-1.41,3.55
186,2024-11-07,史丹利,002588,72.88,75.08,75.26,72.8,327194,248095275.36,3.36,2.64,1.93,3.21
185,2024-11-06,史丹利,002588,72.36,73.15,73.76,72.09,278748,206271829.15,2.31,1.09,0.79,2.73
