,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,万安科技,002590,56.07,54.96,56.55,54.96,53149,64286513.0,2.85,-1.59,-0.89,1.17
239,2025-01-24,万安科技,002590,54.92,55.85,55.98,54.74,48334,58336277.0,2.24,1.05,0.58,1.06
238,2025-01-23,万安科技,002590,55.71,55.27,56.6,55.27,61182,74399273.0,2.41,0.16,0.09,1.34
237,2025-01-22,万安科技,002590,56.16,55.18,56.24,55.05,45957,55402984.08,2.12,-1.88,-1.06,1.01
236,2025-01-21,万安科技,002590,56.42,56.24,56.69,55.4,50004,60855251.0,2.29,-0.16,-0.09,1.1
235,2025-01-20,万安科技,002590,56.33,56.33,56.91,56.02,48990,60027208.8,1.59,0.7,0.39,1.08
234,2025-01-17,万安科技,002590,55.8,55.94,56.6,55.45,47438,57744599.0,2.05,-0.3,-0.17,1.04
233,2025-01-16,万安科技,002590,56.73,56.11,57.31,55.54,70080,85773217.0,3.14,-0.55,-0.31,1.54
232,2025-01-15,万安科技,002590,56.64,56.42,57.17,55.98,57119,70184453.0,2.09,-0.86,-0.49,1.25
231,2025-01-14,万安科技,002590,55.18,56.91,56.95,55.01,82787,101401428.0,3.53,3.55,1.95,1.82
230,2025-01-13,万安科技,002590,53.99,54.96,55.63,53.15,67436,79819023.7,4.56,0.97,0.53,1.48
229,2025-01-10,万安科技,002590,55.71,54.43,56.47,54.39,78099,94259086.5,3.74,-2.07,-1.15,1.71
228,2025-01-09,万安科技,002590,54.74,55.58,55.94,54.48,65690,79124574.0,2.64,0.56,0.31,1.44
227,2025-01-08,万安科技,002590,55.89,55.27,55.94,53.28,91985,109194646.15,4.82,0.07,0.04,2.02
226,2025-01-07,万安科技,002590,53.55,55.23,55.23,53.55,79622,93978900.0,3.14,3.14,1.68,1.75
225,2025-01-06,万安科技,002590,53.19,53.55,54.34,51.87,75482,87312887.0,4.66,1.0,0.53,1.66
224,2025-01-03,万安科技,002590,54.87,53.02,55.36,52.97,81222,95008932.32,4.36,-3.3,-1.81,1.78
223,2025-01-02,万安科技,002590,56.47,54.83,56.77,54.21,78459,94675923.35,4.55,-2.51,-1.41,1.72
222,2024-12-31,万安科技,002590,58.63,56.24,58.98,56.2,90468,112361892.63,4.74,-4.01,-2.35,1.99
221,2024-12-30,万安科技,002590,59.07,58.59,59.47,57.48,61110,78161137.0,3.38,-0.59,-0.35,1.34
220,2024-12-27,万安科技,002590,58.85,58.94,60.13,58.63,104365,135178927.0,2.55,0.15,0.09,2.29
219,2024-12-26,万安科技,002590,58.32,58.85,59.65,56.6,177970,227038121.6,5.04,-2.71,-1.64,3.91
218,2024-12-25,万安科技,002590,62.08,60.49,62.39,59.91,82408,109025502.0,3.99,-2.7,-1.68,1.81
217,2024-12-24,万安科技,002590,61.73,62.17,62.87,61.02,71793,97013784.84,3.03,1.67,1.02,1.58
216,2024-12-23,万安科技,002590,64.07,61.15,64.29,60.97,98794,134054048.0,5.19,-4.48,-2.87,2.17
215,2024-12-20,万安科技,002590,63.76,64.02,64.55,63.36,71386,99994967.88,1.87,0.34,0.22,1.57
214,2024-12-19,万安科技,002590,62.57,63.8,63.98,62.34,69976,96608142.5,2.58,0.41,0.26,1.54
213,2024-12-18,万安科技,002590,63.54,63.54,64.02,62.48,66734,92463013.14,2.44,0.57,0.36,1.46
212,2024-12-17,万安科技,002590,64.95,63.18,65.84,62.92,106750,149153897.0,4.46,-3.45,-2.26,2.34
211,2024-12-16,万安科技,002590,65.97,65.44,66.68,64.91,97607,140364263.0,2.68,-1.07,-0.71,2.14
210,2024-12-13,万安科技,002590,67.74,66.15,67.82,66.06,108006,158084721.44,2.59,-2.66,-1.81,2.37
209,2024-12-12,万安科技,002590,68.05,67.96,68.8,66.9,123111,182429767.16,2.78,-0.51,-0.35,2.7
208,2024-12-11,万安科技,002590,67.96,68.31,68.4,67.38,128074,190363198.0,1.5,0.13,0.09,2.81
207,2024-12-10,万安科技,002590,69.86,68.22,70.26,68.09,265219,401959704.32,3.16,-0.58,-0.4,5.82
206,2024-12-09,万安科技,002590,68.0,68.62,70.17,66.76,196655,293825243.6,4.99,0.45,0.31,4.32
205,2024-12-06,万安科技,002590,69.28,68.31,69.28,67.21,165930,247289569.0,3.03,-0.13,-0.09,3.64
204,2024-12-05,万安科技,002590,64.95,68.4,69.86,64.95,238520,355213506.5,7.52,4.81,3.14,5.24
203,2024-12-04,万安科技,002590,66.32,65.26,66.59,64.91,84353,121157584.0,2.52,-2.06,-1.37,1.85
202,2024-12-03,万安科技,002590,67.16,66.63,67.34,66.1,100676,146852923.89,1.86,-0.27,-0.18,2.21
201,2024-12-02,万安科技,002590,65.84,66.81,67.21,65.66,128900,187815861.0,2.35,1.41,0.93,2.83
200,2024-11-29,万安科技,002590,63.4,65.88,66.5,63.23,158778,225652394.0,5.13,3.41,2.17,3.49
199,2024-11-28,万安科技,002590,64.78,63.71,65.39,63.58,98783,138818592.0,2.79,-1.77,-1.15,2.17
198,2024-11-27,万安科技,002590,63.67,64.86,65.0,61.81,125027,172217183.3,4.99,1.44,0.92,2.74
197,2024-11-26,万安科技,002590,65.26,63.94,65.92,63.63,108225,152543221.0,3.5,-2.22,-1.45,2.38
196,2024-11-25,万安科技,002590,65.97,65.39,66.5,63.32,127761,181380204.58,4.93,1.36,0.88,2.8
195,2024-11-22,万安科技,002590,67.69,64.51,68.66,64.33,185337,269723418.6,6.36,-5.26,-3.58,4.07
194,2024-11-21,万安科技,002590,67.96,68.09,69.33,66.94,189876,282784639.04,3.48,-0.77,-0.53,4.17
193,2024-11-20,万安科技,002590,65.97,68.62,69.33,65.57,324490,482116542.83,5.62,2.57,1.72,7.12
192,2024-11-19,万安科技,002590,63.32,66.9,68.13,63.27,387353,562437453.57,7.82,7.69,4.78,8.5
191,2024-11-18,万安科技,002590,64.16,62.12,64.51,61.28,144314,196386322.0,5.06,-2.71,-1.73,3.17
190,2024-11-15,万安科技,002590,65.75,63.85,66.5,63.8,134050,191040056.56,4.08,-3.59,-2.38,2.94
189,2024-11-14,万安科技,002590,69.06,66.23,69.33,65.97,132911,195819305.0,4.86,-4.22,-2.92,2.92
188,2024-11-13,万安科技,002590,69.15,69.15,69.64,67.21,169057,252986213.53,3.49,-0.76,-0.53,3.71
187,2024-11-12,万安科技,002590,70.26,69.68,71.54,68.53,253771,389475614.46,4.27,-1.06,-0.75,5.57
186,2024-11-11,万安科技,002590,68.44,70.43,70.43,67.69,232806,354219616.2,4.0,2.77,1.9,5.11
185,2024-11-08,万安科技,002590,69.59,68.53,70.83,68.44,244329,371938355.69,3.47,-0.52,-0.36,5.36
184,2024-11-07,万安科技,002590,68.31,68.89,69.64,67.52,216089,323389570.06,3.08,0.2,0.14,4.74
183,2024-11-06,万安科技,002590,71.18,68.75,71.63,68.4,342415,523223059.98,4.72,0.51,0.35,7.52
182,2024-11-05,万安科技,002590,66.76,68.4,68.49,65.88,276515,409210375.48,3.91,2.46,1.64,6.07
181,2024-11-04,万安科技,002590,63.36,66.76,67.29,63.36,244307,354377350.83,6.2,5.37,3.4,5.36
