,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,海南瑞泽,002596,15.15,15.3,15.63,14.82,230537,69833371.0,5.36,1.26,0.19,2.25
240,2025-01-23,海南瑞泽,002596,15.44,15.11,15.78,15.11,203342,62598725.07,4.42,-0.26,-0.04,1.99
239,2025-01-22,海南瑞泽,002596,15.39,15.15,15.44,15.06,149499,45377076.0,2.46,-1.88,-0.29,1.46
238,2025-01-21,海南瑞泽,002596,15.78,15.44,15.83,15.35,174720,54003466.9,3.07,-1.22,-0.19,1.71
237,2025-01-20,海南瑞泽,002596,15.78,15.63,15.83,15.3,187022,58270754.0,3.4,0.26,0.04,1.83
236,2025-01-17,海南瑞泽,002596,15.78,15.59,15.92,15.49,249433,78036180.0,2.7,-2.07,-0.33,2.44
235,2025-01-16,海南瑞泽,002596,15.73,15.92,16.11,15.49,444648,140795972.0,3.94,1.21,0.19,4.35
234,2025-01-15,海南瑞泽,002596,15.25,15.73,16.21,15.06,505436,157610542.76,7.57,3.49,0.53,4.94
233,2025-01-14,海南瑞泽,002596,14.24,15.2,15.2,14.24,375172,110531876.5,6.77,7.12,1.01,3.67
232,2025-01-13,海南瑞泽,002596,14.15,14.19,14.48,13.91,278654,78615322.57,3.91,-2.67,-0.39,2.72
231,2025-01-10,海南瑞泽,002596,15.3,14.58,15.59,14.53,386638,116769803.62,6.95,-4.39,-0.67,3.78
230,2025-01-09,海南瑞泽,002596,15.2,15.25,15.44,15.01,227336,69130642.76,2.8,-0.65,-0.1,2.22
229,2025-01-08,海南瑞泽,002596,15.73,15.35,15.78,14.77,363615,110732488.19,6.46,-1.79,-0.28,3.56
228,2025-01-07,海南瑞泽,002596,15.39,15.63,15.92,15.2,373663,115431476.18,4.74,2.83,0.43,3.65
227,2025-01-06,海南瑞泽,002596,15.68,15.2,15.83,14.96,405914,123759950.0,5.53,-3.37,-0.53,3.97
226,2025-01-03,海南瑞泽,002596,17.12,15.73,17.22,15.49,685357,218392386.76,10.22,-7.09,-1.2,6.7
225,2025-01-02,海南瑞泽,002596,17.46,16.93,17.89,16.74,670602,232626965.84,6.52,-4.08,-0.72,6.56
224,2024-12-31,海南瑞泽,002596,18.03,17.65,18.71,17.51,733379,265020258.85,6.58,-3.18,-0.58,7.17
223,2024-12-30,海南瑞泽,002596,17.36,18.23,18.66,17.07,1180026,427199031.66,9.11,4.41,0.77,11.54
222,2024-12-27,海南瑞泽,002596,16.11,17.46,17.46,15.83,549151,187453343.35,10.24,9.67,1.54,5.37
221,2024-12-26,海南瑞泽,002596,15.87,15.92,16.35,15.68,368861,117759703.0,4.26,1.21,0.19,3.61
220,2024-12-25,海南瑞泽,002596,16.26,15.73,16.4,15.15,567736,176785822.7,7.6,-4.38,-0.72,5.55
219,2024-12-24,海南瑞泽,002596,16.64,16.45,16.88,16.07,522120,170618306.75,4.84,-1.73,-0.29,5.11
218,2024-12-23,海南瑞泽,002596,17.94,16.74,18.23,16.64,840341,290009628.91,8.68,-8.62,-1.58,8.22
217,2024-12-20,海南瑞泽,002596,18.27,18.32,19.14,18.23,758846,282917811.0,4.98,0.27,0.05,7.42
216,2024-12-19,海南瑞泽,002596,17.94,18.27,18.75,17.36,936687,338993393.38,7.67,0.77,0.14,9.16
215,2024-12-18,海南瑞泽,002596,19.04,18.13,19.43,18.03,1034407,383561076.04,7.45,-3.56,-0.67,10.12
214,2024-12-17,海南瑞泽,002596,20.1,18.8,20.29,18.61,1364923,531739112.6,8.2,-8.2,-1.68,13.35
213,2024-12-16,海南瑞泽,002596,19.33,20.48,21.2,18.85,1831535,744405595.83,11.72,2.14,0.43,17.91
212,2024-12-13,海南瑞泽,002596,19.09,20.05,20.82,19.04,2060354,844993378.97,9.37,5.58,1.06,20.15
211,2024-12-12,海南瑞泽,002596,18.32,18.99,20.0,17.84,1590119,603690820.46,11.73,3.09,0.57,15.55
210,2024-12-11,海南瑞泽,002596,16.55,18.42,18.42,16.55,1001647,353574324.05,11.14,9.71,1.63,9.79
209,2024-12-10,海南瑞泽,002596,17.51,16.79,17.7,16.74,860657,294454854.56,5.64,-1.41,-0.24,8.42
208,2024-12-09,海南瑞泽,002596,16.64,17.03,17.79,16.64,1014319,349602062.24,6.85,1.43,0.24,9.92
207,2024-12-06,海南瑞泽,002596,16.74,16.79,17.17,16.35,1018535,341345266.17,4.88,0.0,0.0,9.96
206,2024-12-05,海南瑞泽,002596,16.07,16.79,17.07,15.73,1288799,429136102.48,8.03,0.6,0.1,12.6
205,2024-12-04,海南瑞泽,002596,17.51,16.69,17.75,16.4,1972802,672625311.04,7.67,-5.17,-0.91,19.29
204,2024-12-03,海南瑞泽,002596,17.6,17.6,17.6,17.6,478872,169041925.43,0.0,9.52,1.53,4.68
203,2024-12-02,海南瑞泽,002596,15.78,16.07,16.07,15.78,329784,105612765.89,1.98,9.54,1.4,3.22
202,2024-11-29,海南瑞泽,002596,15.11,14.67,15.11,14.53,661095,193720334.0,3.84,-2.91,-0.44,6.46
201,2024-11-28,海南瑞泽,002596,14.96,15.11,15.63,14.91,972434,297470628.0,4.77,0.0,0.0,9.51
200,2024-11-27,海南瑞泽,002596,14.82,15.11,15.44,13.91,874352,253502550.78,10.26,1.34,0.2,8.55
199,2024-11-26,海南瑞泽,002596,13.95,14.91,15.25,13.81,1043909,303479244.05,10.32,6.88,0.96,10.21
198,2024-11-25,海南瑞泽,002596,13.71,13.95,14.39,13.52,529648,146904357.0,6.32,1.38,0.19,5.18
197,2024-11-22,海南瑞泽,002596,13.95,13.76,14.72,13.67,691978,196010125.16,7.5,-1.71,-0.24,6.77
196,2024-11-21,海南瑞泽,002596,13.57,14.0,14.19,13.57,506927,139515072.98,4.55,2.79,0.38,4.96
195,2024-11-20,海南瑞泽,002596,13.38,13.62,13.67,13.19,476660,127290784.0,3.63,2.95,0.39,4.66
194,2024-11-19,海南瑞泽,002596,13.28,13.23,13.33,12.61,548496,140454302.66,5.44,0.0,0.0,5.36
193,2024-11-18,海南瑞泽,002596,13.71,13.23,13.86,13.09,516086,136714037.0,5.65,-2.86,-0.39,5.05
192,2024-11-15,海南瑞泽,002596,14.1,13.62,14.29,13.62,559780,155081058.0,4.73,-3.75,-0.53,5.47
191,2024-11-14,海南瑞泽,002596,14.39,14.15,14.58,14.1,447628,127262416.0,3.33,-1.94,-0.28,4.38
190,2024-11-13,海南瑞泽,002596,14.63,14.43,14.87,13.95,820228,234188579.18,6.19,-2.96,-0.44,8.02
189,2024-11-12,海南瑞泽,002596,14.87,14.87,15.49,14.53,786927,234439314.73,6.46,0.0,0.0,7.7
188,2024-11-11,海南瑞泽,002596,15.11,14.87,15.59,14.67,876479,259168847.46,5.99,-3.13,-0.48,8.57
187,2024-11-08,海南瑞泽,002596,16.02,15.35,16.69,15.15,1670112,527424451.14,9.61,-4.18,-0.67,16.33
186,2024-11-07,海南瑞泽,002596,15.39,16.02,16.79,15.2,1655844,528086727.45,10.08,1.52,0.24,16.19
185,2024-11-06,海南瑞泽,002596,16.93,15.78,16.93,15.39,2474044,804004424.2,9.97,2.2,0.34,24.19
184,2024-11-05,海南瑞泽,002596,13.86,15.44,15.44,13.76,855412,257558954.56,11.91,9.5,1.34,8.36
183,2024-11-04,海南瑞泽,002596,13.91,14.1,15.06,13.86,1062301,300441343.22,8.54,0.36,0.05,10.39
182,2024-11-01,海南瑞泽,002596,14.91,14.05,15.3,12.95,1941142,546676959.05,16.56,-0.99,-0.14,18.98
181,2024-10-31,海南瑞泽,002596,13.57,14.19,14.19,12.95,1386440,384465089.48,9.58,9.58,1.24,13.56
180,2024-10-30,海南瑞泽,002596,11.89,12.95,12.95,11.7,1203447,299509419.87,10.56,9.38,1.11,11.77
179,2024-10-29,海南瑞泽,002596,12.47,11.84,13.19,11.84,1024010,251675853.0,11.04,-3.19,-0.39,10.01
178,2024-10-28,海南瑞泽,002596,11.6,12.23,12.37,11.51,841169,200498231.58,7.41,5.43,0.63,8.23
177,2024-10-25,海南瑞泽,002596,11.31,11.6,11.75,11.27,536945,121913077.72,4.21,1.67,0.19,5.25
176,2024-10-24,海南瑞泽,002596,11.27,11.41,11.55,11.03,493899,109564827.0,4.58,0.44,0.05,4.83
175,2024-10-23,海南瑞泽,002596,11.12,11.36,11.46,11.03,503383,111169467.72,3.85,1.7,0.19,4.92
174,2024-10-22,海南瑞泽,002596,10.93,11.17,11.55,10.93,472656,103868409.2,5.7,2.67,0.29,4.62
173,2024-10-21,海南瑞泽,002596,11.12,10.88,11.22,10.83,431822,92742466.86,3.52,-1.72,-0.19,4.22
172,2024-10-18,海南瑞泽,002596,10.88,11.07,11.22,10.64,541537,115948912.95,5.24,0.0,0.0,5.3
171,2024-10-17,海南瑞泽,002596,11.6,11.07,11.7,11.03,647944,143942823.12,5.7,-5.79,-0.68,6.34
170,2024-10-16,海南瑞泽,002596,11.55,11.75,11.99,11.46,645920,148850658.98,4.62,2.53,0.29,6.32
169,2024-10-15,海南瑞泽,002596,11.6,11.46,11.89,11.46,733877,168210674.0,3.56,-5.13,-0.62,7.18
168,2024-10-14,海南瑞泽,002596,12.03,12.08,12.51,11.55,1164967,274814830.19,8.34,4.95,0.57,11.39
167,2024-10-11,海南瑞泽,002596,10.74,11.51,11.51,10.55,672698,149470903.94,9.14,9.62,1.01,6.58
166,2024-10-10,海南瑞泽,002596,10.35,10.5,10.83,10.16,374996,76927927.4,6.35,-0.47,-0.05,3.67
165,2024-10-09,海南瑞泽,002596,11.55,10.55,11.55,10.55,684047,145090213.83,8.58,-9.44,-1.1,6.69
164,2024-10-08,海南瑞泽,002596,12.66,11.65,12.85,11.17,1439661,342016222.89,14.3,-0.85,-0.1,14.08
163,2024-09-30,海南瑞泽,002596,11.41,11.75,11.89,10.98,1130864,255559162.61,8.29,7.01,0.77,11.06
162,2024-09-27,海南瑞泽,002596,11.41,10.98,11.41,10.74,1093978,237291386.64,6.35,4.08,0.43,10.7
161,2024-09-26,海南瑞泽,002596,9.54,10.55,10.55,9.54,572206,115457449.2,10.49,9.55,0.92,5.6
160,2024-09-25,海南瑞泽,002596,9.49,9.63,9.83,9.39,530455,99331215.16,4.69,2.56,0.24,5.19
159,2024-09-24,海南瑞泽,002596,9.11,9.39,9.54,9.01,457974,82505422.93,5.79,2.62,0.24,4.48
158,2024-09-23,海南瑞泽,002596,9.06,9.15,9.15,8.82,384618,66880209.42,3.59,-0.54,-0.05,3.76
157,2024-09-20,海南瑞泽,002596,9.54,9.2,9.68,9.11,487233,87774155.0,5.97,-3.56,-0.34,4.76
156,2024-09-19,海南瑞泽,002596,9.35,9.54,9.68,9.2,555078,101661165.0,5.08,1.06,0.1,5.43
155,2024-09-18,海南瑞泽,002596,9.25,9.44,9.54,8.87,691977,123278410.8,6.92,-2.48,-0.24,6.77
154,2024-09-13,海南瑞泽,002596,9.54,9.68,10.4,9.06,1100004,207900913.0,14.05,1.47,0.14,10.76
153,2024-09-12,海南瑞泽,002596,8.72,9.54,9.54,8.67,713666,128861770.2,9.98,9.4,0.82,6.98
152,2024-09-11,海南瑞泽,002596,8.67,8.72,9.11,8.63,441446,74808768.32,5.47,-0.57,-0.05,4.32
151,2024-09-10,海南瑞泽,002596,9.3,8.77,9.35,8.77,865365,150366652.38,5.99,-9.4,-0.91,8.46
150,2024-09-09,海南瑞泽,002596,8.96,9.68,9.68,8.91,1145494,208878418.64,8.68,9.13,0.81,11.2
149,2024-09-06,海南瑞泽,002596,9.15,8.87,9.3,8.72,894673,155430675.26,6.69,2.31,0.2,8.75
148,2024-09-05,海南瑞泽,002596,7.91,8.67,8.67,7.91,369116,60728075.96,9.56,9.06,0.72,3.61
147,2024-09-04,海南瑞泽,002596,8.05,7.95,8.15,7.95,104363,16024736.0,2.45,-2.45,-0.2,1.02
146,2024-09-03,海南瑞泽,002596,8.24,8.15,8.29,8.0,106641,16531641.0,3.56,0.0,0.0,1.04
