,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,金禾实业,002597,117.5,118.45,118.74,117.2,34329,81647145.51,1.31,0.49,0.58,0.61
240,2025-01-23,金禾实业,002597,119.78,117.87,120.32,117.54,42316,101184373.49,2.33,-1.26,-1.5,0.75
239,2025-01-22,金禾实业,002597,119.7,119.37,119.95,118.24,29377,70542576.8,1.43,0.11,0.13,0.52
238,2025-01-21,金禾实业,002597,120.12,119.24,120.86,118.41,44720,107747978.91,2.05,-0.45,-0.54,0.79
237,2025-01-20,金禾实业,002597,119.03,119.78,120.78,118.54,43386,104944086.04,1.88,0.38,0.45,0.76
236,2025-01-17,金禾实业,002597,115.0,119.33,119.99,114.71,95070,226591382.09,4.59,3.84,4.41,1.68
235,2025-01-16,金禾实业,002597,115.54,114.92,117.0,114.5,34017,79025835.0,2.17,-0.14,-0.16,0.6
234,2025-01-15,金禾实业,002597,116.83,115.08,117.66,114.79,36464,84807596.0,2.45,-1.78,-2.08,0.64
233,2025-01-14,金禾实业,002597,115.04,117.16,117.7,114.38,41080,96026934.44,2.89,1.88,2.16,0.72
232,2025-01-13,金禾实业,002597,115.83,115.0,117.7,114.79,36072,84058610.0,2.5,-1.36,-1.58,0.64
231,2025-01-10,金禾实业,002597,117.16,116.58,118.08,116.46,30746,72451001.25,1.39,-0.21,-0.25,0.54
230,2025-01-09,金禾实业,002597,116.87,116.83,118.2,116.25,37352,88201322.44,1.66,-0.53,-0.62,0.66
229,2025-01-08,金禾实业,002597,116.46,117.45,118.41,114.87,65504,153585228.84,3.02,0.32,0.37,1.15
228,2025-01-07,金禾实业,002597,115.62,117.08,118.33,114.75,75412,177413144.04,3.1,1.26,1.46,1.33
227,2025-01-06,金禾实业,002597,112.5,115.62,115.62,111.88,69494,159489404.03,3.33,2.96,3.32,1.23
226,2025-01-03,金禾实业,002597,112.71,112.3,115.21,112.09,50703,115045710.5,2.76,-0.55,-0.62,0.89
225,2025-01-02,金禾实业,002597,114.13,112.92,116.25,112.21,51388,117399862.31,3.54,-1.02,-1.16,0.91
224,2024-12-31,金禾实业,002597,115.75,114.08,116.41,114.0,23829,54921915.02,2.08,-1.69,-1.96,0.42
223,2024-12-30,金禾实业,002597,116.66,116.04,117.7,115.79,28249,66249040.81,1.63,-0.74,-0.87,0.5
222,2024-12-27,金禾实业,002597,115.62,116.91,117.54,115.33,42095,98951309.78,1.91,1.19,1.37,0.74
221,2024-12-26,金禾实业,002597,114.75,115.54,116.04,114.25,30370,70241819.8,1.56,0.47,0.54,0.54
220,2024-12-25,金禾实业,002597,114.21,115.0,115.08,113.13,32417,74109509.57,1.71,0.73,0.83,0.57
219,2024-12-24,金禾实业,002597,113.63,114.17,115.25,113.25,27668,63359774.31,1.76,0.3,0.34,0.49
218,2024-12-23,金禾实业,002597,113.17,113.83,114.92,112.79,38972,88966934.29,1.89,0.81,0.91,0.69
217,2024-12-20,金禾实业,002597,113.75,112.92,114.42,112.75,28562,64797305.16,1.47,-0.91,-1.04,0.5
