,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,奥佳华,002614,38.18,38.14,38.54,37.91,81307,52408271.76,1.66,0.24,0.09,1.84
239,2025-01-24,奥佳华,002614,37.46,38.05,38.14,37.19,99113,62911708.0,2.54,1.68,0.63,2.25
238,2025-01-23,奥佳华,002614,37.64,37.42,38.18,37.37,100365,63774072.0,2.18,0.48,0.18,2.28
237,2025-01-22,奥佳华,002614,37.69,37.24,37.82,37.19,83258,52110905.53,1.66,-1.66,-0.63,1.89
236,2025-01-21,奥佳华,002614,38.36,37.87,38.63,37.69,85444,54657799.36,2.45,-1.17,-0.45,1.94
235,2025-01-20,奥佳华,002614,38.0,38.32,38.45,37.73,97900,63050332.74,1.91,1.43,0.54,2.22
234,2025-01-17,奥佳华,002614,38.14,37.78,38.14,37.51,86525,54986914.0,1.65,-0.94,-0.36,1.96
233,2025-01-16,奥佳华,002614,37.78,38.14,38.45,37.69,149326,95901806.0,2.03,1.68,0.63,3.39
232,2025-01-15,奥佳华,002614,37.37,37.51,37.82,37.24,113379,71324765.64,1.54,-0.11,-0.04,2.57
231,2025-01-14,奥佳华,002614,36.07,37.55,37.55,36.07,162361,100052674.71,4.11,4.25,1.53,3.68
230,2025-01-13,奥佳华,002614,35.98,36.02,36.07,35.3,98710,58288216.0,2.12,-0.88,-0.32,2.24
229,2025-01-10,奥佳华,002614,37.73,36.34,37.78,36.29,178656,110323839.2,3.93,-4.14,-1.57,4.05
228,2025-01-09,奥佳华,002614,37.91,37.91,38.36,37.69,191396,122384887.0,1.73,-1.86,-0.72,4.34
227,2025-01-08,奥佳华,002614,38.14,38.63,39.26,37.01,298230,191017521.34,6.01,3.12,1.17,6.76
226,2025-01-07,奥佳华,002614,37.1,37.46,37.55,36.74,94737,58834224.0,2.19,1.22,0.45,2.15
225,2025-01-06,奥佳华,002614,37.42,37.01,37.55,36.43,113876,70297923.6,2.99,-1.1,-0.41,2.58
224,2025-01-03,奥佳华,002614,39.13,37.42,39.76,37.33,157178,101623584.93,6.22,-4.15,-1.62,3.56
223,2025-01-02,奥佳华,002614,38.99,39.04,40.03,38.77,142665,95529567.2,3.23,0.13,0.05,3.23
222,2024-12-31,奥佳华,002614,39.8,38.99,40.03,38.9,96281,64508026.82,2.84,-2.16,-0.86,2.18
221,2024-12-30,奥佳华,002614,40.43,39.85,40.48,39.58,117804,80364787.0,2.24,-0.77,-0.31,2.67
220,2024-12-27,奥佳华,002614,39.26,40.16,40.3,39.17,146496,100061733.65,2.87,2.16,0.85,3.32
219,2024-12-26,奥佳华,002614,39.22,39.31,39.67,39.13,106736,71555202.54,1.38,0.23,0.09,2.42
218,2024-12-25,奥佳华,002614,40.03,39.22,40.03,38.45,154801,102693363.67,3.94,-2.12,-0.85,3.51
217,2024-12-24,奥佳华,002614,39.67,40.07,40.07,39.17,157273,106436313.46,2.28,1.37,0.54,3.57
216,2024-12-23,奥佳华,002614,41.83,39.53,42.01,39.4,257879,178456355.59,6.26,-5.18,-2.16,5.85
215,2024-12-20,奥佳华,002614,41.65,41.69,42.86,41.65,204137,149342659.0,2.9,0.0,0.0,4.63
214,2024-12-19,奥佳华,002614,41.96,41.69,42.64,41.15,257712,185612322.28,3.51,-1.7,-0.72,5.84
213,2024-12-18,奥佳华,002614,43.0,42.41,43.45,42.14,324575,240716620.84,3.01,-2.48,-1.08,7.36
212,2024-12-17,奥佳华,002614,45.79,43.49,45.92,43.31,600403,470530710.45,5.55,-7.47,-3.51,13.61
211,2024-12-16,奥佳华,002614,46.42,47.0,48.35,45.74,818709,698330284.84,5.83,4.91,2.2,18.56
210,2024-12-13,奥佳华,002614,43.9,44.8,46.46,43.72,466811,374436761.12,6.21,1.54,0.68,10.58
209,2024-12-12,奥佳华,002614,43.67,44.12,44.62,42.95,309571,237477186.61,3.84,1.45,0.63,7.02
208,2024-12-11,奥佳华,002614,42.95,43.49,43.99,42.68,222049,169367743.02,3.05,1.26,0.54,5.03
207,2024-12-10,奥佳华,002614,43.18,42.95,43.67,42.82,254265,191937450.43,2.0,1.15,0.49,5.77
206,2024-12-09,奥佳华,002614,43.13,42.46,43.54,42.28,193994,144897178.58,2.92,-1.55,-0.67,4.4
205,2024-12-06,奥佳华,002614,42.77,43.13,43.31,42.28,268630,199810823.31,2.4,0.51,0.22,6.09
204,2024-12-05,奥佳华,002614,43.72,42.91,43.99,42.59,408404,307692915.56,3.24,-0.83,-0.36,9.26
203,2024-12-04,奥佳华,002614,41.96,43.27,45.65,41.29,640593,492631081.03,10.3,2.24,0.95,14.53
202,2024-12-03,奥佳华,002614,42.05,42.32,43.4,41.96,324253,240338688.84,3.42,0.52,0.22,7.35
201,2024-12-02,奥佳华,002614,42.32,42.1,43.0,41.87,333199,245251984.01,2.67,-0.64,-0.27,7.56
200,2024-11-29,奥佳华,002614,42.23,42.37,44.17,41.87,432480,324430805.63,5.34,-1.67,-0.72,9.81
199,2024-11-28,奥佳华,002614,41.47,43.09,44.62,40.66,607456,447079884.19,9.57,4.13,1.71,13.77
198,2024-11-27,奥佳华,002614,39.62,41.38,41.69,39.17,480260,334217401.83,6.24,2.45,0.99,10.89
197,2024-11-26,奥佳华,002614,42.05,40.39,42.5,40.21,573907,409015516.66,5.55,-2.18,-0.9,13.01
196,2024-11-25,奥佳华,002614,38.54,41.29,41.29,38.18,313935,216978538.4,8.11,7.64,2.93,7.12
195,2024-11-22,奥佳华,002614,39.17,38.36,39.58,38.27,133367,88511568.96,3.33,-2.42,-0.95,3.02
194,2024-11-21,奥佳华,002614,39.62,39.31,39.71,38.99,137663,91824947.98,1.82,-0.78,-0.31,3.12
193,2024-11-20,奥佳华,002614,38.27,39.62,40.25,38.27,235717,157919888.66,5.17,3.39,1.3,5.34
192,2024-11-19,奥佳华,002614,37.78,38.32,38.5,37.6,100174,64217940.05,2.39,1.67,0.63,2.27
191,2024-11-18,奥佳华,002614,37.82,37.69,38.36,37.6,103258,66014453.23,2.02,0.13,0.05,2.34
190,2024-11-15,奥佳华,002614,37.87,37.64,38.32,37.6,75525,48304217.5,1.9,-0.61,-0.23,1.71
189,2024-11-14,奥佳华,002614,38.77,37.87,38.86,37.82,81752,52673556.7,2.69,-1.97,-0.76,1.85
188,2024-11-13,奥佳华,002614,38.54,38.63,38.86,37.91,97474,63220601.5,2.46,0.1,0.04,2.21
187,2024-11-12,奥佳华,002614,38.77,38.59,39.13,38.32,135455,89078344.9,2.09,-0.23,-0.09,3.07
186,2024-11-11,奥佳华,002614,38.45,38.68,38.77,38.32,130519,85098694.44,1.16,-0.33,-0.13,2.96
185,2024-11-08,奥佳华,002614,39.4,38.81,39.8,38.36,207782,136894792.0,3.73,0.57,0.22,4.71
