,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,哈尔斯,002615,42.78,42.74,42.96,42.24,115494,94520738.5,1.7,0.64,0.27,3.77
240,2025-01-23,哈尔斯,002615,43.23,42.47,43.46,42.47,140525,116617607.9,2.31,-0.93,-0.4,4.58
239,2025-01-22,哈尔斯,002615,43.73,42.87,44.0,42.65,171025,141935674.05,3.07,-2.46,-1.08,5.58
238,2025-01-21,哈尔斯,002615,44.49,43.95,44.58,43.55,340261,289355213.71,2.3,-2.01,-0.9,11.09
237,2025-01-20,哈尔斯,002615,43.55,44.85,44.85,42.65,257465,220305043.25,5.33,8.6,3.55,8.39
236,2025-01-17,哈尔斯,002615,40.89,41.3,41.52,40.8,60860,47926652.34,1.75,0.22,0.09,1.98
235,2025-01-16,哈尔斯,002615,40.94,41.21,41.84,40.94,113640,89823635.46,2.2,0.66,0.27,3.7
234,2025-01-15,哈尔斯,002615,40.62,40.94,41.34,40.49,68498,53584462.25,2.09,0.79,0.32,2.23
233,2025-01-14,哈尔斯,002615,39.27,40.62,40.67,39.14,77571,59186169.0,3.93,4.26,1.66,2.53
232,2025-01-13,哈尔斯,002615,39.27,38.96,39.5,38.51,74591,55089302.25,2.5,-1.59,-0.63,2.43
231,2025-01-10,哈尔斯,002615,40.67,39.59,40.85,39.59,66678,51030266.0,3.1,-2.66,-1.08,2.17
230,2025-01-09,哈尔斯,002615,41.39,40.67,41.52,40.53,69769,54618675.75,2.38,-2.26,-0.94,2.3
229,2025-01-08,哈尔斯,002615,40.94,41.61,41.7,40.08,89754,70271640.25,3.96,1.64,0.67,2.95
228,2025-01-07,哈尔斯,002615,39.77,40.94,40.98,39.77,87800,68051589.0,3.04,2.94,1.17,2.89
227,2025-01-06,哈尔斯,002615,39.54,39.77,40.67,38.87,105584,79964568.0,4.47,-1.34,-0.54,3.47
226,2025-01-03,哈尔斯,002615,42.2,40.31,42.56,40.26,154837,121860118.5,5.45,-4.57,-1.93,5.09
225,2025-01-02,哈尔斯,002615,41.34,42.24,43.73,41.34,165231,135254657.5,5.76,1.73,0.72,5.44
224,2024-12-31,哈尔斯,002615,41.88,41.52,42.33,41.43,84367,67781118.0,2.14,-1.28,-0.54,2.78
223,2024-12-30,哈尔斯,002615,41.93,42.06,42.33,41.48,57523,46403228.0,2.02,0.1,0.04,1.89
222,2024-12-27,哈尔斯,002615,41.75,42.02,42.24,41.43,63137,50859727.25,1.94,0.65,0.27,2.08
221,2024-12-26,哈尔斯,002615,41.12,41.75,41.79,41.12,61407,48918363.19,1.63,1.43,0.59,2.02
220,2024-12-25,哈尔斯,002615,41.75,41.16,41.88,40.71,82448,64879656.5,2.79,-1.72,-0.72,2.71
219,2024-12-24,哈尔斯,002615,41.25,41.88,41.88,41.12,89003,70971117.0,1.85,1.97,0.81,2.93
218,2024-12-23,哈尔斯,002615,42.51,41.07,42.51,40.94,127339,101469182.75,3.69,-3.39,-1.44,4.19
217,2024-12-20,哈尔斯,002615,42.56,42.51,43.64,42.42,110545,91490724.55,2.88,0.21,0.09,3.64
216,2024-12-19,哈尔斯,002615,41.88,42.42,42.6,41.79,78778,63860397.5,1.91,0.09,0.04,2.59
215,2024-12-18,哈尔斯,002615,42.38,42.38,42.87,41.75,107770,87666754.84,2.64,0.0,0.0,3.55
214,2024-12-17,哈尔斯,002615,44.04,42.38,44.13,42.2,158155,130261877.26,4.39,-3.68,-1.62,5.2
213,2024-12-16,哈尔斯,002615,44.09,44.0,44.81,43.73,137984,117798383.15,2.45,-0.2,-0.09,4.54
212,2024-12-13,哈尔斯,002615,44.99,44.09,44.99,44.04,182859,157143571.82,2.11,-2.09,-0.94,6.02
211,2024-12-12,哈尔斯,002615,43.95,45.03,45.12,43.95,293254,253937599.71,2.66,2.46,1.08,9.65
210,2024-12-11,哈尔斯,002615,43.41,43.95,43.95,43.41,111571,94408616.75,1.24,0.71,0.31,3.67
209,2024-12-10,哈尔斯,002615,44.45,43.64,44.67,43.5,197150,168117660.66,2.68,-0.21,-0.09,6.49
208,2024-12-09,哈尔斯,002615,43.1,43.73,43.95,42.96,174183,146232625.4,2.29,1.16,0.5,5.73
207,2024-12-06,哈尔斯,002615,42.92,43.23,43.28,42.51,118086,97674090.0,1.79,0.51,0.22,3.88
206,2024-12-05,哈尔斯,002615,42.51,43.01,43.1,42.47,108338,89276183.2,1.47,0.63,0.27,3.56
205,2024-12-04,哈尔斯,002615,43.41,42.74,43.41,42.51,142753,118084300.6,2.06,-1.95,-0.85,4.7
204,2024-12-03,哈尔斯,002615,44.04,43.59,44.13,43.23,155636,130952811.53,2.05,-0.93,-0.41,5.12
203,2024-12-02,哈尔斯,002615,43.68,44.0,44.13,43.46,228610,193111369.43,1.54,1.15,0.5,7.52
202,2024-11-29,哈尔斯,002615,43.5,43.5,44.18,42.92,243398,204409187.0,2.89,-0.32,-0.14,8.01
201,2024-11-28,哈尔斯,002615,44.09,43.64,45.17,43.64,371319,318483906.69,3.57,1.89,0.81,12.22
200,2024-11-27,哈尔斯,002615,42.02,42.83,43.01,40.85,180363,144826649.62,5.14,1.83,0.77,5.93
199,2024-11-26,哈尔斯,002615,41.3,42.06,42.78,41.25,204221,165971430.46,3.7,1.62,0.67,6.72
198,2024-11-25,哈尔斯,002615,40.94,41.39,41.39,40.67,94891,74477404.66,1.76,1.32,0.54,3.12
197,2024-11-22,哈尔斯,002615,42.24,40.85,42.56,40.76,136201,108885989.5,4.27,-3.2,-1.35,4.48
196,2024-11-21,哈尔斯,002615,42.11,42.2,42.42,41.75,119763,96825631.15,1.58,-0.21,-0.09,3.94
195,2024-11-20,哈尔斯,002615,41.88,42.29,42.42,41.57,157022,126407831.73,2.03,1.2,0.5,5.17
194,2024-11-19,哈尔斯,002615,41.48,41.79,41.84,41.03,138702,110341470.59,1.96,0.97,0.4,4.56
193,2024-11-18,哈尔斯,002615,42.51,41.39,42.87,41.16,197620,158288854.59,4.02,-2.63,-1.12,6.5
192,2024-11-15,哈尔斯,002615,44.4,42.51,44.54,42.47,259377,216571238.06,4.67,-4.17,-1.85,8.53
191,2024-11-14,哈尔斯,002615,44.76,44.36,45.53,44.13,203524,176599145.98,3.12,-1.2,-0.54,6.7
190,2024-11-13,哈尔斯,002615,45.35,44.9,45.39,43.95,259953,224197463.5,3.15,-1.86,-0.85,8.55
189,2024-11-12,哈尔斯,002615,44.58,45.75,46.47,44.4,491803,437743030.27,4.65,2.72,1.21,16.18
188,2024-11-11,哈尔斯,002615,43.86,44.54,44.72,43.55,267084,228466704.03,2.65,0.81,0.36,8.79
187,2024-11-08,哈尔斯,002615,44.63,44.18,45.21,44.04,403959,348301751.2,2.62,-1.1,-0.49,13.29
186,2024-11-07,哈尔斯,002615,44.49,44.67,45.12,43.86,555017,476892058.45,2.73,-3.23,-1.49,18.26
185,2024-11-06,哈尔斯,002615,47.51,46.16,49.85,45.75,805250,746012513.99,8.32,-6.29,-3.1,26.49
184,2024-11-05,哈尔斯,002615,47.73,49.26,50.21,46.61,676641,638122394.45,7.16,-1.97,-0.99,22.26
183,2024-11-04,哈尔斯,002615,49.17,50.25,50.61,47.51,724641,699714537.48,6.54,6.08,2.88,23.84
182,2024-11-01,哈尔斯,002615,51.24,47.37,51.24,47.1,1016867,1003441625.66,8.79,0.57,0.27,33.45
181,2024-10-31,哈尔斯,002615,43.68,47.1,47.1,43.5,648374,568219863.64,8.31,8.73,3.78,21.33
180,2024-10-30,哈尔斯,002615,41.12,43.32,44.81,41.07,584426,492350836.32,9.07,5.02,2.07,19.23
