,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,金安国纪,002636,23.4,23.24,23.73,22.64,677030,576090510.46,4.4,-6.18,-1.53,9.35
240,2025-01-23,金安国纪,002636,26.49,24.77,26.98,24.77,782880,736054878.32,8.06,-9.7,-2.66,10.81
239,2025-01-22,金安国纪,002636,28.2,27.43,31.32,27.43,1087011,1156598185.96,12.81,-9.65,-2.93,15.01
238,2025-01-21,金安国纪,002636,29.45,30.36,33.27,28.26,1339327,1548943883.39,16.51,0.07,0.02,18.49
237,2025-01-20,金安国纪,002636,30.34,30.34,30.34,30.34,156087,176222437.51,0.0,9.69,2.68,2.15
236,2025-01-17,金安国纪,002636,25.37,27.66,27.66,25.37,548012,541949387.21,9.07,9.59,2.42,7.57
235,2025-01-16,金安国纪,002636,23.16,25.24,25.24,22.67,693501,629685866.9,11.16,9.6,2.21,9.57
234,2025-01-15,金安国纪,002636,23.03,23.03,23.03,23.03,130858,110967584.0,0.0,9.51,2.0,1.81
233,2025-01-14,金安国纪,002636,19.31,21.03,21.03,19.29,95983,71462227.46,9.06,9.47,1.82,1.33
232,2025-01-13,金安国纪,002636,19.16,19.21,19.31,18.66,58328,40503182.8,3.35,-1.08,-0.21,0.81
231,2025-01-10,金安国纪,002636,20.02,19.42,20.41,19.37,70746,51561433.0,5.12,-4.33,-0.88,0.98
230,2025-01-09,金安国纪,002636,19.7,20.3,20.82,19.65,97036,72428127.89,5.95,3.15,0.62,1.34
229,2025-01-08,金安国纪,002636,20.09,19.68,20.09,19.05,66538,47611408.47,5.18,-2.04,-0.41,0.92
228,2025-01-07,金安国纪,002636,19.16,20.09,20.09,19.16,57974,41743742.0,4.83,4.31,0.83,0.8
227,2025-01-06,金安国纪,002636,19.5,19.26,19.55,18.74,63233,44379207.92,4.16,-1.08,-0.21,0.87
226,2025-01-03,金安国纪,002636,20.43,19.47,20.59,19.39,72466,52712273.24,5.9,-4.32,-0.88,1.0
225,2025-01-02,金安国纪,002636,21.13,20.35,21.19,20.09,77180,58505896.3,5.21,-3.6,-0.76,1.07
224,2024-12-31,金安国纪,002636,22.51,21.11,22.67,21.06,107796,85826070.73,7.15,-6.22,-1.4,1.49
223,2024-12-30,金安国纪,002636,22.56,22.51,22.98,22.12,51968,43217076.56,3.78,-1.05,-0.24,0.72
222,2024-12-27,金安国纪,002636,22.62,22.75,23.08,22.46,55250,46481202.0,2.73,0.35,0.08,0.76
221,2024-12-26,金安国纪,002636,22.02,22.67,22.75,21.99,61679,51227991.8,3.43,2.35,0.52,0.85
220,2024-12-25,金安国纪,002636,22.46,22.15,22.67,21.81,66009,53711775.15,3.8,-2.16,-0.49,0.91
219,2024-12-24,金安国纪,002636,23.08,22.64,23.24,22.23,70487,58649699.88,4.48,0.44,0.1,0.97
218,2024-12-23,金安国纪,002636,23.6,22.54,23.71,22.41,91946,77684495.2,5.49,-4.73,-1.12,1.27
217,2024-12-20,金安国纪,002636,23.11,23.66,23.86,23.03,104157,90625862.97,3.57,1.81,0.42,1.44
216,2024-12-19,金安国纪,002636,22.56,23.24,23.29,22.46,70039,59138507.2,3.65,2.15,0.49,0.97
