,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,华东重机,002685,18.75,18.8,18.83,18.44,328279,211834125.01,2.08,0.43,0.08,3.26
240,2025-01-23,华东重机,002685,19.22,18.72,19.5,18.61,399566,264485208.0,4.7,-1.16,-0.22,3.97
239,2025-01-22,华东重机,002685,19.11,18.94,19.28,18.89,283382,186494129.0,2.01,-2.32,-0.45,2.81
238,2025-01-21,华东重机,002685,19.64,19.39,19.7,18.94,380557,253276781.54,3.91,-0.15,-0.03,3.78
237,2025-01-20,华东重机,002685,19.53,19.42,19.92,19.34,393990,266542365.04,2.97,-0.41,-0.08,3.91
236,2025-01-17,华东重机,002685,19.28,19.5,19.81,19.25,450180,304132039.72,2.88,0.41,0.08,4.47
235,2025-01-16,华东重机,002685,19.22,19.42,20.32,19.2,639885,436705836.34,5.85,1.46,0.28,6.35
234,2025-01-15,华东重机,002685,19.08,19.14,19.53,18.83,459032,304117819.42,3.63,-0.88,-0.17,4.56
233,2025-01-14,华东重机,002685,18.5,19.31,19.59,18.24,613869,399785987.24,7.46,6.69,1.21,6.09
232,2025-01-13,华东重机,002685,18.22,18.1,18.3,17.74,379873,235894947.0,3.04,-1.68,-0.31,3.77
231,2025-01-10,华东重机,002685,18.83,18.41,19.78,18.36,615005,406951916.65,7.45,-3.41,-0.65,6.1
230,2025-01-09,华东重机,002685,18.27,19.06,20.01,18.27,665299,442828725.71,9.41,3.03,0.56,6.6
229,2025-01-08,华东重机,002685,17.71,18.5,18.94,17.63,649603,407617652.69,7.31,3.29,0.59,6.45
228,2025-01-07,华东重机,002685,17.15,17.91,17.96,17.15,504908,307290980.12,4.77,5.48,0.93,5.01
227,2025-01-06,华东重机,002685,17.4,16.98,17.88,16.9,485916,290184192.23,5.44,-5.77,-1.04,4.82
226,2025-01-03,华东重机,002685,19.7,18.02,19.78,17.77,604822,392297079.78,10.22,-8.39,-1.65,6.0
225,2025-01-02,华东重机,002685,19.25,19.67,19.76,18.89,511702,343632570.56,4.47,1.13,0.22,5.08
224,2024-12-31,华东重机,002685,19.87,19.45,20.15,19.2,692771,467655093.5,4.75,-2.65,-0.53,6.88
223,2024-12-30,华东重机,002685,19.53,19.98,21.21,19.14,1051653,741819282.25,10.51,1.42,0.28,10.44
222,2024-12-27,华东重机,002685,20.23,19.7,20.37,19.64,1060863,734424561.09,3.51,-5.24,-1.09,10.53
221,2024-12-26,华东重机,002685,19.03,20.79,20.79,18.94,1571869,1111115112.51,9.77,9.77,1.85,15.6
220,2024-12-25,华东重机,002685,20.43,18.94,20.71,18.72,963988,642285721.07,9.59,-8.68,-1.8,9.57
219,2024-12-24,华东重机,002685,21.38,20.74,21.58,20.06,741877,532377433.0,7.35,0.29,0.06,7.36
218,2024-12-23,华东重机,002685,22.25,20.68,22.64,20.4,1421802,1064948653.87,10.07,-7.06,-1.57,14.11
217,2024-12-20,华东重机,002685,20.32,22.25,22.25,20.29,1261434,959986651.64,9.66,9.66,1.96,12.52
216,2024-12-19,华东重机,002685,20.23,20.29,20.71,19.87,622431,437697043.36,4.03,-2.69,-0.56,6.18
215,2024-12-18,华东重机,002685,21.1,20.85,21.44,20.29,763903,551525804.6,5.41,-1.97,-0.42,7.58
214,2024-12-17,华东重机,002685,22.61,21.27,22.95,21.24,876826,665465860.18,7.61,-5.34,-1.2,8.7
213,2024-12-16,华东重机,002685,23.12,22.47,23.87,22.36,1336802,1069318567.51,6.34,-5.67,-1.35,13.27
212,2024-12-13,华东重机,002685,23.28,23.82,25.78,22.95,2411965,2052724741.51,11.94,0.51,0.12,23.94
211,2024-12-12,华东重机,002685,21.6,23.7,23.7,20.76,1231493,947340167.3,13.61,9.72,2.1,12.22
210,2024-12-11,华东重机,002685,20.99,21.6,21.69,20.85,558829,415155268.75,3.95,1.69,0.36,5.55
209,2024-12-10,华东重机,002685,22.16,21.24,22.3,21.21,733005,549526379.21,5.08,-0.93,-0.2,7.28
208,2024-12-09,华东重机,002685,22.3,21.44,22.44,21.21,860949,646305773.09,5.52,-3.86,-0.86,8.54
207,2024-12-06,华东重机,002685,22.58,22.3,22.95,22.0,1181445,920978630.2,4.09,-4.0,-0.93,11.73
206,2024-12-05,华东重机,002685,22.75,23.23,23.98,21.86,2230558,1773025339.64,9.46,3.61,0.81,22.14
205,2024-12-04,华东重机,002685,20.76,22.42,22.42,20.62,820325,629465774.53,8.81,9.74,1.99,8.14
204,2024-12-03,华东重机,002685,20.09,20.43,20.74,19.95,744846,527376368.46,3.92,1.39,0.28,7.39
203,2024-12-02,华东重机,002685,19.59,20.15,20.26,19.59,538584,373280985.95,3.41,2.6,0.51,5.35
