,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,跃岭股份,002725,30.83,31.19,31.45,30.83,83172,95811331.0,1.99,0.1,0.03,3.92
240,2025-01-23,跃岭股份,002725,32.04,31.16,32.47,31.11,99910,117960104.68,4.3,-1.55,-0.49,4.71
239,2025-01-22,跃岭股份,002725,31.65,31.65,32.8,31.34,106093,125422508.2,4.62,0.16,0.05,5.01
238,2025-01-21,跃岭股份,002725,31.7,31.6,31.86,30.88,77218,89605161.88,3.1,-0.16,-0.05,3.64
237,2025-01-20,跃岭股份,002725,31.7,31.65,32.06,31.32,89744,104855473.0,2.34,-0.09,-0.03,4.23
236,2025-01-17,跃岭股份,002725,31.83,31.68,32.6,31.32,138350,162823266.6,3.96,-1.98,-0.64,6.53
235,2025-01-16,跃岭股份,002725,31.47,32.32,32.37,31.11,226751,266855173.0,4.03,3.29,1.03,10.7
234,2025-01-15,跃岭股份,002725,31.78,31.29,32.27,31.01,203390,236974857.0,3.9,-3.25,-1.05,9.6
233,2025-01-14,跃岭股份,002725,32.98,32.34,32.98,31.32,319774,378457708.88,5.43,5.76,1.76,15.09
232,2025-01-13,跃岭股份,002725,27.68,30.58,30.58,27.27,135854,146731316.04,11.85,9.45,2.64,6.41
231,2025-01-10,跃岭股份,002725,29.14,27.94,29.58,27.94,82433,87619749.0,5.61,-4.38,-1.28,3.89
230,2025-01-09,跃岭股份,002725,29.17,29.22,29.68,29.07,83911,90862647.0,2.07,-0.68,-0.2,3.96
229,2025-01-08,跃岭股份,002725,28.96,29.42,29.63,27.99,135402,143529006.8,5.65,1.41,0.41,6.39
228,2025-01-07,跃岭股份,002725,27.27,29.01,29.01,27.27,104282,107980939.0,6.39,6.58,1.79,4.92
227,2025-01-06,跃岭股份,002725,27.22,27.22,27.73,26.28,65892,65647267.0,5.28,-0.84,-0.23,3.11
226,2025-01-03,跃岭股份,002725,29.19,27.45,29.63,27.3,82291,85112293.0,8.0,-5.8,-1.69,3.88
225,2025-01-02,跃岭股份,002725,29.19,29.14,30.29,28.76,90096,97989411.0,5.25,0.0,0.0,4.25
224,2024-12-31,跃岭股份,002725,30.35,29.14,30.52,29.07,108611,118564841.0,4.78,-3.99,-1.21,5.12
223,2024-12-30,跃岭股份,002725,30.6,30.35,32.34,29.71,115496,130336985.0,8.56,-1.24,-0.38,5.45
222,2024-12-27,跃岭股份,002725,29.91,30.73,31.32,29.83,89035,101148040.0,4.97,2.47,0.74,4.2
221,2024-12-26,跃岭股份,002725,29.09,29.99,30.32,29.09,76416,84241224.0,4.21,2.64,0.77,3.61
220,2024-12-25,跃岭股份,002725,29.96,29.22,30.22,28.3,119217,127661528.0,6.35,-3.37,-1.02,5.63
219,2024-12-24,跃岭股份,002725,30.45,30.24,30.99,29.63,108625,120752503.97,4.46,-0.75,-0.23,5.13
218,2024-12-23,跃岭股份,002725,33.11,30.47,33.34,30.29,147806,172795851.2,9.14,-8.69,-2.9,6.97
