,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中矿资源,002738,117.02,117.79,118.96,116.96,75820,289436594.72,1.69,-0.3,-0.35,1.07
240,2025-01-23,中矿资源,002738,119.32,118.14,121.11,117.85,74530,287915349.64,2.74,-0.76,-0.91,1.05
239,2025-01-22,中矿资源,002738,117.11,119.05,119.7,116.73,93108,356564519.41,2.54,1.66,1.94,1.31
238,2025-01-21,中矿资源,002738,118.08,117.11,118.26,116.43,56148,212751021.2,1.56,-0.35,-0.41,0.79
237,2025-01-20,中矿资源,002738,118.2,117.52,119.55,117.17,86426,329890721.85,2.01,-0.87,-1.03,1.22
236,2025-01-17,中矿资源,002738,119.08,118.55,123.17,118.32,112529,435499664.8,4.09,0.08,0.09,1.58
235,2025-01-16,中矿资源,002738,116.99,118.46,118.96,116.26,135376,515424816.95,2.31,1.23,1.44,1.9
234,2025-01-15,中矿资源,002738,116.43,117.02,118.93,114.99,117228,443876146.84,3.38,0.33,0.38,1.65
233,2025-01-14,中矿资源,002738,114.99,116.64,117.43,113.44,126330,472687684.44,3.47,1.41,1.62,1.78
232,2025-01-13,中矿资源,002738,108.82,115.02,115.67,108.79,169585,623960536.41,6.27,4.88,5.35,2.38
231,2025-01-10,中矿资源,002738,111.97,109.67,113.76,109.67,67256,241889881.22,3.65,-2.05,-2.3,0.95
230,2025-01-09,中矿资源,002738,109.14,111.97,112.91,108.82,113025,404161904.05,3.71,1.69,1.86,1.59
229,2025-01-08,中矿资源,002738,111.73,110.11,112.73,108.79,71460,254229339.8,3.51,-2.05,-2.3,1.0
228,2025-01-07,中矿资源,002738,109.23,112.41,113.35,108.2,86905,312376071.16,4.67,1.95,2.15,1.22
227,2025-01-06,中矿资源,002738,107.61,110.26,113.93,107.03,172083,614848448.04,6.51,4.02,4.26,2.42
226,2025-01-03,中矿资源,002738,107.67,106.0,109.61,105.79,81070,280527546.76,3.53,-2.06,-2.23,1.14
225,2025-01-02,中矿资源,002738,109.94,108.23,110.91,107.32,86154,301491717.85,3.26,-1.84,-2.03,1.21
224,2024-12-31,中矿资源,002738,114.23,110.26,114.32,110.17,89710,322428026.52,3.63,-3.5,-4.0,1.26
223,2024-12-30,中矿资源,002738,114.96,114.26,115.29,112.94,76841,282800255.6,2.07,0.41,0.47,1.08
222,2024-12-27,中矿资源,002738,113.17,113.79,114.52,112.64,68988,252750664.4,1.66,0.49,0.56,0.97
221,2024-12-26,中矿资源,002738,113.76,113.23,114.88,113.08,68534,251909304.47,1.58,-0.77,-0.88,0.96
220,2024-12-25,中矿资源,002738,114.67,114.11,115.52,111.88,91287,333650035.36,3.16,-0.84,-0.97,1.28
219,2024-12-24,中矿资源,002738,112.2,115.08,115.49,111.88,114815,422848648.54,3.22,2.59,2.91,1.61
218,2024-12-23,中矿资源,002738,112.91,112.17,114.96,112.11,94334,345199514.56,2.51,-1.07,-1.21,1.33
217,2024-12-20,中矿资源,002738,111.58,113.38,114.11,111.14,135336,490894217.64,2.67,1.77,1.97,1.9
216,2024-12-19,中矿资源,002738,112.2,111.41,112.26,109.67,172546,615308528.72,2.28,-1.88,-2.14,2.43
215,2024-12-18,中矿资源,002738,115.58,113.55,116.58,113.05,124870,459957353.7,3.05,-1.83,-2.12,1.76
214,2024-12-17,中矿资源,002738,117.79,115.67,118.64,115.02,86386,325064952.36,3.1,-1.1,-1.29,1.21
213,2024-12-16,中矿资源,002738,120.7,116.96,121.37,116.52,138849,529585752.84,4.0,-3.63,-4.41,1.95
212,2024-12-13,中矿资源,002738,123.43,121.37,124.34,120.49,145385,573224384.3,3.1,-2.41,-3.0,2.04
211,2024-12-12,中矿资源,002738,119.93,124.37,125.84,119.37,204410,816044300.76,5.38,3.5,4.2,2.87
210,2024-12-11,中矿资源,002738,117.55,120.17,121.46,116.73,139794,538542206.19,4.02,2.23,2.62,1.97
209,2024-12-10,中矿资源,002738,120.49,117.55,121.31,117.32,157492,607466090.05,3.41,0.32,0.38,2.21
208,2024-12-09,中矿资源,002738,118.2,117.17,118.37,116.67,84841,321737209.56,1.44,-0.92,-1.09,1.19
207,2024-12-06,中矿资源,002738,117.4,118.26,119.76,114.08,175675,662673091.12,4.81,0.23,0.27,2.47
206,2024-12-05,中矿资源,002738,117.58,117.99,119.32,116.43,147894,561810566.44,2.43,-0.67,-0.8,2.08
205,2024-12-04,中矿资源,002738,118.49,118.79,121.37,117.26,348492,1347488344.81,3.56,3.04,3.5,4.9
204,2024-12-03,中矿资源,002738,116.67,115.29,117.32,114.08,128122,477432051.08,2.78,-1.16,-1.35,1.8
203,2024-12-02,中矿资源,002738,117.02,116.64,118.02,115.29,153002,576467442.86,2.33,-0.55,-0.65,2.15
