,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,光华科技,002741,49.0,47.2,49.33,47.2,170660,268128749.01,4.36,-3.44,-1.68,4.72
239,2025-01-24,光华科技,002741,47.17,48.88,48.88,47.17,200325,314942097.13,3.58,2.26,1.08,5.54
238,2025-01-23,光华科技,002741,49.72,47.8,50.44,47.8,253049,406107573.26,5.37,-2.81,-1.38,7.0
237,2025-01-22,光华科技,002741,49.15,49.18,50.2,48.19,229388,368369607.94,4.06,-0.67,-0.33,6.34
236,2025-01-21,光华科技,002741,50.38,49.51,50.92,48.88,261274,423873174.0,4.06,-1.43,-0.72,7.23
235,2025-01-20,光华科技,002741,50.05,50.23,51.88,48.7,395982,651236488.0,6.45,1.82,0.9,10.95
234,2025-01-17,光华科技,002741,48.61,49.33,50.5,48.13,347996,564063999.88,4.85,0.92,0.45,9.63
233,2025-01-16,光华科技,002741,49.12,48.88,50.44,48.4,208196,335202066.0,4.18,0.18,0.09,5.76
232,2025-01-15,光华科技,002741,49.87,48.79,50.05,48.49,237851,380859052.3,3.17,-0.85,-0.42,6.58
231,2025-01-14,光华科技,002741,46.54,49.21,49.21,46.18,268661,421002291.48,6.57,6.63,3.06,7.43
230,2025-01-13,光华科技,002741,46.87,46.15,47.11,45.28,210584,316830789.0,3.86,-2.6,-1.23,5.82
229,2025-01-10,光华科技,002741,49.72,47.38,50.2,47.2,290239,464230497.0,6.04,-4.65,-2.31,8.03
228,2025-01-09,光华科技,002741,48.07,49.69,50.65,48.07,375543,607162799.16,5.33,2.67,1.29,10.39
227,2025-01-08,光华科技,002741,47.89,48.4,48.79,45.97,290575,450782007.75,5.84,0.25,0.12,8.04
226,2025-01-07,光华科技,002741,47.17,48.28,48.37,46.9,226013,352107775.0,3.12,2.42,1.14,6.25
225,2025-01-06,光华科技,002741,48.46,47.14,48.94,46.81,242048,377706465.8,4.36,-3.5,-1.71,6.7
224,2025-01-03,光华科技,002741,49.96,48.85,51.37,48.13,331419,535605350.56,6.47,-2.46,-1.23,9.17
223,2025-01-02,光华科技,002741,50.44,50.08,52.09,49.24,281526,465349461.33,5.64,-0.95,-0.48,7.79
222,2024-12-31,光华科技,002741,53.89,50.56,53.98,50.5,348600,588088850.54,6.49,-5.65,-3.03,9.64
