,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,快意电梯,002774,8.89,8.93,8.95,8.8,24229,17754195.7,1.69,0.45,0.04,0.86
240,2025-01-23,快意电梯,002774,8.96,8.89,9.01,8.86,21884,16145642.6,1.68,-0.22,-0.02,0.78
239,2025-01-22,快意电梯,002774,8.93,8.91,9.05,8.9,25017,18522818.0,1.67,-1.0,-0.09,0.89
238,2025-01-21,快意电梯,002774,9.13,9.0,9.13,8.9,31081,23084702.0,2.53,-0.88,-0.08,1.1
237,2025-01-20,快意电梯,002774,8.82,9.08,9.19,8.82,63238,47361344.0,4.19,2.71,0.24,2.24
236,2025-01-17,快意电梯,002774,8.76,8.84,8.86,8.72,37376,27094837.0,1.59,0.34,0.03,1.33
235,2025-01-16,快意电梯,002774,9.02,8.81,9.09,8.71,80142,58605645.32,4.19,-2.76,-0.25,2.84
234,2025-01-15,快意电梯,002774,8.83,9.06,9.15,8.76,97120,72203604.58,4.41,2.49,0.22,3.45
233,2025-01-14,快意电梯,002774,8.43,8.84,8.84,8.42,56541,40157793.0,5.01,5.36,0.45,2.01
232,2025-01-13,快意电梯,002774,8.27,8.39,8.48,8.14,39155,26569545.0,4.04,-0.24,-0.02,1.39
231,2025-01-10,快意电梯,002774,8.36,8.41,8.58,8.28,51898,35722419.0,3.6,0.84,0.07,1.84
230,2025-01-09,快意电梯,002774,8.34,8.34,8.43,8.26,30320,20558322.0,2.04,0.24,0.02,1.08
229,2025-01-08,快意电梯,002774,8.34,8.32,8.34,8.07,34970,23382863.0,3.26,0.36,0.03,1.24
228,2025-01-07,快意电梯,002774,8.06,8.29,8.29,8.06,39085,25902829.0,2.86,2.98,0.24,1.39
227,2025-01-06,快意电梯,002774,8.01,8.05,8.14,7.76,42137,27162740.0,4.74,0.37,0.03,1.5
226,2025-01-03,快意电梯,002774,8.43,8.02,8.43,8.02,44858,29702247.0,4.9,-4.18,-0.35,1.59
225,2025-01-02,快意电梯,002774,8.48,8.37,8.59,8.29,44880,30907480.0,3.54,-1.3,-0.11,1.59
224,2024-12-31,快意电梯,002774,8.62,8.48,8.72,8.47,40147,28186479.0,2.9,-1.74,-0.15,1.42
223,2024-12-30,快意电梯,002774,8.73,8.63,8.74,8.51,29496,20852256.0,2.63,-1.26,-0.11,1.05
222,2024-12-27,快意电梯,002774,8.61,8.74,8.78,8.57,33059,23696163.0,2.44,1.51,0.13,1.17
221,2024-12-26,快意电梯,002774,8.5,8.61,8.67,8.45,41161,29035764.25,2.59,1.29,0.11,1.46
220,2024-12-25,快意电梯,002774,8.86,8.5,8.87,8.35,84938,59133798.77,5.87,-4.06,-0.36,3.01
