,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中坚科技,002779,135.69,148.21,150.61,135.69,76650,729797157.71,10.72,6.45,8.98,6.47
240,2025-01-23,中坚科技,002779,137.11,139.23,142.48,132.87,88532,806554600.8,7.0,1.46,2.0,7.48
239,2025-01-22,中坚科技,002779,130.6,137.23,139.36,128.98,81700,731288738.3,7.85,3.73,4.93,6.9
238,2025-01-21,中坚科技,002779,124.57,132.3,133.44,124.11,85835,734019928.46,7.58,7.48,9.21,7.25
237,2025-01-20,中坚科技,002779,124.36,123.09,127.29,121.81,68350,563814750.65,4.52,1.43,1.73,5.77
236,2025-01-17,中坚科技,002779,125.89,121.36,125.91,119.11,84441,683047705.0,5.45,-2.67,-3.33,7.13
235,2025-01-16,中坚科技,002779,126.61,124.69,135.01,124.17,111263,950473622.23,8.51,-2.1,-2.67,9.39
234,2025-01-15,中坚科技,002779,120.63,127.36,128.11,116.86,111728,909625169.5,9.4,6.39,7.65,9.43
233,2025-01-14,中坚科技,002779,113.91,119.71,120.12,111.37,84222,652650804.16,7.81,6.83,7.65,7.11
232,2025-01-13,中坚科技,002779,121.59,112.06,122.28,110.95,102301,782502838.76,9.55,-5.54,-6.57,8.64
231,2025-01-10,中坚科技,002779,117.12,118.63,126.76,113.73,144376,1150990098.94,11.3,2.9,3.34,12.19
230,2025-01-09,中坚科技,002779,107.82,115.29,118.74,104.58,173161,1280877247.04,13.11,6.75,7.29,14.62
229,2025-01-08,中坚科技,002779,96.88,108.0,108.0,95.67,109575,742247191.0,12.55,9.95,9.77,9.25
228,2025-01-07,中坚科技,002779,98.11,98.23,100.18,95.55,56923,369020290.0,4.76,1.05,1.02,4.81
227,2025-01-06,中坚科技,002779,98.7,97.21,99.75,95.14,55268,355732773.0,4.7,-0.92,-0.9,4.67
226,2025-01-03,中坚科技,002779,105.67,98.11,106.18,97.93,65790,441263409.36,7.73,-8.06,-8.6,5.55
225,2025-01-02,中坚科技,002779,102.22,106.71,111.03,99.16,91879,643047043.56,11.57,4.0,4.1,7.76
224,2024-12-31,中坚科技,002779,107.11,102.61,107.71,101.59,58383,401806798.0,5.77,-3.24,-3.44,4.93
