,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,世嘉科技,002796,27.3,27.54,27.54,27.05,96304,111105023.75,1.8,1.14,0.31,4.25
240,2025-01-23,世嘉科技,002796,27.66,27.23,28.24,27.23,114860,134167012.0,3.71,0.0,0.0,5.07
239,2025-01-22,世嘉科技,002796,27.32,27.23,27.81,27.18,97819,113663168.13,2.3,-0.73,-0.2,4.32
238,2025-01-21,世嘉科技,002796,27.7,27.43,27.77,27.0,95777,110431965.32,2.81,0.0,0.0,4.23
237,2025-01-20,世嘉科技,002796,27.18,27.43,27.54,26.94,112288,129405968.59,2.23,1.93,0.52,4.96
236,2025-01-17,世嘉科技,002796,26.46,26.91,27.16,26.31,125155,141641464.58,3.2,1.36,0.36,5.52
235,2025-01-16,世嘉科技,002796,26.37,26.55,26.8,25.95,113178,126155409.98,3.25,1.61,0.42,5.0
234,2025-01-15,世嘉科技,002796,26.44,26.13,26.62,25.88,97262,107261102.76,2.81,-0.83,-0.22,4.29
233,2025-01-14,世嘉科技,002796,25.23,26.35,26.37,25.09,123539,134648013.7,5.12,5.4,1.35,5.45
232,2025-01-13,世嘉科技,002796,24.39,25.0,25.25,24.01,86003,89144493.64,4.96,-0.08,-0.02,3.8
231,2025-01-10,世嘉科技,002796,26.17,25.02,26.35,25.02,133972,144518141.6,5.03,-5.44,-1.44,5.91
230,2025-01-09,世嘉科技,002796,26.08,26.46,26.78,25.86,165183,183343832.55,3.52,1.38,0.36,7.29
229,2025-01-08,世嘉科技,002796,25.7,26.1,26.44,25.14,157221,171507397.6,5.02,0.77,0.2,6.94
228,2025-01-07,世嘉科技,002796,24.91,25.9,25.95,24.8,133608,142761762.0,4.64,4.44,1.1,5.9
227,2025-01-06,世嘉科技,002796,24.91,24.8,25.45,24.03,119997,125360788.5,5.7,-0.44,-0.11,5.3
226,2025-01-03,世嘉科技,002796,26.17,24.91,26.44,24.73,163430,173776912.06,6.54,-4.67,-1.22,7.21
225,2025-01-02,世嘉科技,002796,26.51,26.13,26.98,25.79,191711,213548221.04,4.47,-1.84,-0.49,8.46
224,2024-12-31,世嘉科技,002796,29.16,26.62,29.37,26.62,327730,378293718.2,9.34,-9.55,-2.81,14.47
223,2024-12-30,世嘉科技,002796,32.2,29.43,32.4,29.43,306672,390484502.94,9.13,-9.56,-3.11,13.54
222,2024-12-27,世嘉科技,002796,32.65,32.54,34.02,31.75,263731,369401344.11,6.87,-1.57,-0.52,11.64
221,2024-12-26,世嘉科技,002796,32.34,33.06,33.35,30.87,332355,457811661.34,7.26,-3.16,-1.08,14.67
220,2024-12-25,世嘉科技,002796,36.81,34.14,37.26,34.14,502296,752077791.73,8.26,-9.63,-3.64,22.17
219,2024-12-24,世嘉科技,002796,34.02,37.78,37.78,33.33,447716,684990712.76,12.91,9.6,3.31,19.76
218,2024-12-23,世嘉科技,002796,34.05,34.47,37.11,33.03,463821,691291445.73,11.93,0.79,0.27,20.47
217,2024-12-20,世嘉科技,002796,32.43,34.2,35.44,32.04,422510,609777603.03,10.23,2.89,0.96,18.65
216,2024-12-19,世嘉科技,002796,32.45,33.24,35.49,32.04,484655,690180241.21,10.38,0.0,0.0,21.39
215,2024-12-18,世嘉科技,002796,30.33,33.24,33.24,30.33,187159,261623491.16,9.59,9.59,2.91,8.26
214,2024-12-17,世嘉科技,002796,32.45,30.33,32.97,30.24,238200,318375197.08,8.23,-8.62,-2.86,10.51
213,2024-12-16,世嘉科技,002796,32.25,33.19,33.71,31.46,402392,559777553.15,6.98,3.01,0.97,17.76
212,2024-12-13,世嘉科技,002796,32.47,32.22,33.33,31.89,449993,622425734.29,4.37,-2.27,-0.75,19.86
211,2024-12-12,世嘉科技,002796,30.02,32.97,32.97,30.02,234019,325284368.14,9.8,9.57,2.88,10.33
210,2024-12-11,世嘉科技,002796,29.61,30.09,30.9,29.46,136406,174398888.94,4.85,1.38,0.41,6.02
209,2024-12-10,世嘉科技,002796,30.76,29.68,30.9,29.68,183296,233986464.5,4.06,-1.26,-0.38,8.09
208,2024-12-09,世嘉科技,002796,30.13,30.06,30.38,29.46,130265,165367076.25,3.03,-0.99,-0.3,5.75
207,2024-12-06,世嘉科技,002796,30.85,30.36,31.28,29.95,192145,247328471.59,4.31,-1.52,-0.47,8.48
206,2024-12-05,世嘉科技,002796,28.94,30.83,31.98,28.94,336963,440732772.16,10.41,5.62,1.64,14.87
205,2024-12-04,世嘉科技,002796,29.86,29.19,30.24,29.05,143628,179959755.22,3.96,-2.83,-0.85,6.34
204,2024-12-03,世嘉科技,002796,30.85,30.04,30.87,29.84,176983,226273846.62,3.33,-2.97,-0.92,7.81
203,2024-12-02,世嘉科技,002796,29.91,30.96,31.41,29.5,262637,338123663.99,6.34,2.82,0.85,11.59
202,2024-11-29,世嘉科技,002796,30.02,30.11,30.36,29.05,229853,289153402.59,4.31,-0.89,-0.27,10.15
201,2024-11-28,世嘉科技,002796,29.82,30.38,31.08,29.52,334014,430920361.5,5.24,1.98,0.59,14.74
200,2024-11-27,世嘉科技,002796,29.3,29.79,30.51,28.53,334645,418398913.94,6.46,-2.87,-0.88,14.77
199,2024-11-26,世嘉科技,002796,28.74,30.67,30.67,28.44,279906,357951014.26,7.96,9.46,2.65,12.36
198,2024-11-25,世嘉科技,002796,27.45,28.02,28.31,26.73,114012,132459742.85,5.76,2.08,0.57,5.03
197,2024-11-22,世嘉科技,002796,28.35,27.45,29.01,27.36,157677,189435639.33,5.81,-3.28,-0.93,6.96
196,2024-11-21,世嘉科技,002796,28.22,28.38,28.69,27.77,129276,153989315.99,3.24,-0.14,-0.04,5.71
195,2024-11-20,世嘉科技,002796,27.25,28.42,28.96,27.18,176295,211371058.78,6.51,3.95,1.08,7.78
194,2024-11-19,世嘉科技,002796,26.46,27.34,27.68,26.31,109685,124887906.21,5.18,3.33,0.88,4.84
193,2024-11-18,世嘉科技,002796,28.04,26.46,28.38,26.17,150785,171037973.5,7.77,-6.96,-1.98,6.66
192,2024-11-15,世嘉科技,002796,28.38,28.44,29.14,27.63,165905,197953193.96,5.3,-0.25,-0.07,7.32
191,2024-11-14,世嘉科技,002796,29.05,28.51,29.93,28.51,228682,283695383.32,4.89,-1.86,-0.54,10.09
190,2024-11-13,世嘉科技,002796,28.56,29.05,29.12,27.75,208579,250473299.09,4.73,0.38,0.11,9.21
189,2024-11-12,世嘉科技,002796,29.84,28.94,30.22,28.38,367933,453327160.7,6.05,-4.8,-1.46,16.24
188,2024-11-11,世嘉科技,002796,30.85,30.4,32.09,29.95,601071,785102632.04,7.25,3.05,0.9,26.53
187,2024-11-08,世嘉科技,002796,27.25,29.5,29.5,26.85,249225,301801941.0,9.84,9.5,2.56,11.0
186,2024-11-07,世嘉科技,002796,26.35,26.94,27.86,26.19,185069,210298915.61,6.38,2.86,0.75,8.17
185,2024-11-06,世嘉科技,002796,25.61,26.19,27.0,25.61,178252,196682718.5,5.42,2.11,0.54,7.87
184,2024-11-05,世嘉科技,002796,25.56,25.65,25.83,25.14,111911,119963892.25,2.74,1.79,0.45,4.94
