,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,视源股份,002841,65.73,65.29,66.19,64.89,41522,146376618.0,1.99,0.12,0.08,0.8
239,2025-01-24,视源股份,002841,62.38,65.21,65.81,62.0,54560,188111693.72,5.92,1.3,0.84,1.05
238,2025-01-23,视源股份,002841,65.05,64.37,65.9,64.37,27332,95619949.45,2.36,-0.51,-0.33,0.52
237,2025-01-22,视源股份,002841,64.53,64.7,65.17,64.08,24934,86436159.92,1.68,-0.11,-0.07,0.48
236,2025-01-21,视源股份,002841,64.43,64.77,64.81,63.81,23359,80558516.0,1.55,0.65,0.42,0.45
235,2025-01-20,视源股份,002841,64.85,64.35,65.41,64.22,31509,109440608.0,1.86,0.45,0.29,0.6
234,2025-01-17,视源股份,002841,62.27,64.06,64.29,62.27,42155,143437266.02,3.23,2.32,1.45,0.81
233,2025-01-16,视源股份,002841,62.59,62.61,63.73,62.25,29744,99849839.9,2.37,0.16,0.1,0.57
232,2025-01-15,视源股份,002841,63.13,62.51,63.33,62.22,35280,117667138.86,1.75,-1.22,-0.77,0.68
231,2025-01-14,视源股份,002841,61.65,63.28,63.44,61.17,36346,121520289.24,3.69,2.78,1.71,0.7
230,2025-01-13,视源股份,002841,61.17,61.57,61.89,60.77,31732,103498440.05,1.81,-0.32,-0.2,0.61
229,2025-01-10,视源股份,002841,62.93,61.77,63.33,61.77,23246,77475310.0,2.49,-1.53,-0.96,0.45
228,2025-01-09,视源股份,002841,62.77,62.73,63.66,62.54,31204,105084765.37,1.77,-0.79,-0.5,0.6
227,2025-01-08,视源股份,002841,63.85,63.23,64.17,61.85,40839,137088290.8,3.62,-1.4,-0.9,0.78
226,2025-01-07,视源股份,002841,63.68,64.13,64.3,63.31,29311,100212629.38,1.56,0.74,0.47,0.56
225,2025-01-06,视源股份,002841,64.59,63.66,64.59,63.2,43995,149991288.6,2.15,-1.44,-0.93,0.84
