,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,美芝股份,002856,10.83,10.83,10.9,10.66,36823,32612006.0,2.23,0.46,0.05,3.04
240,2025-01-23,美芝股份,002856,10.95,10.78,11.19,10.75,45901,41523461.2,4.06,-0.46,-0.05,3.79
239,2025-01-22,美芝股份,002856,11.03,10.83,11.05,10.77,39330,35180007.56,2.52,-2.34,-0.26,3.25
238,2025-01-21,美芝股份,002856,11.25,11.09,11.43,11.02,46854,42994742.62,3.67,-0.81,-0.09,3.87
237,2025-01-20,美芝股份,002856,10.91,11.18,11.68,10.71,69777,64681475.25,8.91,2.66,0.29,5.76
236,2025-01-17,美芝股份,002856,10.81,10.89,10.91,10.6,43924,38848080.0,2.87,0.74,0.08,3.63
235,2025-01-16,美芝股份,002856,10.85,10.81,11.06,10.73,51995,46544239.42,3.05,-0.09,-0.01,4.29
234,2025-01-15,美芝股份,002856,10.87,10.82,10.94,10.64,46049,40908922.0,2.76,-0.46,-0.05,3.8
233,2025-01-14,美芝股份,002856,10.04,10.87,10.93,10.04,79825,69366204.26,8.86,8.27,0.83,6.59
232,2025-01-13,美芝股份,002856,9.93,10.04,10.13,9.61,40195,32683278.0,5.18,0.0,0.0,3.32
231,2025-01-10,美芝股份,002856,10.53,10.04,10.75,9.99,46128,39315897.31,7.18,-5.19,-0.55,3.81
230,2025-01-09,美芝股份,002856,10.37,10.59,10.66,10.23,42049,36356125.96,4.11,1.15,0.12,3.47
229,2025-01-08,美芝股份,002856,10.52,10.47,10.67,10.05,53240,45433221.0,5.91,-0.19,-0.02,4.4
228,2025-01-07,美芝股份,002856,10.15,10.49,10.52,10.11,52409,44414365.8,4.04,3.35,0.34,4.33
227,2025-01-06,美芝股份,002856,10.43,10.15,10.55,9.85,49529,41382132.8,6.71,-2.68,-0.28,4.09
226,2025-01-03,美芝股份,002856,11.07,10.43,11.23,10.42,72617,63964180.72,7.3,-5.95,-0.66,6.0
225,2025-01-02,美芝股份,002856,11.37,11.09,11.69,10.95,92158,86039453.6,6.6,-1.07,-0.12,7.61
224,2024-12-31,美芝股份,002856,11.85,11.21,12.1,11.21,110623,105845579.2,7.56,-4.76,-0.56,9.14
223,2024-12-30,美芝股份,002856,11.48,11.77,11.85,10.84,163976,152407488.26,8.92,3.98,0.45,13.54
222,2024-12-27,美芝股份,002856,11.79,11.32,11.9,11.32,149057,142099684.95,4.83,-5.82,-0.7,12.31
221,2024-12-26,美芝股份,002856,11.8,12.02,12.79,11.8,245064,243178709.97,7.56,-8.24,-1.08,20.24
220,2024-12-25,美芝股份,002856,15.23,13.1,15.68,13.1,290380,343312291.85,17.74,-9.9,-1.44,23.99
219,2024-12-24,美芝股份,002856,16.07,14.54,16.46,13.82,383199,470130742.89,17.21,-5.22,-0.8,31.65
218,2024-12-23,美芝股份,002856,15.34,15.34,15.34,13.47,195781,240068352.6,13.4,9.89,1.38,16.17
217,2024-12-20,美芝股份,002856,13.96,13.96,13.96,13.96,47683,54883593.4,0.0,9.92,1.26,3.94
216,2024-12-19,美芝股份,002856,12.68,12.7,12.74,12.28,37956,39336954.0,3.59,-1.01,-0.13,3.14
215,2024-12-18,美芝股份,002856,12.82,12.83,12.93,12.32,52968,55154646.0,4.78,0.55,0.07,4.38
214,2024-12-17,美芝股份,002856,13.89,12.76,13.94,12.71,79093,86328733.7,8.82,-8.53,-1.19,6.53
213,2024-12-16,美芝股份,002856,13.48,13.95,14.13,13.25,75043,84743868.0,6.53,3.49,0.47,6.2
212,2024-12-13,美芝股份,002856,13.71,13.48,13.94,13.43,62634,70432832.8,3.72,-1.68,-0.23,5.17
211,2024-12-12,美芝股份,002856,13.43,13.71,13.77,13.3,82056,92068560.8,3.5,2.16,0.29,6.78
210,2024-12-11,美芝股份,002856,13.24,13.42,13.64,13.24,44008,48910803.0,3.0,0.68,0.09,3.64
209,2024-12-10,美芝股份,002856,13.59,13.33,13.91,13.25,57167,63546597.0,4.95,0.0,0.0,4.72
208,2024-12-09,美芝股份,002856,13.35,13.33,13.54,12.99,62955,68930759.2,4.12,-0.07,-0.01,5.2
207,2024-12-06,美芝股份,002856,12.89,13.34,13.58,12.58,102038,110794744.0,7.77,3.65,0.47,8.43
206,2024-12-05,美芝股份,002856,12.61,12.87,12.93,12.34,43846,46039108.4,4.67,1.9,0.24,3.62
205,2024-12-04,美芝股份,002856,12.75,12.63,12.98,12.51,49842,52318949.6,3.69,-0.94,-0.12,4.12
204,2024-12-03,美芝股份,002856,12.93,12.75,13.05,12.65,42550,44784627.0,3.14,0.0,0.0,3.51
203,2024-12-02,美芝股份,002856,12.61,12.75,12.95,12.55,55348,58169508.1,3.18,1.35,0.17,4.57
202,2024-11-29,美芝股份,002856,12.34,12.58,12.71,12.08,57442,58886035.0,5.11,1.94,0.24,4.74
201,2024-11-28,美芝股份,002856,12.41,12.34,12.59,12.14,46439,47223421.84,3.66,0.41,0.05,3.84
200,2024-11-27,美芝股份,002856,12.29,12.29,12.31,11.8,45770,45460662.0,4.15,0.08,0.01,3.78
199,2024-11-26,美芝股份,002856,12.53,12.28,12.71,12.13,40047,40680113.97,4.7,-0.49,-0.06,3.31
198,2024-11-25,美芝股份,002856,12.28,12.34,12.55,11.84,64069,64421223.0,5.75,-0.08,-0.01,5.29
197,2024-11-22,美芝股份,002856,12.88,12.35,13.28,12.32,80339,84445480.34,7.41,-4.63,-0.6,6.64
196,2024-11-21,美芝股份,002856,12.45,12.95,13.75,12.45,117918,127737697.28,10.39,3.52,0.44,9.74
195,2024-11-20,美芝股份,002856,12.03,12.51,12.53,11.92,41443,42193761.0,5.1,4.51,0.54,3.42
194,2024-11-19,美芝股份,002856,11.73,11.97,11.97,11.55,36835,35607904.78,3.58,2.13,0.25,3.04
193,2024-11-18,美芝股份,002856,12.35,11.72,12.39,11.55,54655,53081302.0,6.89,-3.93,-0.48,4.51
192,2024-11-15,美芝股份,002856,12.55,12.2,12.77,12.15,57836,58765044.04,4.94,-2.79,-0.35,4.78
191,2024-11-14,美芝股份,002856,12.93,12.55,13.09,12.53,46112,48518185.0,4.36,-2.33,-0.3,3.81
190,2024-11-13,美芝股份,002856,12.75,12.85,13.21,12.4,54751,57635539.47,6.32,0.23,0.03,4.52
189,2024-11-12,美芝股份,002856,13.59,12.82,13.59,12.69,100914,109009709.8,6.61,-5.8,-0.79,8.34
188,2024-11-11,美芝股份,002856,12.47,13.61,13.66,12.47,102918,112690010.4,9.54,9.14,1.14,8.5
187,2024-11-08,美芝股份,002856,12.49,12.47,12.68,12.34,55116,56770867.74,2.75,0.81,0.1,4.55
186,2024-11-07,美芝股份,002856,11.98,12.37,12.49,11.92,61015,61526467.64,4.73,2.74,0.33,5.04
185,2024-11-06,美芝股份,002856,11.89,12.04,12.15,11.72,65916,65109095.04,3.62,1.43,0.17,5.44
184,2024-11-05,美芝股份,002856,11.45,11.87,11.93,11.45,85290,82382421.72,4.24,4.77,0.54,7.04
183,2024-11-04,美芝股份,002856,11.26,11.33,11.56,11.19,67882,63124407.4,3.29,0.62,0.07,5.61
182,2024-11-01,美芝股份,002856,12.17,11.26,12.55,11.19,153644,147503037.82,11.05,-8.53,-1.05,12.69
181,2024-10-31,美芝股份,002856,11.49,12.31,12.61,11.49,212998,216059837.2,9.76,7.23,0.83,17.59
180,2024-10-30,美芝股份,002856,11.41,11.48,11.78,11.32,86546,82092285.0,4.0,-0.17,-0.02,7.15
179,2024-10-29,美芝股份,002856,11.35,11.5,11.75,11.31,114360,108069156.7,3.85,0.52,0.06,9.45
178,2024-10-28,美芝股份,002856,11.95,11.44,11.95,11.31,183780,173325004.3,5.38,-3.87,-0.46,15.18
177,2024-10-25,美芝股份,002856,11.49,11.9,11.96,11.43,70000,67568845.75,4.68,5.03,0.57,5.78
176,2024-10-24,美芝股份,002856,11.24,11.33,11.38,11.07,48907,45307382.8,2.75,0.53,0.06,4.04
