,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,传艺科技,002866,26.48,26.82,26.96,26.36,64345,97678822.3,2.27,1.28,0.34,3.55
240,2025-01-23,传艺科技,002866,27.55,26.48,27.96,26.48,125466,193919612.01,5.33,-4.71,-1.31,6.92
239,2025-01-22,传艺科技,002866,28.18,27.79,28.45,27.62,61457,98369096.1,2.92,-2.32,-0.66,3.39
238,2025-01-21,传艺科技,002866,27.96,28.45,28.89,27.76,113760,184111217.95,4.04,1.75,0.49,6.28
237,2025-01-20,传艺科技,002866,27.33,27.96,28.21,27.08,73507,116720229.0,4.17,3.25,0.88,4.06
236,2025-01-17,传艺科技,002866,27.06,27.08,27.28,26.7,36477,56178125.0,2.14,0.07,0.02,2.01
235,2025-01-16,传艺科技,002866,27.23,27.06,27.62,26.77,41532,64410639.1,3.15,0.37,0.1,2.29
234,2025-01-15,传艺科技,002866,27.13,26.96,27.26,26.84,37512,57749151.0,1.55,-0.63,-0.17,2.07
233,2025-01-14,传艺科技,002866,25.8,27.13,27.14,25.8,54791,83127046.0,5.19,5.07,1.31,3.02
232,2025-01-13,传艺科技,002866,25.63,25.82,25.99,25.09,40270,58610837.34,3.48,-0.12,-0.03,2.22
231,2025-01-10,传艺科技,002866,26.82,25.85,27.42,25.85,51810,78498335.0,5.79,-4.65,-1.26,2.86
230,2025-01-09,传艺科技,002866,26.38,27.11,27.33,26.38,53874,83158123.5,3.57,1.8,0.48,2.97
229,2025-01-08,传艺科技,002866,27.01,26.63,27.08,25.8,52059,78464511.0,4.74,-1.41,-0.38,2.87
228,2025-01-07,传艺科技,002866,26.02,27.01,27.02,26.02,59204,89620244.0,3.85,4.0,1.04,3.27
227,2025-01-06,传艺科技,002866,26.41,25.97,26.68,25.55,56662,84131289.19,4.26,-2.11,-0.56,3.13
226,2025-01-03,传艺科技,002866,28.16,26.53,28.64,26.53,75420,117374849.0,7.5,-5.75,-1.62,4.16
225,2025-01-02,传艺科技,002866,28.33,28.15,29.4,27.84,66515,108529577.0,5.5,-0.71,-0.2,3.67
224,2024-12-31,传艺科技,002866,29.57,28.35,29.69,28.3,51401,84366756.8,4.74,-3.41,-1.0,2.84
223,2024-12-30,传艺科技,002866,29.68,29.35,29.85,28.93,40428,68029798.0,3.1,-1.21,-0.36,2.23
222,2024-12-27,传艺科技,002866,29.52,29.71,30.02,29.3,46782,79604959.0,2.44,0.64,0.19,2.58
221,2024-12-26,传艺科技,002866,29.05,29.52,29.9,29.03,46640,78859206.25,2.99,1.58,0.46,2.57
220,2024-12-25,传艺科技,002866,30.1,29.06,30.1,28.78,65112,108513245.0,4.39,-3.46,-1.04,3.59
219,2024-12-24,传艺科技,002866,30.41,30.1,30.59,29.52,58705,100695017.4,3.56,0.1,0.03,3.24
218,2024-12-23,传艺科技,002866,31.44,30.07,31.44,30.07,73165,127956354.0,4.37,-4.17,-1.31,4.04
217,2024-12-20,传艺科技,002866,30.44,31.38,31.58,30.27,79703,141915297.96,4.3,2.92,0.89,4.4
216,2024-12-19,传艺科技,002866,30.19,30.49,30.66,30.02,51178,88811344.1,2.08,-0.68,-0.21,2.82
215,2024-12-18,传艺科技,002866,30.68,30.7,30.97,30.02,63267,110537664.28,3.12,0.92,0.28,3.49
214,2024-12-17,传艺科技,002866,31.24,30.42,31.24,30.34,77342,136144633.96,2.89,-2.25,-0.7,4.27
213,2024-12-16,传艺科技,002866,31.92,31.12,32.28,30.8,110965,199748846.8,4.63,-2.72,-0.87,6.12
212,2024-12-13,传艺科技,002866,33.23,31.99,33.33,31.97,150262,280110204.9,4.03,-5.19,-1.75,8.29
211,2024-12-12,传艺科技,002866,33.69,33.74,33.99,33.16,95910,184252495.56,2.47,0.27,0.09,5.29
210,2024-12-11,传艺科技,002866,33.26,33.65,33.96,33.14,90087,173411209.5,2.47,1.17,0.39,4.97
209,2024-12-10,传艺科技,002866,34.86,33.26,34.95,33.16,161164,313838439.8,5.28,-1.97,-0.67,8.89
208,2024-12-09,传艺科技,002866,32.94,33.93,34.13,32.72,153159,294281909.3,4.29,3.16,1.04,8.45
207,2024-12-06,传艺科技,002866,32.53,32.89,33.03,31.97,122788,229210625.42,3.26,1.14,0.37,6.77
206,2024-12-05,传艺科技,002866,32.09,32.52,32.57,31.95,118062,218187625.9,1.93,1.28,0.41,6.51
205,2024-12-04,传艺科技,002866,33.64,32.11,33.67,31.87,170088,318792726.23,5.33,-4.89,-1.65,9.38
204,2024-12-03,传艺科技,002866,34.45,33.76,34.76,33.4,145249,283566414.0,3.95,-2.06,-0.71,8.01
203,2024-12-02,传艺科技,002866,33.37,34.47,34.66,33.01,202406,395238530.56,4.88,1.95,0.66,11.17
202,2024-11-29,传艺科技,002866,32.67,33.81,34.69,31.78,233303,449743292.64,8.85,2.8,0.92,12.87
201,2024-11-28,传艺科技,002866,34.25,32.89,34.73,32.8,218128,421519173.98,5.68,-3.21,-1.09,12.03
200,2024-11-27,传艺科技,002866,34.22,33.98,34.81,32.91,287347,556046034.82,5.23,-6.55,-2.38,15.85
199,2024-11-26,传艺科技,002866,38.24,36.36,39.25,36.36,444179,959049431.06,7.17,-9.78,-3.94,24.5
198,2024-11-25,传艺科技,002866,36.1,40.3,40.3,35.03,539508,1161102629.94,14.36,9.78,3.59,29.76
197,2024-11-22,传艺科技,002866,33.99,36.71,38.26,33.37,518202,1087861139.08,14.03,5.31,1.85,28.59
196,2024-11-21,传艺科技,002866,36.12,34.86,36.82,34.84,336688,688455208.88,5.48,-3.43,-1.24,18.57
195,2024-11-20,传艺科技,002866,33.14,36.1,37.53,32.63,432456,873407270.26,14.19,4.58,1.58,23.86
194,2024-11-19,传艺科技,002866,32.19,34.52,34.84,32.19,455056,868585796.25,7.43,-3.25,-1.16,25.1
193,2024-11-18,传艺科技,002866,34.67,35.68,37.04,34.05,619182,1276509368.11,8.86,5.75,1.94,34.16
192,2024-11-15,传艺科技,002866,30.08,33.74,33.74,30.08,223561,420017815.2,11.9,9.72,2.99,12.33
191,2024-11-14,传艺科技,002866,34.71,30.75,34.71,30.68,346705,654029721.01,12.07,-7.88,-2.63,19.13
190,2024-11-13,传艺科技,002866,30.22,33.38,33.38,30.07,215660,391228400.72,10.88,9.73,2.96,11.9
189,2024-11-12,传艺科技,002866,30.39,30.42,30.7,29.93,143552,248894412.0,2.53,0.1,0.03,7.92
188,2024-11-11,传艺科技,002866,29.3,30.39,30.39,29.1,149155,255557844.5,4.4,3.54,1.04,8.23
187,2024-11-08,传艺科技,002866,29.63,29.35,30.08,29.27,131313,223155725.68,2.74,-0.88,-0.26,7.24
186,2024-11-07,传艺科技,002866,29.3,29.61,30.34,28.96,139688,236039576.78,4.77,2.24,0.65,7.71
185,2024-11-06,传艺科技,002866,28.91,28.96,29.56,28.78,126508,210899882.39,2.7,0.35,0.1,6.98
184,2024-11-05,传艺科技,002866,28.25,28.86,29.0,28.04,114929,187626933.2,3.39,2.05,0.58,6.34
183,2024-11-04,传艺科技,002866,27.28,28.28,28.38,27.28,96266,153412362.6,3.98,2.32,0.64,5.31
182,2024-11-01,传艺科技,002866,29.46,27.64,29.71,27.62,180000,292909259.18,7.0,-7.43,-2.22,9.93
181,2024-10-31,传艺科技,002866,29.97,29.86,30.37,29.22,214385,365505674.96,3.73,-3.11,-0.96,11.83
180,2024-10-30,传艺科技,002866,30.95,30.82,31.65,30.41,225305,399261831.81,3.88,-3.66,-1.17,12.43
179,2024-10-29,传艺科技,002866,30.44,31.99,34.03,29.78,372769,670962525.1,13.67,2.86,0.89,20.56
178,2024-10-28,传艺科技,002866,30.85,31.1,32.07,29.57,440291,772407363.77,8.51,5.89,1.73,24.29
177,2024-10-25,传艺科技,002866,29.17,29.37,29.37,28.35,134921,225136982.55,3.81,9.71,2.6,7.44
176,2024-10-24,传艺科技,002866,27.19,26.77,27.19,26.67,51963,79397816.51,1.91,-1.8,-0.49,2.87
175,2024-10-23,传艺科技,002866,27.08,27.26,27.38,26.8,98144,151731691.61,2.14,0.81,0.22,5.41
174,2024-10-22,传艺科技,002866,26.92,27.04,27.16,26.6,88071,134631530.4,2.08,0.48,0.13,4.86
173,2024-10-21,传艺科技,002866,26.77,26.91,27.3,26.6,105158,161545103.8,2.62,0.71,0.19,5.8
172,2024-10-18,传艺科技,002866,25.73,26.72,27.13,25.73,102153,154556854.54,5.39,2.81,0.73,5.64
171,2024-10-17,传艺科技,002866,26.53,25.99,26.63,25.94,62546,93598526.5,2.64,-0.65,-0.17,3.45
170,2024-10-16,传艺科技,002866,25.75,26.16,26.65,25.34,69830,104047788.1,5.04,0.73,0.19,3.85
169,2024-10-15,传艺科技,002866,26.62,25.97,26.97,25.97,86150,130010951.0,3.73,-3.17,-0.85,4.75
168,2024-10-14,传艺科技,002866,26.85,26.82,27.08,25.68,99890,150230397.99,5.25,0.56,0.15,5.51
167,2024-10-11,传艺科技,002866,26.41,26.67,27.36,26.11,108839,166749998.01,4.73,0.98,0.26,6.0
166,2024-10-10,传艺科技,002866,26.89,26.41,27.62,25.95,117640,179185584.0,6.1,-3.54,-0.97,6.49
165,2024-10-09,传艺科技,002866,29.74,27.38,29.74,27.38,180902,291025379.5,7.78,-9.7,-2.94,9.98
164,2024-10-08,传艺科技,002866,31.26,30.32,31.26,28.23,312604,532868190.96,10.61,6.2,1.77,17.25
163,2024-09-30,传艺科技,002866,27.02,28.55,28.67,26.06,312809,490510096.16,9.91,8.39,2.21,17.26
162,2024-09-27,传艺科技,002866,25.41,26.34,27.02,25.15,220982,327522433.46,7.38,3.95,1.0,12.19
161,2024-09-26,传艺科技,002866,24.92,25.34,25.38,24.78,200970,286802871.08,2.36,-0.47,-0.12,11.09
160,2024-09-25,传艺科技,002866,24.32,25.46,26.23,24.3,296557,421282219.54,7.84,3.45,0.85,16.36
