,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,长缆科技,002879,24.44,23.4,24.45,23.35,68580,107187885.0,4.48,-4.76,-1.17,4.97
239,2025-01-24,长缆科技,002879,23.82,24.57,24.57,23.67,84658,135350000.0,3.74,2.12,0.51,6.14
238,2025-01-23,长缆科技,002879,24.24,24.06,24.9,24.03,90773,145703813.6,3.62,0.21,0.05,6.58
237,2025-01-22,长缆科技,002879,24.22,24.01,24.85,23.74,81948,129966947.0,4.55,-1.48,-0.36,5.94
236,2025-01-21,长缆科技,002879,24.33,24.37,24.54,23.95,70139,111951017.0,2.42,0.0,0.0,5.09
235,2025-01-20,长缆科技,002879,23.46,24.37,25.01,23.45,113589,181464852.32,6.63,3.53,0.83,8.24
234,2025-01-17,长缆科技,002879,23.53,23.54,23.75,23.03,57107,87710815.0,3.05,-0.42,-0.1,4.14
233,2025-01-16,长缆科技,002879,24.29,23.64,24.38,23.39,67658,105614549.0,4.14,-1.17,-0.28,4.91
232,2025-01-15,长缆科技,002879,24.52,23.92,24.55,23.81,63443,100671659.0,3.02,-2.41,-0.59,4.6
231,2025-01-14,长缆科技,002879,23.28,24.51,24.61,23.21,109461,173060673.8,6.0,4.97,1.16,7.94
230,2025-01-13,长缆科技,002879,22.91,23.35,23.75,22.8,109361,166488663.4,3.98,-2.1,-0.5,7.93
229,2025-01-10,长缆科技,002879,26.12,23.85,26.55,23.85,211819,351711324.15,10.89,-3.79,-0.94,15.36
228,2025-01-09,长缆科技,002879,22.7,24.79,24.79,22.63,120720,195964091.0,9.52,9.21,2.09,8.76
227,2025-01-08,长缆科技,002879,22.86,22.7,23.14,21.99,58207,85944972.4,5.01,-1.05,-0.24,4.22
226,2025-01-07,长缆科技,002879,21.65,22.94,23.24,21.54,72694,106418107.86,7.86,6.01,1.3,5.27
225,2025-01-06,长缆科技,002879,21.39,21.64,21.99,20.83,45065,63173611.13,5.38,0.28,0.06,3.27
224,2025-01-03,长缆科技,002879,22.45,21.58,22.89,21.53,62181,89510496.28,6.09,-3.4,-0.76,4.51
223,2025-01-02,长缆科技,002879,22.79,22.34,23.29,22.07,55579,82269162.0,5.31,-2.74,-0.63,4.03
222,2024-12-31,长缆科技,002879,23.98,22.97,24.73,22.8,72098,111378797.2,8.07,-3.93,-0.94,5.23
221,2024-12-30,长缆科技,002879,24.45,23.91,24.94,23.87,75075,119774994.39,4.33,-3.32,-0.82,5.44
220,2024-12-27,长缆科技,002879,24.19,24.73,25.35,24.19,111267,180861307.14,4.8,2.32,0.56,8.07
219,2024-12-26,长缆科技,002879,23.77,24.17,25.42,23.77,123305,197786340.14,6.89,0.96,0.23,8.94
218,2024-12-25,长缆科技,002879,25.43,23.94,25.56,23.91,151759,243120934.08,6.26,-9.11,-2.4,11.01
217,2024-12-24,长缆科技,002879,23.47,26.34,26.61,23.25,233712,392827065.29,13.79,8.08,1.97,16.95
216,2024-12-23,长缆科技,002879,22.61,24.37,24.72,22.28,132574,209180913.28,10.77,7.59,1.72,9.61
215,2024-12-20,长缆科技,002879,22.86,22.65,22.93,22.51,22960,34106797.0,1.83,-1.22,-0.28,1.67
214,2024-12-19,长缆科技,002879,22.23,22.93,23.03,22.0,33771,49982612.8,4.64,3.24,0.72,2.45
213,2024-12-18,长缆科技,002879,22.23,22.21,22.47,21.89,21206,30832236.0,2.61,0.09,0.02,1.54
212,2024-12-17,长缆科技,002879,22.68,22.19,22.82,22.03,21509,31402023.0,3.46,-2.8,-0.64,1.56
211,2024-12-16,长缆科技,002879,22.72,22.83,23.12,22.7,15612,23360637.0,1.85,0.66,0.15,1.13
210,2024-12-13,长缆科技,002879,23.03,22.68,23.03,22.63,14526,21675258.4,1.74,-1.43,-0.33,1.05
209,2024-12-12,长缆科技,002879,22.91,23.01,23.14,22.7,19319,29055674.0,1.93,0.92,0.21,1.4
208,2024-12-11,长缆科技,002879,22.73,22.8,22.93,22.55,16784,25042301.4,1.67,0.31,0.07,1.22
207,2024-12-10,长缆科技,002879,23.4,22.73,23.4,22.65,27963,41853380.62,3.28,-0.61,-0.14,2.03
206,2024-12-09,长缆科技,002879,22.51,22.87,22.87,22.44,27540,41006594.0,1.91,1.6,0.36,2.0
205,2024-12-06,长缆科技,002879,22.47,22.51,22.59,22.23,16666,24433155.35,1.61,0.4,0.09,1.21
204,2024-12-05,长缆科技,002879,22.33,22.42,22.48,22.21,15010,21977898.0,1.21,0.4,0.09,1.09
203,2024-12-04,长缆科技,002879,22.4,22.33,22.7,22.23,17992,26340347.96,2.09,-0.93,-0.21,1.3
