,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中宠股份,002891,99.64,98.65,100.46,97.98,81058,308301455.03,2.49,-0.81,-0.81,2.76
240,2025-01-23,中宠股份,002891,103.01,99.46,103.49,99.05,108824,421861089.6,4.31,-3.45,-3.55,3.7
239,2025-01-22,中宠股份,002891,104.54,103.01,105.28,100.36,78502,309978452.03,4.71,-1.37,-1.43,2.67
238,2025-01-21,中宠股份,002891,105.94,104.44,106.27,102.65,94550,378962205.56,3.45,-0.41,-0.43,3.21
237,2025-01-20,中宠股份,002891,106.73,104.87,108.26,103.24,170594,694086793.51,4.84,1.03,1.07,5.8
236,2025-01-17,中宠股份,002891,94.75,103.8,103.8,94.31,177377,687062067.13,10.04,9.79,9.26,6.03
235,2025-01-16,中宠股份,002891,94.95,94.54,95.71,93.75,57000,207224117.28,2.08,0.16,0.15,1.94
234,2025-01-15,中宠股份,002891,91.74,94.39,97.04,91.69,101923,371917327.93,5.83,2.89,2.65,3.47
233,2025-01-14,中宠股份,002891,86.87,91.74,92.25,86.08,65891,227998559.63,7.1,5.52,4.8,2.24
232,2025-01-13,中宠股份,002891,86.05,86.94,88.78,85.77,47113,157420739.17,3.46,-0.21,-0.18,1.6
231,2025-01-10,中宠股份,002891,87.61,87.12,91.3,87.12,56125,192246740.19,4.76,-0.84,-0.74,1.91
230,2025-01-09,中宠股份,002891,88.57,87.86,89.62,87.61,31802,107766265.8,2.26,-1.04,-0.92,1.08
229,2025-01-08,中宠股份,002891,87.38,88.78,90.0,85.51,59132,198345101.96,5.12,1.14,1.0,2.01
228,2025-01-07,中宠股份,002891,86.02,87.78,87.91,84.9,72629,240722888.2,3.49,1.8,1.55,2.47
227,2025-01-06,中宠股份,002891,92.35,86.23,93.67,85.06,131081,446337776.02,9.31,-6.73,-6.22,4.46
226,2025-01-03,中宠股份,002891,90.26,92.45,94.69,88.12,100501,355197570.9,7.26,2.17,1.96,3.42
225,2025-01-02,中宠股份,002891,92.32,90.49,94.69,89.7,97568,345933076.62,5.37,-2.66,-2.47,3.32
224,2024-12-31,中宠股份,002891,93.29,92.96,94.21,92.25,54858,196447143.23,2.1,-0.35,-0.33,1.87
223,2024-12-30,中宠股份,002891,88.5,93.29,94.87,88.04,106794,379130361.12,7.73,5.6,4.95,3.63
222,2024-12-27,中宠股份,002891,85.51,88.34,89.14,84.85,59874,201585005.95,5.02,3.31,2.83,2.04
221,2024-12-26,中宠股份,002891,86.05,85.51,87.12,85.13,28512,93840891.85,2.32,-0.3,-0.26,0.97
220,2024-12-25,中宠股份,002891,85.69,85.77,86.76,85.08,30105,99034035.15,1.96,-0.06,-0.05,1.02
219,2024-12-24,中宠股份,002891,83.93,85.82,86.28,83.68,29744,96886748.21,3.09,2.03,1.71,1.01
218,2024-12-23,中宠股份,002891,84.98,84.11,86.41,83.93,42301,137671413.16,2.93,-0.76,-0.64,1.44
217,2024-12-20,中宠股份,002891,82.76,84.75,87.45,82.28,68892,226225089.57,6.25,2.44,2.02,2.34
216,2024-12-19,中宠股份,002891,80.69,82.73,83.24,80.47,41209,129919188.17,3.39,1.21,0.99,1.4
215,2024-12-18,中宠股份,002891,82.25,81.74,83.02,80.98,40703,127266788.38,2.48,-0.62,-0.51,1.38
214,2024-12-17,中宠股份,002891,83.3,82.25,84.52,81.74,54343,172695235.14,3.33,-1.56,-1.3,1.85
213,2024-12-16,中宠股份,002891,88.24,83.55,88.7,82.89,78453,255700599.55,6.59,-5.19,-4.57,2.67
212,2024-12-13,中宠股份,002891,85.39,88.12,90.21,84.98,75152,253696996.5,6.08,2.52,2.17,2.56
211,2024-12-12,中宠股份,002891,86.13,85.95,86.41,84.57,41094,134804478.09,2.14,-0.27,-0.23,1.4
210,2024-12-11,中宠股份,002891,83.88,86.18,86.46,83.68,42855,140599818.0,3.31,2.46,2.07,1.46
209,2024-12-10,中宠股份,002891,86.02,84.11,86.81,83.53,55452,181116389.73,3.96,1.51,1.25,1.89
208,2024-12-09,中宠股份,002891,84.37,82.86,85.13,82.56,39931,127817260.8,3.05,-1.73,-1.46,1.36
207,2024-12-06,中宠股份,002891,84.55,84.32,85.16,83.86,33479,108324796.74,1.55,0.49,0.41,1.14
206,2024-12-05,中宠股份,002891,86.08,83.91,86.38,83.22,57797,186308827.38,3.65,-3.06,-2.65,1.97
205,2024-12-04,中宠股份,002891,87.78,86.56,89.95,85.92,55178,185270621.33,4.54,-2.5,-2.22,1.88
204,2024-12-03,中宠股份,002891,88.37,88.78,91.15,88.06,68913,236718893.5,3.46,-0.65,-0.58,2.34
203,2024-12-02,中宠股份,002891,85.51,89.36,90.23,84.8,77587,263164308.48,6.33,4.19,3.59,2.64
202,2024-11-29,中宠股份,002891,82.3,85.77,86.66,82.0,70742,230318228.8,5.65,3.95,3.26,2.41
201,2024-11-28,中宠股份,002891,81.49,82.51,83.83,80.21,51572,162550555.92,4.42,0.78,0.64,1.75
200,2024-11-27,中宠股份,002891,79.85,81.87,82.1,78.78,45054,138551820.71,4.12,1.59,1.28,1.53
199,2024-11-26,中宠股份,002891,80.98,80.59,81.87,79.52,33349,102579020.15,2.9,-0.48,-0.39,1.13
198,2024-11-25,中宠股份,002891,79.27,80.98,82.51,78.5,70644,217827199.14,5.09,2.75,2.17,2.4
197,2024-11-22,中宠股份,002891,82.91,78.81,83.37,78.43,75660,235823521.5,5.94,-5.27,-4.38,2.57
196,2024-11-21,中宠股份,002891,83.91,83.19,85.13,82.28,40764,131906205.67,3.38,-1.21,-1.02,1.39
