,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中大力德,002896,84.69,93.09,93.09,83.64,202219,1027537693.53,11.15,9.83,8.33,13.38
240,2025-01-23,中大力德,002896,77.86,84.76,84.76,76.68,290366,1406475293.36,10.47,9.81,7.57,19.21
239,2025-01-22,中大力德,002896,75.21,77.19,80.16,74.16,199017,891556400.18,7.9,1.63,1.24,13.17
238,2025-01-21,中大力德,002896,74.9,75.95,76.98,74.18,215952,951156378.42,3.75,1.71,1.28,14.29
237,2025-01-20,中大力德,002896,75.83,74.67,76.56,73.13,227037,982897640.86,4.56,-0.74,-0.56,15.02
236,2025-01-17,中大力德,002896,73.55,75.23,78.45,73.55,266639,1188172894.02,6.86,5.28,3.77,17.64
235,2025-01-16,中大力德,002896,72.96,71.46,74.46,70.75,175485,737195470.88,5.06,-2.55,-1.87,11.61
234,2025-01-15,中大力德,002896,71.83,73.33,75.29,71.47,189571,805144090.84,5.29,1.59,1.15,12.54
233,2025-01-14,中大力德,002896,66.59,72.18,73.28,65.78,219391,900061678.61,11.23,8.12,5.42,14.51
232,2025-01-13,中大力德,002896,65.42,66.76,69.55,65.2,170821,667857612.24,6.51,-0.15,-0.1,11.3
231,2025-01-10,中大力德,002896,65.36,66.86,69.92,64.95,188582,744386790.46,7.5,0.88,0.58,12.47
230,2025-01-09,中大力德,002896,64.0,66.28,68.52,63.5,169533,640246172.32,7.8,3.05,1.96,11.21
229,2025-01-08,中大力德,002896,61.74,64.32,65.61,61.01,147685,539792430.4,7.37,3.06,1.91,9.77
228,2025-01-07,中大力德,002896,60.27,62.41,62.41,59.81,91976,323913762.13,4.34,4.17,2.5,6.08
227,2025-01-06,中大力德,002896,60.42,59.91,61.76,59.15,78955,274384892.0,4.26,-2.16,-1.32,5.22
226,2025-01-03,中大力德,002896,66.28,61.23,66.71,61.13,129685,471417555.53,8.42,-7.62,-5.05,8.58
225,2025-01-02,中大力德,002896,66.1,66.28,68.53,64.46,138034,531866315.35,6.13,-0.17,-0.11,9.13
224,2024-12-31,中大力德,002896,70.41,66.39,70.92,66.34,163782,641527440.86,6.48,-6.04,-4.27,10.83
223,2024-12-30,中大力德,002896,71.68,70.66,74.82,70.53,191346,804628174.69,5.97,-1.67,-1.2,12.66
222,2024-12-27,中大力德,002896,73.47,71.86,76.93,70.73,288492,1232724288.32,8.35,-3.23,-2.4,19.08
221,2024-12-26,中大力德,002896,69.88,74.26,77.1,69.28,320493,1384995385.6,11.14,5.75,4.04,21.2
220,2024-12-25,中大力德,002896,73.3,70.22,73.3,68.14,319801,1318178748.61,7.57,3.05,2.08,21.15
219,2024-12-24,中大力德,002896,68.14,68.14,68.14,68.14,53388,210616449.0,0.0,9.76,6.06,3.53
218,2024-12-23,中大力德,002896,65.39,62.08,65.78,61.81,96965,355281430.12,6.07,-5.06,-3.31,6.41
217,2024-12-20,中大力德,002896,64.41,65.39,67.18,64.17,124513,474561329.9,4.69,1.95,1.25,8.24
216,2024-12-19,中大力德,002896,64.59,64.14,66.17,63.43,112426,421198506.68,4.18,-2.11,-1.38,7.44
215,2024-12-18,中大力德,002896,64.85,65.52,67.35,64.85,130651,497487221.01,3.9,2.3,1.47,8.64
214,2024-12-17,中大力德,002896,68.84,64.05,69.88,64.02,189277,724638129.06,8.39,-8.3,-5.8,12.52
213,2024-12-16,中大力德,002896,63.58,69.85,69.85,63.4,167337,653149636.17,10.14,9.78,6.22,11.07
212,2024-12-13,中大力德,002896,65.71,63.63,66.45,63.5,112531,420672960.86,4.47,-3.63,-2.4,7.44
211,2024-12-12,中大力德,002896,66.84,66.03,67.15,64.93,129493,493340378.36,3.29,-2.15,-1.45,8.57
210,2024-12-11,中大力德,002896,68.55,67.48,68.55,65.19,169293,655337553.5,4.78,-3.93,-2.76,11.2
209,2024-12-10,中大力德,002896,69.29,70.24,72.47,66.88,214587,874529081.13,8.16,2.57,1.76,14.19
208,2024-12-09,中大力德,002896,64.7,68.48,72.71,64.31,249480,989740540.78,12.64,3.07,2.04,16.5
207,2024-12-06,中大力德,002896,63.87,66.44,69.7,61.1,289446,1106717520.92,13.54,4.63,2.94,19.15
206,2024-12-05,中大力德,002896,61.82,63.5,64.76,61.64,164024,601374271.93,4.99,1.65,1.03,10.85
205,2024-12-04,中大力德,002896,60.86,62.47,64.83,60.76,168743,614959969.78,6.57,0.9,0.56,11.16
204,2024-12-03,中大力德,002896,63.04,61.91,63.56,61.47,185176,667944813.15,3.32,-1.67,-1.05,12.25
