,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,金逸影视,002905,18.76,18.91,19.68,18.6,140078,111681089.64,5.83,2.05,0.38,4.01
239,2025-01-24,金逸影视,002905,18.33,18.53,18.8,18.08,118210,91944541.69,3.89,0.11,0.02,3.38
238,2025-01-23,金逸影视,002905,18.78,18.51,18.89,18.15,137608,106668905.0,4.04,0.98,0.18,3.94
237,2025-01-22,金逸影视,002905,18.91,18.33,19.2,18.22,140792,109875126.88,5.19,-2.96,-0.56,4.03
236,2025-01-21,金逸影视,002905,19.43,18.89,19.79,18.62,220160,176325288.78,6.07,-1.97,-0.38,6.3
235,2025-01-20,金逸影视,002905,18.29,19.27,19.27,17.93,141566,111044472.0,7.61,9.43,1.66,4.05
234,2025-01-17,金逸影视,002905,17.44,17.61,17.93,17.1,78821,57661511.86,4.75,0.74,0.13,2.26
233,2025-01-16,金逸影视,002905,17.37,17.48,18.02,17.35,70269,51848460.0,3.86,0.63,0.11,2.01
232,2025-01-15,金逸影视,002905,17.28,17.37,17.73,17.21,69670,50620425.6,3.02,0.93,0.16,1.99
231,2025-01-14,金逸影视,002905,16.99,17.21,17.23,16.54,96335,67983930.52,4.22,5.32,0.87,2.76
230,2025-01-13,金逸影视,002905,16.25,16.34,16.36,15.53,57141,38069012.6,5.11,0.68,0.11,1.64
229,2025-01-10,金逸影视,002905,17.1,16.23,17.35,16.23,73218,51211944.8,6.47,-6.18,-1.07,2.1
228,2025-01-09,金逸影视,002905,16.81,17.3,17.66,16.81,116423,84049602.72,5.04,2.49,0.42,3.33
227,2025-01-08,金逸影视,002905,17.03,16.88,17.28,16.45,88964,62233653.84,4.85,-1.4,-0.24,2.55
226,2025-01-07,金逸影视,002905,17.03,17.12,17.41,16.61,79988,56406084.82,4.66,-0.29,-0.05,2.29
225,2025-01-06,金逸影视,002905,18.15,17.17,18.58,17.1,104715,77467343.16,7.84,-9.01,-1.7,3.0
224,2025-01-03,金逸影视,002905,19.25,18.87,20.84,17.77,138041,108860005.4,16.06,-1.31,-0.25,3.95
223,2025-01-02,金逸影视,002905,18.96,19.12,19.5,18.82,92196,74409978.92,3.62,1.81,0.34,2.64
222,2024-12-31,金逸影视,002905,19.27,18.78,19.7,18.78,86441,69732312.38,4.81,-1.78,-0.34,2.47
221,2024-12-30,金逸影视,002905,19.23,19.12,19.54,18.6,89054,71205976.97,4.83,-1.8,-0.35,2.55
220,2024-12-27,金逸影视,002905,18.98,19.47,20.08,18.76,124530,101863835.11,6.95,2.58,0.49,3.56
219,2024-12-26,金逸影视,002905,18.8,18.98,19.36,18.6,99462,79322646.2,3.99,-0.26,-0.05,2.85
218,2024-12-25,金逸影视,002905,18.4,19.03,19.72,17.21,172194,132215149.3,13.55,2.7,0.5,4.93
217,2024-12-24,金逸影视,002905,18.71,18.53,19.14,18.06,81728,62999155.76,5.77,-1.07,-0.2,2.34
216,2024-12-23,金逸影视,002905,20.44,18.73,20.57,18.53,109769,89226503.88,9.98,-8.37,-1.71,3.14
215,2024-12-20,金逸影视,002905,20.8,20.44,20.95,20.3,77999,67722672.4,3.17,-0.44,-0.09,2.23
214,2024-12-19,金逸影视,002905,20.82,20.53,21.0,20.17,122697,106206821.69,3.94,-2.42,-0.51,3.51
213,2024-12-18,金逸影视,002905,21.06,21.04,22.56,20.75,169244,152139249.07,8.71,1.3,0.27,4.84
212,2024-12-17,金逸影视,002905,21.92,20.77,22.3,20.35,235108,209109082.4,8.73,-7.03,-1.57,6.73
211,2024-12-16,金逸影视,002905,21.71,22.34,23.77,20.88,275782,255595362.98,13.31,2.9,0.63,7.89
210,2024-12-13,金逸影视,002905,21.53,21.71,22.99,21.53,210313,196870346.88,6.68,-0.64,-0.14,6.02
209,2024-12-12,金逸影视,002905,21.13,21.85,22.41,20.73,203725,185030737.07,7.99,3.95,0.83,5.83
208,2024-12-11,金逸影视,002905,20.41,21.02,21.44,20.41,177521,156718162.66,5.02,2.54,0.52,5.08
207,2024-12-10,金逸影视,002905,21.31,20.5,21.85,20.41,233337,207822326.52,7.15,1.74,0.35,6.68
206,2024-12-09,金逸影视,002905,20.39,20.15,20.75,19.88,133489,114034813.0,4.26,-1.42,-0.29,3.82
205,2024-12-06,金逸影视,002905,20.26,20.44,21.31,20.06,200556,173961197.77,6.13,0.25,0.05,5.74
