,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,德生科技,002908,26.13,26.77,26.8,25.98,135420,116052590.8,3.15,2.69,0.7,4.39
240,2025-01-23,德生科技,002908,26.57,26.07,27.1,26.04,148454,127891630.32,4.06,-0.23,-0.06,4.81
239,2025-01-22,德生科技,002908,26.24,26.13,26.6,26.01,133342,113184421.86,2.23,-1.1,-0.29,4.32
238,2025-01-21,德生科技,002908,26.89,26.42,27.42,26.07,267318,229083806.56,5.02,-1.75,-0.47,8.66
237,2025-01-20,德生科技,002908,25.74,26.89,27.86,25.42,317280,279252893.62,9.59,5.66,1.44,10.28
236,2025-01-17,德生科技,002908,25.27,25.45,25.54,25.15,59895,49089392.36,1.53,0.12,0.03,1.94
235,2025-01-16,德生科技,002908,25.39,25.42,25.83,25.07,89140,73317592.04,3.02,1.07,0.27,2.89
234,2025-01-15,德生科技,002908,25.24,25.15,25.54,24.89,80053,65077758.88,2.58,-0.36,-0.09,2.59
233,2025-01-14,德生科技,002908,24.21,25.24,25.24,24.16,109972,88130199.6,4.49,4.86,1.17,3.56
232,2025-01-13,德生科技,002908,23.77,24.07,24.1,23.04,78052,59503435.4,4.43,0.63,0.15,2.53
231,2025-01-10,德生科技,002908,24.8,23.92,25.1,23.92,84015,66315026.82,4.74,-3.9,-0.97,2.72
230,2025-01-09,德生科技,002908,24.51,24.89,25.15,24.51,77443,62326663.42,2.59,0.61,0.15,2.51
229,2025-01-08,德生科技,002908,24.8,24.74,25.24,23.92,104023,82616100.92,5.28,-1.08,-0.27,3.37
228,2025-01-07,德生科技,002908,24.36,25.01,25.98,24.3,129000,103762793.79,6.97,3.78,0.91,4.18
227,2025-01-06,德生科技,002908,24.13,24.1,24.36,23.33,93415,72128470.4,4.24,-0.82,-0.2,3.03
226,2025-01-03,德生科技,002908,26.48,24.3,26.48,24.24,147840,119509503.99,8.55,-7.29,-1.91,4.79
225,2025-01-02,德生科技,002908,26.83,26.21,27.18,25.86,124680,107237882.08,4.88,-3.07,-0.83,4.04
224,2024-12-31,德生科技,002908,28.36,27.04,28.71,26.92,149556,134040874.48,6.36,-3.94,-1.11,4.85
223,2024-12-30,德生科技,002908,28.62,28.15,28.77,27.71,113156,103631704.72,3.7,-1.64,-0.47,3.67
222,2024-12-27,德生科技,002908,29.51,28.62,29.62,28.62,176312,167226962.88,3.4,-2.62,-0.77,5.71
221,2024-12-26,德生科技,002908,29.12,29.39,30.04,28.98,192336,184776785.9,3.62,0.31,0.09,6.23
220,2024-12-25,德生科技,002908,31.27,29.3,31.45,28.74,302139,291140490.6,8.72,-5.76,-1.79,9.79
219,2024-12-24,德生科技,002908,30.65,31.09,31.24,29.8,330910,330781683.92,4.71,1.63,0.5,10.73
218,2024-12-23,德生科技,002908,32.21,30.59,32.5,30.27,356518,362083693.16,6.81,-6.65,-2.18,11.56
217,2024-12-20,德生科技,002908,33.86,32.77,34.62,32.48,735891,801091678.26,6.44,-1.32,-0.44,23.85
216,2024-12-19,德生科技,002908,30.06,33.21,33.21,29.83,293314,307221358.66,11.16,9.6,2.91,9.51
215,2024-12-18,德生科技,002908,29.83,30.3,30.77,28.95,157994,155201414.82,6.1,1.58,0.47,5.12
214,2024-12-17,德生科技,002908,31.18,29.83,31.45,29.8,162033,159494747.44,5.29,-4.33,-1.35,5.25
213,2024-12-16,德生科技,002908,32.77,31.18,32.98,30.92,266142,275467063.13,6.43,-2.65,-0.85,8.63
212,2024-12-13,德生科技,002908,31.77,32.03,33.0,31.56,416359,440191810.58,4.49,-0.09,-0.03,13.5
211,2024-12-12,德生科技,002908,31.65,32.06,32.39,30.59,386005,398105064.77,5.71,1.68,0.53,12.51
210,2024-12-11,德生科技,002908,29.95,31.53,31.83,29.86,346735,351392678.53,6.57,5.17,1.55,11.24
209,2024-12-10,德生科技,002908,30.54,29.98,30.68,29.86,139021,137196711.12,2.74,0.1,0.03,4.51
208,2024-12-09,德生科技,002908,30.33,29.95,30.65,29.74,90375,88653763.96,3.02,-0.66,-0.2,2.93
207,2024-12-06,德生科技,002908,30.12,30.15,30.65,30.09,156989,155035244.72,1.87,0.47,0.14,5.09
206,2024-12-05,德生科技,002908,29.21,30.01,30.24,29.12,112391,109422391.56,3.81,2.21,0.65,3.64
205,2024-12-04,德生科技,002908,30.06,29.36,30.09,29.21,112599,108655266.36,2.92,-2.43,-0.73,3.65
204,2024-12-03,德生科技,002908,29.65,30.09,30.15,29.12,139743,135485016.54,3.47,1.48,0.44,4.53
203,2024-12-02,德生科技,002908,29.54,29.65,29.8,29.33,106042,102098039.8,1.6,1.09,0.32,3.44
202,2024-11-29,德生科技,002908,28.89,29.33,29.48,28.57,127180,120524426.76,3.15,1.63,0.47,4.12
201,2024-11-28,德生科技,002908,28.62,28.86,29.36,28.48,122496,115630582.22,3.08,0.94,0.27,3.97
200,2024-11-27,德生科技,002908,27.98,28.59,28.59,27.15,115874,104997577.64,5.11,1.45,0.41,3.76
199,2024-11-26,德生科技,002908,28.33,28.18,28.92,28.07,95417,88311897.08,2.98,-1.37,-0.39,3.09
198,2024-11-25,德生科技,002908,28.54,28.57,29.04,27.68,120132,109757366.72,4.8,0.85,0.24,3.89
197,2024-11-22,德生科技,002908,28.92,28.33,29.95,28.04,155482,148110233.72,6.6,-2.04,-0.59,5.04
196,2024-11-21,德生科技,002908,29.18,28.92,29.21,28.48,92521,86853971.6,2.5,-0.89,-0.26,3.0
195,2024-11-20,德生科技,002908,28.27,29.18,29.42,28.09,127732,120164536.4,4.7,3.22,0.91,4.14
194,2024-11-19,德生科技,002908,28.04,28.27,28.3,27.33,122089,110349383.76,3.47,1.25,0.35,3.96
193,2024-11-18,德生科技,002908,30.45,27.92,30.51,27.68,200826,187519269.56,9.38,-7.49,-2.26,6.51
192,2024-11-15,德生科技,002908,30.39,30.18,31.39,30.04,162150,162322352.78,4.44,-0.79,-0.24,5.26
191,2024-11-14,德生科技,002908,31.24,30.42,31.56,30.33,142791,144342739.92,3.94,-2.62,-0.82,4.63
190,2024-11-13,德生科技,002908,30.95,31.24,31.3,29.89,239873,238944348.08,4.53,0.29,0.09,7.77
189,2024-11-12,德生科技,002908,31.45,31.15,32.59,30.8,263560,272391666.49,5.64,-1.77,-0.56,8.54
188,2024-11-11,德生科技,002908,30.8,31.71,31.98,30.39,363350,371322146.06,5.11,1.99,0.62,11.78
187,2024-11-08,德生科技,002908,32.15,31.09,33.03,30.98,604967,625308910.89,6.71,1.73,0.53,19.61
186,2024-11-07,德生科技,002908,27.74,30.56,30.56,27.48,462128,451243080.48,11.04,9.57,2.67,14.98
185,2024-11-06,德生科技,002908,27.71,27.89,28.57,27.6,151591,137822706.63,3.51,0.87,0.24,4.91
184,2024-11-05,德生科技,002908,27.1,27.65,27.8,26.89,91634,81768313.81,3.35,1.84,0.5,2.97
