,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,豪美新材,002988,21.6,21.6,21.98,21.54,36862,77911857.0,2.05,0.47,0.1,1.49
239,2025-01-24,豪美新材,002988,21.37,21.5,21.61,20.92,42055,87144404.0,3.23,0.61,0.13,1.7
238,2025-01-23,豪美新材,002988,21.34,21.37,21.9,21.09,61278,128127402.82,3.87,2.0,0.42,2.47
237,2025-01-22,豪美新材,002988,20.91,20.95,21.22,20.75,26334,53648099.5,2.23,-0.43,-0.09,1.06
236,2025-01-21,豪美新材,002988,21.04,21.04,21.2,20.6,31349,63590105.0,2.87,0.62,0.13,1.26
235,2025-01-20,豪美新材,002988,21.22,20.91,21.26,20.74,30844,62736821.62,2.49,-0.05,-0.01,1.24
234,2025-01-17,豪美新材,002988,21.3,20.92,21.39,20.85,26844,54871327.0,2.54,-1.51,-0.32,1.08
233,2025-01-16,豪美新材,002988,21.48,21.24,22.18,21.1,51749,108796280.0,5.05,-0.75,-0.16,2.09
232,2025-01-15,豪美新材,002988,21.45,21.4,21.93,21.05,31749,66129606.59,4.1,-0.19,-0.04,1.28
231,2025-01-14,豪美新材,002988,21.09,21.44,21.72,21.02,38286,79816004.23,3.31,1.47,0.31,1.54
230,2025-01-13,豪美新材,002988,20.97,21.13,21.4,20.9,23053,47233778.72,2.32,-1.81,-0.39,0.93
229,2025-01-10,豪美新材,002988,21.79,21.52,22.7,21.5,44875,96374511.6,5.46,-2.14,-0.47,1.81
228,2025-01-09,豪美新材,002988,21.06,21.99,22.18,21.06,46311,98014872.96,5.26,3.29,0.7,1.87
227,2025-01-08,豪美新材,002988,21.43,21.29,21.55,20.7,28062,57687010.0,3.96,-0.79,-0.17,1.13
226,2025-01-07,豪美新材,002988,20.92,21.46,21.49,20.46,41637,84580065.0,4.94,2.88,0.6,1.68
225,2025-01-06,豪美新材,002988,20.63,20.86,21.48,20.51,40714,82971737.92,4.71,1.26,0.26,1.64
224,2025-01-03,豪美新材,002988,22.21,20.6,22.8,20.6,47793,100750888.32,10.03,-6.11,-1.34,1.93
223,2025-01-02,豪美新材,002988,21.78,21.94,22.72,21.7,49771,107191276.46,4.69,0.78,0.17,2.01
222,2024-12-31,豪美新材,002988,21.53,21.77,22.19,21.36,46101,97771856.77,3.87,1.4,0.3,1.86
221,2024-12-30,豪美新材,002988,21.96,21.47,22.29,21.25,49316,103672157.34,4.65,-4.07,-0.91,1.99
220,2024-12-27,豪美新材,002988,22.6,22.38,23.29,22.32,63218,140885820.08,4.29,-0.97,-0.22,2.55
219,2024-12-26,豪美新材,002988,22.4,22.6,22.78,22.15,42296,92651131.95,2.82,0.98,0.22,1.71
218,2024-12-25,豪美新材,002988,22.1,22.38,22.49,21.87,48107,104086440.18,2.79,0.58,0.13,1.94
