,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,壶化股份,003002,24.03,23.77,24.54,23.76,18356,42316128.92,3.2,-2.54,-0.62,1.0
240,2025-01-23,壶化股份,003002,24.82,24.39,24.83,24.1,17584,41129311.87,2.97,-0.77,-0.19,0.96
239,2025-01-22,壶化股份,003002,24.99,24.58,25.19,24.45,15521,36821342.24,2.96,-1.8,-0.45,0.85
238,2025-01-21,壶化股份,003002,25.13,25.03,25.33,24.35,22979,54820974.54,3.92,0.12,0.03,1.26
237,2025-01-20,壶化股份,003002,24.68,25.0,25.11,24.31,26276,62487256.89,3.24,1.3,0.32,1.44
236,2025-01-17,壶化股份,003002,23.62,24.68,24.91,23.53,37780,88987875.56,5.81,3.96,0.94,2.07
235,2025-01-16,壶化股份,003002,24.06,23.74,24.2,23.55,19267,44053254.0,2.7,-1.25,-0.3,1.05
234,2025-01-15,壶化股份,003002,24.41,24.04,24.79,23.96,17068,40048489.76,3.38,-2.2,-0.54,0.93
233,2025-01-14,壶化股份,003002,24.5,24.58,24.73,24.12,25395,59730585.0,2.5,0.82,0.2,1.39
232,2025-01-13,壶化股份,003002,23.75,24.38,24.63,23.14,38778,89618917.01,6.33,3.57,0.84,2.12
231,2025-01-10,壶化股份,003002,24.13,23.54,24.75,23.37,34813,80259190.07,5.74,-2.04,-0.49,1.9
230,2025-01-09,壶化股份,003002,23.46,24.03,24.1,23.18,24084,55258313.0,3.91,2.04,0.48,1.32
229,2025-01-08,壶化股份,003002,23.95,23.55,24.53,23.05,38604,88032572.0,6.18,-1.67,-0.4,2.11
228,2025-01-07,壶化股份,003002,23.13,23.95,24.14,22.98,33454,75967638.0,5.02,3.55,0.82,1.83
227,2025-01-06,壶化股份,003002,22.81,23.13,23.71,22.15,46379,102686583.36,6.87,1.89,0.43,2.54
226,2025-01-03,壶化股份,003002,22.44,22.7,22.94,21.75,49090,105803840.24,5.31,1.29,0.29,2.68
225,2025-01-02,壶化股份,003002,23.49,22.41,23.77,21.95,32735,71584887.68,7.74,-4.68,-1.1,1.79
224,2024-12-31,壶化股份,003002,24.83,23.51,24.85,23.37,32460,74118805.08,6.01,-4.51,-1.11,1.77
223,2024-12-30,壶化股份,003002,24.79,24.62,25.07,24.15,21558,51062264.07,3.67,-1.68,-0.42,1.18
222,2024-12-27,壶化股份,003002,24.77,25.04,25.67,24.55,22859,55598652.0,4.51,0.89,0.22,1.25
221,2024-12-26,壶化股份,003002,25.18,24.82,25.34,24.4,36480,87020708.0,3.73,-1.59,-0.4,1.99
220,2024-12-25,壶化股份,003002,26.08,25.22,26.97,24.18,69714,168222318.59,10.43,-5.75,-1.54,3.81
219,2024-12-24,壶化股份,003002,25.58,26.76,27.4,25.25,61438,157388712.27,8.41,4.65,1.19,3.36
218,2024-12-23,壶化股份,003002,25.95,25.57,26.45,25.45,24695,61780480.0,3.83,-1.96,-0.51,1.35
217,2024-12-20,壶化股份,003002,26.95,26.08,27.42,25.85,69294,176292287.0,5.83,-3.23,-0.87,3.79
216,2024-12-19,壶化股份,003002,25.28,26.95,27.15,24.89,71426,180210637.0,8.93,6.52,1.65,3.91
215,2024-12-18,壶化股份,003002,25.45,25.3,25.85,24.95,39544,96661197.16,3.54,-0.59,-0.15,2.16
214,2024-12-17,壶化股份,003002,26.28,25.45,26.54,25.15,45392,112675683.0,5.29,-3.16,-0.83,2.48
213,2024-12-16,壶化股份,003002,27.3,26.28,28.12,26.06,60434,157634997.67,7.55,-3.74,-1.02,3.3
212,2024-12-13,壶化股份,003002,26.95,27.3,27.53,26.62,45330,118573681.0,3.36,0.92,0.25,2.48
211,2024-12-12,壶化股份,003002,26.05,27.05,27.15,25.97,43591,112872007.9,4.51,3.48,0.91,2.38
210,2024-12-11,壶化股份,003002,26.52,26.14,26.57,25.32,66587,165562510.0,4.68,-2.1,-0.56,3.64
209,2024-12-10,壶化股份,003002,26.23,26.7,27.1,25.95,86299,222107677.35,4.48,4.09,1.05,4.72
208,2024-12-09,壶化股份,003002,24.43,25.65,25.83,24.38,67495,162182028.0,5.94,5.12,1.25,3.69
207,2024-12-06,壶化股份,003002,23.79,24.4,24.56,23.5,37365,86347356.0,4.45,2.52,0.6,2.04
206,2024-12-05,壶化股份,003002,23.27,23.8,24.05,22.96,30406,68999777.0,4.64,1.41,0.33,1.66
205,2024-12-04,壶化股份,003002,23.31,23.47,24.05,22.95,44681,101366818.0,4.72,0.69,0.16,2.44
204,2024-12-03,壶化股份,003002,23.63,23.31,24.06,23.13,46822,106172764.0,3.92,-1.77,-0.42,2.56
203,2024-12-02,壶化股份,003002,23.04,23.73,23.95,23.04,52443,118838340.0,3.95,2.99,0.69,2.87
202,2024-11-29,壶化股份,003002,22.64,23.04,23.8,22.64,50051,111871429.0,5.09,1.05,0.24,2.74
201,2024-11-28,壶化股份,003002,24.06,22.8,24.55,22.65,66546,149078129.04,7.83,-6.1,-1.48,3.64
200,2024-11-27,壶化股份,003002,22.84,24.28,24.31,22.84,74098,168816906.0,6.49,7.24,1.64,4.05
199,2024-11-26,壶化股份,003002,21.84,22.64,23.45,21.46,61165,133980494.0,9.13,3.9,0.85,3.34
198,2024-11-25,壶化股份,003002,21.42,21.79,22.03,21.01,32991,67789916.0,4.78,2.06,0.44,1.8
197,2024-11-22,壶化股份,003002,22.24,21.35,23.34,21.34,59723,127578032.0,9.01,-3.83,-0.85,3.27
196,2024-11-21,壶化股份,003002,22.08,22.2,22.84,21.7,45285,96505634.0,5.15,0.23,0.05,2.48
195,2024-11-20,壶化股份,003002,22.09,22.15,22.67,21.85,29471,62432092.0,3.7,0.05,0.01,1.61
194,2024-11-19,壶化股份,003002,22.0,22.14,22.6,21.43,35862,75588409.0,5.33,0.87,0.19,1.96
193,2024-11-18,壶化股份,003002,23.51,21.95,23.93,21.75,45292,97384715.0,9.28,-6.6,-1.55,2.48
192,2024-11-15,壶化股份,003002,24.31,23.5,24.96,23.35,40621,93807632.0,6.49,-5.28,-1.31,2.22
191,2024-11-14,壶化股份,003002,25.41,24.81,25.93,24.49,46890,112814823.0,5.67,-2.36,-0.6,2.56
190,2024-11-13,壶化股份,003002,23.95,25.41,25.73,23.87,79139,189249571.86,7.74,5.79,1.39,4.33
189,2024-11-12,壶化股份,003002,24.14,24.02,24.25,23.3,45403,103749432.0,3.93,-0.54,-0.13,2.48
188,2024-11-11,壶化股份,003002,24.46,24.15,24.67,23.55,47586,110559623.3,4.55,-1.79,-0.44,2.6
187,2024-11-08,壶化股份,003002,25.15,24.59,25.15,23.76,68570,161486375.66,5.6,-0.97,-0.24,3.75
186,2024-11-07,壶化股份,003002,23.17,24.83,25.51,22.89,102507,241181116.53,11.23,6.38,1.49,5.61
185,2024-11-06,壶化股份,003002,22.65,23.34,24.05,22.46,60199,134567925.0,7.01,2.91,0.66,3.29
184,2024-11-05,壶化股份,003002,22.7,22.68,22.73,21.88,51970,111256005.0,3.76,0.4,0.09,2.84
183,2024-11-04,壶化股份,003002,21.11,22.59,22.89,20.98,59573,127629211.78,9.05,7.01,1.48,3.26
182,2024-11-01,壶化股份,003002,21.01,21.11,21.64,20.28,62804,125797163.0,6.38,-0.94,-0.2,3.43
181,2024-10-31,壶化股份,003002,21.35,21.31,21.56,20.93,47710,96596120.0,2.94,-0.61,-0.13,2.61
180,2024-10-30,壶化股份,003002,22.03,21.44,22.23,21.29,53877,111125818.0,4.37,-0.28,-0.06,2.95
179,2024-10-29,壶化股份,003002,22.55,21.5,22.85,21.23,94605,197722557.0,7.06,-6.24,-1.43,5.17
178,2024-10-28,壶化股份,003002,22.89,22.93,23.75,22.53,84195,186449468.0,5.28,-0.78,-0.18,4.6
177,2024-10-25,壶化股份,003002,24.35,23.11,24.69,22.3,163639,366905244.16,10.14,-1.91,-0.45,8.95
176,2024-10-24,壶化股份,003002,22.65,23.56,23.56,21.9,122381,270856281.3,7.72,9.58,2.06,6.69
175,2024-10-23,壶化股份,003002,20.55,21.5,22.35,20.36,108325,221931264.97,9.54,3.02,0.63,5.92
174,2024-10-22,壶化股份,003002,20.98,20.87,21.84,20.51,59453,120101140.0,6.32,-0.9,-0.19,3.25
173,2024-10-21,壶化股份,003002,21.05,21.06,21.65,20.72,79824,161145514.48,4.39,-0.61,-0.13,4.36
172,2024-10-18,壶化股份,003002,20.9,21.19,21.47,20.53,67318,135113399.0,4.46,0.47,0.1,3.68
171,2024-10-17,壶化股份,003002,20.79,21.09,21.85,20.7,63672,129764341.18,5.53,1.49,0.31,3.48
170,2024-10-16,壶化股份,003002,21.04,20.78,21.43,20.16,47543,94779564.0,5.98,-2.17,-0.46,2.6
169,2024-10-15,壶化股份,003002,21.14,21.24,21.75,20.9,77185,156766706.28,3.96,-0.98,-0.21,4.22
168,2024-10-14,壶化股份,003002,19.95,21.45,21.45,19.52,96931,190270806.43,9.69,7.73,1.54,5.3
167,2024-10-11,壶化股份,003002,20.34,19.91,21.62,19.55,99144,194829290.0,9.87,-5.1,-1.07,5.42
166,2024-10-10,壶化股份,003002,20.95,20.98,21.86,19.88,156406,315150346.26,9.92,5.11,1.02,8.55
