,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,竞业达,003005,46.04,46.04,46.04,46.04,51544,167105421.06,0.0,9.85,4.13,6.98
239,2025-01-24,竞业达,003005,40.06,41.91,41.95,39.98,63206,183486016.25,4.91,4.54,1.82,8.56
238,2025-01-23,竞业达,003005,40.58,40.09,41.74,40.09,42623,122958613.0,4.1,-0.47,-0.19,5.77
237,2025-01-22,竞业达,003005,40.77,40.28,41.22,40.02,29546,84357357.92,2.91,-2.33,-0.96,4.0
236,2025-01-21,竞业达,003005,41.24,41.24,41.75,40.34,39098,112440683.0,3.45,1.0,0.41,5.3
235,2025-01-20,竞业达,003005,41.77,40.83,41.94,40.69,45936,133172877.0,3.08,0.72,0.29,6.22
234,2025-01-17,竞业达,003005,40.68,40.54,40.97,40.06,30411,86731433.0,2.22,-1.12,-0.46,4.12
233,2025-01-16,竞业达,003005,41.35,41.0,41.8,40.76,39270,113863516.0,2.53,-0.27,-0.11,5.32
232,2025-01-15,竞业达,003005,40.8,41.11,41.95,40.8,52780,153429905.0,2.78,-0.58,-0.24,7.15
231,2025-01-14,竞业达,003005,39.86,41.35,41.36,39.51,62440,178373152.8,4.7,5.16,2.03,8.46
230,2025-01-13,竞业达,003005,39.56,39.32,40.93,38.87,48816,135340281.0,5.05,-3.6,-1.47,6.61
229,2025-01-10,竞业达,003005,42.94,40.79,42.94,40.73,88907,260681903.0,5.05,-6.79,-2.97,12.04
228,2025-01-09,竞业达,003005,40.61,43.76,43.76,40.58,82710,250560018.4,7.98,9.84,3.92,11.2
227,2025-01-08,竞业达,003005,37.82,39.84,39.84,36.99,57448,155808190.88,7.51,4.95,1.88,7.78
226,2025-01-07,竞业达,003005,36.76,37.96,37.99,36.67,30508,79989656.0,3.58,3.01,1.11,4.13
225,2025-01-06,竞业达,003005,36.35,36.85,38.17,35.24,36726,94521025.2,8.01,0.68,0.25,4.97
224,2025-01-03,竞业达,003005,37.89,36.6,38.42,36.49,34946,91610428.0,5.09,-3.4,-1.29,4.73
223,2025-01-02,竞业达,003005,38.46,37.89,39.25,37.33,33049,89014382.0,4.97,-1.89,-0.73,4.48
222,2024-12-31,竞业达,003005,40.55,38.62,41.04,38.62,36491,101662986.68,5.98,-4.62,-1.87,4.94
221,2024-12-30,竞业达,003005,40.05,40.49,40.63,38.94,27986,79035314.2,4.2,0.57,0.23,3.79
220,2024-12-27,竞业达,003005,40.47,40.26,41.07,40.06,31255,89245042.44,2.5,-0.54,-0.22,4.23
219,2024-12-26,竞业达,003005,40.48,40.48,41.04,40.16,30092,85977109.8,2.19,0.9,0.36,4.08
218,2024-12-25,竞业达,003005,42.06,40.12,42.06,39.68,46205,131258215.72,5.66,-4.61,-1.94,6.26
217,2024-12-24,竞业达,003005,40.79,42.06,42.65,40.35,54649,160064805.98,5.65,3.29,1.34,7.4
216,2024-12-23,竞业达,003005,43.77,40.72,43.92,40.7,53832,158739522.2,7.33,-7.33,-3.22,7.29
215,2024-12-20,竞业达,003005,43.29,43.94,44.41,42.93,52414,161342165.0,3.41,1.36,0.59,7.1
214,2024-12-19,竞业达,003005,42.72,43.35,43.35,41.95,49912,150266450.38,3.27,1.17,0.5,6.76
213,2024-12-18,竞业达,003005,42.85,42.85,44.46,42.06,59316,180239055.4,5.49,-2.01,-0.88,8.04
212,2024-12-17,竞业达,003005,47.7,43.73,48.11,43.69,79428,252659988.72,9.12,-9.76,-4.73,10.76
211,2024-12-16,竞业达,003005,48.25,48.46,49.08,47.0,62760,212678479.6,4.23,-1.5,-0.74,8.5
210,2024-12-13,竞业达,003005,48.53,49.2,50.35,47.9,101889,351244714.4,4.95,-0.61,-0.3,13.8
209,2024-12-12,竞业达,003005,51.05,49.5,52.44,48.53,154664,549026037.72,7.6,-3.77,-1.94,20.95
208,2024-12-11,竞业达,003005,46.64,51.44,51.44,45.67,116064,388234746.3,12.32,9.87,4.62,15.72
207,2024-12-10,竞业达,003005,45.67,46.82,48.4,44.64,112570,367202993.86,8.44,5.12,2.28,15.25
206,2024-12-09,竞业达,003005,45.6,44.54,45.95,44.05,63523,200367717.28,4.11,-3.55,-1.64,8.61
205,2024-12-06,竞业达,003005,46.85,46.18,47.75,45.17,106201,346571366.16,5.61,0.46,0.21,14.39
204,2024-12-05,竞业达,003005,44.82,45.97,46.22,44.48,93002,298855478.22,3.9,3.12,1.39,12.6
203,2024-12-04,竞业达,003005,45.38,44.58,45.45,44.05,91508,288067656.08,3.02,-3.92,-1.82,12.4
202,2024-12-03,竞业达,003005,43.38,46.4,46.99,42.45,146824,463747146.96,10.37,5.98,2.62,19.89
201,2024-12-02,竞业达,003005,44.08,43.78,44.08,42.65,84050,257480042.66,3.24,-0.75,-0.33,11.39
200,2024-11-29,竞业达,003005,42.79,44.11,44.51,41.71,120467,365580954.29,6.46,1.75,0.76,16.32
199,2024-11-28,竞业达,003005,45.02,43.35,45.59,42.78,127335,394282156.12,6.07,-6.41,-2.97,17.25
198,2024-11-27,竞业达,003005,42.57,46.32,46.71,42.27,151819,479665460.68,9.97,4.02,1.79,20.57
197,2024-11-26,竞业达,003005,47.31,44.53,48.91,44.53,181605,585967590.98,8.87,-9.86,-4.87,24.6
196,2024-11-25,竞业达,003005,46.88,49.4,49.4,46.64,212508,724295962.32,6.14,9.88,4.44,28.79
195,2024-11-22,竞业达,003005,40.82,44.96,44.96,40.63,80457,249611035.0,10.58,9.85,4.03,10.9
194,2024-11-21,竞业达,003005,39.68,40.93,41.66,39.63,58349,167223178.64,5.07,2.17,0.87,7.9
193,2024-11-20,竞业达,003005,37.83,40.06,40.83,37.58,50770,140784746.38,8.55,5.42,2.06,6.88
192,2024-11-19,竞业达,003005,37.6,38.0,38.0,36.88,32242,84734304.5,3.0,1.9,0.71,4.37
191,2024-11-18,竞业达,003005,41.32,37.29,41.32,37.05,54049,144215426.66,10.73,-6.26,-2.49,7.32
190,2024-11-15,竞业达,003005,39.68,39.78,41.39,39.43,70915,202375005.48,4.87,-1.22,-0.49,9.61
189,2024-11-14,竞业达,003005,40.41,40.27,43.35,40.27,84125,245274878.55,7.62,-0.35,-0.14,11.4
188,2024-11-13,竞业达,003005,39.65,40.41,40.54,39.33,36740,103307579.0,3.03,1.08,0.43,4.98
187,2024-11-12,竞业达,003005,41.25,39.98,41.42,39.53,49644,140668452.0,4.63,-2.08,-0.85,6.72
186,2024-11-11,竞业达,003005,39.74,40.83,40.87,39.23,54928,156346833.0,4.12,2.64,1.05,7.44
185,2024-11-08,竞业达,003005,40.34,39.78,41.08,39.7,52897,149755378.0,3.47,0.1,0.04,7.17
184,2024-11-07,竞业达,003005,38.87,39.74,39.84,38.56,41905,115967435.14,3.26,1.17,0.46,5.68
183,2024-11-06,竞业达,003005,39.51,39.28,40.21,38.95,53584,148768409.04,3.18,-0.73,-0.29,7.26
182,2024-11-05,竞业达,003005,38.7,39.57,40.55,38.3,65030,179252465.0,5.85,2.94,1.13,8.81
181,2024-11-04,竞业达,003005,37.46,38.44,38.44,36.71,39962,106100040.4,4.61,2.48,0.93,5.41
180,2024-11-01,竞业达,003005,40.48,37.51,41.08,37.46,71834,194555949.32,8.95,-7.25,-2.93,9.73
179,2024-10-31,竞业达,003005,39.4,40.44,40.84,39.02,89021,250921549.5,4.62,2.64,1.04,12.06
178,2024-10-30,竞业达,003005,40.28,39.4,41.45,38.94,91494,256903142.2,6.23,-2.18,-0.88,12.39
177,2024-10-29,竞业达,003005,42.55,40.28,42.78,40.27,173762,509833790.42,6.26,0.47,0.19,23.54
176,2024-10-28,竞业达,003005,40.09,40.09,40.09,39.58,70899,199558945.6,1.4,9.84,3.59,9.6
175,2024-10-25,竞业达,003005,36.06,36.5,36.74,36.06,25381,64899943.8,1.88,1.11,0.4,3.44
174,2024-10-24,竞业达,003005,36.45,36.1,36.77,35.85,28291,71883897.2,2.51,-1.42,-0.52,3.83
173,2024-10-23,竞业达,003005,36.56,36.62,37.33,36.49,33708,87375748.0,2.28,-0.52,-0.19,4.57
172,2024-10-22,竞业达,003005,37.44,36.81,37.54,36.53,39984,103635216.2,2.7,-1.68,-0.63,5.42
