,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,直真科技,003007,39.84,39.59,40.18,39.26,25445,76070968.6,2.31,-0.48,-0.19,3.44
239,2025-01-24,直真科技,003007,37.92,39.78,40.53,37.75,45034,133900306.3,7.33,4.91,1.86,6.09
238,2025-01-23,直真科技,003007,38.24,37.92,38.83,37.88,20210,58383587.0,2.51,0.29,0.11,2.73
237,2025-01-22,直真科技,003007,37.68,37.81,38.36,37.46,14789,42188604.0,2.37,-0.42,-0.16,2.0
236,2025-01-21,直真科技,003007,38.33,37.97,38.33,37.46,19602,55844731.4,2.3,0.45,0.17,2.65
235,2025-01-20,直真科技,003007,36.37,37.8,38.23,36.14,46402,131572608.16,5.79,4.65,1.68,6.28
234,2025-01-17,直真科技,003007,36.1,36.12,36.47,35.84,14379,39127695.0,1.74,-0.25,-0.09,1.95
233,2025-01-16,直真科技,003007,36.42,36.21,37.02,35.82,19614,53643658.0,3.31,-0.19,-0.07,2.65
232,2025-01-15,直真科技,003007,36.54,36.28,36.8,36.19,18091,49623094.0,1.67,-0.71,-0.26,2.45
231,2025-01-14,直真科技,003007,35.2,36.54,36.59,35.2,25668,69754184.8,3.95,3.9,1.37,3.47
230,2025-01-13,直真科技,003007,34.94,35.17,35.38,34.19,16106,42214874.96,3.36,-0.59,-0.21,2.18
229,2025-01-10,直真科技,003007,37.19,35.38,37.45,35.33,26842,73265277.0,5.71,-4.79,-1.78,3.63
228,2025-01-09,直真科技,003007,35.34,37.16,37.76,34.98,42794,117904467.0,7.9,5.6,1.97,5.79
227,2025-01-08,直真科技,003007,35.3,35.19,35.59,34.07,23479,61744383.0,4.29,-0.62,-0.22,3.18
226,2025-01-07,直真科技,003007,34.37,35.41,35.42,34.37,20413,53570120.8,3.06,3.15,1.08,2.76
225,2025-01-06,直真科技,003007,34.85,34.33,35.11,33.46,20590,53409761.28,4.73,-1.49,-0.52,2.79
224,2025-01-03,直真科技,003007,38.07,34.85,38.23,34.72,41318,111677735.5,9.27,-8.0,-3.03,5.59
223,2025-01-02,直真科技,003007,39.83,37.88,40.11,37.28,43469,126156842.5,7.0,-6.35,-2.57,5.88
222,2024-12-31,直真科技,003007,41.52,40.45,42.65,40.45,36579,114809158.96,5.25,-3.46,-1.45,4.95
221,2024-12-30,直真科技,003007,41.69,41.9,42.86,41.3,32587,103032073.04,3.76,0.89,0.37,4.41
220,2024-12-27,直真科技,003007,42.01,41.53,42.35,41.09,31953,100869130.0,3.0,-1.12,-0.47,4.32
219,2024-12-26,直真科技,003007,40.97,42.0,42.61,40.44,37704,119613243.0,5.24,1.47,0.61,5.1
218,2024-12-25,直真科技,003007,43.4,41.39,43.43,41.09,49725,157430440.44,5.32,-5.85,-2.57,6.73
217,2024-12-24,直真科技,003007,42.95,43.96,44.08,40.8,75577,243470095.5,7.69,3.0,1.28,10.23
216,2024-12-23,直真科技,003007,45.13,42.68,46.09,42.38,87421,290004361.26,8.04,-7.54,-3.48,11.83
