,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,思进智能,003025,46.49,45.64,46.52,45.58,34945,51503220.83,2.04,-1.15,-0.53,1.76
239,2025-01-24,思进智能,003025,45.41,46.17,46.23,45.23,50482,74172825.27,2.19,1.09,0.5,2.54
238,2025-01-23,思进智能,003025,46.35,45.67,46.55,45.64,58683,87204450.3,1.98,-0.63,-0.29,2.95
237,2025-01-22,思进智能,003025,45.64,45.96,46.79,45.46,73138,108429534.16,2.9,0.31,0.14,3.68
236,2025-01-21,思进智能,003025,45.64,45.82,45.82,45.05,43662,63813434.15,1.69,0.73,0.33,2.2
235,2025-01-20,思进智能,003025,45.52,45.49,45.88,45.17,62680,91710101.78,1.57,0.31,0.14,3.15
234,2025-01-17,思进智能,003025,44.82,45.35,45.73,44.82,43545,63446049.38,2.02,0.47,0.21,2.19
233,2025-01-16,思进智能,003025,46.08,45.14,46.32,44.82,79108,115641615.25,3.27,-1.61,-0.74,3.98
232,2025-01-15,思进智能,003025,45.46,45.88,46.79,44.93,111954,164654775.12,4.16,2.5,1.12,5.63
231,2025-01-14,思进智能,003025,43.29,44.76,44.91,43.26,59086,83673260.37,3.83,3.83,1.65,2.97
230,2025-01-13,思进智能,003025,42.26,43.11,43.64,41.73,35524,48580365.82,4.46,0.68,0.29,1.79
229,2025-01-10,思进智能,003025,42.96,42.82,44.52,42.73,60539,84467123.86,4.17,-0.26,-0.11,3.05
228,2025-01-09,思进智能,003025,42.52,42.93,43.11,42.37,31412,43138131.8,1.73,0.61,0.26,1.58
227,2025-01-08,思进智能,003025,42.67,42.67,43.05,41.43,39806,53790104.72,3.79,-0.14,-0.06,2.0
226,2025-01-07,思进智能,003025,41.9,42.73,42.96,41.52,39277,52881567.14,3.46,2.54,1.06,1.98
225,2025-01-06,思进智能,003025,41.49,41.67,41.96,40.31,41515,54806421.64,3.99,0.8,0.33,2.09
224,2025-01-03,思进智能,003025,42.99,41.34,43.02,41.2,46960,63057310.93,4.26,-3.32,-1.42,2.36
223,2025-01-02,思进智能,003025,43.96,42.76,44.38,42.32,48777,67703910.65,4.69,-2.73,-1.2,2.45
222,2024-12-31,思进智能,003025,45.11,43.96,45.32,43.9,37916,54083246.8,3.15,-2.48,-1.12,1.91
221,2024-12-30,思进智能,003025,45.35,45.08,45.73,44.2,32665,47195652.29,3.37,-0.73,-0.33,1.64
220,2024-12-27,思进智能,003025,45.52,45.41,46.17,45.23,31807,46701538.14,2.07,-0.11,-0.05,1.6
219,2024-12-26,思进智能,003025,44.52,45.46,45.73,44.29,39903,58096023.16,3.23,2.11,0.94,2.01
218,2024-12-25,思进智能,003025,45.44,44.52,45.44,43.9,42777,61059674.32,3.39,-2.02,-0.92,2.15
217,2024-12-24,思进智能,003025,44.93,45.44,46.02,44.73,36940,53745511.28,2.88,1.38,0.62,1.86
216,2024-12-23,思进智能,003025,47.41,44.82,47.58,44.7,59663,87904985.73,6.07,-5.46,-2.59,3.0
215,2024-12-20,思进智能,003025,46.79,47.41,47.76,46.47,41367,63108271.47,2.76,1.33,0.62,2.08
214,2024-12-19,思进智能,003025,46.29,46.79,47.0,46.02,35430,52992564.82,2.1,0.26,0.12,1.78
213,2024-12-18,思进智能,003025,46.94,46.67,47.2,45.91,37133,55703115.2,2.77,0.26,0.12,1.87
212,2024-12-17,思进智能,003025,48.26,46.55,48.53,46.35,50670,76926699.89,4.49,-4.14,-2.01,2.55
211,2024-12-16,思进智能,003025,48.41,48.56,49.17,47.88,37763,59204278.3,2.66,0.25,0.12,1.9
210,2024-12-13,思进智能,003025,49.17,48.44,49.67,48.38,47611,75093869.9,2.6,-2.26,-1.12,2.4
209,2024-12-12,思进智能,003025,49.76,49.56,49.85,48.85,51857,82545494.35,2.01,-0.22,-0.11,2.61
208,2024-12-11,思进智能,003025,49.09,49.67,49.85,48.32,66372,105173826.4,3.11,0.83,0.41,3.34
207,2024-12-10,思进智能,003025,50.53,49.26,50.7,49.11,88222,142131726.67,3.21,-0.61,-0.3,4.44
206,2024-12-09,思进智能,003025,49.56,49.56,50.62,49.11,81348,130693902.33,3.05,0.0,0.0,4.09
205,2024-12-06,思进智能,003025,50.29,49.56,50.47,49.03,122360,196616587.42,2.87,-1.39,-0.7,6.16
204,2024-12-05,思进智能,003025,49.7,50.26,51.73,49.61,181193,294976064.49,4.31,2.09,1.03,9.12
203,2024-12-04,思进智能,003025,48.58,49.23,50.06,48.11,127025,201915581.5,4.02,1.38,0.67,6.39
202,2024-12-03,思进智能,003025,47.94,48.56,49.2,47.73,93579,145851495.26,3.07,1.42,0.68,4.71
201,2024-12-02,思进智能,003025,47.41,47.88,48.0,47.41,65537,100713754.57,1.24,0.74,0.35,3.3
200,2024-11-29,思进智能,003025,45.61,47.53,47.53,45.61,70680,106488590.36,4.18,3.53,1.62,3.56
199,2024-11-28,思进智能,003025,45.76,45.91,46.73,45.55,51895,77056163.68,2.57,-0.07,-0.03,2.61
198,2024-11-27,思进智能,003025,45.41,45.94,45.94,44.23,54233,78255050.1,3.74,0.53,0.24,2.73
197,2024-11-26,思进智能,003025,46.35,45.7,46.88,45.49,37558,55625864.53,2.97,-2.27,-1.06,1.89
196,2024-11-25,思进智能,003025,46.35,46.76,46.82,45.38,47950,70994192.97,3.13,1.54,0.71,2.41
195,2024-11-22,思进智能,003025,48.2,46.05,48.26,45.76,63988,97280925.42,5.19,-4.46,-2.15,3.22
194,2024-11-21,思进智能,003025,48.35,48.2,48.82,47.55,63061,98101563.48,2.63,-0.37,-0.18,3.17
193,2024-11-20,思进智能,003025,47.08,48.38,48.56,46.67,104093,161289582.73,4.01,2.63,1.24,5.24
192,2024-11-19,思进智能,003025,44.2,47.14,47.32,44.08,95701,140810530.58,7.38,7.38,3.24,4.82
191,2024-11-18,思进智能,003025,45.32,43.9,45.64,43.49,55505,78815720.91,4.75,-2.94,-1.33,2.79
190,2024-11-15,思进智能,003025,46.08,45.23,47.08,45.2,56174,83368093.86,4.07,-1.97,-0.91,2.83
189,2024-11-14,思进智能,003025,47.82,46.14,48.08,46.11,56125,84964741.86,4.12,-3.57,-1.71,2.82
188,2024-11-13,思进智能,003025,48.11,47.85,48.53,46.61,71031,108441216.43,3.98,-0.85,-0.41,3.57
187,2024-11-12,思进智能,003025,48.91,48.26,49.53,47.7,93236,146108442.25,3.76,-0.9,-0.44,4.69
186,2024-11-11,思进智能,003025,47.38,48.7,48.7,47.35,83407,129719988.8,2.83,2.23,1.06,4.2
185,2024-11-08,思进智能,003025,48.35,47.64,48.56,47.35,86665,133972357.25,2.52,-0.75,-0.36,4.36
184,2024-11-07,思进智能,003025,47.32,48.0,48.11,47.2,88845,136469119.23,1.91,0.63,0.3,4.47
183,2024-11-06,思进智能,003025,47.44,47.7,48.85,47.14,129940,200685245.24,3.66,2.21,1.03,6.54
182,2024-11-05,思进智能,003025,46.02,46.67,46.79,45.58,82619,122929552.14,2.62,1.21,0.56,4.16
181,2024-11-04,思进智能,003025,44.79,46.11,46.17,44.58,68221,100429689.55,3.56,3.29,1.47,3.43
180,2024-11-01,思进智能,003025,46.67,44.64,46.97,44.58,113312,165364429.27,5.08,-5.18,-2.44,5.7
179,2024-10-31,思进智能,003025,47.2,47.08,47.35,46.58,76566,115822878.8,1.64,0.0,0.0,3.85
178,2024-10-30,思进智能,003025,46.88,47.08,47.67,46.05,91262,137806166.47,3.42,-0.7,-0.33,4.59
177,2024-10-29,思进智能,003025,47.17,47.41,48.03,46.79,119605,182857664.26,2.63,0.51,0.24,6.02
176,2024-10-28,思进智能,003025,47.32,47.17,47.5,46.73,82058,124295396.98,1.63,-0.32,-0.15,4.13
175,2024-10-25,思进智能,003025,46.91,47.32,47.41,46.79,68183,103503281.46,1.32,0.57,0.27,3.43
174,2024-10-24,思进智能,003025,46.32,47.05,47.32,46.29,56815,85781900.18,2.19,0.23,0.11,2.86
173,2024-10-23,思进智能,003025,47.55,46.94,47.76,46.67,96773,147100265.41,2.28,-1.72,-0.82,4.87
172,2024-10-22,思进智能,003025,46.7,47.76,48.38,46.52,120513,184592431.55,3.94,1.19,0.56,6.06
171,2024-10-21,思进智能,003025,46.79,47.2,47.76,46.05,150459,226798448.22,3.63,0.25,0.12,7.57
170,2024-10-18,思进智能,003025,45.46,47.08,47.67,45.32,152751,229373195.6,5.16,3.29,1.5,7.69
169,2024-10-17,思进智能,003025,46.38,45.58,46.55,45.17,84480,124657930.87,3.0,-0.78,-0.36,4.25
168,2024-10-16,思进智能,003025,45.17,45.94,46.58,44.91,99872,147104347.24,3.68,1.1,0.5,5.03
167,2024-10-15,思进智能,003025,45.29,45.44,47.61,44.88,160424,237159875.7,6.11,1.72,0.77,8.07
166,2024-10-14,思进智能,003025,43.37,44.67,44.67,42.99,65827,92640664.96,3.87,2.78,1.21,3.31
165,2024-10-11,思进智能,003025,46.32,43.46,46.32,42.76,98157,138483473.13,7.69,-6.17,-2.86,4.94
164,2024-10-10,思进智能,003025,46.14,46.32,46.91,45.02,113892,169031534.16,4.16,1.89,0.86,5.73
163,2024-10-09,思进智能,003025,48.11,45.46,48.11,44.73,120763,180231409.03,6.89,-7.39,-3.63,6.08
162,2024-10-08,思进智能,003025,50.56,49.09,50.56,45.91,160074,249362467.66,10.06,6.26,2.89,8.05
161,2024-09-30,思进智能,003025,44.26,46.2,46.38,43.17,140768,203270604.37,7.57,8.96,3.8,7.08
160,2024-09-27,思进智能,003025,41.28,42.4,43.17,40.93,87048,116739397.53,5.5,4.18,1.7,4.38
159,2024-09-26,思进智能,003025,39.46,40.7,40.73,39.22,51318,65398714.12,3.84,3.38,1.33,2.58
158,2024-09-25,思进智能,003025,39.81,39.37,40.4,39.17,53164,67445297.76,3.11,-0.38,-0.15,2.67
157,2024-09-24,思进智能,003025,37.99,39.52,39.52,37.72,47355,58159812.05,4.76,4.61,1.74,2.38
156,2024-09-23,思进智能,003025,38.22,37.78,38.28,37.69,30853,37154543.92,1.54,-1.31,-0.5,1.55
155,2024-09-20,思进智能,003025,39.05,38.28,39.05,38.11,40059,48846096.75,2.42,-1.44,-0.56,2.02
154,2024-09-19,思进智能,003025,39.05,38.84,39.78,38.52,43434,54015707.48,3.23,-0.54,-0.21,2.19
153,2024-09-18,思进智能,003025,39.67,39.05,39.81,38.31,27324,33787132.95,3.8,-1.19,-0.47,1.37
152,2024-09-13,思进智能,003025,40.55,39.52,40.7,39.52,24245,30863838.0,2.91,-2.54,-1.03,1.22
151,2024-09-12,思进智能,003025,40.87,40.55,41.37,40.4,21881,28524456.32,2.37,-0.93,-0.38,1.1
150,2024-09-11,思进智能,003025,41.02,40.93,41.28,40.78,23798,31127517.7,1.21,-0.58,-0.24,1.2
149,2024-09-10,思进智能,003025,40.55,41.17,41.2,40.11,29726,38535399.9,2.7,1.91,0.77,1.5
148,2024-09-09,思进智能,003025,40.4,40.4,40.67,39.87,26119,33599956.45,1.98,0.0,0.0,1.31
147,2024-09-06,思进智能,003025,41.2,40.4,41.31,40.4,33673,43774297.13,2.2,-2.27,-0.94,1.69
146,2024-09-05,思进智能,003025,41.52,41.34,41.87,41.2,40891,54199393.67,1.61,-0.43,-0.18,2.06
145,2024-09-04,思进智能,003025,41.34,41.52,41.9,41.31,47637,63294152.81,1.42,-0.36,-0.15,2.4
144,2024-09-03,思进智能,003025,40.46,41.67,41.67,40.43,61470,81153962.44,3.04,2.18,0.89,3.09
143,2024-09-02,思进智能,003025,40.81,40.78,41.64,40.64,60976,80036412.11,2.44,-0.44,-0.18,3.07
142,2024-08-30,思进智能,003025,40.2,40.96,41.73,39.46,86292,111791940.08,5.75,3.72,1.47,4.34
141,2024-08-29,思进智能,003025,38.16,39.49,39.81,38.16,34664,43208823.15,4.28,2.44,0.94,1.74
140,2024-08-28,思进智能,003025,37.87,38.55,38.99,37.87,23962,29284900.5,2.94,1.23,0.47,1.21
139,2024-08-27,思进智能,003025,38.58,38.08,39.14,38.02,28859,35319959.05,2.88,-2.18,-0.85,1.45
138,2024-08-26,思进智能,003025,38.34,38.93,39.11,38.19,24952,30806552.0,2.4,1.38,0.53,1.26
137,2024-08-23,思进智能,003025,39.11,38.4,39.11,38.05,31999,39131497.65,2.72,-1.59,-0.62,1.61
136,2024-08-22,思进智能,003025,39.61,39.02,40.05,38.93,32737,41216368.0,2.82,-1.76,-0.7,1.65
135,2024-08-21,思进智能,003025,39.55,39.72,40.02,39.19,30342,38358958.45,2.1,0.43,0.17,1.53
134,2024-08-20,思进智能,003025,40.17,39.55,40.46,39.28,29863,37740287.03,2.94,-1.54,-0.62,1.5
133,2024-08-19,思进智能,003025,40.93,40.17,40.99,39.99,37475,48280412.84,2.46,-1.37,-0.56,1.89
132,2024-08-16,思进智能,003025,40.81,40.73,41.43,40.55,47805,62597138.0,2.17,0.3,0.12,2.41
131,2024-08-15,思进智能,003025,39.96,40.61,41.02,39.87,35591,46014060.87,2.86,0.89,0.36,1.79
130,2024-08-14,思进智能,003025,40.84,40.25,40.84,40.2,27682,35622842.31,1.57,-1.44,-0.59,1.39
129,2024-08-13,思进智能,003025,40.17,40.84,41.08,40.17,33732,43765542.6,2.26,1.39,0.56,1.7
128,2024-08-12,思进智能,003025,40.17,40.28,40.55,39.99,32513,41735408.0,1.39,0.2,0.08,1.64
127,2024-08-09,思进智能,003025,41.2,40.2,41.46,40.2,30693,39817152.51,3.09,-1.37,-0.56,1.54
126,2024-08-08,思进智能,003025,40.93,40.76,41.17,39.87,46772,60446721.6,3.16,-0.85,-0.35,2.35
125,2024-08-07,思进智能,003025,41.43,41.11,41.55,40.81,43636,57383331.17,1.79,-0.77,-0.32,2.2
124,2024-08-06,思进智能,003025,41.34,41.43,41.7,40.76,75687,99642244.96,2.29,0.85,0.35,3.81
123,2024-08-05,思进智能,003025,40.73,41.08,43.26,40.64,93571,125126217.5,6.34,-0.63,-0.26,4.71
122,2024-08-02,思进智能,003025,41.49,41.34,42.76,41.23,71495,95675228.39,3.63,-1.83,-0.77,3.6
121,2024-08-01,思进智能,003025,41.52,42.11,42.61,41.34,72491,97702760.92,3.05,1.13,0.47,3.65
120,2024-07-31,思进智能,003025,40.11,41.64,41.9,40.11,81958,108075484.18,4.43,3.07,1.24,4.12
119,2024-07-30,思进智能,003025,40.11,40.4,40.84,39.7,51429,66148763.88,2.83,0.22,0.09,2.59
118,2024-07-29,思进智能,003025,40.43,40.31,41.08,40.17,63036,81345724.5,2.25,-0.22,-0.09,3.17
117,2024-07-26,思进智能,003025,38.58,40.4,40.73,38.52,68849,87341925.88,5.77,5.46,2.09,3.46
116,2024-07-25,思进智能,003025,37.55,38.31,38.81,37.25,32802,39753789.28,4.11,0.92,0.35,1.65
115,2024-07-24,思进智能,003025,38.43,37.96,38.81,37.87,29894,36312711.23,2.43,-1.68,-0.65,1.5
114,2024-07-23,思进智能,003025,39.43,38.61,39.61,38.49,34933,43486294.57,2.84,-1.93,-0.76,1.76
113,2024-07-22,思进智能,003025,39.28,39.37,39.64,39.08,34318,43031346.04,1.43,0.82,0.32,1.73
112,2024-07-19,思进智能,003025,39.02,39.05,39.64,38.69,48390,60360928.08,2.44,0.15,0.06,2.43
111,2024-07-18,思进智能,003025,38.72,38.99,39.22,37.63,56644,69503202.64,4.11,0.78,0.3,2.85
110,2024-07-17,思进智能,003025,39.64,38.69,40.02,38.69,46782,58306213.04,3.33,-3.11,-1.24,2.35
109,2024-07-16,思进智能,003025,38.64,39.93,40.43,38.64,103079,130467792.94,4.56,1.65,0.65,5.19
108,2024-07-15,思进智能,003025,39.46,39.28,40.61,38.84,111341,140727866.94,4.67,3.56,1.35,5.6
107,2024-07-12,思进智能,003025,38.08,37.93,38.28,37.61,25939,31212420.5,1.76,-0.47,-0.18,1.31
106,2024-07-11,思进智能,003025,37.22,38.11,38.16,37.22,40815,49028450.87,2.57,4.13,1.51,2.05
105,2024-07-10,思进智能,003025,36.78,36.6,37.37,36.52,24706,28876951.1,2.3,-0.89,-0.33,1.24
104,2024-07-09,思进智能,003025,35.93,36.93,37.02,35.31,40668,46609889.86,4.73,2.21,0.8,2.05
103,2024-07-08,思进智能,003025,36.93,36.13,37.19,35.9,31188,36009276.0,3.49,-2.17,-0.8,1.57
102,2024-07-05,思进智能,003025,36.63,36.93,37.22,36.07,35801,41593453.45,3.15,1.21,0.44,1.8
101,2024-07-04,思进智能,003025,37.75,36.49,38.19,36.49,33648,39549253.0,4.53,-2.82,-1.06,1.69
100,2024-07-03,思进智能,003025,38.58,37.55,38.93,37.49,36604,44007197.27,3.72,-3.02,-1.17,1.84
99,2024-07-02,思进智能,003025,38.84,38.72,39.22,38.58,22155,27329410.11,1.65,-0.46,-0.18,1.11
98,2024-07-01,思进智能,003025,38.72,38.9,39.25,38.22,34100,41899762.1,2.66,0.46,0.18,1.72
97,2024-06-28,思进智能,003025,38.28,38.72,39.49,37.87,37135,45950997.0,4.24,1.31,0.5,1.87
