,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,顺控发展,003039,12.85,12.92,13.02,12.82,21553,26676425.0,1.54,-0.23,-0.03,0.35
240,2025-01-23,顺控发展,003039,13.03,12.95,13.17,12.95,21958,27498609.04,1.7,0.23,0.03,0.36
239,2025-01-22,顺控发展,003039,12.99,12.92,13.0,12.81,15261,18855485.0,1.46,-0.69,-0.09,0.25
238,2025-01-21,顺控发展,003039,13.12,13.01,13.14,12.89,14097,17520764.16,1.92,-0.23,-0.03,0.23
237,2025-01-20,顺控发展,003039,12.95,13.04,13.1,12.89,18421,23001437.21,1.63,1.24,0.16,0.3
236,2025-01-17,顺控发展,003039,12.79,12.88,12.95,12.76,15348,18915977.15,1.48,0.0,0.0,0.25
235,2025-01-16,顺控发展,003039,12.91,12.88,13.06,12.82,25856,32081448.0,1.87,0.23,0.03,0.42
234,2025-01-15,顺控发展,003039,12.85,12.85,12.92,12.73,20224,24843388.0,1.48,0.0,0.0,0.33
233,2025-01-14,顺控发展,003039,12.68,12.85,12.9,12.62,35243,43228545.18,2.22,2.07,0.26,0.57
232,2025-01-13,顺控发展,003039,12.39,12.59,12.64,12.3,15490,18546013.96,2.72,0.8,0.1,0.25
231,2025-01-10,顺控发展,003039,12.8,12.49,12.9,12.49,19380,23535876.0,3.2,-2.42,-0.31,0.31
230,2025-01-09,顺控发展,003039,12.86,12.8,12.91,12.67,14349,17662293.0,1.87,-0.47,-0.06,0.23
229,2025-01-08,顺控发展,003039,12.86,12.86,12.94,12.57,29437,36055098.0,2.86,-0.54,-0.07,0.48
228,2025-01-07,顺控发展,003039,13.0,12.93,13.07,12.79,22803,28196288.95,2.16,-0.46,-0.06,0.37
227,2025-01-06,顺控发展,003039,12.92,12.99,13.09,12.69,27663,34305363.0,3.1,0.54,0.07,0.45
226,2025-01-03,顺控发展,003039,13.34,12.92,13.47,12.87,36248,45679831.78,4.52,-2.56,-0.34,0.59
225,2025-01-02,顺控发展,003039,13.62,13.26,13.72,13.16,31014,40026349.32,4.11,-2.64,-0.36,0.5
224,2024-12-31,顺控发展,003039,13.94,13.62,14.02,13.61,27668,36715501.0,2.95,-1.94,-0.27,0.45
