,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中农联合,003042,19.41,19.67,19.7,19.22,47920,70629302.9,2.43,-0.3,-0.06,3.76
240,2025-01-23,中农联合,003042,20.43,19.73,20.55,19.7,50958,77473517.44,4.26,-1.15,-0.23,4.0
239,2025-01-22,中农联合,003042,19.88,19.96,19.97,19.44,40363,60251857.23,2.65,-0.2,-0.04,3.17
238,2025-01-21,中农联合,003042,20.61,20.0,20.73,19.71,70051,106276484.5,4.95,-2.91,-0.6,5.5
237,2025-01-20,中农联合,003042,20.56,20.6,20.73,19.9,80650,124264509.98,4.06,0.73,0.15,6.33
236,2025-01-17,中农联合,003042,21.1,20.45,21.29,20.32,121126,188897012.12,4.53,-4.44,-0.95,9.51
235,2025-01-16,中农联合,003042,21.65,21.4,23.38,21.04,189313,318002587.6,10.99,0.52,0.11,14.86
234,2025-01-15,中农联合,003042,21.59,21.29,21.96,20.94,137126,220857282.6,4.68,-2.29,-0.5,10.77
233,2025-01-14,中农联合,003042,19.83,21.79,21.79,19.83,71114,115466294.11,9.88,9.83,1.95,5.58
232,2025-01-13,中农联合,003042,19.32,19.84,20.4,19.26,80563,120522873.6,5.61,-2.31,-0.47,6.33
231,2025-01-10,中农联合,003042,21.12,20.31,22.85,19.9,177944,284165114.85,13.98,-3.74,-0.79,13.97
230,2025-01-09,中农联合,003042,20.08,21.1,21.1,19.77,50225,78871956.18,6.92,9.78,1.88,3.94
229,2025-01-08,中农联合,003042,18.5,19.22,19.4,18.24,62823,89592491.9,6.25,3.5,0.65,4.93
228,2025-01-07,中农联合,003042,17.74,18.57,18.71,17.74,37895,52263042.7,5.48,4.86,0.86,2.98
227,2025-01-06,中农联合,003042,17.58,17.71,17.79,16.94,28609,37663089.0,4.8,-0.06,-0.01,2.25
226,2025-01-03,中农联合,003042,18.79,17.72,19.0,17.59,42695,58408858.0,7.5,-5.74,-1.08,3.35
225,2025-01-02,中农联合,003042,18.76,18.8,19.38,18.56,36003,51610734.0,4.35,-0.32,-0.06,2.83
224,2024-12-31,中农联合,003042,19.21,18.86,19.54,18.79,32807,47533847.0,3.91,-1.62,-0.31,2.58
223,2024-12-30,中农联合,003042,19.54,19.17,19.57,18.89,33156,47969916.0,3.47,-2.24,-0.44,2.6
222,2024-12-27,中农联合,003042,18.87,19.61,19.88,18.8,55351,81524581.9,5.72,3.92,0.74,4.35
221,2024-12-26,中农联合,003042,18.78,18.87,19.02,18.67,34266,48755168.0,1.88,1.45,0.27,2.69
220,2024-12-25,中农联合,003042,19.17,18.6,19.19,18.19,44439,62283736.0,5.22,-2.87,-0.55,3.49
219,2024-12-24,中农联合,003042,19.56,19.15,19.74,18.82,47140,68218140.76,4.71,-1.95,-0.38,3.7
218,2024-12-23,中农联合,003042,20.61,19.53,20.71,19.47,62202,93920922.72,5.99,-5.7,-1.18,4.88
217,2024-12-20,中农联合,003042,20.92,20.71,21.03,20.64,53426,84246251.1,1.86,-1.0,-0.21,4.19
216,2024-12-19,中农联合,003042,21.47,20.92,21.6,20.7,81449,129520943.2,4.14,-3.82,-0.83,6.39
215,2024-12-18,中农联合,003042,22.12,21.75,22.4,21.39,69434,115161496.8,4.64,-0.09,-0.02,5.45
214,2024-12-17,中农联合,003042,22.99,21.77,22.99,21.68,105278,176614313.66,5.7,-5.31,-1.22,8.27
213,2024-12-16,中农联合,003042,22.63,22.99,23.73,22.63,136132,239240930.3,4.82,0.7,0.16,10.69
212,2024-12-13,中农联合,003042,22.48,22.83,23.85,22.37,154685,271080998.2,6.52,0.62,0.14,12.14
211,2024-12-12,中农联合,003042,21.98,22.69,22.98,21.92,136394,232360173.84,4.81,3.0,0.66,10.71
210,2024-12-11,中农联合,003042,21.79,22.03,22.08,21.59,74755,124004345.5,2.25,1.29,0.28,5.87
209,2024-12-10,中农联合,003042,22.3,21.75,22.47,21.69,91521,152652840.2,3.57,-0.32,-0.07,7.19
208,2024-12-09,中农联合,003042,21.95,21.82,22.24,21.52,95313,157649445.32,3.24,-1.76,-0.39,7.48
207,2024-12-06,中农联合,003042,22.51,22.21,22.76,21.98,160841,271415524.08,3.38,-3.89,-0.9,12.63
206,2024-12-05,中农联合,003042,21.86,23.11,24.32,21.56,232813,398660637.79,12.28,2.85,0.64,18.28
205,2024-12-04,中农联合,003042,23.52,22.47,25.38,22.43,232928,416646183.17,12.38,-5.71,-1.36,18.29
204,2024-12-03,中农联合,003042,28.28,23.83,28.28,23.82,350335,686387256.9,17.13,-8.45,-2.2,27.51
