,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,奥克股份,300082,51.43,50.43,51.93,50.37,66565,40261602.82,3.05,-1.35,-0.69,0.98
239,2025-01-24,奥克股份,300082,50.43,51.12,51.18,50.12,75455,45225678.0,2.11,1.61,0.81,1.11
238,2025-01-23,奥克股份,300082,50.74,50.31,51.62,50.31,76336,46232792.0,2.59,-0.49,-0.25,1.13
237,2025-01-22,奥克股份,300082,51.24,50.56,51.56,50.31,58283,34818820.0,2.45,-1.1,-0.56,0.86
236,2025-01-21,奥克股份,300082,52.18,51.12,52.55,50.99,68126,41551685.0,3.0,-1.56,-0.81,1.0
235,2025-01-20,奥克股份,300082,51.56,51.93,52.37,50.87,86013,52885211.0,2.92,0.97,0.5,1.27
234,2025-01-17,奥克股份,300082,51.93,51.43,51.93,51.12,51257,31268262.0,1.57,-0.37,-0.19,0.76
233,2025-01-16,奥克股份,300082,51.24,51.62,52.18,51.12,63620,39068682.0,2.07,0.86,0.44,0.94
232,2025-01-15,奥克股份,300082,51.74,51.18,51.8,50.99,50098,30440075.0,1.57,-0.74,-0.38,0.74
231,2025-01-14,奥克股份,300082,49.87,51.56,51.74,49.68,80342,48512118.0,4.15,3.78,1.88,1.18
230,2025-01-13,奥克股份,300082,48.93,49.68,49.87,48.12,68891,39594470.0,3.56,1.14,0.56,1.02
229,2025-01-10,奥克股份,300082,50.49,49.12,50.87,49.06,58284,34146834.0,3.58,-2.85,-1.44,0.86
228,2025-01-09,奥克股份,300082,50.18,50.56,50.87,49.93,55072,32851444.0,1.87,0.64,0.32,0.81
227,2025-01-08,奥克股份,300082,50.68,50.24,51.12,49.12,79572,46825869.0,3.92,-1.61,-0.82,1.17
226,2025-01-07,奥克股份,300082,49.87,51.06,51.06,49.56,69424,40969661.0,3.01,2.39,1.19,1.02
225,2025-01-06,奥克股份,300082,49.25,49.87,50.18,47.81,99284,57397824.0,4.78,0.63,0.31,1.46
224,2025-01-03,奥克股份,300082,51.93,49.56,51.99,49.43,95152,56631937.0,4.97,-3.75,-1.93,1.4
223,2025-01-02,奥克股份,300082,52.8,51.49,52.99,51.06,84496,52414169.0,3.68,-1.91,-1.0,1.25
222,2024-12-31,奥克股份,300082,53.49,52.49,54.05,52.37,72193,45913809.0,3.15,-1.63,-0.87,1.06
221,2024-12-30,奥克股份,300082,54.55,53.36,54.55,52.43,74535,47913302.0,3.89,-2.07,-1.13,1.1
220,2024-12-27,奥克股份,300082,52.99,54.49,55.36,52.99,105526,69589276.0,4.46,2.58,1.37,1.56
219,2024-12-26,奥克股份,300082,52.87,53.12,53.8,52.87,66920,42854881.0,1.75,-0.11,-0.06,0.99
218,2024-12-25,奥克股份,300082,54.61,53.18,54.86,52.3,121923,77895025.0,4.68,-2.74,-1.5,1.8
217,2024-12-24,奥克股份,300082,55.11,54.68,55.92,53.93,89691,59621957.0,3.61,-0.67,-0.37,1.32
216,2024-12-23,奥克股份,300082,56.98,55.05,57.17,54.86,123048,83671643.0,4.04,-3.81,-2.18,1.81
215,2024-12-20,奥克股份,300082,57.05,57.23,57.67,56.61,95539,67066930.0,1.86,0.54,0.31,1.41
214,2024-12-19,奥克股份,300082,58.42,56.92,58.61,56.8,161106,113816786.0,3.06,-3.8,-2.25,2.38
213,2024-12-18,奥克股份,300082,57.61,59.17,59.98,56.42,174453,126564118.0,6.18,2.71,1.56,2.57
212,2024-12-17,奥克股份,300082,59.73,57.61,59.73,57.36,150351,108068146.0,3.96,-3.65,-2.18,2.22
211,2024-12-16,奥克股份,300082,61.04,59.79,61.54,59.29,151410,114004032.0,3.67,-2.35,-1.44,2.23
210,2024-12-13,奥克股份,300082,62.35,61.23,62.85,61.1,176126,136260514.0,2.78,-2.67,-1.68,2.6
209,2024-12-12,奥克股份,300082,62.6,62.91,63.47,62.04,189140,149801091.0,2.29,0.59,0.37,2.79
208,2024-12-11,奥克股份,300082,62.85,62.54,63.6,61.85,202444,159276500.0,2.77,-1.19,-0.75,2.98
207,2024-12-10,奥克股份,300082,65.47,63.29,65.78,63.16,349459,284518321.0,4.1,-1.06,-0.68,5.15
206,2024-12-09,奥克股份,300082,63.54,63.97,64.53,61.73,379059,302693347.0,4.4,0.58,0.37,5.59
205,2024-12-06,奥克股份,300082,60.04,63.6,63.79,59.54,468744,367176060.0,7.06,5.6,3.37,6.91
204,2024-12-05,奥克股份,300082,58.29,60.23,60.35,58.04,195213,144605440.0,3.94,2.66,1.56,2.88
203,2024-12-04,奥克股份,300082,60.1,58.67,60.42,58.23,221630,162752363.0,3.63,-2.78,-1.68,3.27
202,2024-12-03,奥克股份,300082,60.67,60.35,61.35,59.73,258292,194882044.0,2.66,-0.82,-0.5,3.81
201,2024-12-02,奥克股份,300082,61.29,60.85,61.41,60.17,326576,247432093.0,2.04,0.1,0.06,4.82
200,2024-11-29,奥克股份,300082,59.54,60.79,61.1,58.61,393018,293233247.0,4.15,1.25,0.75,5.79
199,2024-11-28,奥克股份,300082,61.1,60.04,65.03,59.73,434855,334250348.0,8.6,-2.63,-1.62,6.41
