,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,龙源技术,300105,43.79,44.37,44.49,43.56,84588,56398477.0,2.12,1.05,0.46,1.65
240,2025-01-23,龙源技术,300105,44.2,43.91,45.19,43.85,114740,77600527.0,3.05,-0.11,-0.05,2.24
239,2025-01-22,龙源技术,300105,43.91,43.96,44.78,43.61,103856,69476646.0,2.65,-0.54,-0.24,2.02
238,2025-01-21,龙源技术,300105,44.72,44.2,44.96,43.85,89175,59841853.0,2.49,-0.92,-0.41,1.74
237,2025-01-20,龙源技术,300105,44.49,44.61,44.84,43.91,110841,74685577.0,2.11,1.2,0.53,2.16
236,2025-01-17,龙源技术,300105,43.32,44.08,44.2,42.97,127861,84720838.0,2.84,1.9,0.82,2.49
235,2025-01-16,龙源技术,300105,43.09,43.26,44.02,42.8,119565,78503383.0,2.85,1.22,0.52,2.33
234,2025-01-15,龙源技术,300105,43.38,42.74,43.56,42.68,111992,72708181.0,2.03,-1.61,-0.7,2.18
233,2025-01-14,龙源技术,300105,41.98,43.44,43.44,41.81,148358,95933863.0,3.92,4.35,1.81,2.89
232,2025-01-13,龙源技术,300105,41.05,41.63,41.69,40.23,109551,67571758.0,3.53,0.56,0.23,2.13
231,2025-01-10,龙源技术,300105,43.67,41.4,44.08,41.17,181397,116522280.0,6.62,-5.82,-2.56,3.53
230,2025-01-09,龙源技术,300105,43.96,43.96,44.9,43.73,127482,85620715.0,2.64,-0.79,-0.35,2.48
229,2025-01-08,龙源技术,300105,44.84,44.31,45.01,42.8,206276,137655330.0,4.88,-2.21,-1.0,4.02
228,2025-01-07,龙源技术,300105,43.96,45.31,45.89,43.96,199398,136047342.0,4.4,3.33,1.46,3.89
227,2025-01-06,龙源技术,300105,44.14,43.85,44.96,43.09,150099,100005478.0,4.22,-1.04,-0.46,2.92
226,2025-01-03,龙源技术,300105,47.46,44.31,47.58,44.08,248140,170857958.0,7.42,-6.06,-2.86,4.84
