,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,沃森生物,300142,163.54,160.31,165.36,160.31,148810,168232679.41,3.1,-1.55,-2.52,0.95
239,2025-01-24,沃森生物,300142,162.83,162.83,164.52,161.57,156371,177650758.0,1.82,0.35,0.56,1.0
238,2025-01-23,沃森生物,300142,164.1,162.27,168.17,162.13,205951,237008273.0,3.72,-0.17,-0.28,1.32
237,2025-01-22,沃森生物,300142,163.12,162.55,163.54,160.31,145137,163350870.0,1.97,-1.03,-1.69,0.93
236,2025-01-21,沃森生物,300142,165.78,164.24,167.05,162.55,150797,172117964.0,2.73,-0.51,-0.84,0.97
235,2025-01-20,沃森生物,300142,166.34,165.08,167.89,164.66,145572,168365138.0,1.95,-0.08,-0.14,0.93
234,2025-01-17,沃森生物,300142,164.1,165.22,166.06,162.83,145543,166810705.0,1.96,0.34,0.56,0.93
233,2025-01-16,沃森生物,300142,165.92,164.66,169.29,163.4,186462,215761182.0,3.56,-0.51,-0.84,1.2
232,2025-01-15,沃森生物,300142,166.63,165.5,167.19,163.96,181924,209349256.0,1.94,-0.84,-1.41,1.17
231,2025-01-14,沃森生物,300142,160.45,166.91,167.19,159.61,270328,309048051.0,4.73,4.21,6.74,1.73
230,2025-01-13,沃森生物,300142,156.66,160.17,160.73,155.67,185832,205751072.0,3.22,1.88,2.95,1.19
229,2025-01-10,沃森生物,300142,162.41,157.22,163.68,157.22,216344,241092035.0,3.98,-3.2,-5.19,1.39
228,2025-01-09,沃森生物,300142,162.83,162.41,164.8,161.71,169134,192353418.0,1.88,-1.11,-1.83,1.08
227,2025-01-08,沃森生物,300142,166.2,164.24,166.91,161.01,230355,262835171.0,3.55,-1.18,-1.96,1.48
226,2025-01-07,沃森生物,300142,167.75,166.2,167.75,163.26,213979,246307987.0,2.67,-1.01,-1.69,1.37
225,2025-01-06,沃森生物,300142,164.94,167.89,170.98,164.8,291699,341758713.0,3.76,2.22,3.65,1.87
224,2025-01-03,沃森生物,300142,168.59,164.24,169.99,163.68,239559,279080617.0,3.76,-2.01,-3.37,1.54
223,2025-01-02,沃森生物,300142,173.22,167.61,174.07,166.2,233319,277354782.0,4.54,-3.24,-5.61,1.5
222,2024-12-31,沃森生物,300142,179.54,173.22,180.52,173.22,223097,274026847.0,4.07,-3.44,-6.18,1.43
221,2024-12-30,沃森生物,300142,180.67,179.4,180.67,178.0,160663,201291363.0,1.48,-0.62,-1.12,1.03
220,2024-12-27,沃森生物,300142,180.24,180.52,183.19,179.26,193038,244503904.0,2.18,0.08,0.14,1.24
219,2024-12-26,沃森生物,300142,182.49,180.38,183.47,179.82,166486,210923268.0,2.0,-1.16,-2.11,1.07
218,2024-12-25,沃森生物,300142,185.58,182.49,186.84,181.37,150405,191827987.0,2.97,-1.07,-1.97,0.96
217,2024-12-24,沃森生物,300142,182.49,184.46,185.58,182.49,161655,207734908.0,1.69,0.92,1.69,1.04
216,2024-12-23,沃森生物,300142,187.26,182.77,187.26,181.93,214344,275897302.0,2.85,-2.4,-4.49,1.37
215,2024-12-20,沃森生物,300142,187.12,187.26,189.09,186.0,193066,252782058.0,1.65,-0.07,-0.14,1.24
214,2024-12-19,沃森生物,300142,184.6,187.4,187.54,182.49,236941,306008433.0,2.71,0.45,0.84,1.52
213,2024-12-18,沃森生物,300142,186.84,186.56,187.26,185.44,196404,255734767.0,0.98,0.0,0.0,1.26
212,2024-12-17,沃森生物,300142,187.54,186.56,187.97,184.6,312128,406140997.0,1.8,-0.37,-0.7,2.0
211,2024-12-16,沃森生物,300142,192.32,187.26,193.44,185.02,533968,703071774.0,4.35,-3.33,-6.46,3.42
210,2024-12-13,沃森生物,300142,203.83,193.72,203.97,192.74,1113029,1524937235.0,5.48,-5.48,-11.23,7.14
209,2024-12-12,沃森生物,300142,204.81,204.95,207.9,203.27,413008,593604465.0,2.26,0.0,0.0,2.65
208,2024-12-11,沃森生物,300142,206.36,204.95,207.9,204.11,247537,355871716.0,1.84,-0.75,-1.55,1.59
207,2024-12-10,沃森生物,300142,213.66,206.5,215.91,205.8,372836,548997907.0,4.9,0.14,0.28,2.39
206,2024-12-09,沃森生物,300142,211.55,206.22,213.52,204.11,286084,416645277.0,4.49,-1.61,-3.37,1.83
205,2024-12-06,沃森生物,300142,204.25,209.59,209.87,202.43,282073,408560175.0,3.64,2.47,5.06,1.81
204,2024-12-05,沃森生物,300142,203.83,204.53,205.52,203.13,192559,275150227.0,1.17,0.07,0.14,1.23
203,2024-12-04,沃森生物,300142,209.73,204.39,210.57,203.69,237324,343380024.0,3.26,-3.13,-6.6,1.52
202,2024-12-03,沃森生物,300142,212.82,210.99,213.38,208.6,220199,325126886.0,2.25,-0.66,-1.41,1.41
201,2024-12-02,沃森生物,300142,210.01,212.4,213.8,207.06,241618,357808795.0,3.19,0.47,0.99,1.55
200,2024-11-29,沃森生物,300142,210.85,211.41,214.5,207.76,236821,350713213.0,3.2,0.47,0.98,1.52
199,2024-11-28,沃森生物,300142,211.13,210.43,212.4,209.59,164521,243124069.0,1.33,-0.46,-0.98,1.06
198,2024-11-27,沃森生物,300142,205.94,211.41,211.55,203.69,175018,253994675.0,3.81,2.45,5.05,1.12
197,2024-11-26,沃森生物,300142,207.06,206.36,211.27,205.8,124622,181553905.0,2.63,-0.94,-1.96,0.8
196,2024-11-25,沃森生物,300142,206.64,208.32,208.46,203.97,170193,245966616.0,2.17,0.81,1.68,1.09
195,2024-11-22,沃森生物,300142,218.85,206.64,218.85,205.94,268448,398799996.0,5.9,-5.52,-12.07,1.72
194,2024-11-21,沃森生物,300142,219.98,218.71,222.22,216.47,199774,306464619.0,2.6,-1.27,-2.81,1.28
193,2024-11-20,沃森生物,300142,217.03,221.52,224.05,216.75,264003,408670923.0,3.34,1.48,3.23,1.69
192,2024-11-19,沃森生物,300142,215.34,218.29,218.29,210.71,289917,436303788.0,3.55,2.1,4.49,1.86
191,2024-11-18,沃森生物,300142,224.19,213.8,225.45,212.82,346624,531390479.0,5.68,-3.91,-8.7,2.22
190,2024-11-15,沃森生物,300142,226.58,222.5,229.81,222.5,279254,443276952.0,3.22,-1.86,-4.22,1.79
189,2024-11-14,沃森生物,300142,236.97,226.72,237.25,226.44,333450,540344658.0,4.54,-4.83,-11.51,2.14
188,2024-11-13,沃森生物,300142,232.47,238.23,242.3,228.68,506184,832237511.0,5.76,0.71,1.69,3.25
187,2024-11-12,沃森生物,300142,233.88,236.54,245.67,232.89,799495,1343641417.0,5.5,1.75,4.07,5.13
186,2024-11-11,沃森生物,300142,219.56,232.47,233.17,218.85,623171,985773919.0,6.46,4.94,10.95,4.0
185,2024-11-08,沃森生物,300142,227.0,221.52,228.68,220.26,455161,714157273.0,3.77,-0.69,-1.55,2.92
184,2024-11-07,沃森生物,300142,212.96,223.07,223.49,212.68,445218,685666995.0,5.02,3.59,7.73,2.86
183,2024-11-06,沃森生物,300142,216.19,215.34,220.54,213.52,377391,572995121.0,3.25,-0.33,-0.71,2.42
182,2024-11-05,沃森生物,300142,205.94,216.05,216.75,204.95,383333,572632596.0,5.69,4.2,8.71,2.46
181,2024-11-04,沃森生物,300142,206.36,207.34,209.87,203.83,225050,325319922.0,2.97,2.07,4.21,1.44
180,2024-11-01,沃森生物,300142,210.15,203.13,212.26,203.13,304018,438905412.0,4.33,-3.6,-7.58,1.95
179,2024-10-31,沃森生物,300142,210.43,210.71,213.8,208.6,293456,433725085.0,2.47,0.13,0.28,1.88
178,2024-10-30,沃森生物,300142,215.62,210.43,217.73,208.6,332440,494574756.0,4.23,-2.47,-5.34,2.13
177,2024-10-29,沃森生物,300142,226.72,215.77,227.56,215.62,430443,662604754.0,5.29,-4.47,-10.1,2.76
176,2024-10-28,沃森生物,300142,221.38,225.87,226.15,218.15,411288,641111639.0,3.59,1.45,3.23,2.64
175,2024-10-25,沃森生物,300142,218.43,222.64,225.45,216.33,572687,884684228.0,4.06,-0.82,-1.83,3.67
174,2024-10-24,沃森生物,300142,217.73,224.47,235.84,217.59,827942,1313904304.0,8.47,4.24,9.13,5.31
173,2024-10-23,沃森生物,300142,214.92,215.34,218.99,213.1,411479,620635419.0,2.75,0.59,1.26,2.64
172,2024-10-22,沃森生物,300142,212.68,214.08,215.2,209.59,343952,512812166.0,2.64,0.59,1.26,2.21
171,2024-10-21,沃森生物,300142,211.69,212.82,217.03,207.2,487335,723173663.0,4.64,0.53,1.13,3.13
170,2024-10-18,沃森生物,300142,197.37,211.69,221.24,194.56,631304,909349290.0,13.48,6.95,13.76,4.05
169,2024-10-17,沃森生物,300142,201.3,197.93,206.5,197.79,294071,417574529.0,4.36,-0.85,-1.69,1.89
168,2024-10-16,沃森生物,300142,201.3,199.62,205.66,197.93,340036,479278892.0,3.75,-3.27,-6.74,2.18
167,2024-10-15,沃森生物,300142,213.66,206.36,215.62,206.36,367423,543144987.0,4.31,-3.92,-8.42,2.36
166,2024-10-14,沃森生物,300142,213.24,214.78,216.19,204.25,499120,737091105.0,5.61,0.92,1.96,3.2
165,2024-10-11,沃森生物,300142,236.68,212.82,240.9,209.31,742813,1151248830.0,13.11,-11.66,-28.08,4.76
164,2024-10-10,沃森生物,300142,254.38,240.9,258.31,234.44,719365,1229689619.0,9.58,-3.27,-8.14,4.61
163,2024-10-09,沃森生物,300142,245.11,249.04,270.1,241.32,1316692,2364001694.0,11.44,-1.01,-2.53,8.44
162,2024-10-08,沃森生物,300142,251.57,251.57,251.57,233.17,1268431,2206130078.0,8.75,19.63,41.28,8.14
161,2024-09-30,沃森生物,300142,186.98,210.29,210.29,186.28,997264,1389114985.0,13.65,19.56,34.4,6.4
160,2024-09-27,沃森生物,300142,162.69,175.89,179.82,161.71,654616,775685037.0,11.34,10.1,16.14,4.2
