,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,世纪瑞尔,300150,22.8,23.64,23.68,22.68,363598,171838460.0,4.43,4.79,1.08,7.06
240,2025-01-23,世纪瑞尔,300150,22.84,22.56,23.4,22.56,242368,112890419.0,3.71,-0.35,-0.08,4.71
239,2025-01-22,世纪瑞尔,300150,22.84,22.64,23.08,22.52,214447,98517241.0,2.43,-1.74,-0.4,4.17
238,2025-01-21,世纪瑞尔,300150,23.36,23.04,23.68,22.64,364094,170165778.0,4.52,0.17,0.04,7.07
237,2025-01-20,世纪瑞尔,300150,23.16,23.0,23.72,22.16,502486,233347514.0,6.96,2.68,0.6,9.76
236,2025-01-17,世纪瑞尔,300150,23.88,22.4,23.96,22.4,736016,341193599.0,6.3,-9.53,-2.36,14.3
235,2025-01-16,世纪瑞尔,300150,22.28,24.76,25.72,22.04,841817,419003368.0,16.61,11.73,2.6,16.35
234,2025-01-15,世纪瑞尔,300150,21.8,22.16,23.36,21.4,337669,151472173.0,9.01,1.84,0.4,6.56
233,2025-01-14,世纪瑞尔,300150,20.52,21.76,21.76,20.52,158696,67474735.0,6.07,6.46,1.32,3.08
232,2025-01-13,世纪瑞尔,300150,20.0,20.44,20.6,19.48,151873,60026608.0,5.54,1.19,0.24,2.95
231,2025-01-10,世纪瑞尔,300150,20.88,20.2,21.12,20.12,105052,42780084.0,4.77,-3.63,-0.76,2.04
230,2025-01-09,世纪瑞尔,300150,20.76,20.96,21.12,20.56,103964,43090905.0,2.7,1.16,0.24,2.02
229,2025-01-08,世纪瑞尔,300150,20.8,20.72,21.04,20.08,147892,60221575.0,4.62,-0.38,-0.08,2.87
228,2025-01-07,世纪瑞尔,300150,20.2,20.8,20.84,20.2,156042,62989325.0,3.19,3.79,0.76,3.03
227,2025-01-06,世纪瑞尔,300150,20.04,20.04,20.36,19.2,188619,73320500.0,5.74,-0.79,-0.16,3.66
226,2025-01-03,世纪瑞尔,300150,21.48,20.2,21.72,20.0,206108,83876095.0,8.01,-5.96,-1.28,4.0
225,2025-01-02,世纪瑞尔,300150,21.84,21.48,22.28,21.32,152885,66613489.0,4.39,-1.83,-0.4,2.97
224,2024-12-31,世纪瑞尔,300150,22.52,21.88,22.88,21.84,133522,59674425.0,4.61,-3.01,-0.68,2.59
223,2024-12-30,世纪瑞尔,300150,23.04,22.56,23.04,22.08,146109,66076516.0,4.17,-1.91,-0.44,2.84
222,2024-12-27,世纪瑞尔,300150,22.96,23.0,23.44,22.36,165559,77478762.0,4.78,1.77,0.4,3.22
221,2024-12-26,世纪瑞尔,300150,22.32,22.6,22.92,22.24,163659,74677132.0,3.06,1.62,0.36,3.18
220,2024-12-25,世纪瑞尔,300150,22.84,22.24,22.96,21.64,238582,105802007.0,5.77,-2.8,-0.64,4.64
219,2024-12-24,世纪瑞尔,300150,23.36,22.88,23.44,22.56,235192,109099585.0,3.85,0.0,0.0,4.57
218,2024-12-23,世纪瑞尔,300150,24.96,22.88,25.0,22.8,366867,176003403.0,8.79,-8.63,-2.16,7.13
217,2024-12-20,世纪瑞尔,300150,24.68,25.04,25.56,24.52,327250,169158530.0,4.21,1.46,0.36,6.36
216,2024-12-19,世纪瑞尔,300150,24.72,24.68,25.24,23.96,359169,180656884.0,5.1,-1.59,-0.4,6.98
215,2024-12-18,世纪瑞尔,300150,25.48,25.08,25.88,24.4,407788,210669752.0,5.76,-2.34,-0.6,7.92
214,2024-12-17,世纪瑞尔,300150,26.76,25.68,27.48,25.44,674115,370441925.0,7.15,-9.96,-2.84,13.1
213,2024-12-16,世纪瑞尔,300150,26.76,28.52,29.12,25.8,1056005,621123231.0,12.44,6.9,1.84,20.52
212,2024-12-13,世纪瑞尔,300150,24.96,26.68,28.16,24.92,809617,447770766.0,12.94,6.55,1.64,15.73
211,2024-12-12,世纪瑞尔,300150,24.84,25.04,25.08,24.52,158459,81269877.0,2.25,0.64,0.16,3.08
210,2024-12-11,世纪瑞尔,300150,24.68,24.88,24.96,24.48,165146,84031761.0,1.94,0.81,0.2,3.21
209,2024-12-10,世纪瑞尔,300150,25.2,24.68,25.52,24.6,199914,102874755.0,3.72,-0.16,-0.04,3.88
208,2024-12-09,世纪瑞尔,300150,24.84,24.72,25.16,24.32,179307,91252566.0,3.4,0.16,0.04,3.48
207,2024-12-06,世纪瑞尔,300150,24.68,24.68,25.04,24.4,175336,89204572.0,2.59,-0.16,-0.04,3.41
206,2024-12-05,世纪瑞尔,300150,23.96,24.72,24.8,23.88,182554,91980415.0,3.83,2.83,0.68,3.55
205,2024-12-04,世纪瑞尔,300150,24.84,24.04,24.92,23.92,208031,104362280.0,4.01,-3.69,-0.92,4.04
204,2024-12-03,世纪瑞尔,300150,24.92,24.96,25.12,24.56,307797,157315321.0,2.24,0.0,0.0,5.98
203,2024-12-02,世纪瑞尔,300150,23.56,24.96,25.32,23.48,341591,171695969.0,7.81,5.94,1.4,6.64
202,2024-11-29,世纪瑞尔,300150,23.48,23.56,23.84,23.04,182633,87319891.0,3.41,0.34,0.08,3.55
201,2024-11-28,世纪瑞尔,300150,23.24,23.48,23.72,23.24,198417,95263880.0,2.08,1.91,0.44,3.85
200,2024-11-27,世纪瑞尔,300150,22.4,23.04,23.12,21.68,168397,76372617.0,6.38,2.13,0.48,3.27
199,2024-11-26,世纪瑞尔,300150,22.68,22.56,23.12,22.52,129582,59653183.0,2.65,-0.35,-0.08,2.52
198,2024-11-25,世纪瑞尔,300150,22.56,22.64,22.96,22.04,155832,70224414.0,4.08,0.35,0.08,3.03
197,2024-11-22,世纪瑞尔,300150,22.96,22.56,23.96,22.52,256088,121167619.0,6.23,-2.42,-0.56,4.98
196,2024-11-21,世纪瑞尔,300150,23.0,23.12,23.2,22.64,137020,63674643.0,2.43,0.52,0.12,2.66
195,2024-11-20,世纪瑞尔,300150,22.4,23.0,23.2,22.28,159883,73808908.0,4.13,3.23,0.72,3.11
194,2024-11-19,世纪瑞尔,300150,21.8,22.28,22.36,21.56,127586,55975636.0,3.68,2.58,0.56,2.48
193,2024-11-18,世纪瑞尔,300150,22.76,21.72,22.96,21.4,193237,84792087.0,6.87,-4.4,-1.0,3.75
192,2024-11-15,世纪瑞尔,300150,22.76,22.72,23.4,22.68,169510,79422263.0,3.14,-0.87,-0.2,3.29
191,2024-11-14,世纪瑞尔,300150,23.48,22.92,23.6,22.76,152767,71854236.0,3.57,-2.72,-0.64,2.97
190,2024-11-13,世纪瑞尔,300150,23.56,23.56,23.76,22.88,235893,111806483.0,3.73,-0.17,-0.04,4.58
189,2024-11-12,世纪瑞尔,300150,24.6,23.6,24.76,23.36,471025,229230017.0,5.65,-4.84,-1.2,9.15
188,2024-11-11,世纪瑞尔,300150,23.56,24.8,25.96,23.52,550065,281288651.0,10.34,5.08,1.2,10.69
187,2024-11-08,世纪瑞尔,300150,23.24,23.6,23.84,22.8,329395,156872736.0,4.5,2.08,0.48,6.4
186,2024-11-07,世纪瑞尔,300150,22.36,23.12,23.12,21.96,253803,116280320.0,5.21,3.77,0.84,4.93
