,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,东软载波,300183,82.49,85.04,85.22,82.27,98992,162925957.1,3.57,2.82,2.33,2.76
240,2025-01-23,东软载波,300183,83.5,82.71,85.48,82.66,104257,171282051.0,3.41,0.11,0.09,2.9
239,2025-01-22,东软载波,300183,83.06,82.62,83.76,82.09,72217,116799509.0,2.01,-0.74,-0.62,2.01
238,2025-01-21,东软载波,300183,82.75,83.24,83.68,81.83,82734,133333023.0,2.25,1.13,0.93,2.3
237,2025-01-20,东软载波,300183,82.62,82.31,83.28,81.87,82900,133325828.0,1.72,0.43,0.35,2.31
236,2025-01-17,东软载波,300183,80.73,81.96,82.84,80.33,88303,140290237.0,3.09,0.81,0.66,2.46
235,2025-01-16,东软载波,300183,81.52,81.3,83.41,80.6,98223,156211574.0,3.46,0.22,0.18,2.74
234,2025-01-15,东软载波,300183,80.99,81.12,82.84,80.55,120875,191726518.0,2.83,0.27,0.22,3.37
233,2025-01-14,东软载波,300183,75.67,80.9,81.08,75.36,152541,233514760.0,7.6,7.54,5.67,4.25
232,2025-01-13,东软载波,300183,74.17,75.23,75.54,72.5,93396,132734215.0,4.03,-0.34,-0.26,2.6
231,2025-01-10,东软载波,300183,78.4,75.49,80.33,75.36,143648,216274673.0,6.39,-2.99,-2.33,4.0
230,2025-01-09,东软载波,300183,77.38,77.82,79.5,77.08,109837,166292642.0,3.12,0.22,0.17,3.06
229,2025-01-08,东软载波,300183,79.41,77.65,79.72,75.14,162379,242288671.0,5.73,-2.86,-2.29,4.52
228,2025-01-07,东软载波,300183,78.09,79.94,80.02,77.43,144218,219693373.0,3.33,2.9,2.25,4.02
227,2025-01-06,东软载波,300183,79.54,77.69,79.98,76.99,162623,245810446.0,3.72,-3.44,-2.77,4.53
226,2025-01-03,东软载波,300183,88.25,80.46,88.78,79.89,322323,524851706.0,9.92,-10.26,-9.2,8.98
225,2025-01-02,东软载波,300183,97.58,89.66,102.38,88.82,446721,862009321.0,13.99,-7.49,-7.26,12.44
224,2024-12-31,东软载波,300183,93.4,96.92,97.45,92.96,353883,676219381.0,4.79,3.38,3.17,9.86
223,2024-12-30,东软载波,300183,93.0,93.75,95.2,91.68,169973,317034543.0,3.77,0.28,0.26,4.73
222,2024-12-27,东软载波,300183,93.0,93.49,95.38,91.68,234724,438101561.0,3.98,0.53,0.49,6.54
221,2024-12-26,东软载波,300183,89.4,93.0,93.49,88.96,185615,338971897.0,5.05,3.73,3.34,5.17
220,2024-12-25,东软载波,300183,91.64,89.66,91.9,88.34,126543,224297264.0,3.87,-2.44,-2.24,3.52
219,2024-12-24,东软载波,300183,90.45,91.9,92.34,88.56,166843,299565352.0,4.2,2.1,1.89,4.65
218,2024-12-23,东软载波,300183,93.18,90.01,93.84,89.62,155581,281286606.0,4.54,-3.17,-2.95,4.33
