,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,福安药业,300194,28.61,28.67,28.73,28.37,134284,57784125.0,1.26,0.42,0.12,1.39
240,2025-01-23,福安药业,300194,28.73,28.55,29.02,28.55,175385,76217404.0,1.65,0.42,0.12,1.81
239,2025-01-22,福安药业,300194,28.78,28.43,28.78,28.26,118891,51022673.0,1.8,-1.42,-0.41,1.23
238,2025-01-21,福安药业,300194,29.19,28.84,29.25,28.67,156295,68041653.0,1.99,-1.03,-0.3,1.61
237,2025-01-20,福安药业,300194,28.96,29.14,29.25,28.84,190146,83555976.0,1.42,1.04,0.3,1.96
236,2025-01-17,福安药业,300194,28.67,28.84,28.96,28.43,162111,70278485.0,1.85,0.8,0.23,1.67
235,2025-01-16,福安药业,300194,28.67,28.61,28.96,28.43,178801,77452760.0,1.86,0.21,0.06,1.85
234,2025-01-15,福安药业,300194,28.73,28.55,28.84,28.37,180844,77839720.0,1.63,-0.8,-0.23,1.87
233,2025-01-14,福安药业,300194,28.32,28.78,28.84,28.14,255823,110233816.0,2.49,2.27,0.64,2.64
232,2025-01-13,福安药业,300194,27.73,28.14,28.2,27.38,169222,70836532.0,2.93,0.61,0.17,1.75
231,2025-01-10,福安药业,300194,28.9,27.97,28.96,27.97,227482,97441478.0,3.43,-3.22,-0.93,2.35
230,2025-01-09,福安药业,300194,28.96,28.9,29.25,28.61,217517,94989787.0,2.2,-0.82,-0.24,2.25
229,2025-01-08,福安药业,300194,29.37,29.14,29.78,28.61,330585,146123043.0,3.98,-0.99,-0.29,3.42
228,2025-01-07,福安药业,300194,29.49,29.43,29.6,28.84,379588,167090069.0,2.54,-1.74,-0.52,3.92
227,2025-01-06,福安药业,300194,28.73,29.95,30.19,28.49,531805,238000208.0,5.97,5.12,1.46,5.49
226,2025-01-03,福安药业,300194,28.9,28.49,29.31,28.32,222290,96785318.0,3.43,-1.21,-0.35,2.3
225,2025-01-02,福安药业,300194,29.43,28.84,29.66,28.61,202627,89300315.0,3.56,-2.2,-0.65,2.09
224,2024-12-31,福安药业,300194,30.19,29.49,30.36,29.43,179548,81019258.0,3.09,-2.12,-0.64,1.86
223,2024-12-30,福安药业,300194,30.25,30.13,30.3,29.9,157597,71883317.0,1.32,-0.76,-0.23,1.63
222,2024-12-27,福安药业,300194,29.84,30.36,30.71,29.78,194291,89418400.0,3.11,1.54,0.46,2.01
221,2024-12-26,福安药业,300194,29.84,29.9,30.13,29.78,154242,70077910.0,1.17,-0.17,-0.05,1.59
220,2024-12-25,福安药业,300194,30.54,29.95,30.66,29.6,228297,103427364.0,3.48,-1.74,-0.53,2.36
219,2024-12-24,福安药业,300194,30.25,30.48,30.66,30.13,180001,83009625.0,1.76,0.96,0.29,1.86
218,2024-12-23,福安药业,300194,31.3,30.19,31.3,30.07,294021,136394332.0,3.93,-3.55,-1.11,3.04
217,2024-12-20,福安药业,300194,31.18,31.3,31.47,31.07,230747,109987706.0,1.28,0.19,0.06,2.38
216,2024-12-19,福安药业,300194,31.24,31.24,31.47,30.77,288215,136322629.0,2.22,-0.92,-0.29,2.98
215,2024-12-18,福安药业,300194,31.59,31.53,31.88,31.3,171145,82637639.0,1.84,0.0,0.0,1.77
214,2024-12-17,福安药业,300194,32.64,31.53,32.7,31.53,311892,152009744.0,3.58,-3.4,-1.11,3.22
213,2024-12-16,福安药业,300194,32.76,32.64,33.17,32.59,235154,118572431.0,1.78,0.15,0.05,2.43
212,2024-12-13,福安药业,300194,33.35,32.59,33.41,32.59,318005,160533409.0,2.45,-2.77,-0.93,3.29
211,2024-12-12,福安药业,300194,33.35,33.52,33.58,33.11,327820,168074488.0,1.41,0.87,0.29,3.39
210,2024-12-11,福安药业,300194,32.76,33.23,33.35,32.76,266937,135858881.0,1.79,0.54,0.18,2.76
209,2024-12-10,福安药业,300194,34.17,33.05,34.17,32.94,392460,201687846.0,3.7,-0.54,-0.18,4.05
208,2024-12-09,福安药业,300194,33.52,33.23,33.87,33.0,394337,202366347.0,2.61,-0.36,-0.12,4.07
207,2024-12-06,福安药业,300194,32.7,33.35,33.46,32.47,363617,184386002.0,3.03,1.99,0.65,3.76
206,2024-12-05,福安药业,300194,32.47,32.7,32.82,32.41,228938,114522682.0,1.26,0.18,0.06,2.37
205,2024-12-04,福安药业,300194,33.29,32.64,33.41,32.47,315542,159599523.0,2.82,-2.13,-0.71,3.26
204,2024-12-03,福安药业,300194,33.58,33.35,33.58,33.05,351222,179653030.0,1.57,-1.04,-0.35,3.63
203,2024-12-02,福安药业,300194,33.23,33.7,33.7,33.05,501931,258044141.0,1.96,1.78,0.59,5.19
202,2024-11-29,福安药业,300194,32.35,33.11,33.29,32.12,438196,220656426.0,3.6,1.78,0.58,4.53
201,2024-11-28,福安药业,300194,32.53,32.53,32.88,32.35,311438,155618675.0,1.63,0.18,0.06,3.22
200,2024-11-27,福安药业,300194,32.12,32.47,32.53,31.42,287603,140502341.0,3.44,0.71,0.23,2.97
199,2024-11-26,福安药业,300194,31.77,32.24,32.82,31.65,330074,162814926.0,3.68,1.48,0.47,3.41
198,2024-11-25,福安药业,300194,31.53,31.77,31.94,31.18,223720,107620991.0,2.42,1.31,0.41,2.31
197,2024-11-22,福安药业,300194,32.7,31.36,33.17,31.36,348480,172172968.0,5.54,-4.1,-1.34,3.6
196,2024-11-21,福安药业,300194,32.41,32.7,32.94,32.18,301704,150303841.0,2.34,0.71,0.23,3.12
195,2024-11-20,福安药业,300194,31.77,32.47,32.53,31.65,332653,163815946.0,2.76,1.85,0.59,3.44
194,2024-11-19,福安药业,300194,31.47,31.88,31.88,31.07,253166,121486804.0,2.58,1.66,0.52,2.62
193,2024-11-18,福安药业,300194,31.88,31.36,32.29,31.18,350403,169144595.0,3.48,-1.63,-0.52,3.62
192,2024-11-15,福安药业,300194,32.64,31.88,32.88,31.71,387802,192194683.0,3.59,-2.18,-0.71,4.01
191,2024-11-14,福安药业,300194,33.58,32.59,33.64,32.53,413618,209776710.0,3.29,-3.29,-1.11,4.27
190,2024-11-13,福安药业,300194,34.34,33.7,34.58,33.17,745252,387703066.0,4.06,-2.85,-0.99,7.7
189,2024-11-12,福安药业,300194,34.4,34.69,36.62,34.22,1382189,753062036.0,7.04,1.7,0.58,14.28
188,2024-11-11,福安药业,300194,33.17,34.11,34.17,32.7,625559,321769226.0,4.42,2.65,0.88,6.46
187,2024-11-08,福安药业,300194,34.11,33.23,34.17,32.94,516077,264554491.0,3.66,-1.04,-0.35,5.33
186,2024-11-07,福安药业,300194,32.06,33.58,33.76,31.88,751125,379518032.0,5.82,4.0,1.29,7.76
185,2024-11-06,福安药业,300194,32.41,32.29,32.64,32.06,479207,237068929.0,1.79,-0.55,-0.18,4.95
184,2024-11-05,福安药业,300194,31.65,32.47,32.53,31.47,446581,220255512.0,3.34,2.4,0.76,4.61
183,2024-11-04,福安药业,300194,31.3,31.71,31.71,31.18,220834,106131404.0,1.69,1.31,0.41,2.28
182,2024-11-01,福安药业,300194,31.71,31.3,32.24,31.18,411837,199167162.0,3.32,-1.82,-0.58,4.26
181,2024-10-31,福安药业,300194,31.59,31.88,31.94,31.36,327862,158782488.0,1.84,1.11,0.35,3.39
180,2024-10-30,福安药业,300194,31.65,31.53,32.12,31.24,346942,167517225.0,2.76,-0.94,-0.3,3.58
179,2024-10-29,福安药业,300194,33.11,31.83,33.17,31.77,513440,253364218.0,4.24,-3.69,-1.22,5.3
178,2024-10-28,福安药业,300194,32.18,33.05,33.11,31.94,556523,278174094.0,3.64,2.7,0.87,5.75
177,2024-10-25,福安药业,300194,32.06,32.18,32.35,31.71,524628,256670819.0,2.0,0.37,0.12,5.42
176,2024-10-24,福安药业,300194,31.71,32.06,32.41,31.65,339378,166874531.0,2.38,0.38,0.12,3.51
175,2024-10-23,福安药业,300194,32.35,31.94,32.41,31.59,429454,209854989.0,2.53,-1.27,-0.41,4.44
