,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,日科化学,300214,19.44,19.35,19.71,19.11,64180,36176465.0,3.09,-0.31,-0.06,1.59
239,2025-01-24,日科化学,300214,19.26,19.41,19.44,19.08,56508,31632115.0,1.87,0.94,0.18,1.4
238,2025-01-23,日科化学,300214,19.68,19.23,19.83,19.17,69870,39846805.0,3.4,-1.08,-0.21,1.73
237,2025-01-22,日科化学,300214,19.71,19.44,19.77,19.29,58261,33050486.0,2.44,-1.37,-0.27,1.44
236,2025-01-21,日科化学,300214,19.92,19.71,20.13,19.41,81318,46537368.0,3.61,-1.2,-0.24,2.01
235,2025-01-20,日科化学,300214,20.37,19.95,20.52,19.83,116394,68288389.0,3.39,-2.06,-0.42,2.88
234,2025-01-17,日科化学,300214,20.76,20.37,20.94,20.13,173114,103614734.0,3.86,-2.86,-0.6,4.29
233,2025-01-16,日科化学,300214,20.16,20.97,22.5,19.74,279060,173502945.0,14.22,8.04,1.56,6.91
232,2025-01-15,日科化学,300214,20.16,19.41,20.16,19.38,71890,41222165.0,3.87,-3.72,-0.75,1.78
231,2025-01-14,日科化学,300214,19.62,20.16,20.19,19.59,77721,45281712.0,3.07,3.07,0.6,1.93
230,2025-01-13,日科化学,300214,19.74,19.56,19.89,18.84,86670,48760425.0,5.32,-0.91,-0.18,2.15
229,2025-01-10,日科化学,300214,20.64,19.74,20.82,19.56,133626,78599904.0,6.06,-5.05,-1.05,3.31
228,2025-01-09,日科化学,300214,21.0,20.79,21.24,20.67,129018,79214124.0,2.67,-2.53,-0.54,3.2
227,2025-01-08,日科化学,300214,21.27,21.33,21.48,20.67,219188,136272060.0,3.83,0.85,0.18,5.43
226,2025-01-07,日科化学,300214,20.64,21.15,21.21,20.13,174464,106296945.0,5.29,3.68,0.75,4.32
225,2025-01-06,日科化学,300214,19.92,20.4,20.91,18.81,168610,99722868.0,10.74,4.29,0.84,4.18
224,2025-01-03,日科化学,300214,20.16,19.56,20.88,19.56,161612,95665795.0,6.52,-3.41,-0.69,4.0
223,2025-01-02,日科化学,300214,19.2,20.25,21.18,18.96,171895,101205092.0,11.54,5.3,1.02,4.26
222,2024-12-31,日科化学,300214,20.13,19.23,20.22,19.11,85944,49067528.0,5.51,-4.61,-0.93,2.13
221,2024-12-30,日科化学,300214,19.65,20.16,20.61,19.2,114522,67429530.0,7.15,2.28,0.45,2.84
220,2024-12-27,日科化学,300214,19.23,19.71,20.01,19.02,58093,33378680.0,5.15,2.5,0.48,1.44
219,2024-12-26,日科化学,300214,19.11,19.23,19.44,18.99,36316,20314080.0,2.37,1.26,0.24,0.9
218,2024-12-25,日科化学,300214,19.44,18.99,19.53,18.75,68933,38006455.0,3.98,-3.06,-0.6,1.71
217,2024-12-24,日科化学,300214,19.8,19.59,19.89,19.17,62014,35357133.0,3.66,-0.46,-0.09,1.54
216,2024-12-23,日科化学,300214,21.0,19.68,21.06,19.56,97744,57511740.0,7.16,-6.02,-1.26,2.42
215,2024-12-20,日科化学,300214,21.21,20.94,21.21,20.82,65224,40231066.0,1.84,-0.99,-0.21,1.62
214,2024-12-19,日科化学,300214,20.61,21.15,21.21,20.46,77951,47988231.0,3.59,1.15,0.24,1.93
213,2024-12-18,日科化学,300214,21.06,20.91,21.21,20.61,58785,36223570.0,2.88,0.43,0.09,1.46
212,2024-12-17,日科化学,300214,21.75,20.82,21.75,20.73,95716,59559469.0,4.68,-4.54,-0.99,2.37
211,2024-12-16,日科化学,300214,21.69,21.81,22.65,21.54,104924,68126389.0,5.11,0.41,0.09,2.6
210,2024-12-13,日科化学,300214,21.66,21.72,22.2,21.39,130915,84279534.0,3.7,-0.82,-0.18,3.24
209,2024-12-12,日科化学,300214,21.54,21.9,22.11,21.39,128219,82730162.0,3.34,1.53,0.33,3.18
208,2024-12-11,日科化学,300214,21.21,21.57,21.63,21.03,97325,61506494.0,2.81,1.13,0.24,2.41
207,2024-12-10,日科化学,300214,21.66,21.33,21.96,21.18,120247,76018978.0,3.65,-0.14,-0.03,2.98
206,2024-12-09,日科化学,300214,21.12,21.36,21.51,20.97,110746,69371198.0,2.56,1.42,0.3,2.74
205,2024-12-06,日科化学,300214,21.0,21.06,21.15,20.76,89957,55591644.0,1.85,0.14,0.03,2.23
204,2024-12-05,日科化学,300214,20.58,21.03,21.36,20.52,103347,63895338.0,4.06,1.59,0.33,2.56
203,2024-12-04,日科化学,300214,21.06,20.7,21.54,20.46,122952,75642118.0,5.16,-1.15,-0.24,3.05
202,2024-12-03,日科化学,300214,20.7,20.94,21.36,20.43,131881,80900797.0,4.49,1.01,0.21,3.27
201,2024-12-02,日科化学,300214,20.34,20.73,20.82,20.28,101455,61315735.0,2.66,2.22,0.45,2.51
200,2024-11-29,日科化学,300214,20.16,20.28,20.43,19.89,101565,60128331.0,2.67,0.45,0.09,2.52
199,2024-11-28,日科化学,300214,20.19,20.19,20.55,20.13,100134,59692604.0,2.08,0.0,0.0,2.48
198,2024-11-27,日科化学,300214,20.01,20.19,20.22,19.47,112527,65154130.0,3.72,0.15,0.03,2.79
197,2024-11-26,日科化学,300214,20.55,20.16,20.73,20.1,125251,74568387.0,3.04,-2.75,-0.57,3.1
196,2024-11-25,日科化学,300214,20.94,20.73,21.06,20.25,153080,92364144.0,3.93,0.58,0.12,3.79
195,2024-11-22,日科化学,300214,21.63,20.61,22.14,20.58,287206,179784728.0,7.17,-5.24,-1.14,7.12
194,2024-11-21,日科化学,300214,21.21,21.75,22.38,21.06,453874,291030058.0,6.03,-0.68,-0.15,11.25
193,2024-11-20,日科化学,300214,19.89,21.9,23.37,19.83,491468,325736470.0,17.8,10.11,2.01,12.18
192,2024-11-19,日科化学,300214,19.53,19.89,19.92,19.35,56087,32097090.0,2.95,2.79,0.54,1.39
191,2024-11-18,日科化学,300214,19.8,19.35,19.95,19.26,72874,41416445.0,3.52,-1.38,-0.27,1.81
190,2024-11-15,日科化学,300214,19.83,19.62,20.19,19.59,45892,26675704.0,3.03,-1.06,-0.21,1.14
189,2024-11-14,日科化学,300214,20.43,19.83,20.46,19.77,47982,28159023.0,3.38,-2.94,-0.6,1.19
188,2024-11-13,日科化学,300214,20.37,20.43,20.61,20.04,57635,34331567.0,2.8,0.29,0.06,1.43
187,2024-11-12,日科化学,300214,20.46,20.37,20.88,20.1,83812,50517057.0,3.81,-0.44,-0.09,2.08
186,2024-11-11,日科化学,300214,20.19,20.46,20.52,20.13,62277,37073323.0,1.93,1.04,0.21,1.54
185,2024-11-08,日科化学,300214,20.46,20.25,20.55,20.1,67359,40031997.0,2.21,-0.59,-0.12,1.67
184,2024-11-07,日科化学,300214,19.89,20.37,20.46,19.71,74866,44226099.0,3.8,3.19,0.63,1.86
183,2024-11-06,日科化学,300214,19.77,19.74,20.13,19.68,61707,35891607.0,2.28,-0.15,-0.03,1.53
182,2024-11-05,日科化学,300214,19.5,19.77,19.8,19.44,55824,31977725.0,1.85,1.7,0.33,1.38
181,2024-11-04,日科化学,300214,19.23,19.44,19.62,19.2,41761,23596966.0,2.17,0.62,0.12,1.03
180,2024-11-01,日科化学,300214,19.71,19.32,20.01,19.26,76974,43704604.0,3.8,-2.13,-0.42,1.91
179,2024-10-31,日科化学,300214,20.04,19.74,20.1,19.71,63549,36928954.0,1.96,-0.9,-0.18,1.57
178,2024-10-30,日科化学,300214,19.68,19.92,20.07,19.59,74819,43417101.0,2.43,0.91,0.18,1.85
177,2024-10-29,日科化学,300214,20.46,19.74,20.52,19.62,97414,56972579.0,4.41,-3.38,-0.69,2.41
176,2024-10-28,日科化学,300214,19.86,20.43,20.49,19.77,100097,59277728.0,3.65,3.5,0.69,2.48
175,2024-10-25,日科化学,300214,19.41,19.74,19.8,19.23,75749,43254101.0,2.96,2.65,0.51,1.88
174,2024-10-24,日科化学,300214,19.38,19.23,19.47,19.02,48182,26928597.0,2.33,-0.62,-0.12,1.19
173,2024-10-23,日科化学,300214,18.99,19.35,19.68,18.9,90577,51042569.0,4.06,0.78,0.15,2.24
172,2024-10-22,日科化学,300214,19.23,19.2,19.47,19.08,65530,36709844.0,2.02,-0.31,-0.06,1.62
171,2024-10-21,日科化学,300214,18.72,19.26,19.44,18.6,100583,55916245.0,4.49,2.88,0.54,2.49
170,2024-10-18,日科化学,300214,18.27,18.72,18.9,18.24,62988,33948850.0,3.61,2.3,0.42,1.56
169,2024-10-17,日科化学,300214,18.63,18.3,18.84,18.3,45947,24650595.0,2.9,-1.77,-0.33,1.14
168,2024-10-16,日科化学,300214,18.21,18.63,18.72,18.21,47632,25532401.0,2.74,0.16,0.03,1.18
167,2024-10-15,日科化学,300214,19.08,18.6,19.11,18.57,84351,46066595.0,2.77,-4.47,-0.87,2.09
166,2024-10-14,日科化学,300214,18.63,19.47,19.47,18.39,107907,58673047.0,5.65,1.88,0.36,2.67
165,2024-10-11,日科化学,300214,19.14,19.11,20.4,18.81,178976,101934981.0,8.52,2.41,0.45,4.43
164,2024-10-10,日科化学,300214,18.54,18.66,19.17,17.97,95623,51560317.0,6.72,4.54,0.81,2.37
163,2024-10-09,日科化学,300214,19.86,17.85,19.86,17.85,124536,67428413.0,10.01,-11.06,-2.22,3.09
162,2024-10-08,日科化学,300214,21.39,20.07,21.81,19.05,227087,135526440.0,14.49,5.35,1.02,5.63
161,2024-09-30,日科化学,300214,17.73,19.05,19.29,17.34,170109,90315859.0,11.32,10.63,1.83,4.22
160,2024-09-27,日科化学,300214,16.68,17.22,17.43,16.68,48149,23433508.0,4.53,3.99,0.66,1.19
159,2024-09-26,日科化学,300214,16.14,16.56,16.56,16.14,21828,10142959.0,2.59,2.22,0.36,0.54
158,2024-09-25,日科化学,300214,16.14,16.2,16.53,16.11,29478,13648644.0,2.62,0.93,0.15,0.73
157,2024-09-24,日科化学,300214,15.51,16.05,16.05,15.51,27464,12279678.0,3.49,3.68,0.57,0.68
156,2024-09-23,日科化学,300214,15.45,15.48,15.69,15.42,12202,5307432.0,1.74,-0.39,-0.06,0.3
155,2024-09-20,日科化学,300214,15.75,15.54,15.84,15.51,15366,6733907.0,2.1,-1.33,-0.21,0.38
154,2024-09-19,日科化学,300214,15.51,15.75,15.84,15.15,25596,11204548.0,4.5,2.74,0.42,0.63
153,2024-09-18,日科化学,300214,15.57,15.33,15.57,15.06,17896,7637090.0,3.29,-1.16,-0.18,0.44
152,2024-09-13,日科化学,300214,15.78,15.51,15.84,15.51,14542,6373188.0,2.1,-1.34,-0.21,0.36
151,2024-09-12,日科化学,300214,15.72,15.72,15.93,15.69,14336,6377886.0,1.52,-0.19,-0.03,0.36
