,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,上海钢联,300226,193.2,194.22,200.51,193.2,283875,698046910.03,3.86,2.62,4.95,9.26
239,2025-01-24,上海钢联,300226,169.69,189.27,194.61,169.53,267008,618916272.0,14.69,10.87,18.56,8.71
238,2025-01-23,上海钢联,300226,172.76,170.71,176.53,170.71,72910,158064122.0,3.42,0.37,0.63,2.38
237,2025-01-22,上海钢联,300226,170.55,170.08,172.36,168.98,45063,95819867.0,1.97,-1.05,-1.81,1.47
236,2025-01-21,上海钢联,300226,172.13,171.89,172.99,169.22,43794,93578884.0,2.19,0.0,0.0,1.43
235,2025-01-20,上海钢联,300226,172.36,171.89,173.78,171.03,49897,107360640.0,1.61,0.5,0.86,1.63
234,2025-01-17,上海钢联,300226,170.08,171.03,172.6,169.22,49801,106106547.0,1.98,0.09,0.16,1.63
233,2025-01-16,上海钢联,300226,170.0,170.87,175.43,169.45,85999,184911281.0,3.54,1.02,1.73,2.81
232,2025-01-15,上海钢联,300226,168.82,169.14,171.34,167.8,71861,151845603.0,2.08,-0.42,-0.71,2.35
231,2025-01-14,上海钢联,300226,162.38,169.85,170.08,161.35,89897,186961766.0,5.42,5.37,8.65,2.93
230,2025-01-13,上海钢联,300226,156.48,161.2,162.69,154.51,62925,124903699.0,5.17,1.79,2.83,2.05
229,2025-01-10,上海钢联,300226,162.61,158.37,165.91,158.21,63622,128725005.0,4.71,-3.21,-5.26,2.08
228,2025-01-09,上海钢联,300226,162.38,163.63,165.76,161.75,57645,118007520.0,2.46,0.38,0.62,1.88
227,2025-01-08,上海钢联,300226,164.42,163.01,165.99,157.34,96654,194682570.0,5.21,-1.8,-2.98,3.15
226,2025-01-07,上海钢联,300226,163.01,165.99,166.15,162.69,58345,119622872.0,2.12,1.88,3.06,1.9
225,2025-01-06,上海钢联,300226,163.32,162.93,166.54,160.65,71955,146812499.0,3.6,-0.48,-0.78,2.35
224,2025-01-03,上海钢联,300226,173.38,163.71,175.04,163.32,101336,212311961.0,6.76,-5.62,-9.75,3.31
223,2025-01-02,上海钢联,300226,181.72,173.46,182.5,171.03,124719,275529523.0,6.26,-5.28,-9.67,4.07
222,2024-12-31,上海钢联,300226,193.59,183.13,194.38,183.13,112660,264317453.0,5.9,-3.88,-7.39,3.68
221,2024-12-30,上海钢联,300226,186.83,190.52,194.22,182.74,116627,276337730.0,6.16,2.23,4.16,3.81
220,2024-12-27,上海钢联,300226,185.81,186.36,189.82,185.34,73500,172305247.0,2.4,-0.04,-0.08,2.4
219,2024-12-26,上海钢联,300226,183.61,186.44,188.09,183.61,70942,165098901.0,2.44,1.54,2.83,2.32
218,2024-12-25,上海钢联,300226,187.69,183.61,188.01,181.48,82754,189851244.0,3.49,-1.93,-3.61,2.7
217,2024-12-24,上海钢联,300226,187.22,187.22,188.56,183.76,74568,173459204.0,2.58,0.5,0.94,2.43
216,2024-12-23,上海钢联,300226,194.85,186.28,196.11,186.04,114486,271646153.0,5.15,-4.67,-9.12,3.74
215,2024-12-20,上海钢联,300226,194.93,195.4,197.6,193.28,96386,236010431.0,2.21,0.16,0.32,3.15
214,2024-12-19,上海钢联,300226,188.87,195.08,195.71,188.72,101336,243625182.0,3.65,1.8,3.45,3.31
213,2024-12-18,上海钢联,300226,190.45,191.63,194.06,187.3,91345,218731442.0,3.55,0.5,0.95,2.98
212,2024-12-17,上海钢联,300226,195.4,190.68,196.66,190.21,112387,270376962.0,3.28,-2.96,-5.82,3.67
211,2024-12-16,上海钢联,300226,199.25,196.5,201.92,194.85,126379,311601099.0,3.52,-2.27,-4.56,4.12
210,2024-12-13,上海钢联,300226,207.27,201.06,207.66,201.06,154802,394941435.0,3.15,-3.95,-8.26,5.05
209,2024-12-12,上海钢联,300226,207.35,209.32,210.1,203.89,164802,427353483.0,2.98,0.34,0.71,5.38
208,2024-12-11,上海钢联,300226,210.1,208.61,212.15,207.19,156460,410504185.0,2.37,-0.3,-0.63,5.11
207,2024-12-10,上海钢联,300226,221.11,209.24,221.42,208.21,254965,683188340.0,6.28,-0.56,-1.18,8.32
206,2024-12-09,上海钢联,300226,211.75,210.42,216.08,206.17,218409,576100161.0,4.66,-1.14,-2.43,7.13
205,2024-12-06,上海钢联,300226,202.48,212.85,220.79,198.94,343760,910778021.0,10.79,5.12,10.37,11.22
204,2024-12-05,上海钢联,300226,196.26,202.48,204.44,196.11,132554,335400144.0,4.22,2.63,5.19,4.33
203,2024-12-04,上海钢联,300226,202.63,197.29,205.15,195.87,126876,317694071.0,4.55,-3.2,-6.52,4.14
202,2024-12-03,上海钢联,300226,204.28,203.81,205.15,199.96,146387,371042872.0,2.52,-1.14,-2.36,4.78
201,2024-12-02,上海钢联,300226,199.33,206.17,207.82,197.76,189804,484448748.0,4.98,2.14,4.32,6.19
200,2024-11-29,上海钢联,300226,194.93,201.85,207.59,193.83,303114,765221733.0,7.14,4.78,9.2,9.89
199,2024-11-28,上海钢联,300226,197.13,192.65,200.98,192.25,131690,322587048.0,4.46,-1.49,-2.91,4.3
198,2024-11-27,上海钢联,300226,189.5,195.56,195.87,183.53,128187,302750641.0,6.46,2.39,4.56,4.18
197,2024-11-26,上海钢联,300226,193.83,191.0,198.07,191.0,102698,248836025.0,3.61,-2.41,-4.71,3.35
196,2024-11-25,上海钢联,300226,199.88,195.71,202.63,189.58,160763,388974087.0,6.63,-0.6,-1.18,5.25
195,2024-11-22,上海钢联,300226,206.64,196.89,212.46,196.19,205496,528687915.0,7.88,-4.64,-9.59,6.71
194,2024-11-21,上海钢联,300226,207.66,206.48,209.71,203.34,183414,471823134.0,3.03,-1.72,-3.62,5.99
193,2024-11-20,上海钢联,300226,198.94,210.1,215.53,197.6,241866,629629197.0,8.96,4.95,9.9,7.89
192,2024-11-19,上海钢联,300226,193.43,200.2,200.67,191.07,138129,337501728.0,4.97,3.71,7.16,4.51
191,2024-11-18,上海钢联,300226,203.18,193.04,206.88,191.0,175185,426990038.0,7.82,-4.99,-10.14,5.72
190,2024-11-15,上海钢联,300226,207.19,203.18,216.0,202.32,210527,552403255.0,6.54,-2.86,-5.98,6.87
189,2024-11-14,上海钢联,300226,217.96,209.16,219.54,207.82,225565,603279399.0,5.3,-5.4,-11.95,7.36
188,2024-11-13,上海钢联,300226,210.89,221.11,225.2,209.32,342959,940345846.0,7.47,3.95,8.41,11.19
187,2024-11-12,上海钢联,300226,215.53,212.7,221.82,209.0,256945,691338454.0,5.97,-0.99,-2.12,8.39
186,2024-11-11,上海钢联,300226,204.05,214.82,216.23,204.05,243434,644631946.0,5.91,4.32,8.89,7.94
185,2024-11-08,上海钢联,300226,214.74,205.93,217.96,204.6,280646,743854263.0,6.35,-2.13,-4.49,9.16
