,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,苏交科,300284,37.2,36.12,37.33,36.12,182644,175781851.4,3.29,-1.82,-0.67,1.53
239,2025-01-24,苏交科,300284,36.39,36.79,37.16,36.22,221365,214602310.0,2.58,1.02,0.37,1.85
238,2025-01-23,苏交科,300284,37.2,36.42,38.37,36.36,369529,366192856.0,5.46,-1.01,-0.37,3.09
237,2025-01-22,苏交科,300284,36.89,36.79,37.23,36.49,182786,176941907.0,1.99,-1.1,-0.41,1.53
236,2025-01-21,苏交科,300284,37.13,37.2,37.5,36.46,224665,218742408.0,2.82,0.92,0.34,1.88
235,2025-01-20,苏交科,300284,37.09,36.86,37.4,36.73,178977,174685619.0,1.83,0.46,0.17,1.5
234,2025-01-17,苏交科,300284,36.83,36.69,37.09,36.49,178558,172938543.0,1.63,-0.54,-0.2,1.49
233,2025-01-16,苏交科,300284,37.33,36.89,38.0,36.56,251141,246528211.0,3.88,-0.73,-0.27,2.1
232,2025-01-15,苏交科,300284,37.53,37.16,38.1,37.03,253419,250307325.0,2.85,-0.99,-0.37,2.12
231,2025-01-14,苏交科,300284,35.75,37.53,37.6,35.72,306592,297399392.0,5.28,5.48,1.95,2.57
230,2025-01-13,苏交科,300284,34.81,35.58,35.95,34.47,194666,179825309.0,4.2,0.94,0.33,1.63
229,2025-01-10,苏交科,300284,36.15,35.25,36.79,35.25,261911,247611692.0,4.26,-2.49,-0.9,2.19
228,2025-01-09,苏交科,300284,35.85,36.15,36.62,35.68,218017,208260881.0,2.6,0.08,0.03,1.83
227,2025-01-08,苏交科,300284,36.19,36.12,36.66,34.98,231329,217491877.0,4.6,-1.1,-0.4,1.94
226,2025-01-07,苏交科,300284,36.25,36.52,36.62,35.92,166336,158557459.0,1.94,1.3,0.47,1.39
225,2025-01-06,苏交科,300284,35.82,36.05,36.49,35.28,224921,212773812.0,3.38,0.75,0.27,1.88
224,2025-01-03,苏交科,300284,37.53,35.78,37.83,35.72,281395,269815303.0,5.63,-4.59,-1.72,2.36
223,2025-01-02,苏交科,300284,38.24,37.5,38.61,37.03,285954,286075543.0,4.12,-2.27,-0.87,2.39
222,2024-12-31,苏交科,300284,40.45,38.37,40.76,38.24,334742,350025537.0,6.17,-6.0,-2.45,2.8
221,2024-12-30,苏交科,300284,40.76,40.82,41.4,40.22,304359,331960032.0,2.91,0.82,0.33,2.55
220,2024-12-27,苏交科,300284,40.89,40.49,41.5,40.32,349910,382286426.0,2.91,-0.07,-0.03,2.93
219,2024-12-26,苏交科,300284,40.89,40.52,41.46,40.39,437827,476479962.0,2.61,-1.0,-0.41,3.67
218,2024-12-25,苏交科,300284,39.25,40.93,42.24,38.51,732607,788459434.0,9.43,3.49,1.38,6.13
217,2024-12-24,苏交科,300284,39.92,39.55,40.79,39.01,321020,340788525.0,4.54,0.87,0.34,2.69
216,2024-12-23,苏交科,300284,40.22,39.21,40.59,39.01,247878,261210933.0,3.93,-2.51,-1.01,2.08
215,2024-12-20,苏交科,300284,39.88,40.22,40.89,39.78,282562,304146823.0,2.78,0.75,0.3,2.37
214,2024-12-19,苏交科,300284,38.88,39.92,40.15,38.61,222953,234879013.0,3.86,0.18,0.07,1.87
213,2024-12-18,苏交科,300284,39.55,39.85,40.39,39.31,238359,253035044.0,2.71,-0.08,-0.03,2.0
212,2024-12-17,苏交科,300284,41.26,39.88,41.56,39.72,405336,435616390.0,4.42,-4.2,-1.75,3.39
211,2024-12-16,苏交科,300284,42.44,41.63,43.48,41.43,431772,490396565.0,4.79,-2.76,-1.18,3.61
210,2024-12-13,苏交科,300284,43.92,42.81,44.35,42.74,526307,610835629.0,3.62,-3.78,-1.68,4.41
209,2024-12-12,苏交科,300284,44.69,44.49,44.69,43.24,534920,634386984.0,3.24,-0.67,-0.3,4.48
208,2024-12-11,苏交科,300284,43.95,44.79,44.89,43.58,555933,665542828.0,2.96,1.13,0.5,4.65
207,2024-12-10,苏交科,300284,43.45,44.29,45.19,42.91,979132,1162983038.0,5.45,5.78,2.42,8.2
206,2024-12-09,苏交科,300284,42.54,41.87,42.81,41.6,274641,308849259.0,2.83,-2.2,-0.94,2.3
205,2024-12-06,苏交科,300284,43.18,42.81,43.41,42.07,332422,380840935.0,3.14,0.4,0.17,2.78
204,2024-12-05,苏交科,300284,41.6,42.64,42.87,41.6,277627,315124468.0,3.03,1.77,0.74,2.32
203,2024-12-04,苏交科,300284,42.74,41.9,42.97,41.77,319948,361843765.0,2.78,-3.03,-1.31,2.68
202,2024-12-03,苏交科,300284,43.51,43.21,43.92,42.27,437281,504723074.0,3.79,-0.78,-0.34,3.66
201,2024-12-02,苏交科,300284,42.74,43.55,44.18,42.57,438317,512606257.0,3.76,1.59,0.68,3.67
200,2024-11-29,苏交科,300284,42.24,42.87,43.51,41.4,543945,617884770.0,4.92,-0.09,-0.04,4.55
199,2024-11-28,苏交科,300284,42.97,42.91,44.35,42.44,719057,840716699.0,4.48,0.56,0.24,6.02
198,2024-11-27,苏交科,300284,40.42,42.67,42.67,40.22,499607,555147880.0,6.03,4.94,2.01,4.18
197,2024-11-26,苏交科,300284,41.36,40.66,42.07,40.59,315349,347609427.0,3.55,-2.56,-1.07,2.64
196,2024-11-25,苏交科,300284,42.4,41.73,42.74,40.72,440399,486865144.0,4.76,-1.67,-0.71,3.69
195,2024-11-22,苏交科,300284,44.12,42.44,45.06,42.27,851792,993130755.0,6.15,-6.5,-2.95,7.13
194,2024-11-21,苏交科,300284,43.92,45.39,49.29,43.24,1102486,1361984209.0,13.32,-0.09,-0.04,9.23
193,2024-11-20,苏交科,300284,44.76,45.43,46.3,44.29,672317,822607434.0,4.39,-0.72,-0.33,5.63
192,2024-11-19,苏交科,300284,43.78,45.76,46.03,42.44,922041,1114108510.0,8.24,5.0,2.18,7.72
191,2024-11-18,苏交科,300284,43.48,43.58,44.18,41.36,684814,780852602.0,6.48,0.16,0.07,5.73
190,2024-11-15,苏交科,300284,46.13,43.51,46.47,43.41,560550,676478332.0,6.65,-5.47,-2.52,4.69
189,2024-11-14,苏交科,300284,46.81,46.03,47.54,45.83,370883,467680096.0,3.6,-2.97,-1.41,3.11
188,2024-11-13,苏交科,300284,47.61,47.44,48.22,45.83,780424,991992324.0,4.86,-3.56,-1.75,6.53
187,2024-11-12,苏交科,300284,52.25,49.19,52.35,48.79,795633,1082822919.0,6.9,-4.69,-2.42,6.66
186,2024-11-11,苏交科,300284,50.64,51.61,51.88,49.69,750576,1047731808.0,4.29,1.12,0.57,6.28
185,2024-11-08,苏交科,300284,52.82,51.04,54.16,50.67,1127645,1613767183.0,6.69,-2.13,-1.11,9.44
184,2024-11-07,苏交科,300284,50.23,52.15,53.42,49.73,1083673,1517031213.0,7.09,0.19,0.1,9.07
183,2024-11-06,苏交科,300284,52.82,52.05,56.38,50.97,1725775,2519291557.0,10.86,4.46,2.22,14.45
182,2024-11-05,苏交科,300284,48.12,49.83,50.2,47.65,871128,1161264587.0,5.36,4.66,2.22,7.29
181,2024-11-04,苏交科,300284,45.73,47.61,47.95,45.73,585722,748250956.0,4.65,-0.21,-0.1,4.9
180,2024-11-01,苏交科,300284,50.53,47.71,51.98,47.28,1163506,1537263328.0,9.08,-7.79,-4.03,9.74
179,2024-10-31,苏交科,300284,51.98,51.74,53.66,51.17,1352562,1939585052.0,4.76,-1.11,-0.58,11.32
178,2024-10-30,苏交科,300284,48.99,52.32,52.99,48.38,1406170,1978636715.0,9.24,4.85,2.42,11.77
177,2024-10-29,苏交科,300284,51.21,49.9,52.85,49.9,1352824,1885095483.0,5.57,-5.71,-3.02,11.33
176,2024-10-28,苏交科,300284,54.94,52.92,55.94,52.69,1666957,2472155567.0,6.09,-0.82,-0.44,13.96
175,2024-10-25,苏交科,300284,51.27,53.36,55.61,50.97,1669468,2454856277.0,9.12,4.89,2.49,13.98
174,2024-10-24,苏交科,300284,52.25,50.87,52.82,50.06,1286278,1787782224.0,5.22,-3.87,-2.05,10.77
173,2024-10-23,苏交科,300284,52.15,52.92,56.52,51.95,2063082,3036802287.0,8.64,0.0,0.0,17.27
172,2024-10-22,苏交科,300284,56.38,52.92,60.01,51.31,2941848,4423161817.0,15.44,-6.09,-3.43,24.63
171,2024-10-21,苏交科,300284,49.02,56.35,56.35,47.11,2886964,4177533568.0,19.38,18.18,8.67,24.17
170,2024-10-18,苏交科,300284,44.59,47.68,50.9,44.02,2583105,3305487082.0,15.02,4.1,1.88,21.63
169,2024-10-17,苏交科,300284,43.21,45.8,51.07,42.87,2651799,3375284865.0,18.54,3.57,1.58,22.2
168,2024-10-16,苏交科,300284,40.89,44.22,48.42,40.15,2751179,3210183825.0,19.46,4.05,1.72,23.03
167,2024-10-15,苏交科,300284,35.85,42.5,42.5,35.28,2383346,2535754654.0,19.99,17.66,6.38,19.95
166,2024-10-14,苏交科,300284,34.84,36.12,36.22,33.84,930061,852578227.0,7.02,6.55,2.22,7.79
165,2024-10-11,苏交科,300284,35.41,33.9,35.92,33.23,968098,863993293.0,7.37,-7.1,-2.59,8.1
164,2024-10-10,苏交科,300284,40.56,36.49,41.23,36.19,1651498,1679260286.0,12.43,-10.03,-4.07,13.83
163,2024-10-09,苏交科,300284,35.52,40.56,44.02,34.68,2114826,2170155933.0,24.91,8.16,3.06,17.71
162,2024-10-08,苏交科,300284,37.2,37.5,37.5,32.89,1507183,1414289832.0,14.43,17.37,5.55,12.62
161,2024-09-30,苏交科,300284,29.3,31.95,32.32,28.93,1023099,801945997.0,11.95,12.66,3.59,8.57
160,2024-09-27,苏交科,300284,27.49,28.36,28.63,27.18,687693,484346168.0,5.35,4.73,1.28,7.62
159,2024-09-26,苏交科,300284,26.14,27.08,27.08,25.97,415100,275970428.0,4.22,3.04,0.8,4.6
158,2024-09-25,苏交科,300284,26.07,26.28,27.01,25.84,552907,366644671.0,4.57,2.66,0.68,6.12
157,2024-09-24,苏交科,300284,24.6,25.6,25.67,24.49,423714,263727822.0,4.82,4.53,1.11,4.69
156,2024-09-23,苏交科,300284,24.49,24.49,24.73,24.26,168630,101844624.0,1.92,-0.16,-0.04,1.87
155,2024-09-20,苏交科,300284,24.76,24.53,24.86,24.39,223603,135279024.0,1.89,-1.33,-0.33,2.48
154,2024-09-19,苏交科,300284,24.46,24.86,25.17,24.26,279651,170880138.0,3.75,2.35,0.57,3.1
153,2024-09-18,苏交科,300284,24.19,24.29,24.46,23.86,228472,135120974.0,2.48,0.41,0.1,2.53
152,2024-09-13,苏交科,300284,25.27,24.19,25.4,24.13,390456,236829200.0,5.03,-4.27,-1.08,4.32
151,2024-09-12,苏交科,300284,25.74,25.27,26.21,25.27,258542,165337318.0,3.67,-1.44,-0.37,2.86
150,2024-09-11,苏交科,300284,25.84,25.64,25.97,25.47,227444,144861095.0,1.92,-1.54,-0.4,2.52
149,2024-09-10,苏交科,300284,25.67,26.04,26.17,25.57,291830,188192032.0,2.33,1.17,0.3,3.23
148,2024-09-09,苏交科,300284,25.64,25.74,25.97,25.3,285806,182032348.0,2.57,-1.15,-0.3,3.16
147,2024-09-06,苏交科,300284,26.28,26.04,27.18,26.01,502229,333861538.0,4.48,-0.27,-0.07,5.56
146,2024-09-05,苏交科,300284,25.91,26.11,26.44,25.81,281238,183201592.0,2.44,1.16,0.3,3.11
145,2024-09-04,苏交科,300284,26.44,25.81,26.51,25.77,329184,213036802.0,2.78,-2.9,-0.77,3.65
144,2024-09-03,苏交科,300284,26.88,26.58,27.05,26.31,449290,298641472.0,2.75,-1.37,-0.37,4.98
143,2024-09-02,苏交科,300284,27.28,26.95,28.39,26.85,817637,565995744.0,5.75,0.63,0.17,9.05
142,2024-08-30,苏交科,300284,26.11,26.78,27.25,26.01,551643,369555292.0,4.72,1.9,0.5,6.11
141,2024-08-29,苏交科,300284,25.7,26.28,26.68,25.37,420678,273748545.0,5.08,1.9,0.49,4.66
140,2024-08-28,苏交科,300284,26.49,25.79,26.56,25.75,409017,265751374.0,2.99,-4.73,-1.28,4.53
139,2024-08-27,苏交科,300284,26.12,27.07,27.67,25.22,796382,531255038.0,9.28,2.58,0.68,8.82
138,2024-08-26,苏交科,300284,25.72,26.39,26.53,25.59,458642,300489495.0,3.68,3.41,0.87,5.08
137,2024-08-23,苏交科,300284,25.79,25.52,25.89,25.35,189133,120243119.0,2.1,-0.66,-0.17,2.09
136,2024-08-22,苏交科,300284,26.19,25.69,26.29,25.62,236600,152436927.0,2.56,-1.8,-0.47,2.62
135,2024-08-21,苏交科,300284,26.09,26.16,26.43,25.92,205921,134576714.0,1.94,-0.27,-0.07,2.28
134,2024-08-20,苏交科,300284,26.76,26.23,26.93,26.12,255434,169024240.0,3.02,-2.24,-0.6,2.83
133,2024-08-19,苏交科,300284,26.73,26.83,27.17,26.59,246079,166273226.0,2.17,0.26,0.07,2.73
132,2024-08-16,苏交科,300284,27.23,26.76,27.37,26.63,374825,253566344.0,2.71,-2.09,-0.57,4.15
131,2024-08-15,苏交科,300284,27.27,27.33,27.6,26.7,442259,302123942.0,3.28,-0.36,-0.1,4.9
130,2024-08-14,苏交科,300284,27.6,27.43,28.48,27.4,500527,354453263.0,3.9,-0.97,-0.27,5.54
129,2024-08-13,苏交科,300284,27.33,27.7,28.01,27.3,340567,237297844.0,2.59,1.09,0.3,3.77
128,2024-08-12,苏交科,300284,28.07,27.4,28.11,27.2,377725,261859795.0,3.25,-2.28,-0.64,4.18
127,2024-08-09,苏交科,300284,28.31,28.04,29.08,27.97,516922,374051924.0,3.94,-0.46,-0.13,5.72
126,2024-08-08,苏交科,300284,29.18,28.17,29.18,28.11,532766,384117752.0,3.65,-3.79,-1.11,5.9
125,2024-08-07,苏交科,300284,29.75,29.28,30.19,29.18,615413,463782766.0,3.38,-2.04,-0.61,6.82
124,2024-08-06,苏交科,300284,30.86,29.89,31.37,29.42,961384,742373331.0,6.41,-1.77,-0.54,10.65
123,2024-08-05,苏交科,300284,31.16,30.43,32.34,30.29,1382114,1122624350.0,6.58,-2.34,-0.73,15.31
122,2024-08-02,苏交科,300284,28.81,31.16,33.55,28.58,1714604,1360099830.0,16.99,6.53,1.91,18.99
121,2024-08-01,苏交科,300284,28.91,29.25,29.52,28.78,833908,619159988.0,2.57,1.53,0.44,9.23
120,2024-07-31,苏交科,300284,27.33,28.81,29.59,27.2,821938,593035166.0,8.65,4.23,1.17,9.1
119,2024-07-30,苏交科,300284,27.84,27.64,28.41,27.54,664045,469792128.0,3.07,-2.37,-0.67,7.35
118,2024-07-29,苏交科,300284,26.86,28.31,28.78,26.26,813133,569861259.0,9.4,5.63,1.51,9.0
117,2024-07-26,苏交科,300284,26.33,26.8,26.93,26.26,354069,237365233.0,2.53,1.28,0.34,3.92
116,2024-07-25,苏交科,300284,25.72,26.46,26.86,25.62,396708,261985770.0,4.77,1.69,0.44,4.39
115,2024-07-24,苏交科,300284,26.93,26.02,27.2,25.96,477965,317235135.0,4.56,-4.23,-1.15,5.29
114,2024-07-23,苏交科,300284,27.5,27.17,27.97,27.13,377036,263001238.0,3.05,-1.34,-0.37,4.18
113,2024-07-22,苏交科,300284,27.27,27.54,27.74,27.03,288864,199627463.0,2.61,1.36,0.37,3.2
112,2024-07-19,苏交科,300284,27.1,27.17,27.54,26.9,335768,230030359.0,2.34,-0.48,-0.13,3.72
111,2024-07-18,苏交科,300284,27.33,27.3,27.87,27.07,383175,264553538.0,2.87,-1.94,-0.54,4.24
110,2024-07-17,苏交科,300284,28.95,27.84,28.98,27.74,627709,448957120.0,4.23,-4.92,-1.44,6.95
109,2024-07-16,苏交科,300284,29.15,29.28,29.52,28.68,612211,452581275.0,2.83,-1.38,-0.41,6.78
108,2024-07-15,苏交科,300284,28.85,29.69,29.92,28.41,756874,564380932.0,5.26,3.41,0.98,8.38
107,2024-07-12,苏交科,300284,28.58,28.71,29.79,28.21,761137,564140384.0,5.56,1.06,0.3,8.43
106,2024-07-11,苏交科,300284,28.61,28.41,28.64,27.94,582134,417365958.0,2.5,1.57,0.44,6.45
105,2024-07-10,苏交科,300284,28.04,27.97,28.85,27.8,678815,487323386.0,3.79,1.08,0.3,7.52
104,2024-07-09,苏交科,300284,26.73,27.67,27.77,26.39,641789,439786088.0,5.12,2.75,0.74,7.11
103,2024-07-08,苏交科,300284,27.67,26.93,27.7,26.66,408881,277215731.0,3.74,-3.13,-0.87,4.53
102,2024-07-05,苏交科,300284,28.14,27.8,28.14,27.3,382875,268520479.0,3.02,-0.14,-0.04,4.24
101,2024-07-04,苏交科,300284,29.32,27.84,29.62,27.74,571087,411260834.0,6.51,-3.6,-1.04,6.32
100,2024-07-03,苏交科,300284,30.29,28.88,30.36,28.75,651850,486228170.0,5.31,-4.75,-1.44,7.22
99,2024-07-02,苏交科,300284,31.23,30.32,31.47,30.16,684295,535281747.0,4.16,-3.75,-1.18,7.58
98,2024-07-01,苏交科,300284,31.33,31.5,32.27,31.16,813955,665670068.0,3.54,0.54,0.17,9.01
97,2024-06-28,苏交科,300284,29.89,31.33,32.07,29.79,1112184,894919091.0,7.58,4.22,1.27,12.32
96,2024-06-27,苏交科,300284,30.93,30.06,31.2,29.79,763149,596563393.0,4.5,-4.05,-1.27,8.45
95,2024-06-26,苏交科,300284,30.43,31.33,31.53,29.79,817126,645406482.0,5.59,0.64,0.2,9.05
94,2024-06-25,苏交科,300284,31.53,31.13,32.51,30.86,933987,760789414.0,5.25,-0.86,-0.27,10.34
93,2024-06-24,苏交科,300284,33.21,31.4,33.55,31.33,1215097,1012575108.0,6.68,-5.56,-1.85,13.46
92,2024-06-21,苏交科,300284,32.07,33.25,34.83,31.77,1894795,1648562762.0,9.59,4.23,1.35,20.98
91,2024-06-20,苏交科,300284,32.84,31.9,33.28,31.8,1596352,1339375936.0,4.39,-5.29,-1.78,17.68
90,2024-06-19,苏交科,300284,28.98,33.68,33.68,28.75,1603875,1318949703.0,17.13,17.03,4.9,17.76
89,2024-06-18,苏交科,300284,27.7,28.78,28.95,27.67,750649,544754202.0,4.58,3.01,0.84,8.31
88,2024-06-17,苏交科,300284,27.54,27.94,28.61,27.4,598363,424836901.0,4.38,1.23,0.34,6.63
87,2024-06-14,苏交科,300284,27.33,27.6,27.7,27.13,267514,185743297.0,2.07,0.47,0.13,2.96
86,2024-06-13,苏交科,300284,27.57,27.47,27.87,27.3,311327,215757641.0,2.05,-0.97,-0.27,3.45
85,2024-06-12,苏交科,300284,27.43,27.74,28.01,27.4,319798,223756314.0,2.2,-0.11,-0.03,3.54
84,2024-06-11,苏交科,300284,27.5,27.77,27.84,27.03,335241,232652589.0,2.92,0.25,0.07,3.71
83,2024-06-07,苏交科,300284,27.74,27.7,27.94,27.07,439771,305664254.0,3.18,1.09,0.3,4.87
82,2024-06-06,苏交科,300284,28.71,27.4,28.98,27.2,757048,530770728.0,6.16,-5.12,-1.48,8.38
81,2024-06-05,苏交科,300284,29.72,28.88,29.72,28.88,509216,378615674.0,2.82,-2.92,-0.87,5.64
80,2024-06-04,苏交科,300284,28.54,29.75,29.89,28.54,769368,581102886.0,4.66,2.66,0.77,8.52
79,2024-06-03,苏交科,300284,29.05,28.98,29.55,28.68,459413,340617064.0,3.0,0.0,0.0,5.09
78,2024-05-31,苏交科,300284,28.71,28.98,29.25,28.68,341507,251920096.0,1.98,0.59,0.17,3.78
77,2024-05-30,苏交科,300284,29.32,28.81,29.42,28.61,402265,296262907.0,2.76,-1.74,-0.51,4.45
76,2024-05-29,苏交科,300284,29.59,29.32,29.99,29.01,497629,373731910.0,3.3,-1.35,-0.4,5.51
75,2024-05-28,苏交科,300284,30.32,29.72,30.56,29.55,578739,443830089.0,3.3,-2.97,-0.91,6.41
74,2024-05-27,苏交科,300284,30.56,30.63,30.86,29.55,574494,445853206.0,4.3,0.66,0.2,6.36
73,2024-05-24,苏交科,300284,31.7,30.43,32.0,30.06,927972,731111352.0,6.04,-5.32,-1.71,10.28
72,2024-05-23,苏交科,300284,34.36,32.14,34.79,32.07,1095243,953251895.0,8.08,-4.49,-1.51,12.13
71,2024-05-22,苏交科,300284,32.84,33.65,34.12,32.51,935669,815329570.0,4.9,2.4,0.79,10.36
70,2024-05-21,苏交科,300284,32.79,32.86,33.7,32.46,669150,582187307.0,3.74,-0.9,-0.3,7.41
69,2024-05-20,苏交科,300284,33.43,33.16,34.44,32.59,1111774,980543434.0,5.39,-3.35,-1.15,12.31
68,2024-05-17,苏交科,300284,34.37,34.31,34.91,33.26,1412268,1277514765.0,4.97,3.34,1.11,15.64
67,2024-05-16,苏交科,300284,32.89,33.2,34.31,32.83,1147743,1014952278.0,4.51,1.13,0.37,12.71
66,2024-05-15,苏交科,300284,31.38,32.83,33.84,31.05,1269450,1090592608.0,8.87,4.39,1.38,14.06
65,2024-05-14,苏交科,300284,31.69,31.45,31.95,30.61,754272,617132344.0,4.23,-0.76,-0.24,8.35
64,2024-05-13,苏交科,300284,32.73,31.69,33.2,31.08,945804,791498028.0,6.29,-6.05,-2.04,10.47
63,2024-05-10,苏交科,300284,34.54,33.73,35.38,33.33,1066089,956771597.0,5.86,-3.57,-1.25,11.81
62,2024-05-09,苏交科,300284,33.26,34.98,36.22,32.73,1431542,1319193706.0,10.28,3.06,1.04,15.85
61,2024-05-08,苏交科,300284,33.37,33.94,35.21,32.36,1315877,1184610495.0,8.4,0.0,0.0,14.57
60,2024-05-07,苏交科,300284,32.96,33.94,34.88,32.59,1284042,1151841177.0,6.95,2.97,0.98,14.22
59,2024-05-06,苏交科,300284,32.69,32.96,33.57,32.56,987748,859165354.0,3.12,1.85,0.6,10.94
58,2024-04-30,苏交科,300284,35.75,32.36,35.78,31.38,1576209,1365078685.0,11.98,-11.9,-4.37,17.45
57,2024-04-29,苏交科,300284,35.21,36.73,37.26,34.88,1867415,1788052679.0,6.59,1.77,0.64,20.68
56,2024-04-26,苏交科,300284,36.12,36.09,38.64,35.05,2102509,2089518286.0,9.81,-1.37,-0.5,23.28
55,2024-04-25,苏交科,300284,37.16,36.59,38.17,36.09,1736413,1716970106.0,5.5,-3.2,-1.21,19.23
54,2024-04-24,苏交科,300284,35.28,37.8,39.38,35.08,2201455,2224374568.0,11.97,5.23,1.88,24.38
53,2024-04-23,苏交科,300284,34.98,35.92,37.5,34.98,1993785,1918590568.0,7.26,3.49,1.21,22.08
52,2024-04-22,苏交科,300284,36.59,34.71,36.62,33.0,1791302,1664852363.0,9.34,-10.47,-4.06,19.84
51,2024-04-19,苏交科,300284,35.31,38.77,41.09,34.44,2898113,2837307262.0,18.14,5.76,2.11,32.09
50,2024-04-18,苏交科,300284,35.05,36.66,38.67,34.74,2973950,2890764972.0,11.87,10.76,3.56,32.93
49,2024-04-17,苏交科,300284,30.74,33.1,33.1,30.74,1053461,900010450.0,8.36,17.29,4.88,11.67
48,2024-04-16,苏交科,300284,24.13,28.22,28.83,24.13,1953205,1383172088.0,19.06,14.44,3.56,21.63
47,2024-04-15,苏交科,300284,24.6,24.66,25.1,23.55,667372,410315001.0,6.19,-1.48,-0.37,7.39
46,2024-04-12,苏交科,300284,25.64,25.03,26.38,24.86,845535,549241283.0,5.74,-5.48,-1.45,9.36
45,2024-04-11,苏交科,300284,24.33,26.48,26.85,24.06,1210816,785155711.0,11.19,6.22,1.55,13.41
44,2024-04-10,苏交科,300284,23.89,24.93,25.44,23.32,822917,500779598.0,8.75,2.89,0.7,9.11
43,2024-04-09,苏交科,300284,24.13,24.23,24.97,24.09,528473,325991394.0,3.64,0.29,0.07,5.85
42,2024-04-08,苏交科,300284,25.17,24.16,25.27,24.16,618655,381337800.0,4.39,-4.39,-1.11,6.85
41,2024-04-03,苏交科,300284,25.4,25.27,26.38,24.39,841424,537977519.0,7.71,-2.09,-0.54,9.32
40,2024-04-02,苏交科,300284,25.4,25.81,26.85,25.0,1183220,784084598.0,7.19,0.27,0.07,13.1
39,2024-04-01,苏交科,300284,24.63,25.74,26.91,24.63,1206767,794914424.0,9.13,3.08,0.77,13.36
38,2024-03-29,苏交科,300284,23.18,24.97,25.67,23.02,1294461,796459608.0,11.28,6.3,1.48,14.56
37,2024-03-28,苏交科,300284,21.77,23.49,23.89,21.77,925375,523375188.0,10.1,11.86,2.49,10.41
36,2024-03-27,苏交科,300284,20.7,21.0,21.74,20.7,329520,170663830.0,5.08,2.64,0.54,3.71
35,2024-03-26,苏交科,300284,20.36,20.46,20.56,20.19,92204,45551321.0,1.81,0.15,0.03,1.04
34,2024-03-25,苏交科,300284,20.7,20.43,20.9,20.43,114557,57588262.0,2.26,-1.78,-0.37,1.29
33,2024-03-22,苏交科,300284,21.2,20.8,21.3,20.7,159456,81175906.0,2.81,-2.53,-0.54,1.79
32,2024-03-21,苏交科,300284,20.8,21.34,21.57,20.7,254189,131948535.0,4.2,3.09,0.64,2.86
31,2024-03-20,苏交科,300284,20.56,20.7,20.73,20.46,57008,28528821.0,1.32,0.98,0.2,0.64
