,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,吴通控股,300292,49.49,49.67,50.84,49.04,763319,408995282.9,3.66,0.91,0.45,6.84
239,2025-01-24,吴通控股,300292,48.5,49.22,49.31,48.14,503632,264521690.0,2.41,1.3,0.63,4.51
238,2025-01-23,吴通控股,300292,49.13,48.59,50.21,48.5,656198,347903626.0,3.53,0.19,0.09,5.88
237,2025-01-22,吴通控股,300292,48.86,48.5,49.31,48.23,482815,252024019.0,2.19,-1.64,-0.81,4.33
236,2025-01-21,吴通控股,300292,48.86,49.31,49.58,48.5,687646,361525020.0,2.23,1.67,0.81,6.16
235,2025-01-20,吴通控股,300292,48.23,48.5,49.58,47.69,816103,426783164.0,3.99,2.28,1.08,7.31
234,2025-01-17,吴通控股,300292,47.78,47.42,48.5,47.24,590337,302325481.0,2.63,-1.13,-0.54,5.29
233,2025-01-16,吴通控股,300292,48.32,47.96,50.3,47.6,910346,474683003.0,5.69,1.14,0.54,8.16
232,2025-01-15,吴通控股,300292,47.33,47.42,48.59,46.79,1007612,515553665.0,3.78,-0.38,-0.18,9.03
231,2025-01-14,吴通控股,300292,45.26,47.6,48.05,44.81,1181230,593584976.0,7.66,12.56,5.31,10.59
230,2025-01-13,吴通控股,300292,41.3,42.29,42.38,40.13,363802,160545848.0,5.4,1.51,0.63,3.26
229,2025-01-10,吴通控股,300292,43.28,41.66,43.82,41.57,369644,169181998.0,5.19,-3.94,-1.71,3.31
228,2025-01-09,吴通控股,300292,42.83,43.37,43.64,42.74,345317,159985128.0,2.08,0.42,0.18,3.09
227,2025-01-08,吴通控股,300292,43.1,43.19,43.73,41.84,433493,198062830.0,4.34,-0.83,-0.36,3.88
226,2025-01-07,吴通控股,300292,42.11,43.55,43.55,42.02,409609,187138576.0,3.64,3.64,1.53,3.67
225,2025-01-06,吴通控股,300292,41.75,42.02,42.65,40.58,376670,167988590.0,4.97,0.86,0.36,3.38
224,2025-01-03,吴通控股,300292,43.64,41.66,44.0,41.48,438611,199446676.0,5.77,-4.54,-1.98,3.93
223,2025-01-02,吴通控股,300292,45.17,43.64,45.71,43.19,420062,199469620.0,5.56,-3.77,-1.71,3.76
222,2024-12-31,吴通控股,300292,47.33,45.35,47.87,45.26,448070,221995234.0,5.51,-4.18,-1.98,4.02
221,2024-12-30,吴通控股,300292,47.51,47.33,47.78,46.25,306140,154654186.0,3.22,-0.38,-0.18,2.74
220,2024-12-27,吴通控股,300292,47.24,47.51,48.41,46.97,426143,218450117.0,3.04,0.19,0.09,3.82
219,2024-12-26,吴通控股,300292,46.34,47.42,48.68,46.34,470122,240929425.0,5.0,1.35,0.63,4.21
218,2024-12-25,吴通控股,300292,49.13,46.79,49.13,45.44,715918,359562690.0,7.44,-5.63,-2.79,6.42
217,2024-12-24,吴通控股,300292,48.95,49.58,50.39,48.5,491475,260287828.0,3.9,2.23,1.08,4.4
216,2024-12-23,吴通控股,300292,51.65,48.5,51.92,48.05,741633,394056614.0,7.44,-6.75,-3.51,6.65
215,2024-12-20,吴通控股,300292,51.29,52.01,52.64,50.84,716232,399476911.0,3.46,0.0,0.0,6.42
214,2024-12-19,吴通控股,300292,49.22,52.01,52.55,48.86,1079487,590994561.0,7.39,4.14,2.07,9.67
213,2024-12-18,吴通控股,300292,49.31,49.94,50.93,48.14,633791,338262046.0,5.68,1.65,0.81,5.68
212,2024-12-17,吴通控股,300292,52.55,49.13,52.73,48.95,861526,464031857.0,7.22,-6.19,-3.24,7.72
211,2024-12-16,吴通控股,300292,54.53,52.37,54.53,51.65,1020125,578967640.0,5.27,-4.12,-2.25,9.14
210,2024-12-13,吴通控股,300292,53.09,54.62,56.06,52.64,1696640,1000840458.0,6.4,2.19,1.17,15.2
209,2024-12-12,吴通控股,300292,54.35,53.45,54.44,52.19,950985,542724309.0,4.16,-1.16,-0.63,8.52
208,2024-12-11,吴通控股,300292,51.92,54.08,54.17,51.65,1396402,801902807.0,4.85,3.98,2.07,12.51
207,2024-12-10,吴通控股,300292,51.83,52.01,52.91,51.02,1325746,744872075.0,3.74,2.85,1.44,11.88
206,2024-12-09,吴通控股,300292,49.85,50.57,51.2,48.32,917557,491103501.0,5.76,1.08,0.54,8.22
205,2024-12-06,吴通控股,300292,49.49,50.03,50.21,48.32,610550,324154462.0,3.83,1.28,0.63,5.47
204,2024-12-05,吴通控股,300292,47.78,49.4,49.58,47.6,612132,322432188.0,4.12,2.81,1.35,5.49
203,2024-12-04,吴通控股,300292,50.12,48.05,50.3,47.69,1007211,528339647.0,5.07,-6.64,-3.42,9.03
202,2024-12-03,吴通控股,300292,50.93,51.47,51.47,50.03,652296,355797380.0,2.81,0.53,0.27,5.85
201,2024-12-02,吴通控股,300292,49.76,51.2,51.56,49.49,738163,402835227.0,4.18,3.27,1.62,6.61
200,2024-11-29,吴通控股,300292,48.5,49.58,50.12,47.96,624958,329831121.0,4.44,1.85,0.9,5.6
199,2024-11-28,吴通控股,300292,49.4,48.68,50.12,48.32,532735,281414225.0,3.65,-1.28,-0.63,4.77
198,2024-11-27,吴通控股,300292,47.33,49.31,49.4,46.25,585742,300460397.0,6.59,3.2,1.53,5.25
197,2024-11-26,吴通控股,300292,48.5,47.78,49.49,47.78,456076,237655885.0,3.53,-1.48,-0.72,4.09
