,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,迪瑞医疗,300396,80.11,80.38,80.38,79.57,26415,38802545.24,1.01,0.29,0.23,0.97
240,2025-01-23,迪瑞医疗,300396,80.38,80.15,81.19,80.15,31737,46995238.0,1.31,0.62,0.49,1.16
239,2025-01-22,迪瑞医疗,300396,80.87,79.66,80.87,79.48,32776,48045292.0,1.72,-1.67,-1.35,1.2
238,2025-01-21,迪瑞医疗,300396,81.05,81.01,81.19,80.11,30527,45272888.0,1.34,0.28,0.23,1.12
237,2025-01-20,迪瑞医疗,300396,80.78,80.78,81.19,80.33,31251,46400659.0,1.07,0.5,0.4,1.15
236,2025-01-17,迪瑞医疗,300396,79.93,80.38,80.69,79.52,27585,40554638.0,1.45,-0.05,-0.04,1.01
235,2025-01-16,迪瑞医疗,300396,80.15,80.42,81.19,79.75,32458,48014988.0,1.8,0.34,0.27,1.19
234,2025-01-15,迪瑞医疗,300396,81.32,80.15,81.32,79.93,31373,46235946.0,1.72,-0.89,-0.72,1.15
233,2025-01-14,迪瑞医疗,300396,78.26,80.87,80.92,78.22,57238,83768136.0,3.45,3.45,2.7,2.1
232,2025-01-13,迪瑞医疗,300396,77.9,78.17,78.31,77.0,33414,47347620.0,1.67,-0.23,-0.18,1.23
231,2025-01-10,迪瑞医疗,300396,80.11,78.35,80.6,78.31,52705,76525813.0,2.84,-2.74,-2.21,1.93
230,2025-01-09,迪瑞医疗,300396,80.56,80.56,81.68,80.24,43339,64469932.0,1.78,-0.33,-0.27,1.59
229,2025-01-08,迪瑞医疗,300396,81.23,80.83,81.82,78.98,58152,86050009.0,3.48,-0.93,-0.76,2.13
228,2025-01-07,迪瑞医疗,300396,82.18,81.59,82.22,79.93,60457,90008155.0,2.79,-0.66,-0.54,2.22
227,2025-01-06,迪瑞医疗,300396,81.37,82.13,83.26,80.06,63109,95275912.0,3.95,1.38,1.12,2.32
226,2025-01-03,迪瑞医疗,300396,84.02,81.01,84.56,80.6,81392,123742898.0,4.72,-3.48,-2.92,2.99
225,2025-01-02,迪瑞医疗,300396,87.08,83.93,87.49,82.99,90594,143785783.0,5.14,-4.07,-3.56,3.33
224,2024-12-31,迪瑞医疗,300396,90.59,87.49,91.36,87.35,92216,153850308.0,4.42,-3.52,-3.19,3.38
223,2024-12-30,迪瑞医疗,300396,93.2,90.68,93.97,90.55,93072,161401358.0,3.68,-2.47,-2.3,3.42
222,2024-12-27,迪瑞医疗,300396,92.39,92.98,94.19,91.76,93728,164322884.0,2.62,0.29,0.27,3.44
