,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,博济医药,300404,39.74,39.83,39.93,39.4,66997,55693003.0,1.34,0.35,0.14,2.43
240,2025-01-23,博济医药,300404,39.69,39.69,40.45,39.69,57172,48065633.0,1.92,0.35,0.14,2.07
239,2025-01-22,博济医药,300404,39.88,39.55,39.88,39.31,40921,33928840.0,1.43,-1.05,-0.42,1.48
238,2025-01-21,博济医药,300404,40.21,39.97,40.45,39.45,57745,48211471.0,2.49,-0.6,-0.24,2.09
237,2025-01-20,博济医药,300404,39.83,40.21,40.4,39.64,72991,61412603.0,1.92,1.67,0.66,2.65
236,2025-01-17,博济医药,300404,39.26,39.55,39.83,38.98,53719,44427618.0,2.15,0.25,0.1,1.95
235,2025-01-16,博济医药,300404,39.59,39.45,40.02,38.93,49373,40902465.0,2.77,0.23,0.09,1.79
234,2025-01-15,博济医药,300404,39.5,39.36,39.78,39.22,54663,45182543.0,1.41,-1.06,-0.42,1.98
233,2025-01-14,博济医药,300404,38.03,39.78,39.78,38.03,78382,64260457.0,4.6,4.6,1.75,2.84
232,2025-01-13,博济医药,300404,37.28,38.03,38.13,36.66,56151,44177203.0,3.9,0.88,0.33,2.04
231,2025-01-10,博济医药,300404,39.03,37.7,39.45,37.65,69443,56041827.0,4.61,-3.51,-1.37,2.52
230,2025-01-09,博济医药,300404,38.84,39.07,39.78,38.46,64807,53279463.0,3.37,-0.13,-0.05,2.35
229,2025-01-08,博济医药,300404,39.22,39.12,39.83,37.98,98818,80741621.0,4.68,-0.96,-0.38,3.58
228,2025-01-07,博济医药,300404,39.5,39.5,39.5,38.51,100898,82510681.0,2.51,0.0,0.0,3.66
227,2025-01-06,博济医药,300404,39.12,39.5,40.11,38.17,98827,81535595.0,4.96,0.97,0.38,3.58
226,2025-01-03,博济医药,300404,40.63,39.12,40.87,38.69,107377,89194218.0,5.38,-3.5,-1.42,3.89
225,2025-01-02,博济医药,300404,41.63,40.54,42.01,40.11,84778,73142742.0,4.56,-2.62,-1.09,3.07
224,2024-12-31,博济医药,300404,42.72,41.63,43.0,41.49,77753,68536287.0,3.54,-2.44,-1.04,2.82
223,2024-12-30,博济医药,300404,43.24,42.67,43.24,41.96,71604,63905112.0,2.96,-1.41,-0.61,2.6
222,2024-12-27,博济医药,300404,42.81,43.28,43.95,42.67,74165,67632280.0,2.98,0.65,0.28,2.69
221,2024-12-26,博济医药,300404,42.81,43.0,43.43,42.48,88003,79546766.0,2.21,0.12,0.05,3.19
