,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,香农芯创,300475,65.64,63.47,65.99,63.47,83284,235027023.0,3.84,-3.31,-2.17,1.89
239,2025-01-24,香农芯创,300475,63.89,65.64,65.69,63.5,108392,309243854.0,3.42,2.4,1.54,2.46
238,2025-01-23,香农芯创,300475,65.27,64.1,66.13,64.1,104460,298315737.0,3.15,-0.67,-0.43,2.37
237,2025-01-22,香农芯创,300475,64.63,64.53,65.02,63.73,77059,217559239.0,1.98,-0.75,-0.49,1.75
236,2025-01-21,香农芯创,300475,64.51,65.02,65.2,63.56,91913,260141591.0,2.55,1.15,0.74,2.09
235,2025-01-20,香农芯创,300475,64.81,64.28,65.27,63.89,72223,203722258.0,2.15,0.22,0.14,1.64
234,2025-01-17,香农芯创,300475,63.29,64.14,64.81,62.8,97134,272460620.0,3.17,1.2,0.76,2.21
233,2025-01-16,香农芯创,300475,63.89,63.38,64.77,62.55,84434,235512150.0,3.5,-0.14,-0.09,1.92
232,2025-01-15,香农芯创,300475,64.03,63.47,64.51,63.33,83198,232541734.0,1.84,-0.94,-0.6,1.89
231,2025-01-14,香农芯创,300475,60.88,64.07,64.21,60.19,135369,372186963.0,6.62,5.47,3.32,3.07
230,2025-01-13,香农芯创,300475,59.15,60.75,61.46,58.14,82968,220143147.0,5.55,1.5,0.9,1.88
229,2025-01-10,香农芯创,300475,61.99,59.85,62.85,59.8,82601,222510297.0,4.93,-3.28,-2.03,1.88
228,2025-01-09,香农芯创,300475,60.88,61.88,63.5,60.84,85985,235296162.0,4.32,0.54,0.33,1.95
227,2025-01-08,香农芯创,300475,61.09,61.55,62.2,59.06,97416,259767402.0,5.08,-0.42,-0.26,2.21
226,2025-01-07,香农芯创,300475,60.42,61.81,61.86,59.91,84308,225621239.0,3.24,2.81,1.69,1.92
225,2025-01-06,香农芯创,300475,60.65,60.12,61.53,59.55,75827,201358072.0,3.25,-1.44,-0.88,1.72
224,2025-01-03,香农芯创,300475,62.5,61.0,63.13,60.88,100230,272657561.0,3.63,-1.68,-1.04,2.28
223,2025-01-02,香农芯创,300475,65.16,62.04,65.27,61.14,122478,339611220.0,6.35,-4.58,-2.98,2.78
222,2024-12-31,香农芯创,300475,68.16,65.02,68.72,65.02,140277,407840120.0,5.42,-4.73,-3.23,3.19
221,2024-12-30,香农芯创,300475,67.61,68.25,70.12,66.48,146958,441107823.0,5.33,-0.07,-0.05,3.34
220,2024-12-27,香农芯创,300475,69.02,68.3,70.66,67.86,204885,622623738.0,4.07,-0.84,-0.58,4.65
219,2024-12-26,香农芯创,300475,66.68,68.88,68.95,66.2,165209,494710577.0,4.12,3.14,2.1,3.75
218,2024-12-25,香农芯创,300475,67.56,66.78,68.44,66.38,86430,254168066.0,3.04,-1.56,-1.06,1.96
217,2024-12-24,香农芯创,300475,67.01,67.84,67.93,65.81,102155,300152245.0,3.18,1.66,1.11,2.32
216,2024-12-23,香农芯创,300475,69.13,66.73,69.66,66.66,132673,394658444.0,4.33,-3.74,-2.59,3.01
215,2024-12-20,香农芯创,300475,67.81,69.32,70.82,67.42,193673,589521935.0,4.96,1.15,0.79,4.4
214,2024-12-19,香农芯创,300475,65.85,68.53,68.74,65.41,148872,440452179.0,4.99,2.73,1.82,3.38
213,2024-12-18,香农芯创,300475,64.88,66.71,67.47,64.3,124653,362288774.0,4.88,2.6,1.69,2.83
212,2024-12-17,香农芯创,300475,66.13,65.02,67.75,64.88,108334,313508046.0,4.3,-2.69,-1.8,2.46
211,2024-12-16,香农芯创,300475,67.77,66.82,68.97,66.31,156621,463952418.0,3.84,-3.44,-2.38,3.56
210,2024-12-13,香农芯创,300475,67.35,69.2,71.97,66.5,253577,765753765.0,8.07,2.05,1.39,5.76
209,2024-12-12,香农芯创,300475,68.05,67.81,68.67,66.94,93634,277673938.0,2.54,-0.38,-0.26,2.13
208,2024-12-11,香农芯创,300475,67.54,68.07,68.74,67.4,88381,263549431.0,1.98,0.58,0.39,2.01
207,2024-12-10,香农芯创,300475,69.96,67.68,70.24,67.58,147457,443886849.0,3.95,0.49,0.33,3.35
206,2024-12-09,香农芯创,300475,68.39,67.35,68.6,66.66,85228,252487171.0,2.84,-1.42,-0.97,1.94
205,2024-12-06,香农芯创,300475,68.48,68.32,69.27,67.58,115678,346504163.0,2.46,-0.54,-0.37,2.63
204,2024-12-05,香农芯创,300475,66.38,68.69,69.92,66.17,147632,442360472.0,5.58,2.26,1.52,3.35
203,2024-12-04,香农芯创,300475,68.97,67.17,69.48,66.98,119629,356613152.0,3.67,-1.32,-0.9,2.72
202,2024-12-03,香农芯创,300475,69.15,68.07,69.48,67.38,132148,394731588.0,3.07,-0.64,-0.44,3.0
201,2024-12-02,香农芯创,300475,66.78,68.51,69.04,66.78,161625,483550546.0,3.41,3.43,2.27,3.67
200,2024-11-29,香农芯创,300475,64.74,66.24,67.28,64.1,131143,378171688.0,4.89,1.77,1.15,2.98
199,2024-11-28,香农芯创,300475,65.99,65.09,66.91,65.0,106102,306872232.0,2.89,-1.68,-1.11,2.41
198,2024-11-27,香农芯创,300475,64.86,66.2,66.22,62.69,134307,378782662.0,5.43,1.92,1.25,3.05
197,2024-11-26,香农芯创,300475,67.17,64.95,67.45,64.77,95119,274549627.0,4.05,-1.84,-1.22,2.16
196,2024-11-25,香农芯创,300475,66.17,66.17,68.92,64.97,161564,471527642.0,6.07,1.69,1.1,3.67
195,2024-11-22,香农芯创,300475,69.96,65.07,70.08,65.04,173461,514053892.0,7.2,-7.06,-4.94,3.94
194,2024-11-21,香农芯创,300475,70.96,70.01,71.51,69.22,147225,452985391.0,3.19,-2.41,-1.73,3.34
193,2024-11-20,香农芯创,300475,68.99,71.74,72.85,68.23,204971,632097738.0,6.63,2.94,2.05,4.66
192,2024-11-19,香农芯创,300475,69.09,69.69,69.76,66.5,146602,439255988.0,4.77,2.07,1.41,3.33
191,2024-11-18,香农芯创,300475,72.27,68.28,73.2,67.49,157242,478875148.0,7.84,-6.27,-4.57,3.57
190,2024-11-15,香农芯创,300475,73.27,72.85,75.74,72.69,160966,520191234.0,4.14,-1.17,-0.86,3.66
189,2024-11-14,香农芯创,300475,76.59,73.71,77.22,73.31,149785,492983014.0,5.05,-4.77,-3.69,3.4
188,2024-11-13,香农芯创,300475,77.15,77.4,77.56,74.31,217900,724371156.0,4.16,-0.88,-0.69,4.95
187,2024-11-12,香农芯创,300475,81.17,78.09,81.26,76.82,301750,1044412364.0,5.47,-3.79,-3.08,6.85
186,2024-11-11,香农芯创,300475,77.63,81.17,82.37,76.59,400129,1394857681.0,7.6,6.72,5.11,9.09
185,2024-11-08,香农芯创,300475,76.55,76.06,78.37,75.44,244621,824155381.0,3.86,0.21,0.16,5.56
