,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,合纵科技,300477,18.16,18.23,18.35,17.91,187260,50150878.8,2.42,0.39,0.07,2.0
240,2025-01-23,合纵科技,300477,18.48,18.16,18.79,18.16,173919,47729822.0,3.44,-0.71,-0.13,1.86
239,2025-01-22,合纵科技,300477,18.41,18.29,18.54,18.04,119022,32268542.0,2.71,-1.03,-0.19,1.27
238,2025-01-21,合纵科技,300477,18.92,18.48,19.04,18.41,211259,58219009.0,3.34,-2.01,-0.38,2.26
237,2025-01-20,合纵科技,300477,19.04,18.86,19.17,18.48,246170,68903461.0,3.65,-0.32,-0.06,2.63
236,2025-01-17,合纵科技,300477,19.74,18.92,19.8,18.79,454063,129387523.0,5.07,-5.07,-1.01,4.85
235,2025-01-16,合纵科技,300477,20.3,19.93,21.06,19.74,488379,147388360.0,6.46,-2.45,-0.5,5.22
234,2025-01-15,合纵科技,300477,19.04,20.43,20.68,18.79,706560,209121693.0,9.86,6.57,1.26,7.55
233,2025-01-14,合纵科技,300477,18.16,19.17,19.17,18.16,228311,63695992.0,5.56,5.56,1.01,2.44
232,2025-01-13,合纵科技,300477,17.85,18.16,18.23,17.47,156766,41577500.0,4.2,0.33,0.06,1.68
231,2025-01-10,合纵科技,300477,19.04,18.1,19.17,18.04,208990,57674318.0,5.91,-5.29,-1.01,2.23
230,2025-01-09,合纵科技,300477,18.98,19.11,19.36,18.92,224440,64063633.0,2.3,0.0,0.0,2.4
229,2025-01-08,合纵科技,300477,19.11,19.11,19.3,18.41,241954,67985173.0,4.61,-0.98,-0.19,2.59
228,2025-01-07,合纵科技,300477,18.6,19.3,19.36,18.54,191189,53883198.0,4.41,3.76,0.7,2.04
227,2025-01-06,合纵科技,300477,18.79,18.6,19.04,17.78,261096,71627885.0,6.59,-2.67,-0.51,2.79
226,2025-01-03,合纵科技,300477,18.98,19.11,20.43,18.54,416138,119929716.0,9.96,0.68,0.13,4.45
225,2025-01-02,合纵科技,300477,19.17,18.98,19.61,18.79,253688,72462848.0,4.29,-0.68,-0.13,2.71
224,2024-12-31,合纵科技,300477,19.99,19.11,20.24,19.04,294597,85542810.0,6.0,-4.4,-0.88,3.15
223,2024-12-30,合纵科技,300477,20.24,19.99,20.43,19.49,330318,97163308.0,4.6,-2.15,-0.44,3.53
222,2024-12-27,合纵科技,300477,19.8,20.43,21.06,19.74,449130,137866097.0,6.71,3.86,0.76,4.8
221,2024-12-26,合纵科技,300477,19.61,19.67,20.05,19.42,229834,67604714.0,3.21,0.31,0.06,2.46
220,2024-12-25,合纵科技,300477,20.24,19.61,20.43,19.23,346811,101227361.0,5.89,-3.73,-0.76,3.71
219,2024-12-24,合纵科技,300477,20.81,20.37,21.19,19.74,584970,177281770.0,6.84,-3.87,-0.82,6.25
218,2024-12-23,合纵科技,300477,22.13,21.19,23.27,21.0,585968,195141392.0,10.26,-4.25,-0.94,6.26
217,2024-12-20,合纵科技,300477,22.45,22.13,22.45,21.94,362696,120694226.0,2.26,-1.95,-0.44,3.88
216,2024-12-19,合纵科技,300477,21.56,22.57,23.2,21.25,614109,204067413.0,8.86,2.54,0.56,6.56
215,2024-12-18,合纵科技,300477,22.32,22.01,22.51,21.82,381954,127039763.0,3.09,-1.39,-0.31,4.08
214,2024-12-17,合纵科技,300477,23.77,22.32,24.21,22.26,469488,161505100.0,8.22,-5.86,-1.39,5.02
213,2024-12-16,合纵科技,300477,23.83,23.71,24.08,23.45,289999,103903783.0,2.64,-0.79,-0.19,3.1
212,2024-12-13,合纵科技,300477,24.27,23.9,24.34,23.71,384861,138953412.0,2.57,-2.57,-0.63,4.11
211,2024-12-12,合纵科技,300477,24.9,24.53,24.97,24.15,522818,192765232.0,3.28,-1.76,-0.44,5.59
210,2024-12-11,合纵科技,300477,24.59,24.97,25.03,24.34,554167,206680237.0,2.81,1.79,0.44,5.92
