,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,幸福蓝海,300528,11.51,11.06,11.54,11.04,130089,119989192.36,4.38,-3.15,-0.36,3.49
239,2025-01-24,幸福蓝海,300528,11.57,11.42,11.63,11.21,196416,183049641.0,3.61,-1.81,-0.21,5.27
238,2025-01-23,幸福蓝海,300528,11.19,11.63,11.93,11.08,292892,276684562.0,7.64,4.49,0.5,7.86
237,2025-01-22,幸福蓝海,300528,11.22,11.13,11.46,11.01,164093,150208701.0,3.97,-1.77,-0.2,4.4
236,2025-01-21,幸福蓝海,300528,11.43,11.33,11.56,10.94,226336,207917923.0,5.49,0.27,0.03,6.07
235,2025-01-20,幸福蓝海,300528,10.89,11.3,12.1,10.78,370401,343477305.0,12.66,8.34,0.87,9.94
234,2025-01-17,幸福蓝海,300528,10.3,10.43,10.64,10.18,118874,101320486.0,4.45,0.87,0.09,3.19
233,2025-01-16,幸福蓝海,300528,10.35,10.34,10.72,10.26,108870,92790039.0,4.47,0.39,0.04,2.92
232,2025-01-15,幸福蓝海,300528,10.24,10.3,10.42,10.14,125861,105580897.0,2.75,1.28,0.13,3.38
231,2025-01-14,幸福蓝海,300528,9.78,10.17,10.18,9.77,123819,100656897.0,4.26,5.72,0.55,3.32
230,2025-01-13,幸福蓝海,300528,9.42,9.62,9.68,9.23,76150,58784743.0,4.7,0.52,0.05,2.04
229,2025-01-10,幸福蓝海,300528,10.12,9.57,10.26,9.57,102962,83126131.0,6.78,-5.9,-0.6,2.76
228,2025-01-09,幸福蓝海,300528,10.12,10.17,10.3,9.96,92845,77103315.0,3.34,0.0,0.0,2.49
227,2025-01-08,幸福蓝海,300528,10.0,10.17,10.3,9.71,131682,107663235.0,5.89,1.6,0.16,3.53
226,2025-01-07,幸福蓝海,300528,9.94,10.01,10.07,9.77,89044,72007974.0,3.04,1.52,0.15,2.39
225,2025-01-06,幸福蓝海,300528,9.94,9.86,10.1,9.57,87489,70361311.0,5.28,-1.79,-0.18,2.35
224,2025-01-03,幸福蓝海,300528,10.84,10.04,10.89,10.0,141196,119209134.0,8.3,-6.34,-0.68,3.79
223,2025-01-02,幸福蓝海,300528,10.85,10.72,10.98,10.49,127337,111933283.0,4.6,0.56,0.06,3.42
222,2024-12-31,幸福蓝海,300528,10.88,10.66,11.25,10.62,137389,122171646.0,5.79,-2.02,-0.22,3.69
221,2024-12-30,幸福蓝海,300528,11.02,10.88,11.12,10.54,124857,109749561.0,5.26,-1.27,-0.14,3.35
220,2024-12-27,幸福蓝海,300528,10.98,11.02,11.31,10.83,120576,109178289.0,4.39,0.73,0.08,3.24
219,2024-12-26,幸福蓝海,300528,10.97,10.94,11.34,10.85,149593,135226414.0,4.47,-0.09,-0.01,4.01
218,2024-12-25,幸福蓝海,300528,10.94,10.95,11.18,10.31,194567,170804964.0,7.95,0.09,0.01,5.22
217,2024-12-24,幸福蓝海,300528,11.06,10.94,11.07,10.56,137748,121541645.0,4.71,1.11,0.12,3.7
216,2024-12-23,幸福蓝海,300528,11.99,10.82,12.02,10.76,273814,249884874.0,10.41,-10.58,-1.28,7.35
215,2024-12-20,幸福蓝海,300528,12.05,12.1,12.45,11.98,170379,169840041.0,3.93,1.09,0.13,4.57
214,2024-12-19,幸福蓝海,300528,12.22,11.97,12.44,11.61,264406,258543150.0,6.65,-4.09,-0.51,7.1
213,2024-12-18,幸福蓝海,300528,12.77,12.48,13.4,12.36,221970,232536994.0,8.14,-2.27,-0.29,5.96
212,2024-12-17,幸福蓝海,300528,14.03,12.77,14.14,12.64,267733,294026770.0,10.3,-12.35,-1.8,7.19
211,2024-12-16,幸福蓝海,300528,14.12,14.57,15.26,13.52,367605,426277455.0,12.32,3.19,0.45,9.87
210,2024-12-13,幸福蓝海,300528,13.85,14.12,15.26,13.83,416860,494447252.0,10.03,-0.98,-0.14,11.19
209,2024-12-12,幸福蓝海,300528,13.71,14.26,14.32,13.47,386964,440652985.0,6.2,3.94,0.54,10.39
208,2024-12-11,幸福蓝海,300528,13.66,13.72,14.68,13.44,462566,523208243.0,8.63,-4.52,-0.65,12.41
207,2024-12-10,幸福蓝海,300528,13.74,14.37,15.28,13.35,640949,764702322.0,15.11,12.53,1.6,17.2
