,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,健帆生物,300529,58.77,58.35,59.39,58.31,71689,195153542.2,1.84,-0.71,-0.42,1.4
240,2025-01-23,健帆生物,300529,59.47,58.77,59.73,58.58,99110,271195417.0,1.96,0.31,0.18,1.93
239,2025-01-22,健帆生物,300529,60.82,58.59,62.15,58.12,163865,447189238.0,6.34,-7.86,-5.0,3.2
238,2025-01-21,健帆生物,300529,63.55,63.59,64.05,62.38,35048,103465076.0,2.63,0.09,0.06,0.68
237,2025-01-20,健帆生物,300529,63.63,63.53,64.28,62.93,51265,152477713.0,2.13,0.24,0.15,1.0
236,2025-01-17,健帆生物,300529,61.69,63.38,63.59,61.5,50815,149031938.0,3.39,2.67,1.65,0.99
235,2025-01-16,健帆生物,300529,62.34,61.73,62.98,61.62,41866,121715674.0,2.18,-0.98,-0.61,0.82
234,2025-01-15,健帆生物,300529,62.58,62.34,62.72,62.01,33489,97310577.0,1.13,-0.67,-0.42,0.65
233,2025-01-14,健帆生物,300529,61.98,62.76,62.98,61.41,44413,129313197.0,2.54,1.54,0.95,0.87
232,2025-01-13,健帆生物,300529,61.05,61.81,62.26,60.91,38292,110235748.0,2.21,0.96,0.59,0.75
231,2025-01-10,健帆生物,300529,62.03,61.22,62.51,61.01,30235,86897271.0,2.42,-1.27,-0.79,0.59
230,2025-01-09,健帆生物,300529,62.13,62.01,63.61,61.88,42246,123519919.0,2.78,-0.53,-0.33,0.82
229,2025-01-08,健帆生物,300529,62.3,62.34,62.79,60.82,46963,135154768.0,3.17,0.23,0.14,0.92
228,2025-01-07,健帆生物,300529,61.6,62.2,62.43,60.7,39240,113280309.0,2.81,1.01,0.62,0.77
227,2025-01-06,健帆生物,300529,61.62,61.58,62.7,61.29,48178,139232047.0,2.29,-0.03,-0.02,0.94
226,2025-01-03,健帆生物,300529,61.79,61.6,62.76,61.25,50028,144999285.0,2.44,-0.39,-0.24,0.98
225,2025-01-02,健帆生物,300529,62.81,61.84,63.19,61.25,57672,167820406.0,3.09,-1.51,-0.95,1.13
224,2024-12-31,健帆生物,300529,64.33,62.79,64.85,62.72,52293,156073570.0,3.31,-2.39,-1.54,1.02
223,2024-12-30,健帆生物,300529,64.45,64.33,64.6,63.88,40817,122830103.0,1.12,-0.19,-0.12,0.8
222,2024-12-27,健帆生物,300529,63.9,64.45,64.9,63.31,46925,141634106.0,2.5,1.45,0.92,0.92
221,2024-12-26,健帆生物,300529,64.73,63.53,64.73,63.44,43875,131024291.0,2.0,-1.75,-1.13,0.86
220,2024-12-25,健帆生物,300529,64.47,64.66,64.85,63.91,40009,120839662.0,1.46,0.75,0.48,0.78
219,2024-12-24,健帆生物,300529,63.44,64.18,64.28,63.12,33889,101145947.0,1.84,1.68,1.06,0.66
218,2024-12-23,健帆生物,300529,64.22,63.12,64.45,63.1,33989,101177414.0,2.11,-1.36,-0.87,0.66
217,2024-12-20,健帆生物,300529,64.05,63.99,65.19,63.86,40513,122516212.0,2.07,-0.26,-0.17,0.79
216,2024-12-19,健帆生物,300529,63.69,64.16,64.22,63.25,30046,89759327.0,1.51,0.0,0.0,0.59
215,2024-12-18,健帆生物,300529,63.78,64.16,64.24,63.5,34749,103849764.0,1.16,0.6,0.38,0.68
214,2024-12-17,健帆生物,300529,63.97,63.78,64.29,63.57,38863,116329155.0,1.13,-0.2,-0.13,0.76
213,2024-12-16,健帆生物,300529,64.33,63.91,64.54,63.8,39862,119687619.0,1.15,-0.71,-0.46,0.78
212,2024-12-13,健帆生物,300529,65.34,64.37,65.34,63.84,71696,215951026.0,2.3,-1.48,-0.97,1.4
211,2024-12-12,健帆生物,300529,64.98,65.34,65.64,64.31,49603,151397064.0,2.06,1.04,0.67,0.97
210,2024-12-11,健帆生物,300529,64.5,64.67,65.28,64.39,41752,127047314.0,1.38,0.2,0.13,0.81
209,2024-12-10,健帆生物,300529,66.88,64.54,66.88,64.39,66910,205426883.0,3.88,0.47,0.3,1.31
208,2024-12-09,健帆生物,300529,64.94,64.24,65.49,63.71,43934,132769686.0,2.75,-0.82,-0.53,0.86
207,2024-12-06,健帆生物,300529,63.34,64.77,65.15,63.06,77568,233447306.0,3.31,2.5,1.58,1.51
