,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,博创科技,300548,155.98,152.74,160.03,150.28,366331,2075109764.14,5.92,-7.2,-11.85,16.41
239,2025-01-24,博创科技,300548,155.55,164.59,173.88,155.55,489408,2969208152.0,12.0,7.79,11.9,21.92
238,2025-01-23,博创科技,300548,164.51,152.69,168.13,151.93,421120,2457500604.0,10.08,-4.98,-8.01,18.86
237,2025-01-22,博创科技,300548,162.03,160.7,166.78,157.98,415360,2468163188.0,5.49,0.34,0.54,18.6
236,2025-01-21,博创科技,300548,142.21,160.16,163.73,137.35,496217,2698507484.0,18.82,14.25,19.98,22.22
235,2025-01-20,博创科技,300548,137.75,140.18,145.15,137.75,408103,2102625056.0,5.57,5.59,7.42,18.28
234,2025-01-17,博创科技,300548,132.71,132.76,135.05,127.93,376529,1802402919.0,5.25,-2.19,-2.97,16.86
233,2025-01-16,博创科技,300548,125.36,135.73,141.56,124.47,551799,2627387799.0,13.91,10.44,12.83,24.71
232,2025-01-15,博创科技,300548,126.66,122.9,131.65,120.88,328416,1495389483.0,8.43,-3.85,-4.92,14.71
231,2025-01-14,博创科技,300548,122.07,127.82,128.14,117.86,393580,1777788010.0,8.48,5.44,6.59,17.63
230,2025-01-13,博创科技,300548,118.45,121.23,124.34,117.29,285649,1251648698.0,5.85,0.63,0.76,12.79
229,2025-01-10,博创科技,300548,129.41,120.47,132.22,119.96,421696,1922640916.0,9.44,-7.2,-9.35,18.89
228,2025-01-09,博创科技,300548,131.95,129.82,135.73,128.33,488812,2344247262.0,5.38,-5.67,-7.8,21.89
227,2025-01-08,博创科技,300548,128.95,137.62,138.11,124.93,646248,3048027364.0,9.93,3.64,4.83,28.94
226,2025-01-07,博创科技,300548,118.56,132.79,136.0,117.18,699389,3251623095.0,16.1,13.61,15.91,31.32
225,2025-01-06,博创科技,300548,119.53,116.88,123.26,113.32,474080,2036598452.0,8.41,-1.13,-1.33,21.23
224,2025-01-03,博创科技,300548,127.09,118.21,127.09,117.02,542806,2403327034.0,7.6,-10.78,-14.28,24.31
223,2025-01-02,博创科技,300548,128.93,132.49,136.0,121.2,584520,2740691989.0,11.62,4.0,5.1,26.18
222,2024-12-31,博创科技,300548,131.68,127.39,136.97,124.79,604199,2868048516.0,9.3,-2.76,-3.61,27.06
221,2024-12-30,博创科技,300548,131.54,131.0,147.83,128.25,753574,3743492579.0,15.61,4.41,5.53,33.75
220,2024-12-27,博创科技,300548,120.88,125.47,127.31,116.83,633006,2815470344.0,8.73,4.54,5.45,28.35
219,2024-12-26,博创科技,300548,101.84,120.02,120.02,100.63,374722,1545661446.0,19.32,19.59,19.66,16.78
218,2024-12-25,博创科技,300548,94.82,100.36,104.0,93.12,506837,1834285559.0,11.27,3.97,3.83,22.7
217,2024-12-24,博创科技,300548,97.12,96.53,100.09,92.88,510501,1787660417.0,7.64,2.23,2.11,22.86
