,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,集智股份,300553,40.62,40.81,41.16,40.16,19023,57883471.37,2.44,-0.46,-0.19,3.59
240,2025-01-23,集智股份,300553,41.78,41.0,42.66,40.9,29043,90549380.0,4.24,-1.13,-0.47,5.48
239,2025-01-22,集智股份,300553,44.84,41.47,44.84,41.46,42507,134831081.0,7.57,-7.08,-3.16,8.02
238,2025-01-21,集智股份,300553,44.51,44.63,45.51,42.81,57938,191474099.0,6.03,-0.29,-0.13,10.93
237,2025-01-20,集智股份,300553,41.13,44.76,45.41,40.73,65477,209420652.0,11.38,8.8,3.62,12.36
236,2025-01-17,集智股份,300553,40.81,41.14,42.69,40.19,46676,145535753.0,6.13,0.86,0.35,8.81
235,2025-01-16,集智股份,300553,39.39,40.79,43.43,38.79,62470,191430469.0,11.79,3.69,1.45,11.79
234,2025-01-15,集智股份,300553,40.1,39.34,41.33,38.79,50209,149606047.0,6.35,-1.72,-0.69,9.47
233,2025-01-14,集智股份,300553,34.24,40.03,40.03,33.82,45877,129716478.0,18.52,19.35,6.49,8.66
232,2025-01-13,集智股份,300553,33.47,33.54,34.12,32.26,9990,24765138.0,5.55,0.15,0.05,1.89
231,2025-01-10,集智股份,300553,34.12,33.49,35.2,33.41,11508,29513925.0,5.23,-2.1,-0.72,2.17
230,2025-01-09,集智股份,300553,34.18,34.21,34.58,33.56,8310,21178462.0,3.02,1.15,0.39,1.57
229,2025-01-08,集智股份,300553,34.24,33.82,34.51,32.63,12611,31623079.0,5.48,-1.34,-0.46,2.38
228,2025-01-07,集智股份,300553,33.37,34.28,34.32,32.8,10208,25503257.0,4.62,4.16,1.37,1.93
227,2025-01-06,集智股份,300553,33.03,32.91,33.84,31.85,12063,29578692.0,5.97,-1.23,-0.41,2.28
226,2025-01-03,集智股份,300553,35.53,33.32,35.96,32.98,14601,37290374.0,8.36,-6.48,-2.31,2.76
225,2025-01-02,集智股份,300553,36.67,35.63,37.3,35.15,12419,33637961.0,5.84,-3.28,-1.21,2.34
