,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,星源材质,300568,70.86,71.68,73.26,70.72,389195,385383094.52,3.6,1.46,1.03,3.21
239,2025-01-24,星源材质,300568,68.87,70.65,70.79,68.66,214076,204922006.0,3.07,1.98,1.37,1.76
238,2025-01-23,星源材质,300568,70.99,69.28,71.95,69.21,231425,223535081.0,3.92,-0.97,-0.68,1.91
237,2025-01-22,星源材质,300568,71.13,69.96,71.13,69.76,187437,179895647.0,1.92,-2.21,-1.58,1.54
236,2025-01-21,星源材质,300568,70.99,71.54,72.36,70.03,258328,251236822.0,3.3,1.36,0.96,2.13
235,2025-01-20,星源材质,300568,70.1,70.58,71.2,69.89,200875,193885461.0,1.88,1.28,0.89,1.65
234,2025-01-17,星源材质,300568,69.21,69.69,70.24,68.8,200245,189874743.0,2.07,0.3,0.21,1.65
233,2025-01-16,星源材质,300568,70.31,69.48,70.99,68.93,222508,212293732.0,2.95,-0.4,-0.28,1.83
232,2025-01-15,星源材质,300568,71.2,69.76,71.34,69.62,259632,248671388.0,2.42,-1.83,-1.3,2.14
231,2025-01-14,星源材质,300568,68.59,71.06,71.34,67.9,449830,429272337.0,5.03,3.81,2.61,3.71
230,2025-01-13,星源材质,300568,65.23,68.45,68.66,65.02,367538,338295753.0,5.5,3.41,2.26,3.03
229,2025-01-10,星源材质,300568,67.36,66.19,67.7,66.05,281482,254607996.0,2.47,-0.82,-0.55,2.32
228,2025-01-09,星源材质,300568,64.61,66.74,67.29,64.34,396531,358742737.0,4.53,2.53,1.65,3.27
227,2025-01-08,星源材质,300568,66.12,65.09,66.12,63.24,359500,315393645.0,4.34,-1.96,-1.3,2.96
226,2025-01-07,星源材质,300568,65.91,66.39,66.53,65.5,211896,190501113.0,1.56,0.73,0.48,1.75
225,2025-01-06,星源材质,300568,66.12,65.91,66.94,65.3,217408,195280105.0,2.48,-0.32,-0.21,1.79
224,2025-01-03,星源材质,300568,68.52,66.12,68.87,65.85,358558,327638507.0,4.41,-3.4,-2.33,2.95
223,2025-01-02,星源材质,300568,71.13,68.45,71.61,67.77,315110,299280818.0,5.4,-3.77,-2.68,2.6
222,2024-12-31,星源材质,300568,73.94,71.13,74.22,71.13,334933,331680253.0,4.16,-4.16,-3.09,2.76
221,2024-12-30,星源材质,300568,72.78,74.22,74.29,72.57,308818,311401793.0,2.36,1.88,1.37,2.54
220,2024-12-27,星源材质,300568,72.43,72.85,73.74,72.16,244931,245382696.0,2.18,0.39,0.28,2.02
219,2024-12-26,星源材质,300568,72.78,72.57,73.05,72.23,175416,174570601.0,1.13,0.37,0.27,1.45
218,2024-12-25,星源材质,300568,73.19,72.3,73.53,71.54,210626,207863457.0,2.72,-1.22,-0.89,1.74
217,2024-12-24,星源材质,300568,72.23,73.19,74.15,72.09,263905,264477429.0,2.86,1.53,1.1,2.17
216,2024-12-23,星源材质,300568,73.81,72.09,74.36,71.95,285795,285570049.0,3.26,-2.59,-1.92,2.35
215,2024-12-20,星源材质,300568,73.81,74.01,74.7,73.46,233567,237011300.0,1.67,-0.28,-0.21,1.92
214,2024-12-19,星源材质,300568,72.91,74.22,74.36,72.5,265992,267246929.0,2.52,0.75,0.55,2.19
213,2024-12-18,星源材质,300568,74.49,73.67,75.18,73.53,275647,279500768.0,2.22,-0.93,-0.69,2.27
212,2024-12-17,星源材质,300568,74.77,74.36,75.59,74.01,307337,314530615.0,2.11,-0.72,-0.54,2.53
211,2024-12-16,星源材质,300568,76.28,74.9,76.76,73.94,494140,508822488.0,3.68,-2.24,-1.72,4.07
210,2024-12-13,星源材质,300568,78.2,76.62,78.27,75.86,980940,1032894773.0,3.06,-2.79,-2.2,8.08
209,2024-12-12,星源材质,300568,79.78,78.82,79.78,78.06,565761,611385557.0,2.16,-1.2,-0.96,4.66
208,2024-12-11,星源材质,300568,80.05,79.78,80.81,79.3,366710,403707173.0,1.88,-0.76,-0.61,3.02
207,2024-12-10,星源材质,300568,82.66,80.39,83.14,80.26,423685,476625324.0,3.59,0.16,0.13,3.49
206,2024-12-09,星源材质,300568,81.22,80.26,81.7,79.64,286722,317928621.0,2.53,-1.51,-1.23,2.36
205,2024-12-06,星源材质,300568,80.53,81.49,82.52,79.02,440385,491507430.0,4.35,1.37,1.1,3.63
204,2024-12-05,星源材质,300568,79.64,80.39,80.81,79.36,249321,275730794.0,1.81,0.34,0.27,2.05
203,2024-12-04,星源材质,300568,81.15,80.12,81.29,79.64,358996,396855084.0,2.02,-1.68,-1.37,2.96
202,2024-12-03,星源材质,300568,83.55,81.49,83.89,80.33,661916,744735246.0,4.24,-3.02,-2.54,5.45
201,2024-12-02,星源材质,300568,83.34,84.03,84.24,82.66,513587,591304870.0,1.88,-0.25,-0.21,4.23
200,2024-11-29,星源材质,300568,84.17,84.24,86.02,82.45,543873,632931494.0,4.2,-0.8,-0.68,4.48
199,2024-11-28,星源材质,300568,86.43,84.92,87.39,84.79,436901,518502518.0,3.01,-1.75,-1.51,3.6
