,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,晨曦航空,300581,115.98,115.29,116.33,113.43,90031,88274905.2,2.53,0.51,0.59,1.64
240,2025-01-23,晨曦航空,300581,115.98,114.7,120.05,114.47,123596,123871258.0,4.85,-0.21,-0.24,2.25
239,2025-01-22,晨曦航空,300581,112.38,114.94,117.5,112.15,153296,151057009.0,4.34,-6.7,-8.25,2.79
238,2025-01-21,晨曦航空,300581,123.77,123.19,124.01,120.63,72177,75279501.0,2.74,-0.1,-0.12,1.31
237,2025-01-20,晨曦航空,300581,124.12,123.31,125.29,122.5,69326,73209820.0,2.25,-0.56,-0.7,1.26
236,2025-01-17,晨曦航空,300581,122.03,124.01,125.05,122.03,80491,84997074.0,2.46,0.85,1.05,1.46
235,2025-01-16,晨曦航空,300581,124.12,122.96,125.4,121.45,88016,92848645.0,3.2,-0.28,-0.35,1.6
234,2025-01-15,晨曦航空,300581,124.82,123.31,125.87,122.73,92274,97875154.0,2.52,-1.21,-1.51,1.68
233,2025-01-14,晨曦航空,300581,120.05,124.82,124.94,119.24,118650,124652531.0,4.78,4.68,5.58,2.16
232,2025-01-13,晨曦航空,300581,116.57,119.24,120.29,114.01,85187,85792434.0,5.32,0.98,1.16,1.55
231,2025-01-10,晨曦航空,300581,120.63,118.08,123.54,118.08,115305,119339707.0,4.48,-3.05,-3.72,2.1
230,2025-01-09,晨曦航空,300581,117.38,121.8,123.43,117.15,161868,167569299.0,5.31,3.05,3.61,2.94
229,2025-01-08,晨曦航空,300581,117.03,118.19,119.47,113.19,104351,104086754.0,5.31,-0.1,-0.12,1.9
228,2025-01-07,晨曦航空,300581,116.57,118.31,118.31,115.29,85933,85763704.0,2.62,2.73,3.14,1.56
227,2025-01-06,晨曦航空,300581,115.87,115.17,117.84,112.38,112912,111465500.0,4.71,-0.6,-0.7,2.05
226,2025-01-03,晨曦航空,300581,124.47,115.87,126.33,115.63,146535,149558185.0,8.62,-6.65,-8.25,2.66
225,2025-01-02,晨曦航空,300581,128.77,124.12,131.1,122.96,205727,222873635.0,6.2,-5.41,-7.1,3.74
224,2024-12-31,晨曦航空,300581,131.1,131.22,140.29,127.38,256558,293461138.0,9.92,0.81,1.05,4.66
223,2024-12-30,晨曦航空,300581,130.87,130.17,133.66,128.66,145459,162852974.0,3.77,-1.76,-2.33,2.64
222,2024-12-27,晨曦航空,300581,141.1,132.5,142.61,132.38,244106,285125422.0,7.77,0.62,0.82,4.44
221,2024-12-26,晨曦航空,300581,128.89,131.68,134.12,128.89,124905,141446493.0,4.09,2.91,3.72,2.27
220,2024-12-25,晨曦航空,300581,130.98,127.96,132.26,125.75,120033,131376631.0,4.93,-3.17,-4.19,2.18
219,2024-12-24,晨曦航空,300581,131.68,132.15,135.17,129.94,97630,110240237.0,3.96,0.0,0.0,1.77
218,2024-12-23,晨曦航空,300581,139.24,132.15,139.94,131.33,131358,151354774.0,6.16,-5.49,-7.67,2.39
217,2024-12-20,晨曦航空,300581,136.68,139.82,141.1,135.52,111273,132419141.0,4.09,2.47,3.37,2.02
216,2024-12-19,晨曦航空,300581,135.4,136.45,138.66,134.01,91587,106628887.0,3.4,-0.17,-0.23,1.66
215,2024-12-18,晨曦航空,300581,136.68,136.68,139.01,134.94,104384,122333115.0,2.98,0.08,0.11,1.9
214,2024-12-17,晨曦航空,300581,141.57,136.57,143.43,135.87,144151,171069847.0,5.3,-4.32,-6.16,2.62
213,2024-12-16,晨曦航空,300581,145.75,142.73,147.73,141.57,147203,181908248.0,4.2,-2.77,-4.07,2.68
212,2024-12-13,晨曦航空,300581,150.64,146.8,151.8,146.57,230093,292806428.0,3.41,-4.39,-6.74,4.18
211,2024-12-12,晨曦航空,300581,152.38,153.54,158.08,150.87,342691,452119637.0,4.75,1.07,1.63,6.23
210,2024-12-11,晨曦航空,300581,150.29,151.91,151.91,147.61,245084,314159544.0,2.84,0.22,0.34,4.46
209,2024-12-10,晨曦航空,300581,148.31,151.57,153.43,145.05,362841,464668703.0,5.82,5.25,7.56,6.6
208,2024-12-09,晨曦航空,300581,144.12,144.01,145.64,142.15,170106,209020861.0,2.37,-2.21,-3.25,3.09
207,2024-12-06,晨曦航空,300581,144.12,147.26,148.31,143.31,245763,306937002.0,3.45,1.52,2.21,4.47
206,2024-12-05,晨曦航空,300581,138.08,145.05,146.57,137.96,250032,305824864.0,6.19,4.35,6.04,4.55
205,2024-12-04,晨曦航空,300581,141.45,139.01,142.73,138.08,161504,193830174.0,3.26,-2.61,-3.72,2.94
204,2024-12-03,晨曦航空,300581,142.73,142.73,145.52,140.52,199100,242447178.0,3.49,-0.24,-0.35,3.62
203,2024-12-02,晨曦航空,300581,140.4,143.08,143.19,140.4,165119,200844280.0,1.98,1.66,2.33,3.0
202,2024-11-29,晨曦航空,300581,139.01,140.75,142.26,136.68,175865,209986750.0,4.0,0.92,1.28,3.2
201,2024-11-28,晨曦航空,300581,141.33,139.47,145.29,139.36,176910,214319022.0,4.15,-2.28,-3.26,3.22
200,2024-11-27,晨曦航空,300581,138.77,142.73,142.73,134.01,221035,262256401.0,6.28,2.85,3.96,4.02
199,2024-11-26,晨曦航空,300581,147.15,138.77,149.12,138.19,242415,296598326.0,7.43,-5.69,-8.38,4.41
198,2024-11-25,晨曦航空,300581,149.36,147.15,151.57,143.66,265058,332807116.0,5.08,-5.45,-8.49,4.82
197,2024-11-22,晨曦航空,300581,151.22,155.64,165.98,148.19,472811,634345802.0,11.66,1.99,3.03,8.59
196,2024-11-21,晨曦航空,300581,152.84,152.61,154.12,149.12,240467,311585325.0,3.24,-1.06,-1.63,4.37
195,2024-11-20,晨曦航空,300581,147.96,154.24,154.71,146.33,324812,423100790.0,5.68,4.57,6.74,5.9
194,2024-11-19,晨曦航空,300581,145.87,147.5,147.96,140.75,221617,274051498.0,5.01,2.59,3.73,4.03
193,2024-11-18,晨曦航空,300581,148.77,143.77,152.61,142.26,236531,296639026.0,6.96,-3.36,-5.0,4.3
192,2024-11-15,晨曦航空,300581,152.03,148.77,156.22,148.77,239739,312485168.0,4.86,-2.89,-4.42,4.36
191,2024-11-14,晨曦航空,300581,163.66,153.19,166.68,152.15,307977,418758506.0,8.95,-5.59,-9.07,5.6
190,2024-11-13,晨曦航空,300581,161.68,162.26,164.82,155.98,361091,494772763.0,5.34,-2.04,-3.38,6.56
189,2024-11-12,晨曦航空,300581,174.71,165.64,174.82,163.89,557252,800911164.0,6.11,-7.34,-13.13,10.13
188,2024-11-11,晨曦航空,300581,172.38,178.77,180.98,167.38,786325,1166725158.0,7.33,-3.7,-6.87,14.29
187,2024-11-08,晨曦航空,300581,173.66,185.64,195.64,173.66,1181946,1879131207.0,12.85,8.5,14.54,21.49
186,2024-11-07,晨曦航空,300581,174.36,171.1,185.75,162.73,1249190,1871686099.0,13.03,-3.16,-5.58,22.71
185,2024-11-06,晨曦航空,300581,176.68,176.68,176.68,176.68,160667,242927974.0,0.0,19.88,29.3,2.92
184,2024-11-05,晨曦航空,300581,122.96,147.38,147.38,122.96,282844,350723048.0,19.86,19.86,24.42,5.14
183,2024-11-04,晨曦航空,300581,118.89,122.96,123.77,118.43,158858,165358356.0,4.49,3.32,3.95,2.89
182,2024-11-01,晨曦航空,300581,126.45,119.01,131.1,118.77,275096,291383023.0,9.67,-6.66,-8.49,5.0
181,2024-10-31,晨曦航空,300581,124.24,127.5,129.36,124.01,220302,239727837.0,4.26,1.58,1.98,4.0
180,2024-10-30,晨曦航空,300581,123.77,125.52,127.96,121.8,201963,216758861.0,4.94,0.75,0.93,3.67
179,2024-10-29,晨曦航空,300581,128.77,124.59,131.68,124.36,284813,309632332.0,5.67,-3.51,-4.53,5.18
178,2024-10-28,晨曦航空,300581,128.31,129.12,132.84,127.61,300744,333242887.0,4.07,0.45,0.58,5.47
177,2024-10-25,晨曦航空,300581,129.94,128.54,131.68,127.26,296148,325536110.0,3.4,-0.99,-1.28,5.38
176,2024-10-24,晨曦航空,300581,134.01,129.82,135.17,127.03,387764,428882926.0,5.99,-4.53,-6.16,7.05
175,2024-10-23,晨曦航空,300581,123.89,135.98,143.66,123.89,688432,794928671.0,15.65,7.64,9.65,12.51
174,2024-10-22,晨曦航空,300581,130.75,126.33,132.03,125.64,376282,411999159.0,4.82,-4.66,-6.17,6.84
173,2024-10-21,晨曦航空,300581,122.96,132.5,135.17,122.73,579750,643080325.0,10.18,8.47,10.35,10.54
172,2024-10-18,晨曦航空,300581,117.5,122.15,124.94,115.63,358414,369521671.0,7.78,2.05,2.45,6.52
171,2024-10-17,晨曦航空,300581,122.5,119.7,125.17,117.84,341934,355044510.0,6.01,-1.81,-2.21,6.22
170,2024-10-16,晨曦航空,300581,122.73,121.91,128.77,120.05,422951,448796814.0,6.97,-2.6,-3.26,7.69
169,2024-10-15,晨曦航空,300581,118.54,125.17,139.82,118.54,761784,828839376.0,16.69,-1.83,-2.33,13.85
168,2024-10-14,晨曦航空,300581,112.03,127.5,128.77,112.03,641503,681365639.0,15.57,18.6,20.0,11.66
167,2024-10-11,晨曦航空,300581,116.33,107.5,116.33,105.75,216122,202926419.0,9.0,-8.51,-10.0,3.93
166,2024-10-10,晨曦航空,300581,114.01,117.5,125.4,114.01,313098,318339587.0,9.99,3.06,3.49,5.69
165,2024-10-09,晨曦航空,300581,121.1,114.01,128.77,110.75,406488,421014653.0,13.94,-11.78,-15.23,7.39
164,2024-10-08,晨曦航空,300581,128.77,129.24,129.36,113.77,533488,562488571.0,14.44,19.71,21.28,9.7
163,2024-09-30,晨曦航空,300581,99.7,107.96,109.82,95.4,368729,323270977.0,15.36,14.99,14.07,6.7
162,2024-09-27,晨曦航空,300581,89.24,93.89,94.59,88.54,208355,162752423.0,6.85,6.32,5.58,3.79
161,2024-09-26,晨曦航空,300581,85.98,88.31,88.89,85.4,128110,95158117.0,4.03,2.02,1.75,2.33
160,2024-09-25,晨曦航空,300581,85.52,86.56,87.96,85.05,130508,96045962.0,3.44,2.2,1.86,2.37
159,2024-09-24,晨曦航空,300581,82.5,84.7,84.7,82.5,75806,54167618.0,2.66,2.53,2.09,1.38
158,2024-09-23,晨曦航空,300581,82.26,82.61,83.89,81.68,47950,33852439.0,2.66,-0.7,-0.58,0.87
157,2024-09-20,晨曦航空,300581,83.77,83.19,84.47,82.84,29878,21196512.0,1.95,-0.69,-0.58,0.54
156,2024-09-19,晨曦航空,300581,83.19,83.77,83.89,81.68,42877,30374150.0,2.69,1.84,1.51,0.78
155,2024-09-18,晨曦航空,300581,82.84,82.26,83.31,80.75,37944,26456075.0,3.11,-0.15,-0.12,0.69
154,2024-09-13,晨曦航空,300581,84.12,82.38,84.47,82.38,36005,25527095.0,2.49,-1.8,-1.51,0.65
153,2024-09-12,晨曦航空,300581,83.89,83.89,84.7,83.66,43661,31312454.0,1.25,0.7,0.58,0.79
152,2024-09-11,晨曦航空,300581,83.89,83.31,84.36,82.96,28206,20068658.0,1.66,-0.96,-0.81,0.51
151,2024-09-10,晨曦航空,300581,83.31,84.12,85.29,82.96,54407,38918009.0,2.8,1.12,0.93,0.99
150,2024-09-09,晨曦航空,300581,82.61,83.19,83.89,81.91,28240,19965454.0,2.38,0.0,0.0,0.51
149,2024-09-06,晨曦航空,300581,84.94,83.19,85.52,83.08,46811,33435718.0,2.87,-2.19,-1.86,0.85
148,2024-09-05,晨曦航空,300581,83.89,85.05,85.63,83.89,42169,30462763.0,2.08,1.53,1.28,0.77
147,2024-09-04,晨曦航空,300581,83.54,83.77,84.7,83.43,31872,22832946.0,1.51,-0.42,-0.35,0.58
