,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,赛托生物,300583,32.47,31.93,32.87,31.78,29759,58056840.0,3.39,-0.78,-0.25,1.6
239,2025-01-24,赛托生物,300583,33.11,32.18,33.61,31.89,36029,71006694.0,5.16,-3.42,-1.14,1.94
238,2025-01-23,赛托生物,300583,35.73,33.32,36.13,32.95,54729,112952353.0,8.98,-5.9,-2.09,2.94
237,2025-01-22,赛托生物,300583,35.51,35.41,36.29,34.84,29514,63363787.0,4.05,-1.03,-0.37,1.59
236,2025-01-21,赛托生物,300583,37.73,35.78,37.77,35.51,34379,75357659.0,6.03,-4.48,-1.68,1.85
235,2025-01-20,赛托生物,300583,37.64,37.46,37.73,36.69,33666,75984211.0,2.77,-0.19,-0.07,1.81
234,2025-01-17,赛托生物,300583,36.84,37.53,38.25,36.12,51694,116732279.0,5.63,-0.85,-0.32,2.78
233,2025-01-16,赛托生物,300583,35.72,37.85,37.88,34.68,44341,96912120.0,8.98,6.17,2.2,2.38
232,2025-01-15,赛托生物,300583,36.31,35.65,36.31,35.01,26426,57019314.0,3.58,-1.9,-0.69,1.42
231,2025-01-14,赛托生物,300583,34.02,36.34,36.34,33.25,45914,96542929.0,9.25,8.77,2.93,2.47
230,2025-01-13,赛托生物,300583,34.89,33.41,35.09,33.14,40014,81368006.0,5.51,-5.62,-1.99,2.15
229,2025-01-10,赛托生物,300583,37.75,35.4,38.09,35.38,35471,78517566.0,7.17,-6.37,-2.41,1.91
228,2025-01-09,赛托生物,300583,36.98,37.81,38.77,36.34,65607,150289787.0,6.54,1.75,0.65,3.52
227,2025-01-08,赛托生物,300583,36.52,37.16,38.09,35.11,76281,168224264.0,8.09,0.87,0.32,4.1
226,2025-01-07,赛托生物,300583,32.98,36.84,36.95,32.33,75584,159026900.0,14.25,13.67,4.43,4.06
225,2025-01-06,赛托生物,300583,32.63,32.41,33.41,30.87,37047,72500082.0,7.93,1.22,0.39,1.99
224,2025-01-03,赛托生物,300583,34.28,32.02,34.44,31.72,51104,101010842.0,8.01,-5.66,-1.92,2.75
223,2025-01-02,赛托生物,300583,33.0,33.94,35.86,32.15,70292,145813772.0,11.44,4.69,1.52,3.78
222,2024-12-31,赛托生物,300583,34.79,32.42,34.92,32.26,46403,92496186.0,7.65,-6.81,-2.37,2.49
221,2024-12-30,赛托生物,300583,34.13,34.79,35.54,32.95,46805,96693595.0,7.46,0.23,0.08,2.51
220,2024-12-27,赛托生物,300583,35.56,34.71,35.91,34.44,25244,53596973.0,4.2,-0.91,-0.32,1.36
219,2024-12-26,赛托生物,300583,33.81,35.03,35.61,33.73,28382,59537565.0,5.56,3.61,1.22,1.52
218,2024-12-25,赛托生物,300583,35.86,33.81,35.86,33.57,37525,78265059.0,6.67,-1.46,-0.5,2.02
217,2024-12-24,赛托生物,300583,33.99,34.31,35.14,33.91,33991,70580519.0,3.6,0.41,0.14,1.83
216,2024-12-23,赛托生物,300583,37.61,34.17,37.61,33.94,59862,127490717.0,9.82,-8.56,-3.2,3.22
