,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,海辰药业,300584,31.56,31.14,31.56,30.93,15747,30709889.0,2.01,-0.57,-0.18,1.92
240,2025-01-23,海辰药业,300584,31.17,31.32,31.83,31.17,18319,36271661.0,2.13,0.97,0.3,2.23
239,2025-01-22,海辰药业,300584,31.34,31.02,31.34,30.81,9028,17523137.0,1.7,-0.64,-0.2,1.1
238,2025-01-21,海辰药业,300584,31.76,31.22,31.76,30.81,14179,27726401.0,3.01,-0.98,-0.31,1.73
237,2025-01-20,海辰药业,300584,31.62,31.53,31.76,31.35,13329,26363246.0,1.31,0.61,0.19,1.62
236,2025-01-17,海辰药业,300584,31.43,31.34,31.55,31.04,12275,24082965.0,1.62,-0.38,-0.12,1.49
235,2025-01-16,海辰药业,300584,31.68,31.46,31.98,31.04,19955,39436033.0,3.01,0.83,0.26,2.43
234,2025-01-15,海辰药业,300584,31.8,31.2,31.82,31.08,18128,35639779.0,2.33,-1.76,-0.56,2.21
233,2025-01-14,海辰药业,300584,30.69,31.76,31.8,30.69,24527,48264462.0,3.62,3.59,1.1,2.99
232,2025-01-13,海辰药业,300584,31.05,30.66,31.25,30.15,24753,47424473.0,3.47,-3.4,-1.08,3.01
231,2025-01-10,海辰药业,300584,32.91,31.74,33.09,31.68,43475,87905188.0,4.21,-5.28,-1.77,5.29
230,2025-01-09,海辰药业,300584,32.16,33.51,34.52,31.34,57495,120085157.0,9.79,3.17,1.03,7.0
229,2025-01-08,海辰药业,300584,31.83,32.48,33.15,31.83,30568,62529041.0,4.09,0.74,0.24,3.72
228,2025-01-07,海辰药业,300584,33.51,32.24,33.51,31.53,45499,91866957.0,5.88,-4.19,-1.41,5.54
227,2025-01-06,海辰药业,300584,31.86,33.65,33.81,31.85,66096,138127417.0,6.24,7.17,2.25,8.05
226,2025-01-03,海辰药业,300584,31.14,31.4,32.6,30.45,31805,63245781.0,6.93,1.26,0.39,3.87
225,2025-01-02,海辰药业,300584,31.95,31.01,32.25,30.81,20596,40747540.0,4.49,-3.4,-1.09,2.51
224,2024-12-31,海辰药业,300584,32.75,32.1,33.11,31.86,18540,37820596.0,3.83,-1.65,-0.54,2.26
223,2024-12-30,海辰药业,300584,32.55,32.64,32.81,32.31,14131,28913564.0,1.52,-0.73,-0.24,1.72
222,2024-12-27,海辰药业,300584,32.42,32.88,33.14,32.4,14274,29505403.0,2.28,1.23,0.4,1.74
221,2024-12-26,海辰药业,300584,32.39,32.48,32.84,32.22,12260,25129932.0,1.91,0.19,0.06,1.49
220,2024-12-25,海辰药业,300584,33.06,32.42,33.29,32.03,17628,35942827.0,3.82,-1.82,-0.6,2.15
219,2024-12-24,海辰药业,300584,34.14,33.02,34.14,32.43,27354,57013675.0,5.05,-2.39,-0.81,3.33
218,2024-12-23,海辰药业,300584,34.43,33.83,34.83,33.39,29922,63888952.0,4.2,-1.34,-0.46,3.64
217,2024-12-20,海辰药业,300584,33.81,34.29,34.49,33.56,24834,53301734.0,2.76,1.69,0.57,3.02
216,2024-12-19,海辰药业,300584,33.95,33.72,34.47,33.45,26944,57286777.0,2.98,-1.4,-0.48,3.28
215,2024-12-18,海辰药业,300584,34.92,34.2,34.92,33.96,24713,53478182.0,2.77,-1.47,-0.51,3.01
214,2024-12-17,海辰药业,300584,36.72,34.71,37.04,34.64,43080,96034945.0,6.63,-4.14,-1.5,5.25
213,2024-12-16,海辰药业,300584,36.24,36.21,37.71,35.94,66693,155774652.0,4.91,0.36,0.13,8.12
212,2024-12-13,海辰药业,300584,35.69,36.08,36.56,35.18,56192,127944011.0,3.86,0.84,0.3,6.84
211,2024-12-12,海辰药业,300584,35.18,35.78,35.94,34.91,38986,87690850.0,2.93,1.71,0.6,4.75
210,2024-12-11,海辰药业,300584,35.18,35.18,35.36,34.89,22693,50349049.0,1.33,-0.09,-0.03,2.76
