,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,华凯易佰,300592,21.72,20.43,22.07,20.35,108346,156800553.36,8.28,-1.64,-0.34,2.96
239,2025-01-24,华凯易佰,300592,19.11,20.77,20.95,18.99,202398,284351555.0,10.21,8.18,1.57,5.52
238,2025-01-23,华凯易佰,300592,19.31,19.2,19.9,19.06,130507,177055974.0,4.42,1.11,0.21,3.56
237,2025-01-22,华凯易佰,300592,19.44,18.99,19.45,18.78,106312,140726683.0,3.43,-2.86,-0.56,2.9
236,2025-01-21,华凯易佰,300592,19.73,19.55,19.87,19.31,91884,124662028.0,2.84,-0.91,-0.18,2.51
235,2025-01-20,华凯易佰,300592,19.45,19.73,19.95,18.95,159294,215517895.0,5.2,2.55,0.49,4.35
234,2025-01-17,华凯易佰,300592,19.62,19.24,19.8,19.17,98899,133367718.0,3.23,-1.43,-0.28,2.7
233,2025-01-16,华凯易佰,300592,19.62,19.52,20.35,19.1,148553,202893502.0,6.44,0.51,0.1,4.05
232,2025-01-15,华凯易佰,300592,19.45,19.42,20.12,19.18,156850,213124007.0,4.85,0.26,0.05,4.28
231,2025-01-14,华凯易佰,300592,18.13,19.37,19.39,18.05,125519,163796732.0,7.49,8.33,1.49,3.43
230,2025-01-13,华凯易佰,300592,18.02,17.88,18.23,17.7,60549,75252012.0,2.93,-1.0,-0.18,1.65
229,2025-01-10,华凯易佰,300592,18.82,18.06,19.02,18.01,71234,91236510.0,5.36,-4.19,-0.79,1.94
228,2025-01-09,华凯易佰,300592,18.67,18.85,19.45,18.58,84024,111078838.0,4.6,-0.26,-0.05,2.29
227,2025-01-08,华凯易佰,300592,18.6,18.9,18.99,18.04,90545,116799850.0,5.09,1.23,0.23,2.47
226,2025-01-07,华凯易佰,300592,18.15,18.67,18.85,17.98,91752,116977030.0,4.81,3.26,0.59,2.5
225,2025-01-06,华凯易佰,300592,18.78,18.08,18.82,17.88,92278,116898155.0,5.03,-3.26,-0.61,2.52
224,2025-01-03,华凯易佰,300592,20.25,18.69,20.4,18.68,170180,227199032.0,8.5,-7.61,-1.54,4.64
223,2025-01-02,华凯易佰,300592,20.54,20.23,21.23,20.0,128675,185072534.0,5.99,-1.51,-0.31,3.51
222,2024-12-31,华凯易佰,300592,21.27,20.54,21.48,20.53,112851,164448026.0,4.41,-4.55,-0.98,3.08
221,2024-12-30,华凯易佰,300592,20.99,21.52,22.77,20.65,205992,314013593.0,10.11,2.67,0.56,5.62
220,2024-12-27,华凯易佰,300592,21.28,20.96,21.41,20.82,92794,136134345.0,2.75,-2.42,-0.52,2.53
