,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,诚迈科技,300598,119.54,113.46,121.14,113.35,70861,322183581.22,6.52,-5.05,-6.03,3.27
239,2025-01-24,诚迈科技,300598,115.08,119.49,119.59,115.08,67570,313918005.0,3.92,3.79,4.36,3.11
238,2025-01-23,诚迈科技,300598,117.84,115.13,120.76,115.1,58992,273749174.0,4.88,-0.66,-0.76,2.72
237,2025-01-22,诚迈科技,300598,117.26,115.89,118.07,115.1,39238,178864776.0,2.51,-1.89,-2.23,1.81
236,2025-01-21,诚迈科技,300598,119.31,118.12,119.87,116.32,41275,190430480.0,3.01,0.03,0.03,1.9
235,2025-01-20,诚迈科技,300598,119.11,118.09,120.12,117.66,43901,204819596.0,2.09,0.27,0.32,2.02
234,2025-01-17,诚迈科技,300598,117.26,117.77,119.59,116.9,48434,224832825.0,2.27,-0.57,-0.68,2.23
233,2025-01-16,诚迈科技,300598,118.7,118.45,121.82,117.51,69350,325637070.0,3.68,1.06,1.24,3.2
232,2025-01-15,诚迈科技,300598,119.69,117.21,120.65,116.78,58712,272938278.0,3.22,-2.46,-2.96,2.71
231,2025-01-14,诚迈科技,300598,114.77,120.17,120.83,113.2,92954,431058979.0,6.74,6.22,7.04,4.29
230,2025-01-13,诚迈科技,300598,110.57,113.13,113.89,108.99,49170,216046849.0,4.39,1.39,1.55,2.27
229,2025-01-10,诚迈科技,300598,114.34,111.58,117.11,111.58,50717,228326061.0,4.84,-2.37,-2.71,2.34
228,2025-01-09,诚迈科技,300598,113.25,114.29,115.86,113.25,44616,201303840.0,2.29,0.42,0.48,2.06
227,2025-01-08,诚迈科技,300598,114.01,113.81,115.15,109.25,63293,280338803.0,5.15,-0.75,-0.86,2.92
226,2025-01-07,诚迈科技,300598,110.92,114.67,114.82,110.92,53450,237109252.0,3.53,3.69,4.08,2.46
225,2025-01-06,诚迈科技,300598,111.83,110.59,113.23,109.32,48864,213452823.0,3.49,-1.25,-1.4,2.25
224,2025-01-03,诚迈科技,300598,119.11,111.99,119.39,111.33,72381,325374302.0,6.79,-5.64,-6.69,3.34
223,2025-01-02,诚迈科技,300598,122.99,118.68,123.82,116.6,68942,325582557.0,5.86,-3.7,-4.56,3.18
222,2024-12-31,诚迈科技,300598,130.57,123.24,130.57,122.89,54777,270581420.0,5.94,-4.65,-6.01,2.53
221,2024-12-30,诚迈科技,300598,129.27,129.25,131.35,127.5,44352,225591183.0,2.96,-0.6,-0.78,2.04
220,2024-12-27,诚迈科技,300598,131.53,130.03,133.58,129.22,58671,303154575.0,3.32,-0.91,-1.2,2.7
219,2024-12-26,诚迈科技,300598,127.37,131.23,133.84,127.37,62531,320882878.0,5.09,3.34,4.24,2.88
218,2024-12-25,诚迈科技,300598,130.26,126.99,131.02,125.9,55922,280101649.0,3.92,-2.82,-3.68,2.58
217,2024-12-24,诚迈科技,300598,131.48,130.67,132.32,128.31,52282,266957117.0,3.06,-0.15,-0.2,2.41
216,2024-12-23,诚迈科技,300598,136.02,130.87,137.08,130.49,56941,298213318.0,4.84,-3.87,-5.27,2.62
215,2024-12-20,诚迈科技,300598,133.08,136.14,138.88,132.06,70512,376709856.0,5.13,2.32,3.09,3.25
214,2024-12-19,诚迈科技,300598,130.9,133.05,133.96,130.14,54518,283373953.0,2.89,0.5,0.66,2.51
213,2024-12-18,诚迈科技,300598,131.61,132.39,133.28,129.48,57422,297618274.0,2.91,1.42,1.85,2.65
212,2024-12-17,诚迈科技,300598,135.28,130.54,135.79,130.14,68947,358846054.0,4.18,-3.49,-4.72,3.18
211,2024-12-16,诚迈科技,300598,137.77,135.26,139.13,134.27,86954,463000201.0,3.49,-2.91,-4.05,4.01
210,2024-12-13,诚迈科技,300598,143.77,139.31,145.24,139.21,94937,529766755.0,4.15,-4.17,-6.06,4.38
209,2024-12-12,诚迈科技,300598,144.26,145.37,147.02,141.49,107575,610948861.0,3.83,0.77,1.11,4.96
208,2024-12-11,诚迈科技,300598,141.24,144.26,145.24,139.72,90464,505739897.0,3.88,1.34,1.91,4.17
207,2024-12-10,诚迈科技,300598,147.58,142.35,148.62,142.0,116782,664652592.0,4.66,0.27,0.38,5.38
